accuracy,id,lat,lng,speed,time,type
43.1,0,36.481692,127.295820,0.00,1691390982000,START
24.3,0,36.480902,127.293777,0.00,1691391010000,STOP
8.1,0,36.480785,127.293812,4.17,1691391124000,NORMAL
8.1,0,36.480719,127.293683,7.62,1691391126000,NORMAL
8.1,0,36.480666,127.293664,7.22,1691391127000,NORMAL
8.1,0,36.480550,127.293716,6.80,1691391129000,NORMAL
8.1,0,36.480458,127.293767,5.49,1691391131000,NORMAL
8.1,0,36.480321,127.293847,7.78,1691391133000,NORMAL
8.1,0,36.480242,127.293891,9.00,1691391134000,NORMAL
8.1,0,36.480090,127.293980,9.46,1691391136000,NORMAL
8.1,0,36.480033,127.294020,8.17,1691391137000,NORMAL
8.1,0,36.479982,127.294055,6.83,1691391138000,NORMAL
8.1,0,36.479944,127.294063,5.16,1691391139000,NORMAL
8.1,0,36.479903,127.294090,5.27,1691391140000,NORMAL
8.1,0,36.479811,127.294161,5.80,1691391142000,NORMAL
8.1,0,36.479726,127.294216,4.88,1691391144000,NORMAL
8.1,0,36.479690,127.294240,4.62,1691391145000,NORMAL
8.1,0,36.479604,127.294308,5.77,1691391147000,NORMAL
8.1,0,36.479498,127.294393,6.89,1691391149000,NORMAL
8.1,0,36.479388,127.294476,7.09,1691391151000,NORMAL
8.1,0,36.479279,127.294553,7.06,1691391153000,NORMAL
8.1,0,36.479170,127.294621,6.44,1691391155000,NORMAL
8.1,0,36.479072,127.294683,6.37,1691391157000,NORMAL
8.1,0,36.479017,127.294719,6.75,1691391158000,NORMAL
8.1,0,36.478907,127.294791,6.49,1691391160000,NORMAL
8.1,0,36.478817,127.294849,5.82,1691391162000,NORMAL
8.1,0,36.478717,127.294918,6.39,1691391164000,NORMAL
8.1,0,36.478663,127.294949,6.51,1691391165000,NORMAL
8.1,0,36.478604,127.294980,6.92,1691391166000,NORMAL
8.1,0,36.478481,127.295041,7.52,1691391168000,NORMAL
8.1,0,36.478415,127.295081,8.05,1691391169000,NORMAL
8.1,0,36.478272,127.295168,9.06,1691391171000,NORMAL
8.1,0,36.478193,127.295217,9.64,1691391172000,NORMAL
8.1,0,36.478032,127.295319,10.06,1691391174000,NORMAL
8.1,0,36.477955,127.295368,9.68,1691391175000,NORMAL
8.1,0,36.477821,127.295452,7.74,1691391177000,NORMAL
8.1,0,36.477728,127.295505,5.55,1691391179000,NORMAL
8.1,0,36.477625,127.295564,6.65,1691391181000,NORMAL
8.1,0,36.477564,127.295601,7.48,1691391182000,NORMAL
8.1,0,36.477501,127.295637,7.58,1691391183000,NORMAL
8.1,0,36.477403,127.295696,5.87,1691391185000,NORMAL
8.1,0,36.477304,127.295760,6.48,1691391187000,NORMAL
8.1,0,36.477248,127.295796,6.98,1691391188000,NORMAL
8.1,0,36.477152,127.295848,5.74,1691391190000,NORMAL
8.1,0,36.477103,127.295866,5.71,1691391191000,NORMAL
