accuracy,id,lat,lng,speed,time,type
4.189,1,37.2164421,126.6894647,1.7509774E-17,1691464303914,START
4.238,2,37.2164421,126.6894647,1.7509774E-17,1691464305913,NORMAL
4.238,3,37.2164421,126.6894647,1.7509774E-17,1691464306914,NORMAL
3.869,4,37.2164421,126.6894647,1.7509774E-17,1691464308914,NORMAL
3.864,5,37.2164421,126.6894647,1.7509774E-17,1691464309914,NORMAL
3.864,6,37.2164421,126.6894647,1.7509774E-17,1691464311913,NORMAL
3.882,7,37.2164421,126.6894647,1.7509774E-17,1691464312913,NORMAL
3.9,8,37.2164421,126.6894647,1.7509774E-17,1691464314913,NORMAL
3.9,9,37.2164421,126.6894647,1.7509774E-17,1691464315914,NORMAL
3.869,10,37.2164421,126.6894647,1.7509774E-17,1691464317913,NORMAL
3.869,11,37.2164421,126.6894647,1.7509774E-17,1691464318914,NORMAL
3.869,12,37.2164421,126.6894647,1.7509774E-17,1691464320914,NORMAL
3.878,13,37.2164421,126.6894647,1.7509774E-17,1691464321914,NORMAL
3.869,14,37.2164421,126.6894647,1.7509774E-17,1691464323913,NORMAL
3.869,15,37.2164421,126.6894647,1.7509774E-17,1691464324913,NORMAL
3.882,16,37.2164421,126.6894647,1.7509774E-17,1691464326914,NORMAL
4.635,17,37.2164421,126.6894647,1.7509774E-17,1691464327913,NORMAL
4.53,18,37.2164421,126.6894647,1.7509774E-17,1691464329913,NORMAL
4.53,19,37.2164421,126.6894647,1.7509774E-17,1691464330913,NORMAL
3.9,20,37.2164421,126.6894647,1.7509774E-17,1691464332913,NORMAL
3.981,21,37.2164421,126.6894647,1.7509774E-17,1691464333913,NORMAL
4.17,22,37.2164421,126.6894647,1.7509774E-17,1691464335914,NORMAL
4.224,23,37.2164421,126.6894647,1.7509774E-17,1691464336913,NORMAL
4.864,24,37.2164421,126.6894647,1.7509774E-17,1691464338914,NORMAL
4.802,25,37.2164421,126.6894647,1.7509774E-17,1691464339914,NORMAL
4.632,26,37.2164421,126.6894647,1.7509774E-17,1691464341914,NORMAL
4.671,27,37.2164421,126.6894647,1.7509774E-17,1691464342914,NORMAL
4.671,28,37.2164421,126.6894647,1.7509774E-17,1691464344914,NORMAL
4.8,29,37.2164421,126.6894647,1.7509774E-17,1691464345913,NORMAL
4.934,30,37.2164421,126.6894647,1.7509774E-17,1691464347914,NORMAL
4.787,31,37.2164421,126.6894647,1.7509774E-17,1691464348914,NORMAL
4.676,32,37.2164421,126.6894647,1.7509774E-17,1691464350913,NORMAL
4.676,33,37.2164421,126.6894647,1.7509774E-17,1691464351914,NORMAL
4.734,34,37.2164421,126.6894647,1.7509774E-17,1691464353913,NORMAL
4.853,35,37.2164421,126.6894647,1.7509774E-17,1691464354914,NORMAL
5.012,36,37.2164421,126.6894647,1.7509774E-17,1691464356914,NORMAL
5.075,37,37.2164421,126.6894647,1.7509774E-17,1691464357914,NORMAL
4.907,38,37.2164421,126.6894647,1.7509774E-17,1691464359914,NORMAL
4.907,39,37.2164421,126.6894647,1.7509774E-17,1691464360913,NORMAL
5.173,40,37.2164421,126.6894647,1.7509774E-17,1691464362913,NORMAL
5.173,41,37.2164421,126.6894647,1.7509774E-17,1691464363913,NORMAL
5.173,42,37.2164421,126.6894647,1.7509774E-17,1691464365914,NORMAL
4.991,43,37.2164384,126.6894571,0.45643923,1691464366914,NORMAL
4.954,44,37.2164301,126.6894425,0.6853517,1691464368913,NORMAL
5.112,45,37.2164292,126.689442,0.3521106,1691464369914,NORMAL
4.939,46,37.2164294,126.6894427,0.03684599,1691464371914,NORMAL
4.969,47,37.2164296,126.6894428,0.0039652786,1691464372914,NORMAL
4.984,48,37.2164296,126.6894429,0.0014789398,1691464374914,NORMAL
4.999,49,37.2164296,126.6894429,7.3089555E-4,1691464375914,NORMAL
5.288,50,37.2164296,126.6894429,5.8034566E-5,1691464377913,NORMAL
5.288,51,37.2164296,126.6894429,9.78132E-6,1691464378913,NORMAL
5.288,52,37.2164296,126.6894429,2.9102484E-6,1691464380913,NORMAL
5.075,53,37.2164296,126.6894429,1.4633673E-6,1691464381914,NORMAL
5.114,54,37.2164296,126.6894429,1.4350225E-7,1691464383913,NORMAL
5.316,55,37.2164296,126.6894429,2.771658E-8,1691464384914,NORMAL
5.114,56,37.2164296,126.6894429,5.574819E-9,1691464386913,NORMAL
5.205,57,37.2164296,126.6894429,2.7982046E-9,1691464387913,NORMAL
5.205,58,37.2164296,126.6894429,3.6555042E-10,1691464389913,NORMAL
5.422,59,37.2164296,126.6894429,7.4717184E-11,1691464390914,NORMAL
5.204,60,37.2164296,126.6894429,1.22397145E-11,1691464392913,NORMAL
5.204,61,37.2164296,126.6894429,7.0616885E-12,1691464393914,NORMAL
5.204,62,37.2164296,126.6894429,8.700582E-13,1691464395914,NORMAL
5.421,63,37.2164296,126.6894429,1.7297927E-13,1691464396913,NORMAL
5.311,64,37.2164296,126.6894429,3.2072123E-14,1691464398914,NORMAL
5.547,65,37.2164296,126.6894429,1.7277363E-14,1691464399914,NORMAL
5.311,66,37.2164296,126.6894429,1.9739878E-15,1691464401914,NORMAL
5.466,67,37.2164296,126.6894429,1.9114993E-16,1691464402913,NORMAL
5.727,68,37.2164296,126.6894429,2.6228905E-17,1691464404914,NORMAL
5.466,69,37.2164296,126.6894429,2.6228905E-17,1691464405914,NORMAL
4.968,70,37.2164296,126.6894429,2.6228905E-17,1691464407913,NORMAL
5.164,71,37.2164296,126.6894429,2.6228905E-17,1691464408913,NORMAL
4.984,72,37.2164296,126.6894429,2.6228905E-17,1691464410914,NORMAL
5.164,73,37.2164296,126.6894429,2.6228905E-17,1691464411914,NORMAL
5.744,74,37.2164296,126.6894429,2.6228905E-17,1691464413914,NORMAL
5.48,75,37.2164296,126.6894429,2.6228905E-17,1691464414914,NORMAL
5.48,76,37.2164296,126.6894429,2.6228905E-17,1691464416913,NORMAL
5.511,77,37.2164296,126.6894429,2.6228905E-17,1691464417913,NORMAL
5.511,78,37.2164296,126.6894429,2.6228905E-17,1691464419914,NORMAL
5.779,79,37.2164296,126.6894429,2.6228905E-17,1691464420914,NORMAL
3.9,80,37.2164296,126.6894429,2.6228905E-17,1691464422913,NORMAL
3.9,81,37.2164296,126.6894429,2.6228905E-17,1691464423914,NORMAL
3.9,82,37.2164296,126.6894429,2.6228905E-17,1691464425914,NORMAL
3.9,83,37.2164296,126.6894429,2.6228905E-17,1691464426914,NORMAL
3.9,84,37.2164296,126.6894429,2.6228905E-17,1691464428913,NORMAL
3.882,85,37.2164296,126.6894429,2.6228905E-17,1691464429914,NORMAL
3.869,86,37.2164296,126.6894429,2.6228905E-17,1691464431914,NORMAL
3.864,87,37.2164296,126.6894429,2.6228905E-17,1691464432913,NORMAL
3.882,88,37.2164296,126.6894429,2.6228905E-17,1691464434914,NORMAL
3.882,89,37.2164296,126.6894429,2.6228905E-17,1691464435914,NORMAL
3.878,90,37.2164296,126.6894429,2.6228905E-17,1691464437913,NORMAL
3.869,91,37.2164296,126.6894429,2.6228905E-17,1691464438914,NORMAL
3.829,92,37.2164296,126.6894429,2.6228905E-17,1691464440914,NORMAL
3.829,93,37.2164296,126.6894429,2.6228905E-17,1691464441914,NORMAL
3.864,94,37.2164296,126.6894429,2.6228905E-17,1691464443913,NORMAL
3.869,95,37.2164296,126.6894429,2.6228905E-17,1691464444914,NORMAL
3.9,96,37.2164296,126.6894429,2.6228905E-17,1691464446914,NORMAL
3.9,97,37.2164296,126.6894429,2.6228905E-17,1691464447914,NORMAL
3.9,98,37.2164296,126.6894429,2.6228905E-17,1691464449914,NORMAL
3.9,99,37.2164296,126.6894429,2.6228905E-17,1691464450913,NORMAL
3.9,100,37.2164296,126.6894429,0.0,1691464452914,NORMAL
3.9,101,37.2164296,126.6894429,0.0,1691464453914,NORMAL
3.9,102,37.2164296,126.6894429,0.0,1691464455914,NORMAL
