accuracy,id,lat,lng,speed,time,type
14.661,1,36.6026659,127.3050651,7.505801,1691473423816,START
15.842,2,36.6024943,127.3051636,10.318924,1691473425815,NORMAL
4.067,3,36.6022378,127.3052807,10.033484,1691473428816,NORMAL
3.878,4,36.6019876,127.3053981,10.004696,1691473431816,NORMAL
3.872,5,36.6018042,127.3054776,11.579723,1691473433815,NORMAL
3.9,6,36.6016041,127.3055348,11.7396555,1691473435815,NORMAL
3.9,7,36.6013967,127.3055801,12.068518,1691473437813,NORMAL
3.863,8,36.6011725,127.3056226,13.229826,1691473439815,NORMAL
3.863,9,36.6009311,127.3056381,13.759884,1691473441813,NORMAL
3.863,10,36.6006822,127.3056299,14.109947,1691473443815,NORMAL
3.863,11,36.6004317,127.3056001,14.309954,1691473445815,NORMAL
3.863,12,36.6001845,127.3055488,14.269994,1691473447813,NORMAL
3.863,13,36.5999396,127.3054786,13.763567,1691473449815,NORMAL
3.9,14,36.5997006,127.3053838,14.077886,1691473451814,NORMAL
3.9,15,36.5994626,127.3052677,14.227045,1691473453814,NORMAL
3.9,16,36.5992293,127.3051329,14.376814,1691473455814,NORMAL
3.9,17,36.5989947,127.3049939,14.598221,1691473457815,NORMAL
3.9,18,36.5987569,127.3048536,14.836307,1691473459814,NORMAL
3.9,19,36.5985201,127.3047084,14.322273,1691473461815,NORMAL
3.9,20,36.5982883,127.3045666,14.389125,1691473463815,NORMAL
3.9,21,36.5980519,127.3044276,14.737396,1691473465814,NORMAL
3.9,22,36.5978084,127.3042865,15.00853,1691473467814,NORMAL
3.9,23,36.5975587,127.3041444,15.516556,1691473469815,NORMAL
3.9,24,36.5973006,127.3039879,15.809966,1691473471815,NORMAL
3.9,25,36.5970478,127.3038439,15.170303,1691473473814,NORMAL
3.9,26,36.5967966,127.3037039,15.459943,1691473475813,NORMAL
3.9,27,36.59654,127.3035597,15.8797655,1691473477814,NORMAL
3.9,28,36.596278,127.3034008,16.28868,1691473479813,NORMAL
3.9,29,36.5960222,127.3032477,16.507889,1691473481815,NORMAL
3.9,30,36.5957526,127.3031035,16.65994,1691473483814,NORMAL
3.9,31,36.5954793,127.302948,17.039862,1691473485815,NORMAL
3.9,32,36.595192,127.3027866,17.109932,1691473487815,NORMAL
3.9,33,36.5949166,127.3026284,16.48567,1691473489814,NORMAL
3.9,34,36.5946362,127.3024612,16.979858,1691473491814,NORMAL
3.9,35,36.5943639,127.3023071,16.611324,1691473493815,NORMAL
3.9,36,36.5940939,127.3021472,16.500185,1691473495815,NORMAL
3.9,37,36.5938224,127.3020119,16.061768,1691473497815,NORMAL
3.9,38,36.5935623,127.3018744,15.300109,1691473499815,NORMAL
3.863,39,36.5933125,127.3017259,14.960397,1691473501815,NORMAL
3.863,40,36.5930685,127.3015912,14.900034,1691473503814,NORMAL
3.863,41,36.5928156,127.3014549,15.464624,1691473505815,NORMAL
5.911,42,36.5925616,127.3013029,15.410043,1691473507815,NORMAL
7.923,43,36.5923116,127.3011594,14.710353,1691473509815,NORMAL
9.935,44,36.5920767,127.3010203,14.290257,1691473511814,NORMAL
9.935,45,36.5918456,127.300888,14.070056,1691473513815,NORMAL
9.935,46,36.5916178,127.3007596,13.960057,1691473515815,NORMAL
9.935,47,36.5913933,127.300632,13.560205,1691473517814,NORMAL
7.923,48,36.5911771,127.3005102,13.190226,1691473519814,NORMAL
5.911,49,36.5909695,127.3003931,11.880751,1691473521815,NORMAL
3.9,50,36.5907902,127.3002902,9.950992,1691473523815,NORMAL
3.9,51,36.5906324,127.300185,10.059097,1691473525814,NORMAL
3.9,52,36.5904815,127.3000954,8.014542,1691473527815,NORMAL
3.9,53,36.5903496,127.3000188,8.359426,1691473529815,NORMAL
3.9,54,36.5902094,127.2999386,8.739126,1691473531815,NORMAL
3.9,55,36.5900686,127.2998446,8.350058,1691473533815,NORMAL
3.9,56,36.5899593,127.2997856,4.637483,1691473535815,NORMAL
3.9,57,36.5898815,127.2997374,5.3492737,1691473537814,NORMAL
3.9,58,36.5897833,127.2996792,6.7486567,1691473539815,NORMAL
3.9,59,36.5896692,127.2995908,7.8492904,1691473541815,NORMAL
11.702,60,36.5896098,127.2995305,7.8486075,1691473542985,NORMAL
9.751,61,36.5894132,127.2993703,9.059286,1691473545814,NORMAL
9.751,62,36.5892511,127.2993091,9.519718,1691473547815,NORMAL
3.863,63,36.5890834,127.2992398,10.109292,1691473549815,NORMAL
3.863,64,36.588787,127.2990094,7.6123314,1691473553815,NORMAL
3.9,65,36.5886772,127.2989045,7.7198577,1691473555814,NORMAL
3.9,66,36.5885558,127.298787,9.16817,1691473557815,NORMAL
3.9,67,36.5884114,127.2986476,11.237596,1691473559815,NORMAL
3.9,68,36.5882515,127.2984872,11.579708,1691473561814,NORMAL
3.863,69,36.5880966,127.2983338,11.370059,1691473563814,NORMAL
3.863,70,36.5879439,127.2981795,11.22003,1691473565814,NORMAL
3.863,71,36.58779,127.2980221,10.750254,1691473567814,NORMAL
3.9,72,36.5876614,127.2978832,8.120326,1691473569815,NORMAL
3.9,73,36.5875647,127.2977852,5.571298,1691473571815,NORMAL
3.9,74,36.5875074,127.2977268,2.2411375,1691473573815,NORMAL
3.863,75,36.5874945,127.2977097,0.47946,1691473577814,NORMAL
3.863,76,36.5874975,127.2977076,0.15037456,1691473579815,NORMAL
3.872,77,36.5874995,127.2977054,0.1085821,1691473581815,NORMAL
3.9,78,36.5875007,127.2977043,0.08611686,1691473583814,NORMAL
6.279,79,36.5875009,127.2977019,0.05136586,1691473587815,NORMAL
15.887,80,36.5875005,127.2977016,0.046911366,1691473589009,NORMAL
15.908,81,36.5874994,127.2977023,0.032299485,1691473591814,NORMAL
15.908,82,36.5874984,127.297702,0.04683983,1691473593815,NORMAL
11.012,83,36.5874983,127.2977022,0.016858317,1691473595815,NORMAL
11.012,84,36.5874918,127.2976996,0.46904713,1691473597814,NORMAL
18.817,85,36.5874876,127.2976956,0.4686643,1691473599147,NORMAL
16.596,86,36.5874276,127.2976373,3.5720553,1691473601814,NORMAL
16.596,87,36.587364,127.2975717,5.975513,1691473603814,NORMAL
11.189,88,36.5872651,127.2974764,7.264138,1691473605815,NORMAL
11.189,89,36.5871522,127.2973686,8.526868,1691473607814,NORMAL
18.497,90,36.5870757,127.2972969,8.525944,1691473609099,NORMAL
16.357,91,36.5867161,127.296982,9.338541,1691473613815,NORMAL
9.935,92,36.5863249,127.2966036,9.750033,1691473619815,NORMAL
10.122,93,36.586042,127.2963133,10.5490885,1691473623815,NORMAL
10.151,94,36.5858868,127.2961411,12.129792,1691473625815,NORMAL
10.076,95,36.5857149,127.2959594,12.563796,1691473627815,NORMAL
10.049,96,36.5855285,127.2957631,14.118271,1691473629815,NORMAL
10.02,97,36.5853228,127.2955539,14.729303,1691473631815,NORMAL
9.935,98,36.5851108,127.2953511,14.375895,1691473633815,NORMAL
9.935,99,36.5846846,127.2949401,14.968255,1691473637814,NORMAL
9.935,100,36.5844714,127.2947254,15.134449,1691473639815,NORMAL
9.935,101,36.5842543,127.2945134,15.401626,1691473641813,NORMAL
10.167,102,36.5840378,127.294295,15.501039,1691473643814,NORMAL
10.167,103,36.5838258,127.2940659,15.200538,1691473645813,NORMAL
9.935,104,36.583418,127.2936386,13.152984,1691473649813,NORMAL
9.935,105,36.5831219,127.2933243,7.5721664,1691473653814,NORMAL
9.935,106,36.583052,127.2932204,4.3801365,1691473655814,NORMAL
9.935,107,36.5830522,127.2932169,0.5534013,1691473661814,NORMAL
9.935,108,36.5830597,127.2932292,0.14355157,1691473665814,NORMAL
9.935,109,36.5830594,127.2932277,0.0248796,1691473667813,NORMAL
10.84,110,36.5830594,127.2932263,0.028829208,1691473671813,NORMAL
17.928,111,36.5830593,127.293226,0.024719292,1691473673013,NORMAL
15.93,112,36.5830591,127.2932263,0.008306453,1691473675814,NORMAL
15.93,113,36.5830588,127.2932258,0.022402907,1691473677813,NORMAL
11.034,114,36.5830587,127.2932246,0.017861335,1691473681814,NORMAL
18.78,115,36.5830587,127.2932244,0.01443161,1691473683140,NORMAL
16.569,116,36.5830586,127.2932239,0.01861262,1691473685813,NORMAL
16.569,117,36.5830586,127.2932237,0.013235312,1691473687813,NORMAL
11.29,118,36.5830601,127.2932286,0.1803325,1691473689813,NORMAL
11.29,119,36.5830588,127.2932299,0.0969437,1691473691814,NORMAL
9.935,120,36.5830579,127.2932285,0.047688022,1691473693814,NORMAL
9.935,121,36.5830578,127.2932276,0.026751319,1691473695814,NORMAL
9.935,122,36.5830583,127.2932273,0.024957163,1691473697813,NORMAL
11.458,123,36.5830592,127.2932264,0.055990472,1691473699814,NORMAL
11.458,124,36.5830595,127.2932261,0.028914602,1691473701814,NORMAL
19.202,125,36.5830597,127.2932259,0.023383975,1691473703205,NORMAL
16.885,126,36.5830596,127.293226,0.007255775,1691473705813,NORMAL
16.885,127,36.5830596,127.2932259,0.0041788844,1691473707814,NORMAL
11.118,128,36.5830596,127.2932256,0.010245535,1691473709814,NORMAL
11.118,129,36.5830594,127.2932257,0.0072632846,1691473711813,NORMAL
18.975,130,36.5830594,127.2932257,0.0063771657,1691473713170,NORMAL
16.715,131,36.5830593,127.2932258,0.0035140824,1691473715814,NORMAL
16.715,132,36.5830594,127.2932257,0.0038533942,1691473717814,NORMAL
11.672,133,36.5830594,127.2932254,0.010613098,1691473719814,NORMAL
