accuracy,id,lat,lng,speed,time,type
23.4,0,36.339355,127.441318,9.60,1691672706000,START
24.1,0,36.339327,127.441208,9.12,1691672707000,NORMAL
24.1,0,36.339265,127.441069,8.07,1691672709000,NORMAL
24.1,0,36.339210,127.440949,7.01,1691672711000,NORMAL
24.1,0,36.339193,127.440912,6.17,1691672712000,NORMAL
24.1,0,36.339132,127.440778,6.62,1691672714000,NORMAL
24.1,0,36.339048,127.440598,7.32,1691672716000,NORMAL
24.1,0,36.339006,127.440500,7.77,1691672717000,NORMAL
24.1,0,36.338972,127.440416,7.89,1691672718000,NORMAL
24.1,0,36.338941,127.440358,7.47,1691672719000,NORMAL
24.1,0,36.338887,127.440243,7.43,1691672721000,NORMAL
24.2,0,36.338854,127.440171,7.58,1691672722000,NORMAL
24.2,0,36.338758,127.439959,8.44,1691672724000,NORMAL
24.2,0,36.338717,127.439871,8.90,1691672725000,NORMAL
24.2,0,36.338672,127.439771,9.18,1691672726000,NORMAL
24.2,0,36.338589,127.439590,8.32,1691672728000,NORMAL
24.2,0,36.338525,127.439437,8.06,1691672730000,NORMAL
24.2,0,36.338483,127.439317,7.29,1691672732000,NORMAL
24.1,0,36.338409,127.439139,8.04,1691672734000,NORMAL
24.1,0,36.338367,127.439031,8.44,1691672735000,NORMAL
24.0,0,36.338280,127.438849,8.44,1691672737000,NORMAL
24.0,0,36.338214,127.438746,6.78,1691672739000,NORMAL
24.0,0,36.338150,127.438593,7.51,1691672741000,NORMAL
24.0,0,36.338122,127.438512,7.84,1691672742000,NORMAL
24.0,0,36.338047,127.438343,8.01,1691672744000,NORMAL
24.1,0,36.338022,127.438288,7.20,1691672745000,NORMAL
24.1,0,36.337975,127.438173,5.84,1691672747000,NORMAL
24.0,0,36.337944,127.438087,4.98,1691672749000,NORMAL
24.1,0,36.337924,127.438068,4.30,1691672750000,NORMAL
24.1,0,36.337930,127.438062,3.69,1691672751000,NORMAL
24.1,0,36.338055,127.437965,4.44,1691672753000,NORMAL
24.2,0,36.338214,127.437845,8.02,1691672755000,NORMAL
24.3,0,36.338385,127.437685,10.35,1691672757000,NORMAL
24.3,0,36.338566,127.437553,11.28,1691672759000,NORMAL
24.3,0,36.338760,127.437413,11.98,1691672761000,NORMAL
24.3,0,36.338956,127.437278,12.37,1691672763000,NORMAL
24.3,0,36.339050,127.437208,12.39,1691672764000,NORMAL
24.2,0,36.339274,127.437056,13.45,1691672766000,NORMAL
24.3,0,36.339515,127.436911,13.95,1691672768000,NORMAL
24.3,0,36.339750,127.436755,14.12,1691672770000,NORMAL
24.3,0,36.339845,127.436660,13.71,1691672771000,NORMAL
24.3,0,36.339948,127.436584,13.65,1691672772000,NORMAL
24.3,0,36.340145,127.436445,12.51,1691672774000,NORMAL
24.3,0,36.340218,127.436393,10.99,1691672775000,NORMAL
24.3,0,36.340284,127.436355,9.49,1691672776000,NORMAL
24.3,0,36.340350,127.436367,4.48,1691672778000,NORMAL
24.3,0,36.340387,127.436336,3.75,1691672779000,NORMAL
24.3,0,36.340418,127.436291,4.10,1691672780000,NORMAL
24.3,0,36.340449,127.436261,3.95,1691672781000,NORMAL
24.3,0,36.340473,127.436239,3.25,1691672782000,NORMAL
24.3,0,36.340502,127.436222,1.68,1691672784000,NORMAL
24.3,0,36.340509,127.436224,0.00,1691672786000,STOP
24.3,0,36.340563,127.436202,2.05,1691672863000,NORMAL
24.3,0,36.340629,127.436147,5.02,1691672865000,NORMAL
24.3,0,36.340733,127.436057,7.45,1691672867000,NORMAL
24.3,0,36.340800,127.436005,8.82,1691672868000,NORMAL
24.3,0,36.340966,127.435895,11.06,1691672870000,NORMAL
24.3,0,36.341062,127.435834,11.94,1691672871000,NORMAL
24.3,0,36.341258,127.435711,11.96,1691672873000,NORMAL
24.3,0,36.341350,127.435653,11.63,1691672874000,NORMAL
24.3,0,36.341445,127.435596,11.74,1691672875000,NORMAL
24.3,0,36.341544,127.435537,12.14,1691672876000,NORMAL
24.3,0,36.341644,127.435476,12.42,1691672877000,NORMAL
24.3,0,36.341748,127.435415,13.03,1691672878000,NORMAL
24.3,0,36.341861,127.435349,13.93,1691672879000,NORMAL
24.3,0,36.341981,127.435281,14.62,1691672880000,NORMAL
24.3,0,36.342231,127.435135,15.66,1691672882000,NORMAL
24.3,0,36.342498,127.434976,16.96,1691672884000,NORMAL
24.3,0,36.342787,127.434806,17.98,1691672886000,NORMAL
24.3,0,36.342937,127.434723,18.33,1691672887000,NORMAL
24.3,0,36.343087,127.434634,18.56,1691672888000,NORMAL
24.3,0,36.343387,127.434459,18.28,1691672890000,NORMAL
24.3,0,36.343670,127.434291,17.34,1691672892000,NORMAL
24.3,0,36.343945,127.434119,17.20,1691672894000,NORMAL
24.3,0,36.344086,127.434032,17.34,1691672895000,NORMAL
24.3,0,36.344371,127.433854,17.53,1691672897000,NORMAL
24.3,0,36.344512,127.433769,17.51,1691672898000,NORMAL
24.3,0,36.344658,127.433687,17.80,1691672899000,NORMAL
24.3,0,36.344964,127.433520,18.79,1691672901000,NORMAL
24.3,0,36.345286,127.433343,19.76,1691672903000,NORMAL
24.3,0,36.345620,127.433148,20.66,1691672905000,NORMAL
24.3,0,36.345792,127.433047,21.09,1691672906000,NORMAL
24.3,0,36.346149,127.432834,21.84,1691672908000,NORMAL
24.3,0,36.346327,127.432725,21.95,1691672909000,NORMAL
24.3,0,36.346507,127.432615,22.03,1691672910000,NORMAL
24.3,0,36.346837,127.432412,19.88,1691672912000,NORMAL
24.3,0,36.346984,127.432322,18.28,1691672913000,NORMAL
24.3,0,36.347212,127.432178,12.96,1691672915000,NORMAL
24.3,0,36.347299,127.432135,10.81,1691672916000,NORMAL
24.3,0,36.347365,127.432097,9.21,1691672917000,NORMAL
24.3,0,36.347366,127.431842,8.42,1691672919000,NORMAL
24.3,0,36.347290,127.431673,9.37,1691672921000,NORMAL
24.3,0,36.347151,127.431506,11.24,1691672923000,NORMAL
24.3,0,36.347073,127.431411,12.16,1691672924000,NORMAL
24.3,0,36.346997,127.431315,12.00,1691672925000,NORMAL
24.3,0,36.346851,127.431131,11.59,1691672927000,NORMAL
24.3,0,36.346711,127.430935,11.56,1691672929000,NORMAL
24.3,0,36.346571,127.430760,10.81,1691672931000,NORMAL
24.3,0,36.346442,127.430596,10.03,1691672933000,NORMAL
24.3,0,36.346383,127.430522,9.05,1691672934000,NORMAL
24.3,0,36.346333,127.430454,7.97,1691672935000,NORMAL
24.3,0,36.346289,127.430392,7.29,1691672936000,NORMAL
24.3,0,36.346249,127.430339,6.62,1691672937000,NORMAL
24.3,0,36.346211,127.430290,5.90,1691672938000,NORMAL
24.3,0,36.346175,127.430262,4.42,1691672939000,NORMAL
24.3,0,36.346149,127.430235,1.03,1691672941000,NORMAL
24.3,0,36.346153,127.430236,0.00,1691672943000,STOP
24.3,0,36.346139,127.430202,2.06,1691672968000,NORMAL
24.3,0,36.346119,127.430183,2.58,1691672969000,NORMAL
24.3,0,36.346094,127.430162,3.20,1691672970000,NORMAL
24.3,0,36.346064,127.430129,4.22,1691672971000,NORMAL
24.3,0,36.346029,127.430089,5.25,1691672972000,NORMAL
24.3,0,36.345941,127.429987,7.15,1691672974000,NORMAL
24.3,0,36.345886,127.429924,8.40,1691672975000,NORMAL
24.3,0,36.345770,127.429784,8.79,1691672977000,NORMAL
24.3,0,36.345718,127.429722,7.97,1691672978000,NORMAL
24.3,0,36.345640,127.429625,5.40,1691672980000,NORMAL
24.3,0,36.345608,127.429587,4.86,1691672981000,NORMAL
24.3,0,36.345581,127.429552,4.69,1691672982000,NORMAL
24.3,0,36.345513,127.429487,4.55,1691672984000,NORMAL
24.3,0,36.345431,127.429402,6.57,1691672986000,NORMAL
24.3,0,36.345314,127.429270,9.62,1691672988000,NORMAL
24.3,0,36.345160,127.429085,12.50,1691672990000,NORMAL
24.3,0,36.344963,127.428848,15.55,1691672992000,NORMAL
24.3,0,36.344853,127.428714,16.99,1691672993000,NORMAL
24.3,0,36.344616,127.428422,18.54,1691672995000,NORMAL
24.3,0,36.344383,127.428108,19.05,1691672997000,NORMAL
24.3,0,36.344265,127.427949,19.32,1691672998000,NORMAL
24.3,0,36.344028,127.427619,20.06,1691673000000,NORMAL
24.3,0,36.343815,127.427243,20.58,1691673002000,NORMAL
24.3,0,36.343724,127.427042,20.50,1691673003000,NORMAL
24.3,0,36.343557,127.426605,20.22,1691673005000,NORMAL
26.8,0,36.343267,127.425806,0.00,1691673009000,STOP
22.7,0,36.342934,127.424071,10.42,1691673020000,NORMAL
23.6,0,36.342832,127.423955,7.91,1691673022000,NORMAL
67.2,0,36.342537,127.423764,0.00,1691673029000,STOP
50.6,0,36.342747,127.423497,8.10,1691673033000,NORMAL
36.9,0,36.342893,127.423231,8.88,1691673035000,NORMAL
32.3,0,36.342954,127.423097,10.95,1691673036000,NORMAL
21.7,0,36.343096,127.422760,11.81,1691673038000,NORMAL
19.9,0,36.343249,127.422550,13.71,1691673040000,NORMAL
27.0,0,36.343418,127.422311,15.69,1691673042000,NORMAL
36.5,0,36.343602,127.422064,16.17,1691673044000,NORMAL
24.4,0,36.343789,127.421797,16.59,1691673046000,NORMAL
24.7,0,36.343986,127.421537,17.11,1691673048000,NORMAL
24.5,0,36.344176,127.421277,16.40,1691673050000,NORMAL
24.6,0,36.344265,127.421146,15.98,1691673051000,NORMAL
24.6,0,36.344435,127.420885,15.01,1691673053000,NORMAL
24.6,0,36.344520,127.420768,14.61,1691673054000,NORMAL
24.5,0,36.344689,127.420562,13.16,1691673056000,NORMAL
25.8,0,36.344770,127.420454,13.16,1691673057000,NORMAL
24.6,0,36.344914,127.420259,12.21,1691673059000,NORMAL
24.6,0,36.344976,127.420170,11.27,1691673060000,NORMAL
24.6,0,36.345042,127.420077,11.27,1691673061000,NORMAL
24.6,0,36.345103,127.419991,10.81,1691673062000,NORMAL
24.5,0,36.345162,127.419907,10.48,1691673063000,NORMAL
24.3,0,36.345291,127.419745,8.85,1691673065000,NORMAL
24.3,0,36.345362,127.419644,6.48,1691673067000,NORMAL
24.3,0,36.345387,127.419611,5.04,1691673068000,NORMAL
24.3,0,36.345375,127.419632,2.00,1691673069000,RAPID1
