accuracy,id,lat,lng,speed,time,type
15.299,1,36.4385365,127.4118952,0.31824508,1691628627223,START
12.266,2,36.4385263,127.4118809,0.622947,1691628629232,NORMAL
11.822,3,36.4385202,127.4118734,0.76989996,1691628630278,NORMAL
10.161,4,36.4385023,127.4118605,1.0678715,1691628632298,NORMAL
9.327,5,36.4384944,127.4118622,0.9136786,1691628633306,NORMAL
8.882,6,36.4384731,127.411869,1.1529256,1691628635279,NORMAL
9.26,7,36.4384518,127.411876,1.8630469,1691628636333,NORMAL
9.08,8,36.4384062,127.4119012,2.661221,1691628638296,NORMAL
9.26,9,36.4383794,127.4119203,2.997209,1691628639293,NORMAL
9.2,10,36.4383299,127.411983,3.475165,1691628641293,NORMAL
9.4,11,36.4383011,127.4120198,3.7398498,1691628642327,NORMAL
9.2,12,36.4382308,127.4120908,4.3430023,1691628644286,NORMAL
9.771,13,36.4381953,127.4121255,4.523317,1691628645282,NORMAL
10.861,14,36.4380802,127.4122495,7.5919666,1691628647331,NORMAL
10.861,15,36.4380148,127.4123186,7.469901,1691628648306,NORMAL
10.194,16,36.4378907,127.4124642,8.4992285,1691628650301,NORMAL
8.0,17,36.4378297,127.4125331,8.376067,1691628651313,NORMAL
8.0,18,36.4377147,127.4126676,8.4866295,1691628653296,NORMAL
8.0,19,36.4376541,127.4127416,8.596092,1691628654320,NORMAL
8.0,20,36.4375295,127.4128922,9.129745,1691628656268,NORMAL
8.0,21,36.4374628,127.4129708,8.762911,1691628657293,NORMAL
8.0,22,36.4373355,127.4131217,8.596771,1691628659332,NORMAL
8.0,23,36.4372751,127.4131918,8.508526,1691628660324,NORMAL
7.6,24,36.4371574,127.4133287,7.8534017,1691628662294,NORMAL
7.2,25,36.4371029,127.4133903,7.9926715,1691628663294,NORMAL
6.4,26,36.4369894,127.4135222,8.475388,1691628665326,NORMAL
6.0,27,36.4369313,127.4135913,8.7695055,1691628666325,NORMAL
6.0,28,36.4368155,127.4137234,8.242331,1691628668303,NORMAL
6.0,29,36.4367587,127.4137871,7.9877033,1691628669330,NORMAL
6.0,30,36.436656,127.413885,6.823353,1691628671325,NORMAL
6.0,31,36.4366017,127.4139116,6.4084663,1691628672312,NORMAL
6.0,32,36.4364935,127.4139409,5.7630076,1691628674294,NORMAL
6.0,33,36.4364425,127.4139449,6.007019,1691628675291,NORMAL
6.0,34,36.4363481,127.4138863,5.6940947,1691628677296,NORMAL
6.0,35,36.43631,127.4138299,6.0657687,1691628678279,NORMAL
6.8,36,36.436224,127.413715,6.9142456,1691628680318,NORMAL
7.2,37,36.4361766,127.4136518,7.3521442,1691628681319,NORMAL
8.0,38,36.4360782,127.4135094,8.37784,1691628683290,NORMAL
8.0,39,36.4360222,127.413429,8.823751,1691628684317,NORMAL
8.0,40,36.4359122,127.4132674,9.05449,1691628686335,NORMAL
8.0,41,36.4358588,127.4131879,9.054138,1691628687340,NORMAL
7.2,42,36.4357497,127.413022,9.696054,1691628689327,NORMAL
6.8,43,36.4356921,127.4129396,9.617065,1691628690319,NORMAL
6.333,44,36.4355733,127.4127736,9.724575,1691628692331,NORMAL
6.0,45,36.4355133,127.4126914,9.906592,1691628693311,NORMAL
6.0,46,36.4353905,127.4125241,9.9956,1691628695326,NORMAL
6.4,47,36.4353291,127.4124397,10.172588,1691628696326,NORMAL
6.4,48,36.4352038,127.4122606,10.510785,1691628698326,NORMAL
6.333,49,36.4351423,127.4121744,10.386722,1691628699289,NORMAL
6.0,50,36.4350128,127.4119953,10.799835,1691628701301,NORMAL
5.666,51,36.4349461,127.4119052,10.915286,1691628702296,NORMAL
6.4,52,36.4348129,127.4117245,10.971985,1691628704302,NORMAL
6.4,53,36.4347463,127.4116313,10.943799,1691628705334,NORMAL
6.4,54,36.4346143,127.4114508,10.919316,1691628707329,NORMAL
5.6,55,36.4345485,127.411361,10.895131,1691628708327,NORMAL
4.666,56,36.4344161,127.4111801,10.999624,1691628710304,NORMAL
4.333,57,36.4343485,127.4110899,11.080639,1691628711308,NORMAL
4.0,58,36.4342182,127.4109154,10.593478,1691628713298,NORMAL
4.0,59,36.4341531,127.41083,10.199593,1691628714325,NORMAL
4.0,60,36.4340321,127.4106683,9.810486,1691628716318,NORMAL
4.0,61,36.4339738,127.410589,9.726938,1691628717287,NORMAL
4.333,62,36.4338697,127.4104388,8.37715,1691628719305,NORMAL
4.333,63,36.4338287,127.4103783,7.1891894,1691628720293,NORMAL
5.2,64,36.4337595,127.41028,5.619095,1691628722319,NORMAL
5.6,65,36.4337324,127.410241,4.6107297,1691628723332,NORMAL
6.0,66,36.4336899,127.4101826,3.2695315,1691628725295,NORMAL
6.0,67,36.4336723,127.4101581,2.8816676,1691628726309,NORMAL
5.666,68,36.4336367,127.4101102,2.407232,1691628728314,NORMAL
6.0,69,36.4336242,127.4100926,2.02797,1691628729312,NORMAL
8.577,70,36.4335974,127.4100559,2.7737741,1691628731325,NORMAL
8.577,71,36.4335778,127.4100272,3.5481157,1691628732313,NORMAL
8.209,72,36.4335319,127.4099637,4.667603,1691628734319,NORMAL
7.923,73,36.4334946,127.409912,5.397234,1691628735333,NORMAL
6.0,74,36.4334182,127.4098129,5.737881,1691628737317,NORMAL
5.666,75,36.4333816,127.4097659,5.7291293,1691628738322,NORMAL
4.8,76,36.4333101,127.4096681,6.0049543,1691628740343,NORMAL
4.8,77,36.4332728,127.4096175,6.3559256,1691628741307,NORMAL
5.2,78,36.4332044,127.4095205,6.692742,1691628743325,NORMAL
5.6,79,36.4331619,127.4094651,6.5962086,1691628744318,NORMAL
6.0,80,36.4330758,127.4093503,7.0106015,1691628746320,NORMAL
6.0,81,36.4330316,127.4092913,7.159163,1691628747318,NORMAL
6.0,82,36.4329401,127.4091698,7.4221916,1691628749307,NORMAL
6.0,83,36.4328929,127.4091057,7.8301997,1691628750324,NORMAL
6.0,84,36.432794,127.4089723,8.137508,1691628752305,NORMAL
6.0,85,36.4327416,127.4089031,8.278903,1691628753336,NORMAL
6.0,86,36.4326386,127.4087637,8.289983,1691628755319,NORMAL
6.0,87,36.4325874,127.4086931,8.534844,1691628756341,NORMAL
5.333,88,36.4324821,127.4085524,8.732157,1691628758316,NORMAL
5.333,89,36.4324283,127.4084824,8.710918,1691628759316,NORMAL
5.333,90,36.4323213,127.4083407,8.740851,1691628761308,NORMAL
5.6,91,36.4322684,127.4082688,8.576481,1691628762298,NORMAL
6.0,92,36.4321587,127.408123,8.921262,1691628764319,NORMAL
6.0,93,36.4321033,127.4080494,9.004081,1691628765321,NORMAL
6.0,94,36.4319883,127.4078983,9.43142,1691628767316,NORMAL
6.0,95,36.4319286,127.4078202,9.5775175,1691628768330,NORMAL
6.0,96,36.4318095,127.4076647,9.471072,1691628770309,NORMAL
6.0,97,36.4317528,127.4075893,9.113186,1691628771324,NORMAL
6.0,98,36.4316491,127.4074442,8.422701,1691628773329,NORMAL
6.0,99,36.4316058,127.4073816,7.3686256,1691628774286,NORMAL
5.2,100,36.4315422,127.4072567,6.5431576,1691628776341,NORMAL
5.0,101,36.4315152,127.4072014,4.770966,1691628777306,NORMAL
4.8,102,36.4314688,127.4071378,3.2711546,1691628779335,NORMAL
5.0,103,36.4314539,127.4071194,2.5004363,1691628780306,NORMAL
5.333,104,36.4314434,127.4071054,1.2027865E-4,1691628782279,NORMAL
6.0,105,36.4314451,127.4071076,3.2193407E-7,1691628783271,NORMAL
8.833,106,36.4314467,127.4071096,5.7312616E-7,1691628785340,NORMAL
9.167,107,36.4314419,127.4071159,0.7831894,1691628786328,NORMAL
9.5,108,36.4314413,127.4071272,0.89842355,1691628788329,NORMAL
9.5,109,36.4314479,127.4071388,1.2168424,1691628789312,NORMAL
9.297,110,36.4314607,127.4071626,0.86788726,1691628791296,NORMAL
9.297,111,36.4314649,127.4071691,0.85851103,1691628792298,NORMAL
9.846,112,36.4314706,127.4071741,0.97507656,1691628794316,NORMAL
9.604,113,36.4314796,127.4071828,1.027068,1691628795329,NORMAL
8.937,114,36.4314873,127.4071909,2.357682E-5,1691628797329,NORMAL
8.604,115,36.4314859,127.4071889,1.11701E-8,1691628798319,NORMAL
8.507,116,36.4314853,127.4071879,7.592044E-8,1691628800337,NORMAL
8.435,117,36.4314852,127.4071878,4.488234E-12,1691628801320,NORMAL
8.841,118,36.4314851,127.4071877,6.3204097E-13,1691628803328,NORMAL
8.507,119,36.4314851,127.4071877,1.3631606E-13,1691628804314,NORMAL
7.357,120,36.4314851,127.4071877,8.8157275E-15,1691628806329,NORMAL
7.357,121,36.4314851,127.4071877,6.914088E-14,1691628807316,NORMAL
7.163,122,36.4314851,127.4071877,1.6081822E-14,1691628809315,NORMAL
7.953,123,36.4314851,127.4071877,9.583456E-12,1691628810313,NORMAL
8.239,124,36.4314851,127.4071877,1.3556184E-14,1691628812269,NORMAL
8.239,125,36.4314851,127.4071877,8.5774664E-15,1691628813311,NORMAL
6.895,126,36.4314851,127.4071877,8.282583E-13,1691628815286,NORMAL
7.377,127,36.4314851,127.4071877,1.7537389E-15,1691628816296,NORMAL
6.645,128,36.4314858,127.4072057,0.045004833,1691628818298,NORMAL
6.27,129,36.4314867,127.4072101,0.008288756,1691628819288,NORMAL
6.407,130,36.4314895,127.4072161,0.01386706,1691628821302,NORMAL
6.291,131,36.4314901,127.4072172,0.0017724014,1691628822367,NORMAL
6.291,132,36.4314927,127.4072219,0.033533048,1691628824297,NORMAL
5.761,133,36.4314954,127.4072239,0.0049447515,1691628825272,NORMAL
5.761,134,36.4315008,127.4072298,0.002359404,1691628829274,NORMAL
6.355,135,36.4315008,127.4072298,0.0023594112,1691628830192,NORMAL
6.004,136,36.4315017,127.4072307,0.018932255,1691628831261,NORMAL
6.147,137,36.4315024,127.4072318,0.010749252,1691628833214,NORMAL
6.161,138,36.4315025,127.407232,0.019867655,1691628834229,NORMAL
6.6,139,36.4315027,127.4072329,0.038462374,1691628836218,NORMAL
7.216,140,36.4315031,127.4072335,0.029820386,1691628837240,NORMAL
7.216,141,36.4315044,127.4072347,0.020721192,1691628839234,NORMAL
7.273,142,36.4315046,127.4072349,0.020720907,1691628840216,NORMAL
7.377,143,36.431506,127.4072358,0.005589971,1691628842217,NORMAL
7.662,144,36.4315062,127.407236,0.016725369,1691628843223,NORMAL
10.981,145,36.4315065,127.4072364,0.0379543,1691628845185,NORMAL
8.747,146,36.4315064,127.4072374,0.05699758,1691628846222,NORMAL
9.204,147,36.4315074,127.4072395,0.07241889,1691628848232,NORMAL
9.204,148,36.4315081,127.4072405,0.07417016,1691628849243,NORMAL
9.374,149,36.4315097,127.4072425,0.047290128,1691628851234,NORMAL
8.892,150,36.4315104,127.4072436,0.0488969,1691628852214,NORMAL
8.892,151,36.4315113,127.4072449,0.011699884,1691628854215,NORMAL
8.892,152,36.4315114,127.4072453,0.030015366,1691628855232,NORMAL
6.338,153,36.4315122,127.4072465,0.041689306,1691628857218,NORMAL
6.338,154,36.4315126,127.4072472,0.06801684,1691628858242,NORMAL
