accuracy,id,lat,lng,speed,time,type
8.314,1,36.5616912,127.2842835,1.0879185E-16,1691903631821,START
8.314,2,36.5616912,127.2842835,1.0879185E-16,1691903633817,NORMAL
8.314,3,36.5616912,127.2842835,1.0879185E-16,1691903634823,NORMAL
8.568,4,36.5616912,127.2842835,1.0879185E-16,1691903636822,NORMAL
8.486,5,36.5616912,127.2842835,1.0879185E-16,1691903637816,NORMAL
8.201,6,36.5616912,127.2842835,1.0879185E-16,1691903639820,NORMAL
7.915,7,36.5616912,127.2842835,1.0879185E-16,1691903640815,NORMAL
7.122,8,36.5616912,127.2842835,1.0879185E-16,1691903642817,NORMAL
6.961,9,36.5616912,127.2842835,1.0879185E-16,1691903643819,NORMAL
6.788,10,36.5616912,127.2842835,1.0879185E-16,1691903645819,NORMAL
6.741,11,36.5616912,127.2842835,1.0879185E-16,1691903646822,NORMAL
6.741,12,36.5616807,127.284293,0.6662045,1691903648818,NORMAL
6.741,13,36.5616669,127.2842893,1.3933352,1691903649811,NORMAL
7.921,14,36.561628,127.2842647,2.4095645,1691903651829,NORMAL
7.494,15,36.5616061,127.2842478,2.7956111,1691903652817,NORMAL
7.222,16,36.5615536,127.2842029,3.2681103,1691903654810,NORMAL
7.345,17,36.5615264,127.284176,3.4046867,1691903655815,NORMAL
7.476,18,36.561474,127.2841245,3.5571,1691903657824,NORMAL
7.23,19,36.5614498,127.2841029,3.7013862,1691903658819,NORMAL
7.342,20,36.5613969,127.2840563,4.0220423,1691903660826,NORMAL
6.0,21,36.5613574,127.2840229,4.2515206,1691903661820,NORMAL
6.0,22,36.5612871,127.2839741,4.144624,1691903663815,NORMAL
6.0,23,36.5612595,127.2839597,3.881558,1691903664814,NORMAL
6.0,24,36.5611876,127.2839391,3.3939648,1691903666819,NORMAL
6.0,25,36.561155,127.2839335,3.1623871,1691903667818,NORMAL
6.0,26,36.5611082,127.283906,3.747202,1691903669819,NORMAL
6.0,27,36.5610734,127.2838766,3.8487039,1691903670815,NORMAL
6.0,28,36.5610215,127.28383,2.7780414,1691903672819,NORMAL
6.0,29,36.5610059,127.2838155,1.9293115,1691903673818,NORMAL
6.0,30,36.5609972,127.2838081,6.321724E-5,1691903675820,NORMAL
6.0,31,36.5609998,127.2838105,2.828458E-9,1691903676820,NORMAL
6.738,32,36.5610012,127.2838118,3.3023576E-7,1691903678823,NORMAL
6.347,33,36.5610013,127.2838119,6.883645E-11,1691903679815,NORMAL
5.775,34,36.5609956,127.2838092,0.46357042,1691903681817,NORMAL
5.404,35,36.5609878,127.283803,1.011843,1691903682838,NORMAL
7.018,36,36.5609526,127.28377,3.462627,1691903684816,NORMAL
7.351,37,36.5609153,127.2837368,5.3125944,1691903685818,NORMAL
7.444,38,36.5608023,127.2836293,8.701299,1691903687827,NORMAL
8.018,39,36.5607356,127.2835524,10.087004,1691903688823,NORMAL
6.0,40,36.5605817,127.2833627,12.51534,1691903690839,NORMAL
5.6,41,36.5604953,127.2832567,13.316599,1691903691827,NORMAL
5.0,42,36.5603143,127.2830324,14.405981,1691903693818,NORMAL
4.666,43,36.56022,127.2829121,15.0023575,1691903694824,NORMAL
4.0,44,36.5600206,127.2826617,15.827552,1691903696818,NORMAL
4.0,45,36.5599178,127.2825376,15.809017,1691903697816,NORMAL
4.0,46,36.5597113,127.2822968,15.525109,1691903699823,NORMAL
4.0,47,36.5596084,127.2821808,15.484183,1691903700823,NORMAL
4.0,48,36.5593979,127.2819484,15.826692,1691903702824,NORMAL
4.0,49,36.5592883,127.2818317,15.957423,1691903703818,NORMAL
4.666,50,36.55906,127.2816059,16.306,1691903705818,NORMAL
5.0,51,36.5589367,127.2815001,16.571102,1691903706822,NORMAL
5.333,52,36.5586648,127.2813252,17.154459,1691903708815,NORMAL
5.666,53,36.5585245,127.2812391,17.240438,1691903709819,NORMAL
5.6,54,36.5582521,127.2810443,17.502512,1691903711832,NORMAL
5.666,55,36.5581169,127.2809418,17.639322,1691903712828,NORMAL
5.666,56,36.5578382,127.2807514,17.55411,1691903714816,NORMAL
5.333,57,36.5576965,127.2806627,17.587376,1691903715816,NORMAL
4.666,58,36.5574095,127.2804884,17.719187,1691903717824,NORMAL
4.666,59,36.5572661,127.2804052,17.563765,1691903718817,NORMAL
5.2,60,36.5569813,127.2802464,17.24167,1691903720819,NORMAL
5.333,61,36.5568405,127.2801714,17.02422,1691903721813,NORMAL
6.0,62,36.5565644,127.2800247,16.418488,1691903723827,NORMAL
6.0,63,36.5564305,127.2799558,16.316288,1691903724816,NORMAL
5.6,64,36.5561622,127.279811,16.35576,1691903726819,NORMAL
6.0,65,36.556027,127.2797398,16.20369,1691903727821,NORMAL
6.4,66,36.5557602,127.2795914,16.359486,1691903729817,NORMAL
6.333,67,36.5556256,127.2795155,16.527023,1691903730819,NORMAL
6.4,68,36.5553533,127.2793615,16.476173,1691903732827,NORMAL
6.333,69,36.5552186,127.2792837,16.40059,1691903733818,NORMAL
6.0,70,36.5549519,127.2791317,16.21082,1691903735817,NORMAL
6.0,71,36.5548211,127.2790528,16.117702,1691903736813,NORMAL
5.6,72,36.5545645,127.2788961,15.781502,1691903738831,NORMAL
5.666,73,36.5544389,127.2788258,15.394048,1691903739814,NORMAL
5.6,74,36.5541975,127.2786944,14.264195,1691903741817,NORMAL
5.333,75,36.5540858,127.2786309,13.551376,1691903742817,NORMAL
5.0,76,36.5538878,127.2785011,12.068739,1691903744812,NORMAL
4.666,77,36.5537993,127.2784343,11.397644,1691903745821,NORMAL
4.8,78,36.5536495,127.278309,9.251036,1691903747819,NORMAL
5.0,79,36.5535891,127.2782593,7.925873,1691903748817,NORMAL
5.333,80,36.5534917,127.2781921,5.865654,1691903750815,NORMAL
5.333,81,36.5534495,127.278167,5.323408,1691903751814,NORMAL
4.333,82,36.5533884,127.2781328,2.9316797,1691903753817,NORMAL
4.0,83,36.5533704,127.2781225,2.2358577,1691903754826,NORMAL
3.983,84,36.5533484,127.2781101,0.77667737,1691903756816,NORMAL
3.985,85,36.5533484,127.27811,0.04724218,1691903757817,NORMAL
5.195,86,36.5533511,127.2781115,0.02779841,1691903759821,NORMAL
5.195,87,36.5533512,127.2781116,0.022947624,1691903760816,NORMAL
5.21,88,36.5533513,127.2781117,0.022728216,1691903762816,NORMAL
5.21,89,36.5533513,127.2781117,0.0019416623,1691903763816,NORMAL
5.492,90,36.5533514,127.2781117,0.009190492,1691903765817,NORMAL
5.265,91,36.5533514,127.2781117,0.010599114,1691903766809,NORMAL
5.809,92,36.5533513,127.2781117,0.002114741,1691903768818,NORMAL
5.593,93,36.5533514,127.2781117,0.021359283,1691903769827,NORMAL
5.892,94,36.5533513,127.2781116,0.008157738,1691903771827,NORMAL
5.621,95,36.5533513,127.2781117,0.012059284,1691903772826,NORMAL
4.0,96,36.5533513,127.2781117,0.013078804,1691903774821,NORMAL
4.0,97,36.5533513,127.2781117,0.011311886,1691903775819,NORMAL
3.971,98,36.5533514,127.2781117,0.01446943,1691903777819,NORMAL
3.966,99,36.5533513,127.2781117,0.018679395,1691903778825,NORMAL
5.74,100,36.5533514,127.2781117,0.01585425,1691903780825,NORMAL
5.491,101,36.5533513,127.2781117,0.005540551,1691903781815,NORMAL
5.52,102,36.5533514,127.2781117,0.0304719,1691903783812,NORMAL
5.544,103,36.5533513,127.2781117,0.015214453,1691903784835,NORMAL
5.802,104,36.5533513,127.2781117,0.012529499,1691903786816,NORMAL
6.469,105,36.5533513,127.2781117,3.2707777E-7,1691903787820,NORMAL
7.575,106,36.5533514,127.2781117,1.4879989E-8,1691903789824,NORMAL
7.861,107,36.5533514,127.2781117,0.042085014,1691903790815,NORMAL
8.433,108,36.5533513,127.2781117,0.0064033056,1691903792815,NORMAL
7.861,109,36.5533514,127.2781117,0.011694362,1691903793818,NORMAL
6.709,110,36.5533513,127.2781116,0.03678979,1691903795817,NORMAL
6.322,111,36.5533513,127.2781116,0.025680328,1691903796817,NORMAL
5.751,112,36.5533513,127.2781117,0.04532927,1691903798818,NORMAL
5.783,113,36.5533513,127.2781116,0.008304802,1691903799820,NORMAL
5.783,114,36.5533344,127.2781066,0.38859543,1691903801812,NORMAL
5.783,115,36.5533264,127.2781027,0.46511486,1691903802811,NORMAL
5.871,116,36.5533201,127.2780985,0.28214806,1691903804819,NORMAL
6.183,117,36.5533197,127.2780982,0.014554704,1691903805816,NORMAL
6.0,118,36.5533203,127.2780985,0.059381835,1691903807819,NORMAL
5.714,119,36.5533201,127.278098,0.29734746,1691903808820,NORMAL
6.058,120,36.5533142,127.2780945,0.59120345,1691903810821,NORMAL
5.764,121,36.5533069,127.2780908,0.9690151,1691903811811,NORMAL
6.208,122,36.5532687,127.2780708,3.244075,1691903813822,NORMAL
5.82,123,36.5532329,127.2780514,4.3629327,1691903814819,NORMAL
5.442,124,36.5531426,127.2780006,6.7304497,1691903816819,NORMAL
5.282,125,36.5530743,127.2779611,7.4209194,1691903817816,NORMAL
3.725,126,36.55295,127.2778885,7.4971657,1691903819814,NORMAL
3.983,127,36.552883,127.2778487,8.401505,1691903820820,NORMAL
4.0,128,36.5527255,127.2777545,9.873158,1691903822826,NORMAL
4.0,129,36.5526422,127.2777038,10.191402,1691903823817,NORMAL
4.0,130,36.5524613,127.277594,11.835548,1691903825832,NORMAL
4.0,131,36.5523591,127.2775329,12.869683,1691903826817,NORMAL
4.0,132,36.5521409,127.2774011,13.212323,1691903828818,NORMAL
4.0,133,36.5520389,127.2773363,12.629674,1691903829824,NORMAL
4.0,134,36.5518563,127.2772162,11.438451,1691903831822,NORMAL
4.0,135,36.5517675,127.277159,11.412838,1691903832816,NORMAL
4.0,136,36.5515852,127.2770415,11.202402,1691903834817,NORMAL
4.0,137,36.5514979,127.2769848,11.21231,1691903835816,NORMAL
4.8,138,36.5513249,127.2768693,11.0485935,1691903837822,NORMAL
5.0,139,36.5512373,127.2768096,11.1365185,1691903838820,NORMAL
