accuracy,id,lat,lng,speed,time,type
11.333,1,36.6030716,127.5131169,6.934433,1692258608031,START
11.366,2,36.6030915,127.5129649,7.446716,1692258610032,NORMAL
11.383,3,36.6030716,127.5128736,8.056154,1692258611031,NORMAL
11.4,4,36.6029825,127.512678,9.920637,1692258613031,NORMAL
11.4,5,36.6029276,127.5125683,10.776842,1692258614031,NORMAL
11.4,6,36.6028142,127.5123401,11.474031,1692258616032,NORMAL
11.4,7,36.6027558,127.5122244,11.492914,1692258617031,NORMAL
11.4,8,36.6026451,127.5119926,11.970301,1692258619031,NORMAL
11.4,9,36.6025884,127.5118737,12.003042,1692258620031,NORMAL
11.4,10,36.6024788,127.5116363,11.716398,1692258622032,NORMAL
11.4,11,36.6024295,127.5115162,11.528791,1692258623031,NORMAL
11.4,12,36.6023355,127.511281,11.823218,1692258625032,NORMAL
11.4,13,36.6022897,127.5111624,11.830191,1692258626032,NORMAL
11.4,14,36.6021958,127.510931,11.209981,1692258628031,NORMAL
11.4,15,36.6021516,127.510819,10.851031,1692258629032,NORMAL
11.4,16,36.6020776,127.5105938,11.594032,1692258631032,NORMAL
11.4,17,36.6020396,127.5104721,11.5889,1692258632032,NORMAL
11.4,18,36.6019675,127.5102295,11.405954,1692258634031,NORMAL
11.4,19,36.6019328,127.5101103,11.383791,1692258635032,NORMAL
11.4,20,36.6018881,127.5098672,10.994987,1692258637031,NORMAL
11.4,21,36.6018764,127.5097457,10.969502,1692258638031,NORMAL
11.366,22,36.601847,127.5095112,10.944754,1692258640031,NORMAL
11.35,23,36.6018324,127.509395,10.739819,1692258641032,NORMAL
11.333,24,36.6018154,127.509168,10.440044,1692258643032,NORMAL
11.333,25,36.6018133,127.5090533,10.688381,1692258644032,NORMAL
11.366,26,36.6018168,127.5088181,10.442638,1692258646032,NORMAL
11.383,27,36.6018221,127.5087049,10.134421,1692258647032,NORMAL
11.4,28,36.6018415,127.5084881,9.677551,1692258649031,NORMAL
11.4,29,36.6018522,127.5083852,9.126549,1692258650031,NORMAL
11.4,30,36.6018823,127.508212,7.6599727,1692258652031,NORMAL
11.4,31,36.6018993,127.5081396,6.750048,1692258653031,NORMAL
11.4,32,36.6019328,127.5080219,4.9174075,1692258655032,NORMAL
11.4,33,36.6019485,127.5079795,3.9016116,1692258656031,NORMAL
11.4,34,36.6019736,127.5079328,1.511428,1692258658031,NORMAL
