accuracy,id,lat,lng,speed,time,type
63.7,0,36.425253,127.412739,20.92,1692234645000,START
42.1,0,36.425383,127.412573,21.51,1692234646000,NORMAL
35.9,0,36.425641,127.412207,22.16,1692234648000,NORMAL
38.4,0,36.425763,127.411994,22.59,1692234649000,NORMAL
41.2,0,36.426276,127.411202,23.53,1692234653000,NORMAL
34.1,0,36.426410,127.411003,23.73,1692234654000,NORMAL
32.3,0,36.426539,127.410799,24.23,1692234655000,NORMAL
30.1,0,36.426777,127.410348,24.02,1692234657000,NORMAL
28.8,0,36.426895,127.410125,23.70,1692234658000,NORMAL
27.7,0,36.427023,127.409909,23.89,1692234659000,NORMAL
26.8,0,36.427154,127.409688,23.89,1692234660000,NORMAL
24.3,0,36.427275,127.409472,23.89,1692234661000,NORMAL
23.5,0,36.427522,127.409049,23.25,1692234663000,NORMAL
23.0,0,36.427639,127.408838,23.64,1692234664000,NORMAL
22.6,0,36.427772,127.408635,23.64,1692234665000,NORMAL
22.2,0,36.427916,127.408424,23.64,1692234666000,NORMAL
21.6,0,36.428183,127.408029,22.36,1692234668000,NORMAL
21.2,0,36.428312,127.407840,22.36,1692234669000,NORMAL
20.1,0,36.428579,127.407483,22.08,1692234671000,NORMAL
19.2,0,36.428851,127.407131,22.03,1692234673000,NORMAL
18.9,0,36.428995,127.406965,22.13,1692234674000,NORMAL
20.0,0,36.429269,127.406619,21.90,1692234676000,NORMAL
17.9,0,36.429557,127.406298,21.32,1692234678000,NORMAL
15.1,0,36.429843,127.405985,21.29,1692234680000,NORMAL
16.0,0,36.430131,127.405687,21.24,1692234682000,NORMAL
15.8,0,36.430273,127.405531,20.82,1692234683000,NORMAL
15.7,0,36.430570,127.405246,20.79,1692234685000,NORMAL
15.7,0,36.430832,127.404950,20.23,1692234687000,NORMAL
15.8,0,36.430963,127.404796,20.09,1692234688000,NORMAL
15.9,0,36.431092,127.404642,20.32,1692234689000,NORMAL
16.0,0,36.431378,127.404358,20.53,1692234691000,NORMAL
16.1,0,36.431635,127.404017,21.41,1692234693000,NORMAL
16.2,0,36.431947,127.403712,21.91,1692234695000,NORMAL
16.2,0,36.432233,127.403391,21.77,1692234697000,NORMAL
16.6,0,36.432516,127.403067,21.89,1692234699000,NORMAL
16.4,0,36.432807,127.402725,21.89,1692234701000,NORMAL
16.3,0,36.432960,127.402570,21.88,1692234702000,NORMAL
16.3,0,36.433100,127.402399,21.83,1692234703000,NORMAL
20.6,0,36.433400,127.402092,22.27,1692234705000,NORMAL
16.4,0,36.433711,127.401761,22.79,1692234707000,NORMAL
16.4,0,36.433863,127.401590,23.29,1692234708000,NORMAL
14.4,0,36.434165,127.401248,23.28,1692234710000,NORMAL
14.4,0,36.434327,127.401082,23.28,1692234711000,NORMAL
14.5,0,36.434646,127.400723,23.32,1692234713000,NORMAL
14.9,0,36.434951,127.400334,23.39,1692234715000,NORMAL
39.4,0,36.435103,127.400148,23.39,1692234716000,NORMAL
14.6,0,36.435392,127.399760,23.21,1692234718000,NORMAL
14.5,0,36.435533,127.399575,23.21,1692234719000,NORMAL
14.5,0,36.435674,127.399385,23.15,1692234720000,NORMAL
14.3,0,36.435952,127.399004,23.08,1692234722000,NORMAL
14.2,0,36.436225,127.398619,22.75,1692234724000,NORMAL
14.3,0,36.436493,127.398239,22.90,1692234726000,NORMAL
14.2,0,36.436636,127.398047,23.00,1692234727000,NORMAL
14.1,0,36.436776,127.397847,23.48,1692234728000,NORMAL
14.3,0,36.437063,127.397444,23.48,1692234730000,NORMAL
14.2,0,36.437201,127.397254,23.16,1692234731000,NORMAL
14.1,0,36.437332,127.397089,22.18,1692234732000,NORMAL
14.1,0,36.437587,127.396744,21.19,1692234734000,NORMAL
14.4,0,36.437839,127.396398,20.85,1692234736000,NORMAL
14.4,0,36.437957,127.396210,20.85,1692234737000,NORMAL
15.3,0,36.438169,127.395828,20.88,1692234739000,NORMAL
15.1,0,36.438273,127.395639,20.88,1692234740000,NORMAL
17.0,0,36.438469,127.395225,21.31,1692234742000,NORMAL
16.2,0,36.438568,127.395012,21.36,1692234743000,NORMAL
15.2,0,36.438777,127.394602,21.36,1692234745000,NORMAL
14.9,0,36.438875,127.394406,21.14,1692234746000,NORMAL
14.5,0,36.439104,127.394038,21.50,1692234748000,NORMAL
14.4,0,36.439229,127.393864,21.77,1692234749000,NORMAL
14.9,0,36.439364,127.393683,21.77,1692234750000,NORMAL
14.8,0,36.439502,127.393497,22.20,1692234751000,NORMAL
14.4,0,36.439808,127.393156,23.20,1692234753000,NORMAL
14.5,0,36.440147,127.392825,23.52,1692234755000,NORMAL
14.2,0,36.440485,127.392508,23.55,1692234757000,NORMAL
14.0,0,36.440827,127.392191,24.16,1692234759000,NORMAL
14.0,0,36.441001,127.392024,24.16,1692234760000,NORMAL
13.9,0,36.441359,127.391684,24.90,1692234762000,NORMAL
13.9,0,36.441535,127.391515,24.24,1692234763000,NORMAL
13.9,0,36.441707,127.391342,24.49,1692234764000,NORMAL
13.9,0,36.441875,127.391176,24.49,1692234765000,NORMAL
13.9,0,36.442047,127.390985,25.27,1692234766000,NORMAL
14.0,0,36.442385,127.390584,24.66,1692234768000,NORMAL
14.1,0,36.442684,127.390171,24.19,1692234770000,NORMAL
14.1,0,36.442818,127.389967,24.06,1692234771000,NORMAL
14.0,0,36.443082,127.389541,23.18,1692234773000,NORMAL
13.9,0,36.443202,127.389317,23.41,1692234774000,NORMAL
13.9,0,36.443303,127.389089,23.41,1692234775000,NORMAL
14.0,0,36.443486,127.388614,23.50,1692234777000,NORMAL
14.0,0,36.443632,127.388116,23.36,1692234779000,NORMAL
14.0,0,36.443696,127.387868,23.15,1692234780000,NORMAL
14.0,0,36.443799,127.387373,23.09,1692234782000,NORMAL
16.0,0,36.443838,127.387124,22.92,1692234783000,NORMAL
15.4,0,36.443872,127.386874,22.94,1692234784000,NORMAL
14.6,0,36.443924,127.386372,22.59,1692234786000,NORMAL
14.4,0,36.443942,127.386121,22.59,1692234787000,NORMAL
14.2,0,36.443949,127.385622,22.59,1692234789000,NORMAL
14.1,0,36.443962,127.385148,21.77,1692234791000,NORMAL
14.0,0,36.443964,127.384900,21.90,1692234792000,NORMAL
13.9,0,36.443962,127.384381,22.91,1692234794000,NORMAL
13.8,0,36.443964,127.383875,22.69,1692234796000,NORMAL
13.8,0,36.443964,127.383363,23.52,1692234798000,NORMAL
15.3,0,36.443957,127.382851,23.32,1692234800000,NORMAL
15.2,0,36.443962,127.382339,23.27,1692234802000,NORMAL
14.9,0,36.443975,127.382079,23.47,1692234803000,NORMAL
14.5,0,36.443995,127.381546,23.51,1692234805000,NORMAL
14.3,0,36.444013,127.381024,23.67,1692234807000,NORMAL
14.6,0,36.444033,127.380774,23.95,1692234808000,NORMAL
14.4,0,36.444087,127.380248,24.05,1692234810000,NORMAL
14.4,0,36.444112,127.379978,24.05,1692234811000,NORMAL
14.5,0,36.444176,127.379447,23.94,1692234813000,NORMAL
14.6,0,36.444212,127.379179,23.94,1692234814000,NORMAL
17.8,0,36.444255,127.378926,23.94,1692234815000,NORMAL
28.4,0,36.444305,127.378662,24.20,1692234816000,NORMAL
56.9,0,36.444424,127.378126,0.00,1692234818000,STOP
74.7,0,36.451869,127.370118,18.42,1692234879000,NORMAL
61.2,0,36.452195,127.370028,19.53,1692234881000,NORMAL
52.8,0,36.452549,127.369996,20.61,1692234883000,NORMAL
49.9,0,36.452736,127.369983,20.61,1692234884000,NORMAL
45.9,0,36.453111,127.369963,21.29,1692234886000,NORMAL
43.7,0,36.453511,127.369986,22.26,1692234888000,NORMAL
42.4,0,36.453912,127.370024,22.34,1692234890000,NORMAL
42.0,0,36.454118,127.370050,22.46,1692234891000,NORMAL
41.7,0,36.454317,127.370080,22.69,1692234892000,NORMAL
41.2,0,36.454525,127.370117,22.78,1692234893000,NORMAL
40.3,0,36.454929,127.370183,22.91,1692234895000,NORMAL
39.6,0,36.455340,127.370249,22.87,1692234897000,NORMAL
39.2,0,36.455751,127.370310,22.87,1692234899000,NORMAL
23.3,0,36.455959,127.370344,22.84,1692234900000,NORMAL
23.2,0,36.456162,127.370380,22.57,1692234901000,NORMAL
23.5,0,36.456365,127.370414,23.05,1692234902000,NORMAL
23.5,0,36.456782,127.370477,23.05,1692234904000,NORMAL
23.6,0,36.456989,127.370509,23.03,1692234905000,NORMAL
23.8,0,36.457403,127.370578,23.19,1692234907000,NORMAL
24.0,0,36.457609,127.370616,23.19,1692234908000,NORMAL
57.2,0,36.458029,127.370716,0.00,1692234910000,STOP
74.8,0,36.467048,127.365564,23.37,1692234959000,NORMAL
62.8,0,36.467137,127.365087,22.96,1692234961000,NORMAL
58.5,0,36.467200,127.364847,22.61,1692234962000,NORMAL
52.7,0,36.467346,127.364366,22.49,1692234964000,NORMAL
50.8,0,36.467419,127.364126,22.92,1692234965000,NORMAL
48.1,0,36.467562,127.363632,22.92,1692234967000,NORMAL
46.4,0,36.467707,127.363159,23.20,1692234969000,NORMAL
45.9,0,36.467847,127.362678,22.94,1692234971000,NORMAL
45.8,0,36.467990,127.362192,22.94,1692234973000,NORMAL
45.3,0,36.468062,127.361942,22.89,1692234974000,NORMAL
28.9,0,36.468198,127.361459,22.89,1692234976000,NORMAL
28.6,0,36.468264,127.361222,22.75,1692234977000,NORMAL
28.1,0,36.468402,127.360743,22.83,1692234979000,NORMAL
27.7,0,36.468478,127.360502,23.31,1692234980000,NORMAL
27.5,0,36.468560,127.360260,23.31,1692234981000,NORMAL
27.1,0,36.468637,127.360013,23.38,1692234982000,NORMAL
26.5,0,36.468806,127.359523,23.30,1692234984000,NORMAL
26.2,0,36.468993,127.359064,23.17,1692234986000,NORMAL
26.0,0,36.469180,127.358608,22.84,1692234988000,NORMAL
26.0,0,36.469276,127.358377,23.19,1692234989000,NORMAL
26.0,0,36.469375,127.358149,23.19,1692234990000,NORMAL
16.0,0,36.469574,127.357703,23.61,1692234992000,NORMAL
16.8,0,36.469786,127.357241,23.78,1692234994000,NORMAL
16.5,0,36.469892,127.357012,23.83,1692234995000,NORMAL
16.1,0,36.470102,127.356544,23.55,1692234997000,NORMAL
15.9,0,36.470203,127.356313,23.94,1692234998000,NORMAL
15.7,0,36.470408,127.355855,23.85,1692235000000,NORMAL
15.6,0,36.470634,127.355398,23.74,1692235002000,NORMAL
18.6,0,36.470738,127.355166,23.74,1692235003000,NORMAL
18.0,0,36.470925,127.354694,23.31,1692235005000,NORMAL
21.9,0,36.471120,127.354231,22.83,1692235007000,NORMAL
21.7,0,36.471218,127.354006,22.83,1692235008000,NORMAL
21.5,0,36.471333,127.353792,22.75,1692235009000,NORMAL
21.3,0,36.471495,127.353324,22.66,1692235011000,NORMAL
21.3,0,36.471580,127.353096,22.18,1692235012000,NORMAL
21.2,0,36.471742,127.352637,22.20,1692235014000,NORMAL
21.2,0,36.471821,127.352406,22.55,1692235015000,NORMAL
21.2,0,36.471979,127.351943,22.84,1692235017000,NORMAL
21.2,0,36.472078,127.351707,23.14,1692235018000,NORMAL
21.1,0,36.472230,127.351209,23.38,1692235020000,NORMAL
21.0,0,36.472380,127.350718,24.43,1692235022000,NORMAL
20.9,0,36.472449,127.350457,24.43,1692235023000,NORMAL
20.8,0,36.472511,127.350198,24.39,1692235024000,NORMAL
20.7,0,36.472635,127.349682,23.90,1692235026000,NORMAL
20.6,0,36.472698,127.349421,24.23,1692235027000,NORMAL
20.5,0,36.472761,127.349156,24.52,1692235028000,NORMAL
20.5,0,36.472883,127.348626,24.55,1692235030000,NORMAL
20.3,0,36.473000,127.348080,25.03,1692235032000,NORMAL
20.2,0,36.473054,127.347806,25.03,1692235033000,NORMAL
20.2,0,36.473117,127.347534,24.87,1692235034000,NORMAL
20.0,0,36.473234,127.346989,25.20,1692235036000,NORMAL
20.1,0,36.473339,127.346437,25.27,1692235038000,NORMAL
20.0,0,36.473443,127.345897,25.01,1692235040000,NORMAL
20.0,0,36.473491,127.345611,25.34,1692235041000,NORMAL
19.9,0,36.473590,127.345029,26.01,1692235043000,NORMAL
19.9,0,36.473637,127.344741,25.93,1692235044000,NORMAL
19.9,0,36.473684,127.344457,25.93,1692235045000,NORMAL
19.9,0,36.473732,127.344175,25.92,1692235046000,NORMAL
19.9,0,36.473796,127.343596,26.13,1692235048000,NORMAL
19.9,0,36.473909,127.343054,25.59,1692235050000,NORMAL
19.9,0,36.473940,127.342783,25.48,1692235051000,NORMAL
20.2,0,36.473979,127.342209,25.86,1692235053000,NORMAL
20.1,0,36.474027,127.341624,25.70,1692235055000,NORMAL
20.0,0,36.474048,127.341339,25.07,1692235056000,NORMAL
20.0,0,36.474020,127.341044,25.05,1692235057000,NORMAL
19.9,0,36.474059,127.340483,25.22,1692235059000,NORMAL
19.9,0,36.474099,127.339915,25.22,1692235061000,NORMAL
20.1,0,36.474118,127.339640,25.10,1692235062000,NORMAL
20.6,0,36.474157,127.339087,25.25,1692235064000,NORMAL
20.4,0,36.474177,127.338806,25.25,1692235065000,NORMAL
20.2,0,36.474230,127.338265,24.30,1692235067000,NORMAL
20.2,0,36.474233,127.337998,24.61,1692235068000,NORMAL
20.2,0,36.474272,127.337444,24.79,1692235070000,NORMAL
20.1,0,36.474291,127.337171,25.13,1692235071000,NORMAL
20.1,0,36.474311,127.336893,25.04,1692235072000,NORMAL
20.1,0,36.474353,127.336323,25.38,1692235074000,NORMAL
20.0,0,36.474436,127.335750,25.42,1692235076000,NORMAL
20.0,0,36.474463,127.335466,25.06,1692235077000,NORMAL
20.0,0,36.474485,127.335187,25.19,1692235078000,NORMAL
20.0,0,36.474492,127.334906,25.19,1692235079000,NORMAL
19.9,0,36.474489,127.334609,25.22,1692235080000,NORMAL
19.9,0,36.474549,127.334047,25.11,1692235082000,NORMAL
19.9,0,36.474556,127.333778,25.11,1692235083000,NORMAL
19.9,0,36.474588,127.333217,24.98,1692235085000,NORMAL
19.9,0,36.474613,127.332927,24.94,1692235086000,NORMAL
19.9,0,36.474650,127.332362,25.32,1692235088000,NORMAL
19.9,0,36.474663,127.332093,25.16,1692235089000,NORMAL
20.0,0,36.474726,127.331540,25.21,1692235091000,NORMAL
20.0,0,36.474733,127.331255,25.28,1692235092000,NORMAL
20.1,0,36.474769,127.330697,25.23,1692235094000,NORMAL
20.1,0,36.474794,127.330412,25.02,1692235095000,NORMAL
20.1,0,36.474842,127.329828,25.33,1692235097000,NORMAL
16.0,0,36.474884,127.329547,25.33,1692235098000,NORMAL
15.9,0,36.474970,127.329004,25.00,1692235100000,NORMAL
19.8,0,36.475054,127.328484,24.03,1692235102000,NORMAL
19.8,0,36.475092,127.328228,24.13,1692235103000,NORMAL
20.2,0,36.475124,127.327965,24.03,1692235104000,NORMAL
20.0,0,36.475200,127.327437,24.28,1692235106000,NORMAL
20.2,0,36.475317,127.326901,24.19,1692235108000,NORMAL
20.3,0,36.475399,127.326378,23.98,1692235110000,NORMAL
20.3,0,36.475436,127.326129,23.98,1692235111000,NORMAL
20.2,0,36.475489,127.325880,24.26,1692235112000,NORMAL
20.2,0,36.475614,127.325366,24.26,1692235114000,NORMAL
20.2,0,36.475750,127.324848,24.00,1692235116000,NORMAL
20.2,0,36.475818,127.324587,23.77,1692235117000,NORMAL
20.3,0,36.475965,127.324069,23.84,1692235119000,NORMAL
20.3,0,36.476099,127.323569,24.98,1692235121000,NORMAL
20.3,0,36.476272,127.323029,25.15,1692235123000,NORMAL
20.4,0,36.476358,127.322761,25.13,1692235124000,NORMAL
20.5,0,36.476506,127.322251,24.87,1692235126000,NORMAL
20.6,0,36.476669,127.321760,24.80,1692235128000,NORMAL
20.6,0,36.476752,127.321484,24.74,1692235129000,NORMAL
20.6,0,36.476838,127.321231,24.74,1692235130000,NORMAL
20.6,0,36.476910,127.320986,24.40,1692235131000,NORMAL
20.6,0,36.477052,127.320468,24.07,1692235133000,NORMAL
20.8,0,36.477175,127.319932,24.13,1692235135000,NORMAL
20.8,0,36.477240,127.319663,24.39,1692235136000,NORMAL
20.9,0,36.477300,127.319406,23.96,1692235137000,NORMAL
20.9,0,36.477362,127.319148,23.96,1692235138000,NORMAL
20.8,0,36.477446,127.318656,22.97,1692235140000,NORMAL
16.6,0,36.477490,127.318180,20.52,1692235142000,NORMAL
16.5,0,36.477497,127.317950,20.52,1692235143000,NORMAL
16.6,0,36.477529,127.317544,19.26,1692235145000,NORMAL
21.1,0,36.477547,127.317348,18.15,1692235146000,NORMAL
20.6,0,36.477572,127.316939,17.72,1692235148000,NORMAL
20.4,0,36.477575,127.316548,17.72,1692235150000,NORMAL
20.7,0,36.477596,127.316158,18.41,1692235152000,NORMAL
21.4,0,36.477582,127.315734,18.97,1692235154000,NORMAL
21.1,0,36.477579,127.315522,19.73,1692235155000,NORMAL
21.0,0,36.477575,127.315054,20.63,1692235157000,NORMAL
22.2,0,36.477569,127.314812,20.63,1692235158000,NORMAL
21.5,0,36.477568,127.314370,19.82,1692235160000,NORMAL
22.8,0,36.477547,127.313955,19.27,1692235162000,NORMAL
23.2,0,36.477553,127.313736,19.27,1692235163000,NORMAL
22.4,0,36.477551,127.313316,19.02,1692235165000,NORMAL
21.3,0,36.477563,127.312914,18.53,1692235167000,NORMAL
20.8,0,36.477609,127.312506,18.13,1692235169000,NORMAL
16.6,0,36.477631,127.312322,17.39,1692235170000,NORMAL
16.4,0,36.477648,127.312142,16.81,1692235171000,NORMAL
16.3,0,36.477724,127.311811,15.78,1692235173000,NORMAL
20.2,0,36.477765,127.311641,15.62,1692235174000,NORMAL
20.1,0,36.477839,127.311305,15.58,1692235176000,NORMAL
20.1,0,36.477962,127.310978,15.52,1692235178000,NORMAL
20.1,0,36.478024,127.310823,15.25,1692235179000,NORMAL
20.1,0,36.478086,127.310676,15.00,1692235180000,NORMAL
20.3,0,36.478147,127.310542,14.88,1692235181000,NORMAL
20.0,0,36.478298,127.310268,14.71,1692235183000,NORMAL
21.1,0,36.478443,127.310044,13.54,1692235185000,NORMAL
17.3,0,36.478607,127.309838,11.88,1692235187000,NORMAL
16.8,0,36.478681,127.309728,11.90,1692235188000,NORMAL
16.5,0,36.478745,127.309619,11.88,1692235189000,NORMAL
16.4,0,36.478874,127.309429,11.68,1692235191000,NORMAL
16.1,0,36.479023,127.309264,10.46,1692235193000,NORMAL
20.0,0,36.479079,127.309201,10.17,1692235194000,NORMAL
19.9,0,36.479127,127.309147,8.76,1692235195000,NORMAL
19.7,0,36.479217,127.309028,6.91,1692235197000,NORMAL
19.7,0,36.479264,127.309004,6.91,1692235198000,NORMAL
19.6,0,36.479332,127.308938,5.01,1692235200000,NORMAL
19.8,0,36.479371,127.308901,4.45,1692235201000,NORMAL
15.6,0,36.479444,127.308849,4.20,1692235203000,NORMAL
15.6,0,36.479462,127.308808,3.33,1692235204000,NORMAL
15.5,0,36.479475,127.308810,1.90,1692235205000,NORMAL
20.1,0,36.479466,127.308818,0.03,1692235207000,STOP
14.9,0,36.479460,127.308807,4.10,1692235238000,NORMAL
14.7,0,36.479531,127.308751,4.71,1692235240000,NORMAL
14.5,0,36.479605,127.308702,5.79,1692235242000,NORMAL
