accuracy,id,lat,lng,speed,time,type
6.261,1,36.4451359,127.3987485,0.38857335,1692319993973,START
6.279,2,36.4451352,127.3987619,0.49257284,1692319995973,NORMAL
3.845,3,36.4451344,127.3987661,0.46122205,1692319996974,NORMAL
3.852,4,36.4451327,127.3987703,0.31851137,1692319998973,NORMAL
3.852,5,36.4451324,127.3987704,0.23516577,1692319999973,NORMAL
3.826,6,36.4451323,127.3987684,0.11130589,1692320001972,NORMAL
3.808,7,36.4451323,127.3987665,0.02422471,1692320002972,NORMAL
3.805,8,36.4451418,127.3987698,0.526227,1692320004973,NORMAL
3.805,9,36.4451508,127.3987719,0.7846243,1692320005972,NORMAL
3.845,10,36.4451698,127.3987707,0.91759163,1692320007973,NORMAL
3.863,11,36.4451754,127.3987745,0.6576171,1692320008974,NORMAL
3.863,12,36.4451849,127.3987819,0.7082516,1692320010974,NORMAL
3.834,13,36.4451899,127.3987864,0.78770465,1692320011972,NORMAL
3.826,14,36.4452018,127.398794,0.7324566,1692320013973,NORMAL
3.845,15,36.4452073,127.3987941,0.4555888,1692320014973,NORMAL
3.845,16,36.4452172,127.3987955,0.5473459,1692320016972,NORMAL
3.845,17,36.4452238,127.3987968,0.55972743,1692320017974,NORMAL
3.852,18,36.4452364,127.3988002,0.8835397,1692320019973,NORMAL
3.852,19,36.4452435,127.3988038,0.6359787,1692320020972,NORMAL
3.837,20,36.4452602,127.3988116,1.2994099,1692320022972,NORMAL
3.826,21,36.4452691,127.3988175,0.7027751,1692320023973,NORMAL
3.826,22,36.445286,127.3988352,1.5596691,1692320025972,NORMAL
3.845,23,36.4452951,127.3988434,0.8414095,1692320026972,NORMAL
3.852,24,36.4453092,127.398856,0.41059792,1692320028973,NORMAL
3.852,25,36.4453155,127.3988615,1.6392218,1692320029973,NORMAL
3.834,26,36.445333,127.3988799,1.1698785,1692320031972,NORMAL
3.837,27,36.4453403,127.3988891,1.2093948,1692320032972,NORMAL
3.845,28,36.445355,127.3989091,1.0007418,1692320034972,NORMAL
3.837,29,36.4453611,127.3989178,1.2874972,1692320035972,NORMAL
3.834,30,36.4453793,127.3989482,2.0579593,1692320037973,NORMAL
3.837,31,36.445391,127.3989701,1.7901835,1692320038972,NORMAL
3.837,32,36.4454049,127.398993,1.8013213,1692320040973,NORMAL
3.837,33,36.4454153,127.3990075,1.700525,1692320041972,NORMAL
3.942,34,36.4454376,127.3990387,1.8781685,1692320043972,NORMAL
4.159,35,36.4454468,127.3990524,1.9622885,1692320044973,NORMAL
5.75,36,36.4454696,127.3990839,2.043736,1692320046972,NORMAL
6.505,37,36.445474,127.3991052,2.0390446,1692320047973,NORMAL
6.643,38,36.445455,127.3991492,0.3564918,1692320049972,NORMAL
6.227,39,36.4454378,127.3991554,0.35198516,1692320050973,NORMAL
4.934,40,36.4454238,127.3991613,0.4600645,1692320052973,NORMAL
4.89,41,36.4454166,127.3991607,0.65368867,1692320053972,NORMAL
