accuracy,id,lat,lng,speed,time,type
9.735,1,36.4892753,127.259519,4.9470525,1692448303044,START
6.138,2,36.489349,127.2595484,2.842244,1692448305053,NORMAL
5.564,3,36.4893626,127.2595472,1.9649676,1692448306054,NORMAL
4.788,4,36.4893735,127.2595611,0.7245904,1692448308053,NORMAL
4.462,5,36.4893759,127.2595671,0.52230036,1692448309054,NORMAL
4.144,6,36.4893833,127.2595754,0.37841555,1692448311056,NORMAL
4.066,7,36.4893869,127.2595796,0.4862441,1692448312054,NORMAL
3.98,8,36.4893878,127.2595826,0.1720147,1692448314054,NORMAL
3.929,9,36.4893879,127.2595827,0.08063205,1692448315053,NORMAL
3.863,10,36.4893878,127.2595828,0.016986452,1692448317053,NORMAL
3.845,11,36.4893876,127.2595826,0.015383313,1692448318054,NORMAL
3.845,12,36.489388,127.2595825,0.012598109,1692448320053,NORMAL
3.845,13,36.4893967,127.259582,0.89153934,1692448321059,NORMAL
3.837,14,36.4894505,127.2595712,4.0507593,1692448323053,NORMAL
3.837,15,36.4894995,127.2595557,5.175955,1692448324050,NORMAL
3.838,16,36.4896102,127.259479,6.420717,1692448326051,NORMAL
3.838,17,36.4896389,127.2594101,6.3366117,1692448327055,NORMAL
3.845,18,36.4896506,127.2592127,8.033557,1692448329052,NORMAL
3.834,19,36.4896405,127.2590973,9.032466,1692448330053,NORMAL
3.836,20,36.4896039,127.2588245,11.095976,1692448332056,NORMAL
3.855,21,36.4895872,127.2587077,11.419307,1692448333055,NORMAL
3.868,22,36.4895485,127.2584492,11.843127,1692448335049,NORMAL
3.878,23,36.48953,127.2583173,11.849739,1692448336060,NORMAL
3.877,24,36.4894932,127.2580692,10.25959,1692448338053,NORMAL
3.878,25,36.4894776,127.257965,8.725816,1692448339053,NORMAL
3.871,26,36.4894579,127.2578234,4.914014,1692448341053,NORMAL
3.865,27,36.4894511,127.257779,4.174916,1692448342053,NORMAL
3.861,28,36.489439,127.2576926,5.1319914,1692448344053,NORMAL
3.861,29,36.4894294,127.2576344,6.182653,1692448345054,NORMAL
3.861,30,36.4894039,127.2574931,6.149892,1692448347053,NORMAL
3.863,31,36.4893927,127.2574263,5.8541946,1692448348053,NORMAL
3.868,32,36.4893802,127.2573008,4.156334,1692448350053,NORMAL
3.875,33,36.4893787,127.2572638,3.810517,1692448351053,NORMAL
3.881,34,36.4893674,127.257185,3.9064386,1692448353053,NORMAL
3.875,35,36.4893592,127.2571458,3.4792736,1692448354054,NORMAL
3.871,36,36.4893415,127.2570732,3.5898309,1692448356053,NORMAL
4.726,37,36.4893326,127.2570219,3.150401,1692448357053,NORMAL
6.477,38,36.4893332,127.2569895,0.82200253,1692448359053,NORMAL
7.36,39,36.4893345,127.2569876,0.38104454,1692448360053,NORMAL
9.997,40,36.4893373,127.2569748,0.85970247,1692448362054,NORMAL
9.997,41,36.4893383,127.2569674,0.58045906,1692448363054,NORMAL
9.994,42,36.4893396,127.2569609,0.28025573,1692448365053,NORMAL
9.984,43,36.4893403,127.2569613,0.27993873,1692448366053,NORMAL
9.969,44,36.4893415,127.2569633,0.045377243,1692448368053,NORMAL
9.968,45,36.4893414,127.2569635,0.01447027,1692448369054,NORMAL
9.964,46,36.4893413,127.2569637,0.0,1692448371053,NORMAL
9.97,47,36.4893413,127.2569637,0.0,1692448372053,NORMAL
9.968,48,36.4893413,127.2569637,0.0,1692448374053,NORMAL
9.968,49,36.4893413,127.2569637,0.0,1692448375054,NORMAL
9.97,50,36.4893413,127.2569637,0.0,1692448377053,NORMAL
9.97,51,36.4893413,127.2569637,0.0,1692448378054,NORMAL
9.976,52,36.4893633,127.2569142,3.745852,1692448380053,NORMAL
9.986,53,36.4893931,127.2568876,4.897717,1692448381053,NORMAL
10.003,54,36.4895117,127.2568499,7.1619873,1692448383053,NORMAL
10.005,55,36.4895758,127.256832,7.9381323,1692448384053,NORMAL
10.014,56,36.4897229,127.2567842,9.124468,1692448386054,NORMAL
10.022,57,36.489837,127.2567512,9.974122,1692448387053,NORMAL
10.016,58,36.4900086,127.256711,11.718826,1692448389053,NORMAL
10.026,59,36.4901113,127.256687,11.411635,1692448390053,NORMAL
10.016,60,36.4903031,127.2566508,10.291277,1692448392053,NORMAL
10.002,61,36.4903891,127.2566357,9.122623,1692448393053,NORMAL
9.998,62,36.4905195,127.2566156,5.912399,1692448395053,NORMAL
9.985,63,36.4905607,127.2566099,4.152059,1692448396053,NORMAL
9.976,64,36.4905899,127.2566067,0.5537961,1692448398053,NORMAL
9.975,65,36.4905877,127.2566073,0.55289775,1692448399053,NORMAL
9.971,66,36.4905805,127.2566086,0.10611917,1692448401053,NORMAL
9.969,67,36.4905784,127.256609,0.17189416,1692448402054,NORMAL
9.97,68,36.4905775,127.2566091,0.04606631,1692448404053,NORMAL
9.966,69,36.4905777,127.256609,0.013337546,1692448405054,NORMAL
9.968,70,36.4905779,127.256609,0.0030287043,1692448407053,NORMAL
9.97,71,36.4905779,127.256609,0.0027960797,1692448408053,NORMAL
9.97,72,36.4905779,127.256609,3.9268302E-4,1692448410053,NORMAL
9.972,73,36.4905779,127.256609,5.8860034E-5,1692448411054,NORMAL
9.97,74,36.4905779,127.256609,5.5150995E-5,1692448413053,NORMAL
9.968,75,36.4905779,127.256609,2.5530066E-5,1692448414054,NORMAL
9.966,76,36.4905779,127.256609,2.1336157E-6,1692448416053,NORMAL
9.965,77,36.4905779,127.256609,4.833289E-7,1692448417053,NORMAL
9.963,78,36.4905779,127.256609,5.2696646E-7,1692448419054,NORMAL
9.963,79,36.4905779,127.256609,2.2214812E-7,1692448420054,NORMAL
9.961,80,36.4905779,127.256609,1.985832E-9,1692448422053,NORMAL
9.964,81,36.4905779,127.256609,1.4641442E-8,1692448423053,NORMAL
9.966,82,36.4905779,127.256609,4.528855E-9,1692448425053,NORMAL
9.966,83,36.4905779,127.256609,1.5748243E-9,1692448426053,NORMAL
9.968,84,36.4905779,127.256609,1.5125427E-10,1692448428053,NORMAL
9.966,85,36.4905779,127.256609,1.5290949E-10,1692448429054,NORMAL
9.966,86,36.4905779,127.256609,3.487539E-11,1692448431053,NORMAL
9.965,87,36.4905779,127.256609,1.0428765E-11,1692448432054,NORMAL
9.965,88,36.4905779,127.256609,1.8368356E-12,1692448434053,NORMAL
9.965,89,36.4905779,127.256609,1.3363885E-12,1692448435053,NORMAL
9.965,90,36.4905779,127.256609,3.0426144E-13,1692448437053,NORMAL
9.964,91,36.4905779,127.256609,8.987852E-14,1692448438053,NORMAL
9.963,92,36.4905779,127.256609,1.57283E-14,1692448440053,NORMAL
9.965,93,36.4905779,127.256609,5.188011E-15,1692448441053,NORMAL
9.969,94,36.4905583,127.256608,1.1373018,1692448443053,NORMAL
9.962,95,36.4905467,127.2566071,0.7873849,1692448444054,NORMAL
9.973,96,36.4905482,127.2566071,0.13043752,1692448446053,NORMAL
10.016,97,36.4905497,127.2566073,0.0034705994,1692448447053,NORMAL
10.003,98,36.4905494,127.2566074,0.013283768,1692448449054,NORMAL
10.012,99,36.4905493,127.2566073,0.012808539,1692448450053,NORMAL
9.956,100,36.4905493,127.2566076,0.016382875,1692448452053,NORMAL
9.935,101,36.4905494,127.2566078,0.016128847,1692448453054,NORMAL
9.935,102,36.4905493,127.2566078,0.0063630724,1692448455054,NORMAL
9.935,103,36.4905492,127.2566077,0.006502167,1692448456053,NORMAL
9.935,104,36.4905491,127.2566072,0.021454763,1692448458053,NORMAL
9.935,105,36.4905491,127.2566071,0.016904294,1692448459053,NORMAL
9.935,106,36.4905491,127.2566071,0.0044824346,1692448461054,NORMAL
9.935,107,36.4905491,127.2566069,0.006663647,1692448462053,NORMAL
9.935,108,36.4905493,127.256607,0.0073497086,1692448464054,NORMAL
9.935,109,36.4905493,127.256607,0.004504051,1692448465053,NORMAL
9.935,110,36.4905499,127.2566026,0.5151027,1692448467053,NORMAL
9.935,111,36.4905575,127.2565962,1.3652399,1692448468052,NORMAL
9.935,112,36.4905897,127.2565822,2.222563,1692448470052,NORMAL
9.935,113,36.4906137,127.2565761,3.1276214,1692448471053,NORMAL
9.935,114,36.4906983,127.25656,5.2190285,1692448473052,NORMAL
9.935,115,36.4907537,127.2565513,6.305993,1692448474052,NORMAL
9.935,116,36.4908921,127.25654,7.8214626,1692448476052,NORMAL
9.935,117,36.4910116,127.2565257,8.548833,1692448477052,NORMAL
9.935,118,36.4911591,127.2565077,10.046335,1692448479053,NORMAL
9.935,119,36.4912498,127.256496,10.437068,1692448480053,NORMAL
9.935,120,36.4914438,127.2564858,10.981437,1692448482053,NORMAL
9.935,121,36.4915462,127.256479,11.213416,1692448483053,NORMAL
9.935,122,36.4917532,127.2564554,11.54578,1692448485052,NORMAL
9.935,123,36.4918587,127.2564425,11.590107,1692448486053,NORMAL
9.935,124,36.4920663,127.2564197,11.5804615,1692448488052,NORMAL
9.935,125,36.4921675,127.2564144,11.025926,1692448489052,NORMAL
9.935,126,36.4923646,127.2564384,10.678607,1692448491044,NORMAL
9.951,127,36.4924608,127.2564183,10.331098,1692448492053,NORMAL
10.105,128,36.4926486,127.2563937,10.647185,1692448494052,NORMAL
10.241,129,36.4927435,127.2563936,10.762359,1692448495053,NORMAL
10.366,130,36.4929504,127.2564009,11.789937,1692448497041,NORMAL
10.417,131,36.4930699,127.2564096,12.523291,1692448498053,NORMAL
10.518,132,36.4933224,127.2564219,13.603138,1692448500046,NORMAL
10.495,133,36.4934564,127.2564295,13.43573,1692448501045,NORMAL
10.539,134,36.4937194,127.2564377,13.662022,1692448503044,NORMAL
10.64,135,36.4938433,127.2564515,12.629395,1692448504051,NORMAL
10.998,136,36.4940968,127.2564736,13.938677,1692448506050,NORMAL
11.138,137,36.4942268,127.2564785,14.330034,1692448507050,NORMAL
11.425,138,36.4944737,127.256503,14.193253,1692448509050,NORMAL
11.469,139,36.4946053,127.2565313,14.367238,1692448510051,NORMAL
11.319,140,36.4948708,127.2565898,15.097237,1692448512051,NORMAL
11.174,141,36.4950087,127.2566168,15.298065,1692448513050,NORMAL
11.185,142,36.4952695,127.2566782,14.882716,1692448515051,NORMAL
11.322,143,36.495391,127.2567121,14.5900345,1692448516051,NORMAL
11.488,144,36.4956438,127.25681,14.664169,1692448518050,NORMAL
11.526,145,36.4957689,127.2568662,14.490462,1692448519050,NORMAL
11.415,146,36.4960046,127.2569644,14.259343,1692448521050,NORMAL
11.265,147,36.4961221,127.2570188,14.177101,1692448522050,NORMAL
11.031,148,36.4963701,127.2571614,13.869039,1692448524050,NORMAL
10.976,149,36.4964881,127.257224,13.98518,1692448525050,NORMAL
10.887,150,36.4967232,127.2573383,13.950174,1692448527051,NORMAL
