accuracy,id,lat,lng,speed,time,type
4.457,1,36.4688543,127.2721594,8.16704,1692396639981,START
4.357,2,36.4688267,127.271986,8.609987,1692396641982,NORMAL
3.951,3,36.4688108,127.2717884,9.069987,1692396643983,NORMAL
3.9,4,36.4688033,127.2715805,8.180025,1692396645982,NORMAL
3.9,5,36.4688064,127.2714398,5.260087,1692396647982,NORMAL
3.9,6,36.4688212,127.2713361,5.0355234,1692396649981,NORMAL
3.9,7,36.46889,127.2712795,5.0251307,1692396651982,NORMAL
3.9,8,36.4691066,127.2713471,7.455094,1692396655982,NORMAL
3.9,9,36.4692542,127.2713879,8.277842,1692396657982,NORMAL
3.9,10,36.4696407,127.2714892,12.716936,1692396661982,NORMAL
3.9,11,36.4698948,127.2715553,14.64399,1692396663983,NORMAL
3.9,12,36.4701577,127.2716252,14.551448,1692396665982,NORMAL
3.9,13,36.4704026,127.2716955,12.941198,1692396667983,NORMAL
3.9,14,36.470593,127.2717468,9.941737,1692396669982,NORMAL
3.9,15,36.4707412,127.2717338,8.326034,1692396671982,NORMAL
3.9,16,36.4708594,127.2716499,7.8047743,1692396673982,NORMAL
3.9,17,36.4709425,127.271497,8.634306,1692396675982,NORMAL
3.9,18,36.4709958,127.2712883,10.070249,1692396677982,NORMAL
3.9,19,36.4710395,127.271038,11.942943,1692396679982,NORMAL
3.9,20,36.4710906,127.2707512,13.290954,1692396681982,NORMAL
3.9,21,36.4711461,127.2704567,13.399059,1692396683982,NORMAL
3.872,22,36.4712024,127.2702344,14.778672,1692396685407,NORMAL
3.872,23,36.4713023,127.2698176,15.433757,1692396687982,NORMAL
3.9,24,36.4714131,127.2694799,16.561033,1692396689982,NORMAL
3.9,25,36.4715622,127.2691441,16.97057,1692396691983,NORMAL
3.9,26,36.4719647,127.268568,16.81048,1692396695982,NORMAL
3.9,27,36.4721953,127.2683283,16.420984,1692396697982,NORMAL
3.9,28,36.4724372,127.2681249,16.204832,1692396699982,NORMAL
3.9,29,36.4726977,127.267942,16.526415,1692396701983,NORMAL
3.9,30,36.4729617,127.2677554,16.846415,1692396703983,NORMAL
3.9,31,36.4735039,127.2673634,17.735727,1692396707982,NORMAL
3.9,32,36.4737873,127.2671619,18.13645,1692396709982,NORMAL
3.9,33,36.4743618,127.2667463,18.608492,1692396713982,NORMAL
3.9,34,36.4746514,127.2665369,18.501059,1692396715982,NORMAL
3.9,35,36.4749368,127.2663313,18.351385,1692396717982,NORMAL
3.9,36,36.4752178,127.2661252,18.102262,1692396719982,NORMAL
3.9,37,36.4754963,127.2659216,17.981108,1692396721982,NORMAL
3.9,38,36.4757735,127.2657214,18.029526,1692396723981,NORMAL
3.9,39,36.4760522,127.265518,17.970554,1692396725982,NORMAL
3.9,40,36.4763284,127.2653208,17.613293,1692396727982,NORMAL
3.9,41,36.4766002,127.2651279,17.35242,1692396729982,NORMAL
3.9,42,36.476865,127.2649345,16.923206,1692396731982,NORMAL
3.9,43,36.4771248,127.2647538,16.176914,1692396733981,NORMAL
3.9,44,36.4773661,127.2645793,15.208876,1692396735983,NORMAL
3.9,45,36.4777944,127.2642668,13.059637,1692396739982,NORMAL
3.9,46,36.4779887,127.2641234,12.603467,1692396741981,NORMAL
3.9,47,36.4783751,127.2638511,12.093423,1692396745982,NORMAL
3.9,48,36.4785543,127.2637287,10.990141,1692396747981,NORMAL
3.9,49,36.4788293,127.2635467,6.9010515,1692396751982,NORMAL
3.9,50,36.478918,127.2634835,5.4130406,1692396753982,NORMAL
3.9,51,36.4789866,127.2634348,4.2501364,1692396755982,NORMAL
3.9,52,36.4790318,127.2634002,2.4158986,1692396757981,NORMAL
3.9,53,36.479054,127.2633824,1.4681094,1692396759981,NORMAL
3.9,54,36.4790676,127.2633695,0.9345399,1692396761982,NORMAL
3.9,55,36.4790719,127.2633618,0.9135347,1692396763981,NORMAL
3.9,56,36.4790721,127.2633655,0.14713788,1692396765983,NORMAL
5.214,57,36.4790743,127.263368,0.16539058,1692396767982,NORMAL
5.214,58,36.4790752,127.26337,0.114467986,1692396769982,NORMAL
12.822,59,36.4790758,127.2633711,0.09349526,1692396771320,NORMAL
10.591,60,36.4790761,127.2633716,0.042925574,1692396773981,NORMAL
10.591,61,36.4790761,127.2633714,0.0064839143,1692396775982,NORMAL
5.661,62,36.4790759,127.2633708,0.019425236,1692396777983,NORMAL
5.661,63,36.479076,127.2633706,0.015212451,1692396779982,NORMAL
13.21,64,36.479076,127.2633703,0.01483715,1692396781379,NORMAL
10.882,65,36.479076,127.2633701,0.011977336,1692396783981,NORMAL
10.882,66,36.479076,127.26337,0.010461533,1692396785983,NORMAL
5.889,67,36.479076,127.2633697,0.012316182,1692396787982,NORMAL
5.889,68,36.4790761,127.2633695,0.010768206,1692396789981,NORMAL
3.9,69,36.4790779,127.2633667,0.38877952,1692396791981,NORMAL
3.9,70,36.4791002,127.2633508,2.1033895,1692396793981,NORMAL
3.9,71,36.4791427,127.2633206,3.1747172,1692396795981,NORMAL
6.21,72,36.4792197,127.2632609,5.714382,1692396797982,NORMAL
6.21,73,36.4793314,127.2631842,7.3640633,1692396799983,NORMAL
3.9,74,36.4794587,127.2630933,7.9110265,1692396801983,NORMAL
3.9,75,36.4796111,127.2629814,9.322826,1692396803982,NORMAL
3.9,76,36.479772,127.2628639,11.797839,1692396805982,NORMAL
3.9,77,36.4799688,127.2627198,13.232664,1692396807981,NORMAL
3.9,78,36.4801815,127.2625668,13.550917,1692396809982,NORMAL
3.9,79,36.4804016,127.2624052,14.510778,1692396811982,NORMAL
3.9,80,36.4806384,127.2622338,15.398951,1692396813983,NORMAL
3.859,81,36.4807575,127.2621414,15.738977,1692396814982,NORMAL
3.851,82,36.4810091,127.2619591,16.249447,1692396816983,NORMAL
3.859,83,36.4811366,127.2618659,16.339808,1692396817982,NORMAL
3.862,84,36.481393,127.2616813,16.509827,1692396819982,NORMAL
3.856,85,36.4815236,127.2615883,16.609999,1692396820981,NORMAL
3.855,86,36.481782,127.2614061,16.76966,1692396822982,NORMAL
3.855,87,36.4819121,127.2613116,16.809923,1692396823982,NORMAL
3.865,88,36.4821748,127.2611235,16.829958,1692396825982,NORMAL
3.856,89,36.4823051,127.2610297,16.869904,1692396826982,NORMAL
3.849,90,36.4825725,127.2608381,16.929832,1692396828982,NORMAL
3.866,91,36.4827055,127.2607434,17.009848,1692396829983,NORMAL
3.865,92,36.4829657,127.2605561,16.580933,1692396831981,NORMAL
3.849,93,36.4830959,127.2604639,16.290709,1692396832982,NORMAL
3.856,94,36.4833436,127.2602834,15.960365,1692396834983,NORMAL
3.865,95,36.4834691,127.260192,15.840251,1692396835982,NORMAL
3.857,96,36.4837118,127.2600156,15.640247,1692396837982,NORMAL
3.856,97,36.483832,127.2599287,15.490353,1692396838982,NORMAL
3.849,98,36.4840753,127.2597527,15.460126,1692396840983,NORMAL
3.857,99,36.4841969,127.2596646,15.569771,1692396841982,NORMAL
3.856,100,36.4844429,127.2594878,15.909574,1692396843981,NORMAL
3.848,101,36.4845686,127.259397,16.069614,1692396844981,NORMAL
3.847,102,36.4848181,127.2592167,16.299828,1692396846982,NORMAL
