accuracy,id,lat,lng,speed,time,type
6.939,1,36.5002864,127.2502606,2.0978076,1692517594331,START
5.241,2,36.5002878,127.2502115,1.8310821,1692517596303,NORMAL
4.514,3,36.5002892,127.2501829,2.311553,1692517597345,NORMAL
4.584,4,36.5002967,127.2500992,3.410041,1692517599332,NORMAL
4.618,5,36.5003039,127.250054,3.8499084,1692517600333,NORMAL
4.649,6,36.5003288,127.2499805,2.688888,1692517602330,NORMAL
4.755,7,36.5003362,127.2499612,1.925256,1692517603327,NORMAL
4.319,8,36.5003458,127.2499342,1.8218241,1692517605308,NORMAL
4.274,9,36.5003525,127.2499163,1.8593992,1692517606328,NORMAL
4.369,10,36.5003621,127.2498804,1.9927288,1692517608317,NORMAL
4.501,11,36.5003669,127.2498597,1.8359927,1692517609319,NORMAL
4.814,12,36.500363,127.2498501,0.80745965,1692517611331,NORMAL
4.969,13,36.5003585,127.2498543,0.16545397,1692517612331,NORMAL
5.341,14,36.5003545,127.2498562,0.17728323,1692517614331,NORMAL
5.52,15,36.5003509,127.24985,0.17760089,1692517615325,NORMAL
5.407,16,36.5003452,127.2498438,0.28968015,1692517617319,NORMAL
5.239,17,36.5003436,127.249843,0.23031312,1692517618334,NORMAL
5.117,18,36.5003399,127.2498431,0.19171125,1692517620340,NORMAL
5.013,19,36.5003388,127.2498422,0.16293731,1692517621327,NORMAL
4.836,20,36.5003373,127.2498406,0.11972487,1692517623318,NORMAL
4.793,21,36.5003369,127.249841,0.062086117,1692517624329,NORMAL
4.582,22,36.5003367,127.2498419,0.029108189,1692517626331,NORMAL
4.481,23,36.5003368,127.2498419,0.012468442,1692517627318,NORMAL
4.243,24,36.5003367,127.2498425,0.037588224,1692517629335,NORMAL
4.195,25,36.5003365,127.2498427,0.030962195,1692517630321,NORMAL
4.24,26,36.5003364,127.2498428,0.011116982,1692517632325,NORMAL
4.238,27,36.5003364,127.2498428,0.0049047656,1692517633323,NORMAL
4.334,28,36.5003361,127.2498434,0.024326254,1692517635328,NORMAL
4.335,29,36.500336,127.2498434,0.015203716,1692517636327,NORMAL
4.314,30,36.5003361,127.2498435,0.0067153433,1692517638327,NORMAL
4.652,31,36.5003359,127.2498438,0.019397102,1692517639324,NORMAL
4.652,32,36.5003358,127.249844,0.013042355,1692517641329,NORMAL
4.671,33,36.5003357,127.2498439,0.01006634,1692517642323,NORMAL
4.479,34,36.5003354,127.2498441,0.021286545,1692517644336,NORMAL
4.46,35,36.5003352,127.2498442,0.02521357,1692517645326,NORMAL
4.46,36,36.5003351,127.2498442,0.01039352,1692517647325,NORMAL
4.479,37,36.5003351,127.2498442,0.004847806,1692517648334,NORMAL
4.517,38,36.5003378,127.2498337,1.1453454,1692517650328,NORMAL
4.413,39,36.5003441,127.2498129,1.9175596,1692517651331,NORMAL
5.291,40,36.5003666,127.2497418,4.1458077,1692517653324,NORMAL
8.74,41,36.5003735,127.2496909,4.1479836,1692517654348,NORMAL
10.302,42,36.500351,127.2495802,5.454338,1692517656332,NORMAL
11.068,43,36.5003104,127.249521,6.2591834,1692517657328,NORMAL
10.804,44,36.5002004,127.249439,6.9902725,1692517659299,NORMAL
10.908,45,36.5000374,127.2493475,7.3693514,1692517662282,NORMAL
10.202,46,36.4999271,127.2493181,8.230327,1692517663304,NORMAL
8.278,47,36.4997672,127.2492687,8.332768,1692517665334,NORMAL
7.059,48,36.4996355,127.2492276,6.94273,1692517667335,NORMAL
4.395,49,36.4995413,127.2491994,4.147993,1692517669326,NORMAL
4.106,50,36.4995215,127.2491844,0.26743916,1692517671332,NORMAL
4.038,51,36.4995186,127.2491795,1.446795,1692517673331,NORMAL
4.002,52,36.4994548,127.2491527,4.193857,1692517675331,NORMAL
3.949,53,36.4993766,127.2490774,5.1919103,1692517677323,NORMAL
3.9,54,36.4993452,127.2489381,7.245832,1692517679330,NORMAL
