accuracy,id,lat,lng,speed,time,type
3.845,1,36.6144364,127.3314555,19.970007,1692836963621,START
3.845,2,36.6141876,127.3317379,20.189995,1692836965621,NORMAL
3.9,3,36.6139195,127.3320365,20.229998,1692836967621,NORMAL
3.9,4,36.6136491,127.3323398,20.259764,1692836969620,NORMAL
3.9,5,36.6133748,127.3326465,20.675837,1692836971620,NORMAL
3.9,6,36.6130914,127.3329675,21.413353,1692836973620,NORMAL
3.9,7,36.6128001,127.3332934,21.727928,1692836975620,NORMAL
3.9,8,36.6125031,127.3336258,22.276121,1692836977622,NORMAL
3.9,9,36.6121938,127.3339662,23.154278,1692836979621,NORMAL
3.9,10,36.6118753,127.3343234,24.014372,1692836981620,NORMAL
3.9,11,36.6115281,127.3347274,24.825684,1692836983620,NORMAL
3.9,12,36.611216,127.3350999,25.789963,1692836985620,NORMAL
3.9,13,36.6108941,127.3355106,26.189974,1692836987622,NORMAL
3.9,14,36.610569,127.3359305,26.489994,1692836989620,NORMAL
3.9,15,36.6102524,127.336367,25.920021,1692836991621,NORMAL
3.9,16,36.6099544,127.3367979,24.83005,1692836993621,NORMAL
3.9,17,36.6096729,127.3372133,24.011396,1692836995620,NORMAL
3.9,18,36.6093933,127.3376139,23.51412,1692836997621,NORMAL
3.9,19,36.6091043,127.3379814,22.884283,1692836999620,NORMAL
3.9,20,36.6088111,127.3383225,22.27503,1692837001621,NORMAL
3.9,21,36.6084903,127.338654,21.480434,1692837003622,NORMAL
3.9,22,36.6081996,127.3389028,20.742561,1692837005621,NORMAL
3.9,23,36.6078914,127.3391266,19.863829,1692837007620,NORMAL
3.9,24,36.607593,127.339317,18.130985,1692837009620,NORMAL
3.9,25,36.6073037,127.3394628,17.293211,1692837011621,NORMAL
3.9,26,36.6070204,127.3395932,16.891033,1692837013621,NORMAL
3.9,27,36.6067324,127.3397105,16.729315,1692837015622,NORMAL
3.9,28,36.6064444,127.3397976,16.559156,1692837017621,NORMAL
3.9,29,36.6061562,127.3398654,16.310846,1692837019620,NORMAL
3.9,30,36.605871,127.3399153,15.852952,1692837021621,NORMAL
3.9,31,36.6055695,127.339946,15.491524,1692837023620,NORMAL
3.9,32,36.6053028,127.3399518,15.509358,1692837025622,NORMAL
3.9,33,36.6050146,127.3399389,16.907001,1692837027621,NORMAL
3.9,34,36.6046933,127.3399082,17.811586,1692837029622,NORMAL
3.9,35,36.6043605,127.3398512,18.78249,1692837031621,NORMAL
3.9,36,36.6040164,127.3397652,19.337442,1692837033620,NORMAL
3.9,37,36.6036832,127.3396472,19.312256,1692837035619,NORMAL
3.9,38,36.6033517,127.3395045,19.501377,1692837037621,NORMAL
3.9,39,36.6030134,127.3393317,20.534689,1692837039620,NORMAL
3.9,40,36.6026715,127.3391135,21.336555,1692837041619,NORMAL
3.9,41,36.6023083,127.3388475,21.759155,1692837043621,NORMAL
3.9,42,36.6020053,127.3385768,21.871107,1692837045622,NORMAL
3.9,43,36.601707,127.3382734,21.360018,1692837047621,NORMAL
3.9,44,36.6014272,127.3379543,20.810015,1692837049620,NORMAL
3.9,45,36.6011666,127.3376202,20.30004,1692837051621,NORMAL
3.9,46,36.6009117,127.3372895,20.847128,1692837053621,NORMAL
3.9,47,36.6006512,127.336948,20.796192,1692837055620,NORMAL
3.9,48,36.6004005,127.3365962,21.49445,1692837057621,NORMAL
3.9,49,36.6001188,127.3362449,22.274408,1692837059620,NORMAL
3.9,50,36.599832,127.3358898,22.240206,1692837061620,NORMAL
3.9,51,36.599521,127.3355102,22.946396,1692837063622,NORMAL
3.9,52,36.5992296,127.33517,23.811289,1692837065621,NORMAL
3.9,53,36.5989049,127.334808,24.705175,1692837067620,NORMAL
3.9,54,36.5985668,127.3344434,24.660913,1692837069620,NORMAL
3.9,55,36.598222,127.334098,24.521748,1692837071621,NORMAL
3.9,56,36.5978875,127.3337422,24.360287,1692837073621,NORMAL
3.9,57,36.5975467,127.3333957,24.150837,1692837075620,NORMAL
3.9,58,36.597205,127.3330532,24.439323,1692837077619,NORMAL
3.9,59,36.596861,127.3327015,24.649233,1692837079620,NORMAL
3.9,60,36.5965089,127.332353,25.077625,1692837081621,NORMAL
3.9,61,36.5961218,127.3319834,25.56767,1692837083620,NORMAL
3.9,62,36.5957666,127.3316633,25.525274,1692837085621,NORMAL
3.9,63,36.5954,127.3313405,24.853334,1692837087619,NORMAL
3.9,64,36.5950431,127.3310168,24.170843,1692837089620,NORMAL
3.9,65,36.5946893,127.3307146,23.640614,1692837091620,NORMAL
3.9,66,36.5943471,127.3304091,23.42193,1692837093619,NORMAL
3.9,67,36.5940032,127.3301026,23.81749,1692837095621,NORMAL
3.9,68,36.5936504,127.3297945,23.978445,1692837097620,NORMAL
3.9,69,36.593292,127.3294812,24.3087,1692837099620,NORMAL
3.9,70,36.5929394,127.3291685,24.061365,1692837101620,NORMAL
3.9,71,36.5925679,127.328809,24.568398,1692837103621,NORMAL
3.9,72,36.5922388,127.3284689,24.978283,1692837105620,NORMAL
3.9,73,36.5919041,127.3280986,24.532452,1692837107621,NORMAL
3.9,74,36.5915834,127.3277229,24.698826,1692837109620,NORMAL
3.9,75,36.5912678,127.3273262,24.89794,1692837111620,NORMAL
3.9,76,36.5909728,127.3269067,25.017635,1692837113621,NORMAL
3.9,77,36.5906902,127.3264718,24.989765,1692837115621,NORMAL
3.9,78,36.5904157,127.3260296,24.980736,1692837117621,NORMAL
3.9,79,36.5901516,127.3255863,24.870329,1692837119620,NORMAL
3.9,80,36.5898833,127.3251462,24.701086,1692837121622,NORMAL
3.9,81,36.5895871,127.3246915,24.490597,1692837123621,NORMAL
3.9,82,36.589304,127.3243011,24.92734,1692837125620,NORMAL
3.9,83,36.5889698,127.3239223,25.501133,1692837127619,NORMAL
3.9,84,36.5886024,127.3235675,26.155048,1692837129622,NORMAL
