accuracy,id,lat,lng,speed,time,type
6.634,1,36.4952804,127.2666457,0.013293232,1692968914513,START
6.438,2,36.4952803,127.2666456,0.0013688328,1692968916526,NORMAL
14.014,3,36.4952803,127.2666456,0.001312856,1692968917947,NORMAL
11.512,4,36.4952806,127.2666457,0.0046073776,1692968920525,NORMAL
11.424,5,36.4952805,127.2666457,0.0038260808,1692968922513,NORMAL
6.109,6,36.4952808,127.2666459,0.014719781,1692968924512,NORMAL
6.026,7,36.4952808,127.2666458,0.0040274505,1692968926515,NORMAL
13.368,8,36.4952808,127.2666458,0.0032207917,1692968927931,NORMAL
10.983,9,36.4952811,127.266646,0.0074209124,1692968930517,NORMAL
11.003,10,36.4952811,127.2666459,0.003480949,1692968932531,NORMAL
6.038,11,36.4952813,127.266646,0.009724522,1692968934527,NORMAL
6.047,12,36.4952813,127.2666459,0.0035960271,1692968936507,NORMAL
13.233,13,36.4952813,127.2666459,0.0029354424,1692968937947,NORMAL
11.125,14,36.4952814,127.266646,0.0016905072,1692968940522,NORMAL
11.112,15,36.4952814,127.2666459,0.0040979204,1692968942511,NORMAL
6.486,16,36.4952815,127.266646,0.0054519605,1692968944513,NORMAL
6.486,17,36.4952815,127.2666459,0.0026896915,1692968946512,NORMAL
13.906,18,36.4952815,127.2666459,0.002247272,1692968947997,NORMAL
11.32,19,36.4952815,127.2666459,0.0033229012,1692968950515,NORMAL
11.32,20,36.4952815,127.2666459,0.0019424543,1692968952522,NORMAL
6.47,21,36.4952816,127.2666458,0.0037070028,1692968954524,NORMAL
6.47,22,36.4952816,127.2666457,0.0038715375,1692968956536,NORMAL
14.129,23,36.4952816,127.2666457,0.0038032301,1692968958071,NORMAL
11.571,24,36.4952817,127.266646,0.0039261472,1692968960619,NORMAL
11.571,25,36.4952817,127.2666459,0.0016417028,1692968962522,NORMAL
6.885,26,36.4952818,127.2666462,0.007269321,1692968964534,NORMAL
6.885,27,36.4952818,127.2666461,0.0036569464,1692968966526,NORMAL
3.9,28,36.4952817,127.2666455,0.018810466,1692968968520,NORMAL
7.497,29,36.4952817,127.2666454,0.007875867,1692968970519,NORMAL
7.497,30,36.4952818,127.2666454,0.0042803152,1692968972529,NORMAL
7.059,31,36.4952823,127.2666456,0.025754211,1692968974521,NORMAL
6.449,32,36.4952878,127.2666426,0.33620515,1692968976522,NORMAL
12.148,33,36.4952915,127.2666406,0.29129463,1692968978171,NORMAL
10.498,34,36.4952846,127.2666322,0.19737189,1692968980518,NORMAL
8.613,35,36.4952844,127.2666304,0.14461155,1692968982515,NORMAL
5.818,36,36.4952837,127.2666323,0.0662811,1692968984523,NORMAL
6.586,37,36.4952836,127.2666357,0.1286127,1692968986535,NORMAL
15.169,38,36.4952834,127.2666376,0.10578212,1692968988227,NORMAL
12.352,39,36.4952847,127.2666474,0.25582638,1692968990534,NORMAL
12.352,40,36.4952852,127.2666493,0.11926927,1692968992524,NORMAL
7.362,41,36.4952856,127.2666501,0.052654903,1692968994532,NORMAL
7.362,42,36.4952857,127.2666501,0.017489458,1692968996520,NORMAL
15.356,43,36.4952858,127.2666503,0.013775563,1692968998239,NORMAL
12.465,44,36.4952861,127.2666507,0.015525756,1692969000514,NORMAL
12.465,45,36.4952861,127.2666508,0.006166266,1692969002534,NORMAL
7.547,46,36.4952865,127.2666514,0.030663662,1692969004519,NORMAL
7.547,47,36.4952865,127.2666515,0.011982482,1692969006524,NORMAL
15.756,48,36.4952866,127.2666517,0.009496274,1692969008303,NORMAL
12.792,49,36.4952868,127.266652,0.0137782935,1692969010531,NORMAL
12.792,50,36.4952868,127.2666521,0.0060754907,1692969012519,NORMAL
7.968,51,36.4952871,127.2666526,0.024639297,1692969014529,NORMAL
7.968,52,36.4952872,127.2666527,0.012612991,1692969016520,NORMAL
