accuracy,id,lat,lng,speed,time,type
5.764,1,36.5825613,127.2964616,3.1833975,1693029321581,START
5.298,2,36.5825254,127.2964022,3.0799277,1693029323595,NORMAL
3.9,3,36.582517,127.2963332,2.8032165,1693029325589,NORMAL
7.255,4,36.582532,127.2962753,2.305806,1693029327595,NORMAL
6.137,5,36.5825527,127.2962458,1.8782697,1693029329594,NORMAL
11.494,6,36.5825722,127.2962229,1.8781099,1693029331202,NORMAL
10.329,7,36.5826183,127.2961897,2.1741455,1693029333591,NORMAL
11.936,8,36.5826573,127.2961733,2.142028,1693029335588,NORMAL
7.302,9,36.5826996,127.296172,2.395648,1693029337594,NORMAL
7.302,10,36.5827436,127.2961785,2.5502477,1693029339595,NORMAL
15.103,11,36.5827807,127.2961864,2.5440881,1693029341276,NORMAL
10.578,12,36.5828179,127.2961952,2.5598042,1693029343585,NORMAL
10.578,13,36.5828713,127.296203,2.5384145,1693029345596,NORMAL
6.583,14,36.5829182,127.2962035,2.25175,1693029347591,NORMAL
7.281,15,36.5829491,127.2961997,1.0335759,1693029349592,NORMAL
15.229,16,36.5829644,127.2962005,1.0306714,1693029351291,NORMAL
12.397,17,36.5829587,127.2961909,0.6271012,1693029353603,NORMAL
12.397,18,36.5829578,127.2961901,0.45123574,1693029355591,NORMAL
7.873,19,36.5829616,127.2961913,0.29918915,1693029357586,NORMAL
7.873,20,36.5829821,127.2961929,1.4278973,1693029359588,NORMAL
13.987,21,36.5829985,127.2961931,1.4386234,1693029361316,NORMAL
10.809,22,36.5830483,127.2961957,1.817755,1693029363605,NORMAL
12.536,23,36.5830842,127.2961991,1.889376,1693029365587,NORMAL
7.612,24,36.5831206,127.2962065,2.3363218,1693029367586,NORMAL
7.612,25,36.5831642,127.296221,2.6471417,1693029369595,NORMAL
12.667,26,36.5831825,127.2962279,2.6485603,1693029371350,NORMAL
10.891,27,36.583245,127.2962548,2.01475,1693029373588,NORMAL
10.869,28,36.5832805,127.2962655,1.9900234,1693029375587,NORMAL
7.663,29,36.5833164,127.296271,1.9808347,1693029377590,NORMAL
7.69,30,36.5833531,127.2962729,1.6536628,1693029379584,NORMAL
15.74,31,36.5833782,127.2962739,1.6502367,1693029381361,NORMAL
12.752,32,36.5833817,127.2962669,0.9123552,1693029383598,NORMAL
12.752,33,36.5833748,127.2962611,0.3596524,1693029385595,NORMAL
8.079,34,36.5833715,127.2962603,0.24634577,1693029387589,NORMAL
8.079,35,36.5833705,127.296263,0.14016773,1693029389588,NORMAL
17.129,36,36.5833683,127.2962629,0.13639006,1693029391405,NORMAL
11.073,37,36.5833709,127.2962673,0.07929801,1693029393610,NORMAL
11.095,38,36.5833699,127.2962679,0.070657924,1693029395589,NORMAL
7.161,39,36.5833695,127.296268,0.045243904,1693029397584,NORMAL
8.003,40,36.5833695,127.2962677,0.023057576,1693029399588,NORMAL
16.118,41,36.5833692,127.2962679,0.022318963,1693029401422,NORMAL
13.063,42,36.5833696,127.2962674,0.005720599,1693029403602,NORMAL
13.063,43,36.5833696,127.2962673,0.0049532987,1693029405592,NORMAL
8.147,44,36.5833695,127.2962673,0.004580996,1693029407584,NORMAL
8.147,45,36.5833695,127.2962672,0.0036054046,1693029409616,NORMAL
16.138,46,36.5833695,127.2962672,0.0029393767,1693029411453,NORMAL
13.078,47,36.5833695,127.2962672,8.781401E-5,1693029413593,NORMAL
13.078,48,36.5833695,127.2962672,1.5109558E-5,1693029415590,NORMAL
8.282,49,36.5833695,127.2962672,5.619586E-6,1693029417591,NORMAL
8.282,50,36.5833696,127.2962672,0.004020986,1693029419590,NORMAL
16.541,51,36.5833696,127.2962672,0.0033178204,1693029421492,NORMAL
13.408,52,36.5833696,127.2962671,0.0034135168,1693029423593,NORMAL
13.408,53,36.5833697,127.2962671,0.00440775,1693029425589,NORMAL
8.42,54,36.5833697,127.2962671,8.008171E-4,1693029427589,NORMAL
8.393,55,36.5833698,127.2962671,0.0041204235,1693029429593,NORMAL
3.826,56,36.5833698,127.2962671,8.167883E-4,1693029431584,NORMAL
3.892,57,36.5833698,127.2962671,3.1170988E-4,1693029433597,NORMAL
7.632,58,36.5833698,127.2962671,1.2103886E-4,1693029436533,NORMAL
8.545,59,36.5833698,127.296267,0.0017265095,1693029437586,NORMAL
8.545,60,36.5833698,127.296267,0.001474918,1693029439594,NORMAL
3.9,61,36.5833698,127.2962669,0.0024693368,1693029441582,NORMAL
3.9,62,36.5833698,127.296267,6.138171E-5,1693029443601,NORMAL
3.9,63,36.5833699,127.296267,0.0021181437,1693029445582,NORMAL
7.12,64,36.5833699,127.296267,0.0021320072,1693029446550,NORMAL
8.73,65,36.5833699,127.2962669,0.0020359624,1693029447587,NORMAL
8.73,66,36.5833717,127.2962657,0.1744206,1693029449589,NORMAL
3.9,67,36.5833777,127.296263,0.52542925,1693029451592,NORMAL
3.9,68,36.5834038,127.2962546,1.8385391,1693029453592,NORMAL
3.887,69,36.5834413,127.2962398,2.488512,1693029455585,NORMAL
6.828,70,36.5834884,127.2962172,2.3820145,1693029457580,NORMAL
7.999,71,36.5835322,127.2961867,3.0467403,1693029459582,NORMAL
9.051,72,36.5835802,127.2961416,3.4613583,1693029461587,NORMAL
4.472,73,36.5836172,127.2960963,3.176616,1693029463584,NORMAL
7.298,74,36.5836617,127.2960172,3.0233693,1693029466681,NORMAL
7.13,75,36.5836927,127.2959973,2.9231167,1693029467581,NORMAL
8.229,76,36.5837444,127.2959621,2.8031394,1693029469585,NORMAL
9.339,77,36.5837927,127.2959323,3.004223,1693029471580,NORMAL
4.762,78,36.5838211,127.2958949,3.0074706,1693029473604,NORMAL
4.762,79,36.5838619,127.2958243,3.1894696,1693029475601,NORMAL
8.338,80,36.5838833,127.2957962,3.189432,1693029476708,NORMAL
8.32,81,36.5839526,127.2957063,3.40559,1693029479591,NORMAL
6.648,82,36.583989,127.2956624,3.6173065,1693029481588,NORMAL
4.465,83,36.5840417,127.2956118,3.3559093,1693029483601,NORMAL
4.528,84,36.5841036,127.2955575,3.0824401,1693029485589,NORMAL
7.239,85,36.5841274,127.2955369,3.077219,1693029486734,NORMAL
11.536,86,36.5842019,127.2954882,3.4719737,1693029489599,NORMAL
11.518,87,36.5842382,127.2954613,3.5186229,1693029491592,NORMAL
4.386,88,36.584304,127.2954043,3.5041132,1693029493591,NORMAL
10.077,89,36.5843871,127.2953153,3.5543346,1693029496748,NORMAL
8.539,90,36.5844808,127.2952481,4.002183,1693029499597,NORMAL
8.517,91,36.5845391,127.2951876,3.6155758,1693029501591,NORMAL
4.839,92,36.584576,127.2951168,3.5298197,1693029503589,NORMAL
4.629,93,36.5845926,127.2950362,3.5368435,1693029505595,NORMAL
9.878,94,36.5845976,127.2949901,3.5310802,1693029506803,NORMAL
9.933,95,36.5845507,127.2948685,3.902134,1693029509597,NORMAL
9.933,96,36.5844904,127.294801,4.1524806,1693029511590,NORMAL
5.068,97,36.5844153,127.2947499,4.2280393,1693029513608,NORMAL
5.068,98,36.5843453,127.2946977,4.346617,1693029515593,NORMAL
11.111,99,36.5843041,127.2946724,4.3408275,1693029516802,NORMAL
9.915,100,36.5842187,127.294567,4.3988256,1693029519590,NORMAL
9.888,101,36.5841593,127.2944964,4.529347,1693029521598,NORMAL
5.201,102,36.5840939,127.2944274,4.7294564,1693029523597,NORMAL
12.363,103,36.583978,127.2943119,5.225803,1693029526880,NORMAL
10.247,104,36.5838441,127.2941775,6.359993,1693029529599,NORMAL
10.275,105,36.5837535,127.2940831,6.8351645,1693029531597,NORMAL
5.335,106,36.5836535,127.2939818,7.2776055,1693029533590,NORMAL
5.335,107,36.5835494,127.2938849,6.913576,1693029535595,NORMAL
3.9,108,36.5834563,127.2938027,6.0191097,1693029537594,NORMAL
3.9,109,36.5833803,127.2937269,5.188419,1693029539597,NORMAL
3.9,110,36.5833171,127.2936621,4.484441,1693029541599,NORMAL
3.9,111,36.5832641,127.2936093,3.5555792,1693029543593,NORMAL
3.9,112,36.5832297,127.2935732,2.1580663,1693029545588,NORMAL
3.9,113,36.5832104,127.2935541,1.0436686,1693029547591,NORMAL
6.311,114,36.5832064,127.2935501,0.2936288,1693029549593,NORMAL
6.311,115,36.5832091,127.2935492,0.25985885,1693029551596,NORMAL
13.703,116,36.5832069,127.2935468,0.254583,1693029553076,NORMAL
11.264,117,36.5832103,127.2935462,0.067065544,1693029555596,NORMAL
11.237,118,36.5832091,127.2935458,0.066365,1693029557586,NORMAL
6.332,119,36.5832084,127.2935457,0.04911461,1693029559602,NORMAL
6.332,120,36.5832082,127.2935459,0.030340042,1693029561591,NORMAL
14.006,121,36.5832079,127.2935459,0.02946571,1693029563106,NORMAL
11.479,122,36.5832083,127.2935462,0.007910028,1693029565594,NORMAL
11.452,123,36.5832083,127.2935462,0.0035493176,1693029567599,NORMAL
6.518,124,36.5832084,127.2935461,7.5369736E-4,1693029569595,NORMAL
6.518,125,36.5832084,127.2935461,9.4312313E-4,1693029571602,NORMAL
14.128,126,36.5832084,127.2935461,9.3246537E-4,1693029573137,NORMAL
11.571,127,36.5832084,127.2935461,4.2542713E-4,1693029575598,NORMAL
11.544,128,36.5832015,127.2935391,0.9017026,1693029577597,NORMAL
6.654,129,36.5831793,127.2935155,2.3311403,1693029579590,NORMAL
6.654,130,36.5831449,127.2934777,2.7573009,1693029581594,NORMAL
14.505,131,36.5831175,127.293446,2.7544103,1693029583185,NORMAL
11.826,132,36.5830376,127.2933321,4.707406,1693029585604,NORMAL
11.799,133,36.5829769,127.2932441,5.391347,1693029587586,NORMAL
6.752,134,36.5829109,127.2931382,6.1338553,1693029589600,NORMAL
6.725,135,36.5828488,127.2930225,5.921827,1693029591594,NORMAL
14.692,136,36.5828052,127.2929358,5.908629,1693029593229,NORMAL
12.021,137,36.5826957,127.292887,5.008702,1693029595590,NORMAL
12.049,138,36.5826011,127.292885,5.1260695,1693029597602,NORMAL
3.9,139,36.5825049,127.2929083,5.1702437,1693029599601,NORMAL
3.9,140,36.5824047,127.2929203,5.5431094,1693029601599,NORMAL
3.9,141,36.5822941,127.2929239,6.462475,1693029603596,NORMAL
3.9,142,36.5821731,127.2929337,6.490101,1693029605591,NORMAL
3.9,143,36.5820509,127.2929483,7.059104,1693029607606,NORMAL
3.863,144,36.5819106,127.2929574,7.8255115,1693029609590,NORMAL
3.826,145,36.5817592,127.2929643,8.447747,1693029611598,NORMAL
3.826,146,36.5816038,127.2929609,8.450335,1693029613592,NORMAL
3.863,147,36.5814525,127.2929608,8.234169,1693029615604,NORMAL
3.863,148,36.5812989,127.2929584,8.338454,1693029617591,NORMAL
3.863,149,36.5811485,127.2929549,8.438011,1693029619596,NORMAL
3.863,150,36.5809969,127.2929489,8.498765,1693029621593,NORMAL
3.9,151,36.580841,127.2929396,8.617907,1693029623603,NORMAL
3.9,152,36.5806781,127.2929309,9.023946,1693029625596,NORMAL
3.9,153,36.5805069,127.2929237,9.525134,1693029627599,NORMAL
3.9,154,36.5803263,127.2929192,9.986853,1693029629592,NORMAL
3.863,155,36.5801365,127.2929106,10.454827,1693029631593,NORMAL
3.863,156,36.5799453,127.292903,10.645245,1693029633587,NORMAL
3.863,157,36.5797499,127.2928952,10.962962,1693029635587,NORMAL
3.9,158,36.5795434,127.2928763,11.408142,1693029637594,NORMAL
