accuracy,id,lat,lng,speed,time,type
16.0,1,36.3448938,128.2986099,11.601232,1693143227197,START
13.333,2,36.3450827,128.2984206,13.453726,1693143229201,NORMAL
12.0,3,36.3451973,128.2983181,14.543462,1693143230208,NORMAL
10.0,4,36.3454437,128.2981289,16.08062,1693143232179,NORMAL
9.333,5,36.3455841,128.2980308,16.817177,1693143233197,NORMAL
8.0,6,36.3458945,128.2978206,18.807203,1693143235243,NORMAL
8.0,7,36.3460618,128.2977079,19.821033,1693143236221,NORMAL
7.6,8,36.3464386,128.2974481,21.882854,1693143238261,NORMAL
7.2,9,36.3466341,128.2973145,22.86431,1693143239272,NORMAL
6.8,10,36.3468441,128.2971742,23.74662,1693143240347,NORMAL
6.0,11,36.3472585,128.296903,25.512928,1693143242251,NORMAL
6.0,12,36.3476982,128.2966197,26.735159,1693143244216,NORMAL
6.0,13,36.3479287,128.2964724,27.279747,1693143245228,NORMAL
5.333,14,36.3483947,128.2961771,28.353048,1693143247219,NORMAL
5.0,15,36.348634,128.2960263,28.781206,1693143248223,NORMAL
5.0,16,36.3491068,128.295724,29.099186,1693143250218,NORMAL
5.333,17,36.3493429,128.2955705,29.227013,1693143251220,NORMAL
6.8,18,36.3498239,128.2952554,29.910963,1693143253223,NORMAL
7.6,19,36.3500678,128.2950946,30.319849,1693143254226,NORMAL
7.666,20,36.3505645,128.2947731,31.1762,1693143256215,NORMAL
7.6,21,36.3508262,128.2946071,31.547092,1693143257255,NORMAL
7.0,22,36.351335,128.2942836,31.989601,1693143259218,NORMAL
6.4,23,36.3515946,128.2941177,32.050137,1693143260232,NORMAL
6.0,24,36.3521082,128.2937942,32.234337,1693143262228,NORMAL
6.0,25,36.3523676,128.293631,32.3526,1693143263229,NORMAL
5.666,26,36.3528834,128.2933075,32.465443,1693143265213,NORMAL
5.2,27,36.3531483,128.2931378,32.43137,1693143266242,NORMAL
4.666,28,36.3536682,128.2928114,32.510784,1693143268204,NORMAL
4.333,29,36.3539334,128.2926448,32.59087,1693143269234,NORMAL
4.666,30,36.35446,128.2923135,32.85218,1693143271222,NORMAL
5.0,31,36.3547273,128.2921435,32.752438,1693143272217,NORMAL
5.666,32,36.3552671,128.2918044,33.35438,1693143274210,NORMAL
6.0,33,36.3555424,128.2916338,33.477448,1693143275239,NORMAL
6.0,34,36.3560815,128.2912964,33.54718,1693143277229,NORMAL
6.0,35,36.3563484,128.291125,33.55302,1693143278215,NORMAL
6.333,36,36.3568898,128.2907811,33.382866,1693143280227,NORMAL
7.333,37,36.3571567,128.2906126,33.268986,1693143281218,NORMAL
10.0,38,36.3576965,128.2902709,33.215984,1693143283232,NORMAL
10.333,39,36.3579615,128.2901015,33.334564,1693143284220,NORMAL
13.333,40,36.3584948,128.2897608,33.557034,1693143286213,NORMAL
14.0,41,36.358765,128.2895905,33.773617,1693143287212,NORMAL
17.6,42,36.3593141,128.2892526,34.134308,1693143289227,NORMAL
19.2,43,36.3595926,128.2890864,34.295773,1693143290222,NORMAL
20.0,44,36.3746877,128.2741753,29.46744,1693143361237,NORMAL
16.666,45,36.37474,128.2739521,29.241608,1693143362248,NORMAL
14.0,46,36.3748505,128.2733584,29.606663,1693143364229,NORMAL
13.333,47,36.3749036,128.2730499,29.596249,1693143365208,NORMAL
10.666,48,36.3749975,128.2724111,30.012049,1693143367232,NORMAL
10.0,49,36.3750423,128.27209,29.968498,1693143368212,NORMAL
7.6,50,36.3751229,128.2714289,30.34788,1693143370225,NORMAL
7.6,51,36.3751621,128.2710973,30.408905,1693143371219,NORMAL
7.6,52,36.375216,128.2704218,30.826775,1693143373223,NORMAL
7.6,53,36.3752345,128.2700744,31.201048,1693143374236,NORMAL
7.2,54,36.3752568,128.2693786,31.046997,1693143376239,NORMAL
6.8,55,36.3752652,128.2690308,31.564589,1693143377250,NORMAL
6.333,56,36.3752693,128.2683093,32.94871,1693143379233,NORMAL
6.0,57,36.3752702,128.2679344,33.18483,1693143380247,NORMAL
6.666,58,36.3752663,128.2671918,33.29128,1693143382222,NORMAL
7.666,59,36.3752556,128.2668227,33.64714,1693143383203,NORMAL
9.666,60,36.3752106,128.2660509,34.05972,1693143385235,NORMAL
11.2,61,36.3751796,128.265663,33.898495,1693143386236,NORMAL
12.0,62,36.3750804,128.2649106,34.199116,1693143388227,NORMAL
12.0,63,36.3750093,128.2645319,34.00633,1693143389248,NORMAL
12.0,64,36.3748417,128.2637982,34.46538,1693143391239,NORMAL
12.0,65,36.3747513,128.2634187,34.384834,1693143392244,NORMAL
12.0,66,36.3745583,128.2626523,34.869297,1693143394222,NORMAL
12.0,67,36.3744579,128.2622548,35.23432,1693143395254,NORMAL
12.0,68,36.3742601,128.2614959,35.27616,1693143397208,NORMAL
12.8,69,36.3741578,128.2611027,35.128918,1693143398254,NORMAL
14.0,70,36.3739203,128.2603602,35.088943,1693143400250,NORMAL
15.2,71,36.3737824,128.2600038,35.106552,1693143401234,NORMAL
16.0,72,36.3734691,128.2593033,35.341328,1693143403245,NORMAL
16.0,73,36.3733055,128.2589621,35.210033,1693143404239,NORMAL
16.0,74,36.3729476,128.2582669,35.40742,1693143406259,NORMAL
16.0,75,36.3727726,128.2579234,35.344154,1693143407249,NORMAL
16.0,76,36.3724053,128.2572307,35.488197,1693143409240,NORMAL
