accuracy,id,lat,lng,speed,time,type
29.0,0,37.009247,127.074401,0.00,1693104206000,START
29.0,0,37.009247,127.074401,0.00,1693104207000,STOP
29.0,0,37.009225,127.074399,1.59,1693104224000,NORMAL
29.0,0,37.009212,127.074393,1.59,1693104225000,NORMAL
29.0,0,37.009198,127.074379,2.01,1693104226000,NORMAL
29.0,0,37.009182,127.074361,2.42,1693104227000,NORMAL
29.0,0,37.009165,127.074344,2.37,1693104228000,NORMAL
29.0,0,37.009125,127.074325,2.78,1693104230000,NORMAL
29.0,0,37.009097,127.074319,3.19,1693104231000,NORMAL
29.0,0,37.009072,127.074315,2.78,1693104232000,NORMAL
29.0,0,37.009039,127.074312,2.42,1693104233000,NORMAL
29.0,0,37.009021,127.074310,2.01,1693104234000,NORMAL
29.0,0,37.008996,127.074308,1.59,1693104236000,NORMAL
29.0,0,37.008971,127.074303,2.42,1693104237000,NORMAL
29.0,0,37.008947,127.074285,2.01,1693104239000,NORMAL
29.0,0,37.008933,127.074254,2.42,1693104240000,NORMAL
29.0,0,37.008929,127.074219,3.19,1693104241000,NORMAL
29.0,0,37.008927,127.074183,3.19,1693104242000,NORMAL
29.0,0,37.008924,127.074143,3.60,1693104243000,NORMAL
29.0,0,37.008913,127.074105,3.60,1693104244000,NORMAL
29.0,0,37.008872,127.074055,4.01,1693104246000,NORMAL
29.0,0,37.008834,127.074020,4.01,1693104247000,NORMAL
29.0,0,37.008790,127.073980,3.19,1693104249000,NORMAL
29.0,0,37.008777,127.073953,2.78,1693104250000,NORMAL
29.0,0,37.008766,127.073930,2.37,1693104251000,NORMAL
29.0,0,37.008754,127.073913,2.01,1693104252000,NORMAL
29.0,0,37.008746,127.073904,0.82,1693104253000,STOP
29.0,0,37.008710,127.073908,2.83,1693104279000,NORMAL
29.0,0,37.008674,127.073909,3.96,1693104280000,NORMAL
29.0,0,37.008630,127.073910,3.60,1693104281000,NORMAL
29.0,0,37.008577,127.073907,3.60,1693104283000,NORMAL
29.0,0,37.008555,127.073905,2.42,1693104284000,NORMAL
29.0,0,37.008524,127.073901,2.42,1693104285000,NORMAL
29.0,0,37.008502,127.073898,2.01,1693104286000,NORMAL
29.0,0,37.008481,127.073892,2.01,1693104287000,NORMAL
29.0,0,37.008456,127.073875,2.01,1693104289000,NORMAL
29.0,0,37.008445,127.073857,2.01,1693104290000,NORMAL
29.0,0,37.008439,127.073836,2.01,1693104291000,NORMAL
29.0,0,37.008439,127.073796,2.83,1693104292000,NORMAL
29.0,0,37.008444,127.073765,2.78,1693104293000,NORMAL
29.0,0,37.008450,127.073735,2.78,1693104294000,NORMAL
29.0,0,37.008460,127.073682,2.42,1693104296000,NORMAL
29.0,0,37.008464,127.073665,1.59,1693104297000,NORMAL
29.0,0,37.008468,127.073648,1.59,1693104298000,NORMAL
29.0,0,37.008480,127.073601,3.60,1693104299000,NORMAL
29.0,0,37.008491,127.073562,3.60,1693104300000,NORMAL
29.0,0,37.008510,127.073490,4.37,1693104302000,NORMAL
29.0,0,37.008521,127.073438,4.37,1693104303000,NORMAL
29.0,0,37.008531,127.073376,4.42,1693104304000,NORMAL
29.0,0,37.008542,127.073301,3.60,1693104306000,NORMAL
29.0,0,37.008548,127.073253,3.60,1693104307000,NORMAL
29.0,0,37.008554,127.073199,2.42,1693104309000,NORMAL
29.0,0,37.008557,127.073177,2.01,1693104310000,NORMAL
29.0,0,37.008559,127.073164,0.82,1693104311000,STOP
29.0,0,37.008562,127.073142,1.59,1693104354000,NORMAL
29.0,0,37.008567,127.073097,4.01,1693104355000,NORMAL
29.0,0,37.008572,127.073008,4.84,1693104357000,NORMAL
29.0,0,37.008556,127.072935,5.20,1693104358000,NORMAL
29.0,0,37.008521,127.072878,6.43,1693104359000,NORMAL
29.0,0,37.008428,127.072790,7.56,1693104361000,NORMAL
29.0,0,37.008354,127.072775,8.44,1693104362000,NORMAL
29.0,0,37.008283,127.072761,7.97,1693104363000,NORMAL
29.0,0,37.008215,127.072748,7.61,1693104364000,NORMAL
29.0,0,37.008151,127.072736,5.20,1693104365000,NORMAL
29.0,0,37.008115,127.072729,4.01,1693104366000,NORMAL
29.0,0,37.008088,127.072724,2.42,1693104367000,NORMAL
29.0,0,37.008074,127.072721,0.82,1693104369000,STOP
29.0,0,37.008049,127.072716,1.59,1693104375000,NORMAL
