accuracy,id,lat,lng,speed,time,type
5.67,1,36.6147722,127.4484317,1.3677683,1693104209868,START
5.38,2,36.6147644,127.4484343,0.29962802,1693104211870,NORMAL
5.317,3,36.6147852,127.4483505,2.5816753,1693104213875,NORMAL
5.989,4,36.6148188,127.4482791,3.1224296,1693104215867,NORMAL
7.304,5,36.6148639,127.4482073,2.698334,1693104217871,NORMAL
8.466,6,36.614878,127.4481881,2.1019907,1693104219868,NORMAL
8.716,7,36.6149118,127.4481211,2.7513814,1693104221871,NORMAL
9.044,8,36.6149511,127.4480674,2.8203971,1693104223871,NORMAL
10.248,9,36.6149887,127.4480089,2.623028,1693104225872,NORMAL
11.681,10,36.6150266,127.447969,2.0792832,1693104227870,NORMAL
11.25,11,36.6150822,127.4479594,3.0892057,1693104229872,NORMAL
11.292,12,36.6151505,127.4479811,2.6788654,1693104231871,NORMAL
11.392,13,36.6152014,127.4480523,3.9410539,1693104233948,NORMAL
11.393,14,36.6152645,127.4481704,5.883942,1693104235870,NORMAL
10.447,15,36.6154109,127.4482749,5.7644753,1693104237881,NORMAL
8.252,16,36.6154888,127.448353,5.2551003,1693104239869,NORMAL
5.212,17,36.6155575,127.4484284,4.816444,1693104241944,NORMAL
4.255,18,36.6156482,127.4485442,2.7488565,1693104245940,NORMAL
4.153,19,36.6156693,127.4485628,0.5569014,1693104247942,NORMAL
3.918,20,36.6156698,127.4485599,0.52320796,1693104249871,NORMAL
3.863,21,36.6156612,127.4485678,0.23945197,1693104253947,NORMAL
3.863,22,36.6156579,127.4485659,0.13642931,1693104255869,NORMAL
12.347,23,36.6156567,127.4485655,0.11801418,1693104257142,NORMAL
10.262,24,36.6156597,127.4485621,0.10658876,1693104259868,NORMAL
10.262,25,36.6156588,127.4485618,0.047270067,1693104261870,NORMAL
5.477,26,36.6156579,127.4485627,0.05534572,1693104263868,NORMAL
5.477,27,36.6156582,127.4485623,0.010630936,1693104265869,NORMAL
5.408,28,36.6156615,127.4485611,0.05699352,1693104269955,NORMAL
7.521,29,36.6156625,127.4485606,0.057723638,1693104271866,NORMAL
10.879,30,36.6156636,127.4485566,0.07860474,1693104275882,NORMAL
9.935,31,36.6156752,127.4485459,0.7567088,1693104277881,NORMAL
9.935,32,36.6156969,127.4485255,0.8163712,1693104279880,NORMAL
9.935,33,36.6157098,127.4485021,0.2499791,1693104281880,NORMAL
10.528,34,36.6157064,127.448455,0.32714742,1693104285880,NORMAL
9.935,35,36.6157057,127.4484483,0.30806378,1693104287882,NORMAL
9.935,36,36.615709,127.4484394,0.20871812,1693104289882,NORMAL
9.935,37,36.6157129,127.4484344,0.170853,1693104291882,NORMAL
9.935,38,36.6157177,127.4484303,0.19908501,1693104293881,NORMAL
9.935,39,36.6157225,127.4484267,0.16566567,1693104295880,NORMAL
9.935,40,36.6157237,127.4484255,0.13542263,1693104297882,NORMAL
9.935,41,36.6157237,127.4484254,0.058083776,1693104299882,NORMAL
9.935,42,36.6157239,127.4484243,0.053308442,1693104301881,NORMAL
10.779,43,36.6157295,127.4484175,0.50331515,1693104303882,NORMAL
10.779,44,36.6157353,127.4484175,1.9293547,1693104305882,NORMAL
9.18,45,36.6157458,127.4484449,1.3005451,1693104307881,NORMAL
6.582,46,36.6157326,127.448453,0.7049838,1693104309881,NORMAL
3.887,47,36.6157086,127.4484598,0.63547033,1693104312882,NORMAL
3.875,48,36.6156982,127.4484656,0.58571196,1693104314880,NORMAL
3.884,49,36.6156933,127.4484595,0.9824002,1693104316881,NORMAL
3.9,50,36.6156817,127.4484505,0.7968365,1693104318881,NORMAL
3.9,51,36.615678,127.4484441,0.556664,1693104320881,NORMAL
3.9,52,36.6156767,127.4484397,0.5021875,1693104322882,NORMAL
3.9,53,36.6156782,127.4484401,0.22944465,1693104324880,NORMAL
3.9,54,36.6156794,127.4484416,0.0760467,1693104326882,NORMAL
