accuracy,id,lat,lng,speed,time,type
4.8,1,36.8231244,127.8166239,7.299803,1693270885144,START
4.8,2,36.8231075,127.8165415,7.5145993,1693270886150,NORMAL
5.2,3,36.8230761,127.8163709,7.8676934,1693270888133,NORMAL
5.333,4,36.8230592,127.8162821,8.056159,1693270889132,NORMAL
6.0,5,36.8230206,127.8161066,7.8496675,1693270891131,NORMAL
6.0,6,36.8229997,127.8160219,7.749756,1693270892146,NORMAL
6.0,7,36.8229591,127.8158566,7.7443585,1693270894136,NORMAL
6.0,8,36.8229388,127.815775,7.551044,1693270895133,NORMAL
6.0,9,36.8229015,127.8156236,6.723879,1693270897130,NORMAL
6.0,10,36.8228846,127.8155553,6.2219214,1693270898132,NORMAL
5.6,11,36.8228596,127.8154343,5.2529006,1693270900141,NORMAL
5.333,12,36.8228601,127.8153783,5.1201177,1693270901132,NORMAL
4.8,13,36.8228931,127.8152685,5.045492,1693270903138,NORMAL
4.8,14,36.8229243,127.8152242,5.1159024,1693270904137,NORMAL
4.4,15,36.8230046,127.8151636,5.127695,1693270906153,NORMAL
4.333,16,36.8230517,127.815148,5.3691077,1693270907130,NORMAL
4.0,17,36.8231495,127.8151181,5.6920595,1693270909135,NORMAL
4.0,18,36.8232013,127.8151012,5.9221573,1693270910135,NORMAL
4.0,19,36.8233084,127.8150645,5.9856915,1693270912130,NORMAL
4.0,20,36.8233634,127.815046,6.4674277,1693270913148,NORMAL
4.4,21,36.8234711,127.8150052,6.1802025,1693270915161,NORMAL
4.8,22,36.8235238,127.8149838,6.4138994,1693270916137,NORMAL
5.333,23,36.8236271,127.8149343,6.2312813,1693270918139,NORMAL
5.666,24,36.8236799,127.8149057,6.500755,1693270919129,NORMAL
6.0,25,36.8237857,127.8148359,6.58685,1693270921147,NORMAL
6.0,26,36.8238381,127.8147991,6.76148,1693270922126,NORMAL
5.2,27,36.8239424,127.8147127,6.8936763,1693270924143,NORMAL
4.8,28,36.823993,127.8146669,6.944665,1693270925136,NORMAL
4.0,29,36.8240908,127.8145638,7.1999617,1693270927136,NORMAL
4.0,30,36.8241379,127.8145059,7.359028,1693270928139,NORMAL
4.0,31,36.8242321,127.8143873,7.501941,1693270930131,NORMAL
4.0,32,36.8242815,127.8143284,7.589381,1693270931129,NORMAL
4.0,33,36.824383,127.8142077,7.6958823,1693270933135,NORMAL
4.0,34,36.8244316,127.8141439,7.747933,1693270934145,NORMAL
4.0,35,36.824525,127.8140139,7.650231,1693270936138,NORMAL
4.0,36,36.8245677,127.8139476,7.5027795,1693270937132,NORMAL
4.0,37,36.8246388,127.813809,7.263721,1693270939140,NORMAL
4.0,38,36.8246692,127.8137376,7.235537,1693270940135,NORMAL
4.0,39,36.8247232,127.8135909,7.2058015,1693270942152,NORMAL
4.0,40,36.8247499,127.8135176,7.284556,1693270943138,NORMAL
4.0,41,36.8248048,127.8133594,7.895222,1693270945138,NORMAL
4.0,42,36.8248321,127.8132742,8.228564,1693270946150,NORMAL
4.0,43,36.8248845,127.8130974,8.642977,1693270948135,NORMAL
4.0,44,36.8249086,127.8130042,8.66145,1693270949160,NORMAL
4.0,45,36.8249574,127.812819,8.865258,1693270951137,NORMAL
4.0,46,36.8249823,127.8127239,8.914285,1693270952138,NORMAL
4.0,47,36.8250328,127.8125423,8.365819,1693270954139,NORMAL
4.0,48,36.8250579,127.8124597,7.609933,1693270955137,NORMAL
4.0,49,36.8250952,127.812325,5.424695,1693270957142,NORMAL
4.0,50,36.8250914,127.8122661,5.2900414,1693270958131,NORMAL
4.8,51,36.8250437,127.8121623,5.5445704,1693270960141,NORMAL
5.2,52,36.8249959,127.8121302,5.8694744,1693270961132,NORMAL
6.0,53,36.8248804,127.8120887,6.43278,1693270963134,NORMAL
6.0,54,36.824817,127.8120668,6.5094485,1693270964139,NORMAL
6.0,55,36.8246908,127.8120183,7.3641768,1693270966130,NORMAL
6.0,56,36.8246225,127.8119885,7.600834,1693270967128,NORMAL
6.0,57,36.8244828,127.8119187,7.915341,1693270969137,NORMAL
6.0,58,36.8244143,127.811874,8.113411,1693270970126,NORMAL
6.0,59,36.824275,127.8117735,8.755312,1693270972139,NORMAL
5.6,60,36.824203,127.8117152,9.19057,1693270973134,NORMAL
4.8,61,36.8240615,127.8115838,9.637186,1693270975129,NORMAL
4.4,62,36.8239909,127.8115108,9.894427,1693270976140,NORMAL
4.0,63,36.8238541,127.8113588,10.008665,1693270978127,NORMAL
4.0,64,36.8237869,127.8112779,10.2865305,1693270979128,NORMAL
4.0,65,36.8236561,127.8111102,10.546055,1693270981128,NORMAL
4.0,66,36.8235926,127.8110228,10.684016,1693270982129,NORMAL
4.0,67,36.8234642,127.810845,10.785737,1693270984130,NORMAL
4.0,68,36.8233996,127.810755,11.0229645,1693270985134,NORMAL
4.0,69,36.8232709,127.810577,10.801735,1693270987135,NORMAL
4.0,70,36.8232067,127.8104885,10.793762,1693270988129,NORMAL
4.0,71,36.8230785,127.810306,10.669512,1693270990133,NORMAL
4.0,72,36.8230143,127.8102163,10.661375,1693270991141,NORMAL
4.0,73,36.8228888,127.8100428,10.450649,1693270993121,NORMAL
4.4,74,36.8227574,127.8098724,10.521642,1693270995139,NORMAL
4.666,75,36.8226897,127.8097902,10.642532,1693270996115,NORMAL
