accuracy,id,lat,lng,speed,time,type
11.224,1,36.4326982,127.2780744,8.905209,1693296219879,START
3.872,2,36.432577,127.2783164,7.411083,1693296222880,NORMAL
4.897,3,36.4324998,127.2785018,4.580214,1693296225879,NORMAL
4.897,4,36.4325031,127.2785882,4.094628,1693296227878,NORMAL
3.9,5,36.4325766,127.2786713,5.841361,1693296229879,NORMAL
3.9,6,36.4326835,127.2787723,7.7381353,1693296231879,NORMAL
11.978,7,36.4327428,127.2788362,7.72334,1693296233091,NORMAL
9.959,8,36.4329362,127.2790441,9.474856,1693296235880,NORMAL
9.959,9,36.4330615,127.2791874,9.401417,1693296237880,NORMAL
3.9,10,36.4331739,127.2793297,8.525432,1693296239879,NORMAL
3.9,11,36.4332652,127.2794593,7.013122,1693296241879,NORMAL
3.9,12,36.4333101,127.2795588,4.227399,1693296243879,NORMAL
3.9,13,36.433285,127.2796311,3.4910371,1693296245880,NORMAL
3.9,14,36.4332317,127.2796871,4.3131404,1693296247879,NORMAL
3.9,15,36.4331746,127.2797467,4.367778,1693296249878,NORMAL
11.827,16,36.4331432,127.279783,4.3439207,1693296251068,NORMAL
9.845,17,36.433037,127.2798787,4.418814,1693296253878,NORMAL
9.845,18,36.4329661,127.2799339,2.8864355,1693296255879,NORMAL
10.681,19,36.4329422,127.2799381,2.8776844,1693296256897,NORMAL
8.986,20,36.4329088,127.2799067,3.4235098,1693296257879,NORMAL
8.986,21,36.4328385,127.2798365,5.359812,1693296259878,NORMAL
8.986,22,36.432749,127.2797435,6.600483,1693296261879,NORMAL
3.9,23,36.4326441,127.2796447,7.4076476,1693296263879,NORMAL
3.9,24,36.4325337,127.2795306,8.079934,1693296265879,NORMAL
3.9,25,36.4324107,127.2794139,8.740267,1693296267878,NORMAL
3.9,26,36.4322812,127.2792871,9.517942,1693296269878,NORMAL
3.9,27,36.4321391,127.2791584,9.746043,1693296271878,NORMAL
3.9,28,36.4319881,127.2790437,9.884264,1693296273878,NORMAL
3.9,29,36.4318309,127.2789425,9.849976,1693296275878,NORMAL
3.9,30,36.4316719,127.2788424,9.820025,1693296277878,NORMAL
3.9,31,36.4315122,127.278748,9.7300005,1693296279877,NORMAL
3.9,32,36.4313608,127.2786499,9.040038,1693296281878,NORMAL
3.9,33,36.4312316,127.2785638,7.32006,1693296283878,NORMAL
3.9,34,36.4311186,127.278543,6.0298257,1693296285878,NORMAL
3.9,35,36.4310218,127.278597,5.6409054,1693296287878,NORMAL
3.9,36,36.4309483,127.2786825,5.2958317,1693296289878,NORMAL
3.9,37,36.4309042,127.278762,3.6273677,1693296291878,NORMAL
3.9,38,36.4308714,127.2787937,2.385118,1693296293877,NORMAL
3.9,39,36.4308346,127.2787604,2.8810084,1693296295878,NORMAL
16.272,40,36.4308014,127.2787209,2.8711019,1693296297734,NORMAL
13.179,41,36.4309256,127.278535,7.279898,1693296299878,NORMAL
13.179,42,36.43099,127.2783869,6.7300396,1693296301878,NORMAL
7.849,43,36.4310698,127.2783076,5.4516892,1693296303877,NORMAL
7.849,44,36.4311768,127.2783243,6.1559753,1693296305878,NORMAL
3.9,45,36.4313056,127.2783922,7.9688563,1693296307879,NORMAL
3.9,46,36.43146,127.2784616,9.235774,1693296309878,NORMAL
3.9,47,36.4316366,127.2785387,10.603185,1693296311878,NORMAL
3.9,48,36.4318332,127.2786281,11.562106,1693296313878,NORMAL
3.9,49,36.4320374,127.2787468,12.499563,1693296315878,NORMAL
3.9,50,36.4322428,127.2789083,13.45194,1693296317878,NORMAL
3.9,51,36.432456,127.2791039,14.806294,1693296319878,NORMAL
3.9,52,36.4326955,127.2793285,17.08056,1693296321877,NORMAL
3.9,53,36.4329488,127.2795917,18.525866,1693296323878,NORMAL
3.9,54,36.4332026,127.2798952,19.651861,1693296325878,NORMAL
3.9,55,36.4334523,127.2802323,20.72174,1693296327878,NORMAL
3.9,56,36.4336853,127.2806105,21.239183,1693296329878,NORMAL
3.9,57,36.4338924,127.2810069,20.740011,1693296331879,NORMAL
3.9,58,36.4340855,127.2813954,20.160013,1693296333878,NORMAL
3.9,59,36.4342699,127.2817702,19.170029,1693296335878,NORMAL
3.9,60,36.4344532,127.2821352,19.47999,1693296337878,NORMAL
3.9,61,36.4346403,127.2825067,19.685137,1693296339877,NORMAL
3.9,62,36.4348291,127.2828841,20.239988,1693296341878,NORMAL
3.9,63,36.4350233,127.2832701,20.449997,1693296343878,NORMAL
3.9,64,36.4352134,127.2836575,20.44,1693296345877,NORMAL
3.9,65,36.435402,127.2840504,20.619991,1693296347877,NORMAL
3.9,66,36.4356,127.2844386,20.356459,1693296349878,NORMAL
3.9,67,36.4357914,127.2848203,20.122904,1693296351878,NORMAL
3.9,68,36.4359829,127.2851867,19.350033,1693296353877,NORMAL
3.9,69,36.4361646,127.2855479,18.960022,1693296355878,NORMAL
3.9,70,36.4363468,127.2859053,18.595854,1693296357878,NORMAL
3.9,71,36.4365255,127.2862885,21.275358,1693296359878,NORMAL
3.9,72,36.4366956,127.2866389,17.41711,1693296361878,NORMAL
3.9,73,36.436865,127.2869403,16.980022,1693296363877,NORMAL
3.9,74,36.4370347,127.2872252,15.665368,1693296365877,NORMAL
3.9,75,36.4372207,127.2874575,14.000405,1693296367878,NORMAL
3.9,76,36.4374349,127.2876036,13.19599,1693296369878,NORMAL
3.9,77,36.4376714,127.2876574,13.108758,1693296371879,NORMAL
3.9,78,36.4379181,127.2876234,13.618747,1693296373879,NORMAL
3.9,79,36.4381517,127.2875208,13.719293,1693296375878,NORMAL
3.9,80,36.4383473,127.2873229,14.048824,1693296377877,NORMAL
3.9,81,36.4385045,127.2870714,14.175748,1693296379878,NORMAL
3.9,82,36.4386615,127.2868139,14.613273,1693296381879,NORMAL
3.9,83,36.4388511,127.2865728,14.939981,1693296383878,NORMAL
3.9,84,36.4390821,127.2863747,15.505822,1693296385877,NORMAL
3.9,85,36.4393531,127.286241,16.207113,1693296387879,NORMAL
3.9,86,36.4396461,127.2861796,16.31975,1693296389878,NORMAL
3.9,87,36.4399475,127.2861734,16.651625,1693296391878,NORMAL
3.9,88,36.4402617,127.2861559,17.411783,1693296393878,NORMAL
3.9,89,36.4405912,127.2861246,18.347517,1693296395879,NORMAL
