accuracy,id,lat,lng,speed,time,type
55.0,0,36.500237,127.325728,3.86,1693264838000,START
22.2,0,36.500520,127.325827,2.37,1693264840000,NORMAL
14.2,0,36.500724,127.325645,7.54,1693264842000,NORMAL
14.1,0,36.500737,127.325405,9.26,1693264844000,NORMAL
13.0,0,36.500747,127.325364,9.77,1693264845000,NORMAL
11.9,0,36.500799,127.325143,7.98,1693264851000,NORMAL
8.8,0,36.500795,127.325074,8.26,1693264852000,NORMAL
7.1,0,36.500787,127.325022,7.98,1693264853000,NORMAL
8.1,0,36.500787,127.324834,7.74,1693264855000,NORMAL
8.1,0,36.500808,127.324674,10.10,1693264856000,NORMAL
8.2,0,36.500891,127.324500,9.32,1693264858000,NORMAL
8.2,0,36.500808,127.324323,9.10,1693264860000,NORMAL
8.2,0,36.500814,127.324252,9.10,1693264861000,NORMAL
8.2,0,36.500865,127.324218,6.66,1693264862000,NORMAL
8.2,0,36.500991,127.324135,7.19,1693264864000,NORMAL
8.2,0,36.501060,127.324108,7.76,1693264865000,NORMAL
8.2,0,36.501189,127.324058,7.76,1693264867000,NORMAL
8.2,0,36.501218,127.324066,5.46,1693264868000,NORMAL
8.2,0,36.501219,127.323996,5.46,1693264869000,NORMAL
8.2,0,36.501090,127.323984,4.99,1693264871000,NORMAL
8.2,0,36.501034,127.324024,6.23,1693264872000,NORMAL
8.2,0,36.500965,127.324030,6.91,1693264873000,NORMAL
8.1,0,36.500807,127.324119,10.04,1693264875000,NORMAL
8.1,0,36.500690,127.324171,11.60,1693264876000,NORMAL
8.1,0,36.500573,127.324213,12.69,1693264877000,NORMAL
8.1,0,36.500325,127.324283,12.63,1693264879000,NORMAL
8.1,0,36.500114,127.324339,11.80,1693264881000,NORMAL
8.1,0,36.499914,127.324315,10.85,1693264883000,NORMAL
8.1,0,36.499747,127.324404,10.05,1693264885000,NORMAL
8.1,0,36.499596,127.324547,10.75,1693264887000,NORMAL
8.1,0,36.499388,127.324656,12.36,1693264889000,NORMAL
