accuracy,id,lat,lng,speed,time,type
8.323,1,36.4992731,127.2498946,13.465907,1693345181249,START
8.954,2,36.4992765,127.2493619,18.40564,1693345184250,NORMAL
8.467,3,36.4992959,127.2488389,18.908375,1693345186248,NORMAL
9.457,4,36.4993444,127.2485452,17.490776,1693345187660,NORMAL
7.572,5,36.4993755,127.2481741,16.293571,1693345189661,NORMAL
6.483,6,36.4993791,127.2478394,13.941362,1693345191661,NORMAL
5.518,7,36.4993829,127.2475191,13.853133,1693345193660,NORMAL
4.962,8,36.4993779,127.247222,13.231474,1693345195660,NORMAL
4.505,9,36.499397,127.2469366,12.784449,1693345197661,NORMAL
3.944,10,36.4994232,127.2466584,11.981516,1693345199660,NORMAL
3.9,11,36.4994454,127.2463988,10.844075,1693345201660,NORMAL
3.9,12,36.499465,127.2461723,9.640379,1693345203660,NORMAL
3.9,13,36.499476,127.2459637,9.441326,1693345205660,NORMAL
3.9,14,36.4994819,127.2457626,9.072594,1693345207660,NORMAL
4.179,15,36.4994658,127.2455965,6.654775,1693345209661,NORMAL
4.179,16,36.4994723,127.2453809,10.373227,1693345211660,NORMAL
4.143,17,36.4994929,127.2451299,11.032815,1693345213661,NORMAL
3.863,18,36.4995121,127.2448707,11.762914,1693345215660,NORMAL
3.863,19,36.499525,127.2445992,11.809276,1693345217660,NORMAL
3.9,20,36.4995372,127.2443141,12.596939,1693345219660,NORMAL
3.9,21,36.4995555,127.2440204,13.250193,1693345221660,NORMAL
3.9,22,36.4995988,127.2437466,11.554815,1693345223660,NORMAL
3.9,23,36.4996434,127.2435076,11.343556,1693345225661,NORMAL
3.951,24,36.4996631,127.243243,12.280992,1693345227661,NORMAL
3.914,25,36.4996631,127.2429648,12.408475,1693345229660,NORMAL
3.914,26,36.4996716,127.2426787,12.724347,1693345231660,NORMAL
3.863,27,36.4996893,127.2423849,12.756895,1693345233660,NORMAL
3.9,28,36.4997144,127.2420829,13.944266,1693345235660,NORMAL
3.9,29,36.4997378,127.2417707,13.429818,1693345237661,NORMAL
3.9,30,36.4997586,127.2414685,13.329534,1693345239661,NORMAL
3.9,31,36.4997764,127.2411826,12.065406,1693345241661,NORMAL
