accuracy,id,lat,lng,speed,time,type
10.268,1,36.4275978,127.2739583,5.745725,1693545611409,START
10.237,2,36.4276113,127.2740221,6.235235,1693545612390,NORMAL
10.196,3,36.4276399,127.2741703,6.9969354,1693545614397,NORMAL
10.019,4,36.4276576,127.2742461,7.290758,1693545615396,NORMAL
9.946,5,36.4276893,127.2744141,7.8777294,1693545617406,NORMAL
9.944,6,36.427708,127.2744985,7.897401,1693545618396,NORMAL
9.935,7,36.4277405,127.2746738,8.67648,1693545620395,NORMAL
9.935,8,36.4277578,127.2747671,8.897491,1693545621389,NORMAL
9.935,9,36.4277944,127.274963,9.41894,1693545623401,NORMAL
9.935,10,36.4278117,127.2750679,9.7573,1693545624398,NORMAL
9.935,11,36.4278457,127.2752808,9.4237175,1693545626401,NORMAL
9.935,12,36.4278629,127.2753842,9.297987,1693545627416,NORMAL
9.935,13,36.4278987,127.2755815,9.110416,1693545629391,NORMAL
9.935,14,36.4279144,127.2756805,9.13866,1693545630392,NORMAL
9.935,15,36.42795,127.2758739,8.721241,1693545632409,NORMAL
9.935,16,36.4279651,127.275967,8.611519,1693545633413,NORMAL
9.935,17,36.4279965,127.2761531,8.340839,1693545635407,NORMAL
9.935,18,36.4280169,127.2762441,8.310504,1693545636404,NORMAL
9.935,19,36.4280534,127.2764191,7.6259327,1693545638400,NORMAL
9.935,20,36.428069,127.2765014,7.012128,1693545639404,NORMAL
9.935,21,36.4280959,127.2766497,6.8470955,1693545641409,NORMAL
9.935,22,36.428109,127.276726,6.6106577,1693545642401,NORMAL
9.935,23,36.4281245,127.2768657,5.594077,1693545644408,NORMAL
9.935,24,36.4281367,127.2769225,5.2023134,1693545645388,NORMAL
9.935,25,36.4282021,127.2770164,6.235227,1693545647397,NORMAL
9.935,26,36.4282558,127.2770453,6.499346,1693545648408,NORMAL
9.935,27,36.428386,127.2770572,7.386962,1693545650393,NORMAL
9.935,28,36.428455,127.2770458,7.99294,1693545651383,NORMAL
9.935,29,36.4286083,127.2770373,8.568428,1693545653390,NORMAL
9.935,30,36.428693,127.2770421,9.047316,1693545654397,NORMAL
9.935,31,36.42886,127.277082,9.388846,1693545656399,NORMAL
9.935,32,36.4289417,127.2771177,9.89789,1693545657398,NORMAL
9.935,33,36.4291077,127.2772228,10.678079,1693545659401,NORMAL
9.935,34,36.4291849,127.2772954,10.738017,1693545660400,NORMAL
10.027,35,36.4293258,127.2774629,10.481002,1693545662401,NORMAL
10.26,36,36.4293926,127.2775444,10.427268,1693545663413,NORMAL
10.713,37,36.4295057,127.2777843,12.171838,1693545665402,NORMAL
10.831,38,36.4295648,127.2779052,11.995411,1693545666398,NORMAL
10.744,39,36.4296798,127.278131,10.940631,1693545668395,NORMAL
10.472,40,36.4297328,127.278232,10.645618,1693545669396,NORMAL
10.33,41,36.4298324,127.2784296,10.497708,1693545671402,NORMAL
10.322,42,36.4298851,127.2785301,10.45048,1693545672398,NORMAL
10.299,43,36.4299809,127.2787288,10.648109,1693545674409,NORMAL
10.3,44,36.4300325,127.2788284,10.728554,1693545675406,NORMAL
10.287,45,36.4301303,127.2790347,10.946684,1693545677397,NORMAL
10.268,46,36.4301792,127.2791381,10.671439,1693545678403,NORMAL
10.185,47,36.4302681,127.2793245,8.613174,1693545680403,NORMAL
10.089,48,36.4303013,127.2793982,6.815051,1693545681401,NORMAL
10.01,49,36.4303541,127.2795144,5.829719,1693545683395,NORMAL
9.971,50,36.4303806,127.2795655,4.467411,1693545684397,NORMAL
9.935,51,36.4304604,127.2795988,5.2855306,1693545686409,NORMAL
9.935,52,36.4305074,127.2795729,5.734921,1693545687411,NORMAL
9.935,53,36.430579,127.2794628,7.48391,1693545689405,NORMAL
9.935,54,36.4306066,127.279381,7.390891,1693545690410,NORMAL
9.935,55,36.430656,127.2792351,6.24953,1693545692402,NORMAL
9.935,56,36.4306748,127.2791771,4.453493,1693545693390,NORMAL
9.935,57,36.4306946,127.2791225,1.2480872,1693545695402,NORMAL
9.935,58,36.4306997,127.2791159,0.9806689,1693545696397,NORMAL
9.935,59,36.4307054,127.2790997,2.0162575,1693545698387,NORMAL
9.935,60,36.4307104,127.2790779,2.269357,1693545699402,NORMAL
11.548,61,36.4307267,127.2790178,3.8417335,1693545701413,NORMAL
11.317,62,36.430742,127.2789708,4.799923,1693545702402,NORMAL
11.548,63,36.430784,127.2788454,7.106794,1693545704406,NORMAL
11.548,64,36.4308121,127.2787694,7.4311457,1693545705401,NORMAL
11.421,65,36.4308697,127.2786187,6.963958,1693545707400,NORMAL
11.421,66,36.4308938,127.2785514,5.6084347,1693545708394,NORMAL
11.668,67,36.4309322,127.2784415,5.354497,1693545710403,NORMAL
9.935,68,36.4309539,127.2783891,5.540549,1693545711407,NORMAL
9.935,69,36.4310267,127.2783194,4.7982626,1693545713400,NORMAL
9.935,70,36.4310731,127.2783131,5.14432,1693545714405,NORMAL
9.935,71,36.4311713,127.278353,6.1265945,1693545716401,NORMAL
9.935,72,36.4312274,127.2783903,6.77612,1693545717403,NORMAL
9.935,73,36.4313543,127.2784551,7.6386724,1693545719410,NORMAL
9.935,74,36.4314208,127.2784853,7.9155045,1693545720394,NORMAL
9.935,75,36.4315618,127.2785528,8.500458,1693545722394,NORMAL
9.935,76,36.4316347,127.2785875,8.740279,1693545723389,NORMAL
9.935,77,36.4317878,127.2786609,9.243231,1693545725400,NORMAL
9.935,78,36.4318647,127.2787029,9.586818,1693545726398,NORMAL
9.935,79,36.4320253,127.278808,11.071984,1693545728399,NORMAL
9.935,80,36.4321098,127.2788717,11.457484,1693545729387,NORMAL
9.964,81,36.4322901,127.2790167,11.979923,1693545731407,NORMAL
9.959,82,36.4323823,127.2791045,13.073079,1693545732405,NORMAL
9.964,83,36.4325846,127.2793092,15.08568,1693545734398,NORMAL
9.964,84,36.4326941,127.279424,16.105322,1693545735404,NORMAL
9.935,85,36.4329201,127.2796733,17.236591,1693545737404,NORMAL
9.935,86,36.4330371,127.2798087,17.887106,1693545738397,NORMAL
9.935,87,36.4332749,127.2801026,18.82638,1693545740390,NORMAL
9.935,88,36.4333908,127.2802671,19.310543,1693545741390,NORMAL
9.935,89,36.4336096,127.2806249,19.981943,1693545743398,NORMAL
9.935,90,36.4337135,127.2808112,20.123978,1693545744396,NORMAL
9.935,91,36.4339161,127.2811964,20.299698,1693545746404,NORMAL
9.935,92,36.4340134,127.2813922,20.36005,1693545747408,NORMAL
