accuracy,id,lat,lng,speed,time,type
41.2,0,36.781407,126.503580,0.00,1693653116000,START
44.0,0,36.781328,126.503539,0.00,1693653122000,STOP
8.0,0,36.781772,126.503307,1.37,1693653198000,NORMAL
8.1,0,36.781784,126.503318,2.10,1693653200000,NORMAL
8.2,0,36.781810,126.503315,2.25,1693653202000,NORMAL
8.2,0,36.781825,126.503313,1.05,1693653204000,NORMAL
8.2,0,36.781833,126.503307,0.87,1693653206000,STOP
8.2,0,36.781846,126.503290,1.19,1693653208000,NORMAL
8.2,0,36.781853,126.503269,1.19,1693653210000,NORMAL
8.2,0,36.781857,126.503209,2.34,1693653212000,NORMAL
8.2,0,36.781848,126.503138,2.75,1693653214000,NORMAL
8.1,0,36.781840,126.503048,3.40,1693653216000,NORMAL
8.1,0,36.781827,126.502977,3.33,1693653218000,NORMAL
8.1,0,36.781812,126.502908,2.96,1693653220000,NORMAL
8.1,0,36.781759,126.502876,2.95,1693653222000,NORMAL
8.1,0,36.781698,126.502886,2.84,1693653224000,NORMAL
8.1,0,36.781651,126.502863,2.78,1693653226000,NORMAL
8.1,0,36.781608,126.502801,3.05,1693653228000,NORMAL
8.1,0,36.781576,126.502755,2.53,1693653230000,NORMAL
8.1,0,36.781531,126.502754,2.44,1693653232000,NORMAL
8.1,0,36.781475,126.502758,2.86,1693653234000,NORMAL
8.0,0,36.781429,126.502774,2.52,1693653236000,NORMAL
8.0,0,36.781412,126.502773,1.22,1693653238000,NORMAL
8.0,0,36.781402,126.502786,0.56,1693653240000,STOP
8.0,0,36.781363,126.502730,1.24,1693653246000,NORMAL
8.0,0,36.781347,126.502701,1.57,1693653248000,NORMAL
8.0,0,36.781338,126.502667,1.46,1693653250000,NORMAL
8.0,0,36.781335,126.502622,1.76,1693653252000,NORMAL
8.0,0,36.781343,126.502576,1.60,1693653254000,NORMAL
8.0,0,36.781382,126.502536,1.37,1693653256000,NORMAL
8.0,0,36.781506,126.502484,4.71,1693653258000,NORMAL
8.0,0,36.781571,126.502475,5.81,1693653259000,NORMAL
8.1,0,36.781692,126.502456,6.57,1693653261000,NORMAL
8.1,0,36.781741,126.502455,6.08,1693653262000,NORMAL
8.1,0,36.781787,126.502447,5.49,1693653263000,NORMAL
8.1,0,36.781874,126.502437,4.35,1693653265000,NORMAL
8.1,0,36.781908,126.502436,3.64,1693653266000,NORMAL
8.1,0,36.781936,126.502443,3.05,1693653267000,NORMAL
8.1,0,36.781963,126.502444,2.76,1693653268000,NORMAL
8.1,0,36.782009,126.502462,3.00,1693653270000,NORMAL
8.1,0,36.782035,126.502613,4.42,1693653272000,NORMAL
8.1,0,36.782053,126.502745,5.75,1693653274000,NORMAL
8.1,0,36.782054,126.502914,7.09,1693653276000,NORMAL
8.1,0,36.782059,126.503093,7.59,1693653278000,NORMAL
8.1,0,36.782070,126.503265,7.65,1693653280000,NORMAL
8.1,0,36.782083,126.503448,8.11,1693653282000,NORMAL
8.1,0,36.782093,126.503544,8.51,1693653283000,NORMAL
8.1,0,36.782113,126.503765,9.23,1693653285000,NORMAL
8.1,0,36.782147,126.503984,9.65,1693653287000,NORMAL
8.1,0,36.782193,126.504193,9.59,1693653289000,NORMAL
8.1,0,36.782218,126.504301,9.72,1693653290000,NORMAL
8.1,0,36.782273,126.504510,9.97,1693653292000,NORMAL
8.1,0,36.782302,126.504634,10.62,1693653293000,NORMAL
8.1,0,36.782334,126.504753,10.92,1693653294000,NORMAL
8.1,0,36.782407,126.505003,11.57,1693653296000,NORMAL
8.1,0,36.782449,126.505126,11.78,1693653297000,NORMAL
8.1,0,36.782518,126.505369,11.79,1693653299000,NORMAL
7.9,0,36.782548,126.505499,11.88,1693653300000,NORMAL
8.0,0,36.782639,126.505773,12.84,1693653302000,NORMAL
8.0,0,36.782681,126.505918,13.19,1693653303000,NORMAL
8.1,0,36.782719,126.506066,13.39,1693653304000,NORMAL
8.1,0,36.782807,126.506356,13.69,1693653306000,NORMAL
8.1,0,36.782908,126.506650,14.11,1693653308000,NORMAL
8.1,0,36.783010,126.506953,14.62,1693653310000,NORMAL
8.1,0,36.783123,126.507268,15.14,1693653312000,NORMAL
8.1,0,36.783178,126.507428,15.30,1693653313000,NORMAL
8.1,0,36.783297,126.507741,15.55,1693653315000,NORMAL
8.1,0,36.783353,126.507906,15.77,1693653316000,NORMAL
8.1,0,36.783468,126.508236,16.22,1693653318000,NORMAL
8.1,0,36.783592,126.508569,16.53,1693653320000,NORMAL
8.1,0,36.783714,126.508902,16.09,1693653322000,NORMAL
8.1,0,36.783775,126.509061,15.89,1693653323000,NORMAL
8.1,0,36.783835,126.509224,15.85,1693653324000,NORMAL
8.1,0,36.783950,126.509550,15.68,1693653326000,NORMAL
8.1,0,36.784009,126.509708,15.55,1693653327000,NORMAL
8.1,0,36.784117,126.510023,15.27,1693653329000,NORMAL
8.1,0,36.784223,126.510321,14.70,1693653331000,NORMAL
8.1,0,36.784278,126.510471,14.72,1693653332000,NORMAL
8.1,0,36.784384,126.510770,14.77,1693653334000,NORMAL
8.1,0,36.784490,126.511073,15.02,1693653336000,NORMAL
8.1,0,36.784543,126.511232,15.23,1693653337000,NORMAL
8.1,0,36.784655,126.511541,15.42,1693653339000,NORMAL
8.1,0,36.784776,126.511856,15.66,1693653341000,NORMAL
8.1,0,36.784893,126.512171,15.56,1693653343000,NORMAL
8.1,0,36.784948,126.512328,15.56,1693653344000,NORMAL
8.1,0,36.785005,126.512484,15.59,1693653345000,NORMAL
8.1,0,36.785121,126.512802,15.82,1693653347000,NORMAL
8.1,0,36.785179,126.512968,16.02,1693653348000,NORMAL
8.1,0,36.785241,126.513131,16.09,1693653349000,NORMAL
8.1,0,36.785362,126.513466,16.43,1693653351000,NORMAL
8.1,0,36.785480,126.513802,16.21,1693653353000,NORMAL
8.1,0,36.785540,126.513963,16.18,1693653354000,NORMAL
8.1,0,36.785662,126.514303,16.54,1693653356000,NORMAL
8.1,0,36.785724,126.514475,16.70,1693653357000,NORMAL
8.1,0,36.785789,126.514642,16.82,1693653358000,NORMAL
8.1,0,36.785908,126.514980,16.39,1693653360000,NORMAL
8.1,0,36.785967,126.515145,16.26,1693653361000,NORMAL
8.1,0,36.786091,126.515479,16.54,1693653363000,NORMAL
8.1,0,36.786154,126.515642,16.51,1693653364000,NORMAL
8.1,0,36.786218,126.515807,16.56,1693653365000,NORMAL
8.1,0,36.786352,126.516151,17.01,1693653367000,NORMAL
8.1,0,36.786415,126.516325,17.16,1693653368000,NORMAL
8.1,0,36.786547,126.516693,17.73,1693653370000,NORMAL
8.1,0,36.786687,126.517076,18.29,1693653372000,NORMAL
8.1,0,36.786823,126.517465,18.74,1693653374000,NORMAL
8.1,0,36.786966,126.517859,19.22,1693653376000,NORMAL
8.1,0,36.787110,126.518256,19.51,1693653378000,NORMAL
8.1,0,36.787182,126.518457,19.75,1693653379000,NORMAL
8.1,0,36.787324,126.518865,20.07,1693653381000,NORMAL
8.1,0,36.787478,126.519277,20.48,1693653383000,NORMAL
8.1,0,36.787637,126.519694,20.81,1693653385000,NORMAL
8.1,0,36.787717,126.519905,20.63,1693653386000,NORMAL
8.1,0,36.787880,126.520305,20.46,1693653388000,NORMAL
8.1,0,36.787963,126.520516,20.69,1693653389000,NORMAL
8.1,0,36.788126,126.520937,20.93,1693653391000,NORMAL
8.1,0,36.788297,126.521357,20.89,1693653393000,NORMAL
8.1,0,36.788462,126.521776,21.00,1693653395000,NORMAL
8.1,0,36.788625,126.522199,21.23,1693653397000,NORMAL
8.1,0,36.788708,126.522419,21.40,1693653398000,NORMAL
8.1,0,36.788878,126.522851,21.64,1693653400000,NORMAL
8.1,0,36.789047,126.523279,21.37,1693653402000,NORMAL
8.1,0,36.789213,126.523713,21.54,1693653404000,NORMAL
8.1,0,36.789298,126.523931,21.65,1693653405000,NORMAL
8.1,0,36.789473,126.524360,21.78,1693653407000,NORMAL
8.1,0,36.789651,126.524797,21.96,1693653409000,NORMAL
8.1,0,36.789738,126.525020,22.04,1693653410000,NORMAL
8.1,0,36.789911,126.525455,21.72,1693653412000,NORMAL
8.0,0,36.790085,126.525888,21.68,1693653414000,NORMAL
8.1,0,36.790168,126.526113,21.70,1693653415000,NORMAL
8.1,0,36.790254,126.526331,21.65,1693653416000,NORMAL
8.1,0,36.790422,126.526771,21.62,1693653418000,NORMAL
