accuracy,id,lat,lng,speed,time,type
5.218,1,36.6638877,127.4720167,10.150395,1693638009704,START
5.987,2,36.6640442,127.4719113,7.8868537,1693638011711,NORMAL
5.837,3,36.6641023,127.471871,6.5205035,1693638012716,NORMAL
3.26,4,36.6641994,127.4718086,5.752179,1693638014715,NORMAL
3.44,5,36.6642449,127.4717863,5.5010724,1693638015709,NORMAL
3.283,6,36.6643395,127.4717423,6.088327,1693638017717,NORMAL
3.2,7,36.6643966,127.4717158,7.6419086,1693638018714,NORMAL
3.06,8,36.6645357,127.4716378,9.624851,1693638020721,NORMAL
3.34,9,36.6646141,127.4715873,10.28684,1693638021717,NORMAL
3.34,10,36.6647864,127.4714803,11.077788,1693638023717,NORMAL
3.06,11,36.6648805,127.4714269,11.239332,1693638024714,NORMAL
3.2,12,36.6650661,127.4713238,10.99007,1693638026715,NORMAL
3.2,13,36.6651574,127.4712754,10.412555,1693638027704,NORMAL
3.116,14,36.6653188,127.4711877,8.543259,1693638029712,NORMAL
3.116,15,36.6653864,127.4711493,7.326091,1693638030715,NORMAL
2.96,16,36.6654812,127.4710918,4.1569266,1693638032717,NORMAL
3.116,17,36.6655078,127.4710711,2.717428,1693638033707,NORMAL
3.2,18,36.6655417,127.4710468,1.4246293,1693638035704,NORMAL
3.2,19,36.6655502,127.4710405,0.8122293,1693638036696,NORMAL
3.16,20,36.6655482,127.471042,0.14001913,1693638038708,NORMAL
3.44,21,36.665547,127.4710447,0.03016708,1693638039724,NORMAL
4.52,22,36.665546,127.4710461,0.018590432,1693638041718,NORMAL
4.37,23,36.6655459,127.4710463,0.019344918,1693638042710,NORMAL
4.302,24,36.6655459,127.4710464,0.010106419,1693638044712,NORMAL
4.302,25,36.6655459,127.4710464,0.006970606,1693638045705,NORMAL
5.316,26,36.6655459,127.4710463,0.002984411,1693638047703,NORMAL
5.553,27,36.6655459,127.4710463,0.0018842899,1693638048705,NORMAL
5.245,28,36.6655459,127.4710463,6.689127E-4,1693638050704,NORMAL
3.44,29,36.6655459,127.4710463,3.70355E-4,1693638051704,NORMAL
3.69,30,36.6655459,127.4710463,9.138099E-5,1693638053701,NORMAL
