accuracy,id,lat,lng,speed,time,type
8.1,0,36.405921,127.299282,30.79,1693721831000,START
8.0,0,36.406136,127.299068,30.66,1693721832000,NORMAL
8.0,0,36.406595,127.298674,31.29,1693721834000,NORMAL
8.0,0,36.406845,127.298494,31.47,1693721835000,NORMAL
8.1,0,36.407347,127.298158,31.32,1693721837000,NORMAL
8.1,0,36.407597,127.297988,31.34,1693721838000,NORMAL
8.0,0,36.407836,127.297822,31.04,1693721839000,NORMAL
8.0,0,36.408314,127.297520,30.36,1693721841000,NORMAL
8.1,0,36.408816,127.297268,30.15,1693721843000,NORMAL
8.0,0,36.409061,127.297142,29.85,1693721844000,NORMAL
8.1,0,36.409313,127.297043,29.61,1693721845000,NORMAL
8.0,0,36.409823,127.296850,29.59,1693721847000,NORMAL
8.1,0,36.410067,127.296770,29.03,1693721848000,NORMAL
8.1,0,36.410553,127.296584,28.68,1693721850000,NORMAL
8.1,0,36.410800,127.296494,28.63,1693721851000,NORMAL
8.1,0,36.411054,127.296411,28.79,1693721852000,NORMAL
8.1,0,36.411549,127.296231,28.92,1693721854000,NORMAL
8.1,0,36.411802,127.296146,29.06,1693721855000,NORMAL
8.1,0,36.412315,127.295981,29.19,1693721857000,NORMAL
8.1,0,36.412821,127.295788,29.60,1693721859000,NORMAL
8.1,0,36.413338,127.295598,29.99,1693721861000,NORMAL
8.1,0,36.413859,127.295425,30.00,1693721863000,NORMAL
8.1,0,36.414387,127.295245,30.39,1693721865000,NORMAL
8.1,0,36.414916,127.295039,30.36,1693721867000,NORMAL
8.1,0,36.415202,127.294940,31.22,1693721868000,NORMAL
8.1,0,36.415464,127.294860,30.54,1693721869000,NORMAL
8.1,0,36.415982,127.294687,29.87,1693721871000,NORMAL
8.1,0,36.416235,127.294600,29.57,1693721872000,NORMAL
8.1,0,36.416742,127.294423,29.25,1693721874000,NORMAL
8.1,0,36.416991,127.294335,28.98,1693721875000,NORMAL
8.1,0,36.417241,127.294244,28.89,1693721876000,NORMAL
8.1,0,36.417735,127.294067,28.40,1693721878000,NORMAL
8.1,0,36.417979,127.293973,28.24,1693721879000,NORMAL
8.1,0,36.418452,127.293814,27.53,1693721881000,NORMAL
8.1,0,36.418884,127.293681,25.21,1693721883000,NORMAL
8.1,0,36.419301,127.293522,24.13,1693721885000,NORMAL
8.1,0,36.419715,127.293362,23.81,1693721887000,NORMAL
8.1,0,36.419919,127.293295,23.66,1693721888000,NORMAL
8.1,0,36.420318,127.293168,22.98,1693721890000,NORMAL
8.1,0,36.420518,127.293110,22.85,1693721891000,NORMAL
8.1,0,36.420717,127.293050,22.74,1693721892000,NORMAL
8.1,0,36.420921,127.292950,23.38,1693721893000,NORMAL
8.1,0,36.421114,127.292877,22.97,1693721894000,NORMAL
8.0,0,36.421475,127.292771,21.63,1693721896000,NORMAL
8.1,0,36.421651,127.292717,21.02,1693721897000,NORMAL
8.1,0,36.421977,127.292613,19.47,1693721899000,NORMAL
8.1,0,36.422133,127.292557,18.68,1693721900000,NORMAL
8.1,0,36.422400,127.292442,16.58,1693721902000,NORMAL
8.0,0,36.422521,127.292420,15.36,1693721903000,NORMAL
8.0,0,36.422641,127.292387,14.60,1693721904000,NORMAL
8.0,0,36.422860,127.292342,13.12,1693721906000,NORMAL
7.9,0,36.422966,127.292285,13.16,1693721907000,NORMAL
7.9,0,36.423173,127.292216,12.51,1693721909000,NORMAL
8.0,0,36.423386,127.292151,12.22,1693721911000,NORMAL
8.0,0,36.423491,127.292127,12.07,1693721912000,NORMAL
7.9,0,36.423703,127.292075,12.12,1693721914000,NORMAL
7.9,0,36.423910,127.292116,11.69,1693721916000,NORMAL
7.9,0,36.424089,127.292239,11.19,1693721918000,NORMAL
7.8,0,36.424243,127.292435,11.59,1693721920000,NORMAL
7.8,0,36.424294,127.292576,12.17,1693721921000,NORMAL
7.8,0,36.424356,127.292860,12.54,1693721923000,NORMAL
7.7,0,36.424366,127.292999,12.37,1693721924000,NORMAL
7.6,0,36.424346,127.293143,12.19,1693721925000,NORMAL
7.8,0,36.424313,127.293279,12.16,1693721926000,NORMAL
7.7,0,36.424188,127.293498,11.98,1693721928000,NORMAL
7.7,0,36.424116,127.293584,11.99,1693721929000,NORMAL
7.6,0,36.423904,127.293735,12.71,1693721931000,NORMAL
7.4,0,36.423796,127.293811,13.17,1693721932000,NORMAL
7.5,0,36.423574,127.293950,13.29,1693721934000,NORMAL
8.0,0,36.423351,127.294130,14.22,1693721936000,NORMAL
9.2,0,36.423262,127.294205,12.96,1693721937000,NORMAL
8.4,0,36.423137,127.294408,12.07,1693721939000,NORMAL
8.2,0,36.423072,127.294438,10.51,1693721940000,NORMAL
8.0,0,36.422994,127.294486,9.78,1693721941000,NORMAL
7.9,0,36.422862,127.294574,7.36,1693721943000,NORMAL
7.8,0,36.422868,127.294629,5.68,1693721944000,NORMAL
8.4,0,36.422801,127.294674,3.50,1693721946000,NORMAL
10.2,0,36.422775,127.294705,2.04,1693721948000,NORMAL
13.9,0,36.422756,127.294729,1.36,1693721950000,NORMAL
16.3,0,36.422741,127.294741,1.56,1693721951000,NORMAL
16.5,0,36.422726,127.294752,1.72,1693721952000,NORMAL
20.3,0,36.422711,127.294752,1.72,1693721954000,NORMAL
17.6,0,36.422709,127.294715,0.00,1693721956000,STOP
20.4,0,36.422693,127.294748,1.43,1693721958000,NORMAL
22.3,0,36.422699,127.294743,0.00,1693721959000,STOP
24.3,0,36.422677,127.294763,1.51,1693721960000,NORMAL
