accuracy,id,lat,lng,speed,time,type
4.513,1,36.470615,127.2748672,4.17024,1693885771741,START
4.217,2,36.4706813,127.2747689,5.280004,1693885773729,NORMAL
4.217,3,36.4707194,127.274744,4.4901156,1693885774733,NORMAL
5.196,4,36.4707774,127.2747445,2.0230238,1693885776750,NORMAL
5.011,5,36.4707887,127.2747431,0.38044432,1693885777740,NORMAL
5.232,6,36.470793,127.2747408,0.34274983,1693885779757,NORMAL
5.214,7,36.4707917,127.2747404,0.11721095,1693885780751,NORMAL
5.486,8,36.4707908,127.2747388,0.05896227,1693885782745,NORMAL
5.259,9,36.4707904,127.2747372,0.11104272,1693885783743,NORMAL
5.259,10,36.4707896,127.2747387,0.05662581,1693885785721,NORMAL
5.32,11,36.4707896,127.2747394,0.056859795,1693885786722,NORMAL
5.557,12,36.4707903,127.274742,0.103817135,1693885788751,NORMAL
5.575,13,36.4707912,127.2747426,0.103186294,1693885789741,NORMAL
3.834,14,36.4707917,127.2747433,0.04531835,1693885791748,NORMAL
3.826,15,36.4707918,127.2747433,0.027355498,1693885792723,NORMAL
3.826,16,36.4707919,127.2747433,0.00903142,1693885794736,NORMAL
3.826,17,36.4707919,127.2747433,0.003733132,1693885795733,NORMAL
3.856,18,36.4707922,127.2747433,0.022146555,1693885797761,NORMAL
3.834,19,36.4707909,127.2747407,0.15494508,1693885798736,NORMAL
3.834,20,36.4707895,127.274736,0.19235544,1693885800762,NORMAL
5.522,21,36.4707899,127.2747353,0.12761821,1693885801721,NORMAL
5.811,22,36.4707917,127.2747316,0.15737455,1693885803749,NORMAL
5.522,23,36.4707923,127.2747304,0.14829396,1693885804728,NORMAL
5.796,24,36.4707926,127.2747274,0.13894811,1693885806737,NORMAL
5.509,25,36.470792,127.2747271,0.10603559,1693885807732,NORMAL
5.796,26,36.4707907,127.2747278,0.047086168,1693885809817,NORMAL
5.509,27,36.4707903,127.2747283,0.037353523,1693885810718,NORMAL
5.383,28,36.47079,127.2747288,0.024995796,1693885812719,NORMAL
5.667,29,36.4707899,127.2747288,0.020565733,1693885813733,NORMAL
5.649,30,36.4707899,127.274729,0.011578257,1693885815733,NORMAL
5.626,31,36.4707899,127.274729,0.0077994945,1693885816747,NORMAL
5.626,32,36.4708057,127.274728,1.5945626,1693885818738,NORMAL
5.645,33,36.4708234,127.2747255,2.6218357,1693885819750,NORMAL
5.671,34,36.4708982,127.2747155,5.4386044,1693885821722,NORMAL
5.967,35,36.4709548,127.274705,6.6827035,1693885822746,NORMAL
5.671,36,36.4710885,127.2746744,7.354828,1693885824741,NORMAL
5.671,37,36.4711498,127.274649,7.1336927,1693885825734,NORMAL
5.719,38,36.4712462,127.2745532,7.0994225,1693885827734,NORMAL
6.022,39,36.4712715,127.27448,6.892691,1693885828743,NORMAL
6.022,40,36.4712613,127.2743229,6.9829655,1693885830745,NORMAL
3.856,41,36.4712225,127.2742378,8.569267,1693885831769,NORMAL
3.845,42,36.4711317,127.2740477,10.903418,1693885833737,NORMAL
3.834,43,36.4710814,127.2739333,11.725428,1693885834764,NORMAL
3.845,44,36.4709982,127.2737042,10.840685,1693885836749,NORMAL
3.856,45,36.4709632,127.273592,10.610865,1693885837755,NORMAL
3.845,46,36.4709035,127.2733668,10.7794075,1693885839732,NORMAL
3.834,47,36.470878,127.2732503,10.819592,1693885840745,NORMAL
3.845,48,36.4708403,127.2730194,10.312271,1693885842743,NORMAL
3.845,49,36.4708311,127.2729103,9.435661,1693885843728,NORMAL
3.845,50,36.4708081,127.2727116,8.9509735,1693885845740,NORMAL
5.557,51,36.4707902,127.2726148,9.546416,1693885846728,NORMAL
5.815,52,36.4707646,127.2724024,9.263378,1693885848731,NORMAL
5.542,53,36.4707668,127.2723042,8.1454315,1693885849746,NORMAL
3.834,54,36.4707855,127.2721638,4.780645,1693885851738,NORMAL
