accuracy,id,lat,lng,speed,time,type
46.1,0,36.825344,127.118585,0.00,1693917648000,START
45.3,0,36.825336,127.119377,0.00,1693917650000,STOP
24.1,0,36.825705,127.118362,1.22,1693917960000,NORMAL
24.2,0,36.825710,127.118373,0.00,1693917962000,STOP
24.2,0,36.825715,127.118397,1.53,1693917965000,NORMAL
24.2,0,36.825681,127.118411,0.96,1693917967000,STOP
24.3,0,36.825775,127.118473,2.21,1693917969000,NORMAL
24.3,0,36.825831,127.118500,2.54,1693917971000,NORMAL
24.3,0,36.825873,127.118512,2.07,1693917973000,NORMAL
24.3,0,36.825902,127.118501,1.84,1693917975000,NORMAL
24.3,0,36.825916,127.118449,2.48,1693917977000,NORMAL
24.3,0,36.825921,127.118421,2.60,1693917978000,NORMAL
24.3,0,36.825926,127.118355,2.76,1693917980000,NORMAL
24.3,0,36.825941,127.118297,2.61,1693917982000,NORMAL
24.3,0,36.825953,127.118279,2.27,1693917983000,NORMAL
24.3,0,36.825970,127.118274,0.71,1693917985000,STOP
24.3,0,36.826005,127.118297,1.18,1693917988000,NORMAL
24.2,0,36.826051,127.118307,2.58,1693917990000,NORMAL
24.3,0,36.826070,127.118267,2.35,1693917992000,NORMAL
24.3,0,36.826098,127.118187,3.61,1693917994000,NORMAL
24.3,0,36.826123,127.118086,4.74,1693917996000,NORMAL
24.3,0,36.826153,127.117978,5.16,1693917998000,NORMAL
24.3,0,36.826180,127.117857,5.57,1693918000000,NORMAL
24.3,0,36.826209,127.117740,5.58,1693918002000,NORMAL
24.3,0,36.826237,127.117628,5.24,1693918004000,NORMAL
24.3,0,36.826248,127.117581,4.65,1693918005000,NORMAL
24.3,0,36.826262,127.117488,4.25,1693918007000,NORMAL
24.3,0,36.826228,127.117414,3.92,1693918009000,NORMAL
24.3,0,36.826151,127.117380,4.46,1693918011000,NORMAL
24.3,0,36.826072,127.117347,4.70,1693918013000,NORMAL
24.3,0,36.826029,127.117334,5.00,1693918014000,NORMAL
24.3,0,36.825933,127.117302,5.60,1693918016000,NORMAL
24.3,0,36.825843,127.117269,5.23,1693918018000,NORMAL
24.3,0,36.825797,127.117254,5.24,1693918019000,NORMAL
24.3,0,36.825715,127.117227,4.75,1693918021000,NORMAL
24.3,0,36.825675,127.117214,4.69,1693918022000,NORMAL
24.3,0,36.825583,127.117185,5.17,1693918024000,NORMAL
24.3,0,36.825538,127.117168,5.27,1693918025000,NORMAL
24.3,0,36.825491,127.117154,5.37,1693918026000,NORMAL
24.3,0,36.825444,127.117135,5.54,1693918027000,NORMAL
