accuracy,id,lat,lng,speed,time,type
3.9,1,36.5020067,127.2928209,18.746893,1693864662944,START
3.863,2,36.5021817,127.2924433,18.210037,1693864664943,NORMAL
3.863,3,36.5023435,127.2920795,18.789974,1693864666944,NORMAL
3.863,4,36.5025071,127.2917026,19.349941,1693864668943,NORMAL
3.9,5,36.5026589,127.2913119,19.74995,1693864670943,NORMAL
3.9,6,36.5027989,127.2909046,20.101631,1693864672943,NORMAL
3.9,7,36.502928,127.2904807,20.413841,1693864674943,NORMAL
3.9,8,36.5030056,127.2901745,20.090597,1693864676358,NORMAL
3.9,9,36.5031334,127.2896172,20.169065,1693864678943,NORMAL
3.9,10,36.5032181,127.2891791,20.131172,1693864680943,NORMAL
3.9,11,36.5032865,127.2887367,20.12941,1693864682943,NORMAL
3.9,12,36.5033411,127.288291,20.256924,1693864684943,NORMAL
3.863,13,36.5033943,127.2878439,20.132826,1693864686943,NORMAL
3.863,14,36.5034488,127.2874042,19.856462,1693864688943,NORMAL
3.863,15,36.5035045,127.2869656,19.986244,1693864690943,NORMAL
3.9,16,36.503608,127.2861088,17.97114,1693864694943,NORMAL
3.9,17,36.5036501,127.2857674,14.492349,1693864696943,NORMAL
3.9,18,36.503677,127.2855102,11.305379,1693864698943,NORMAL
3.9,19,36.5037007,127.2853102,8.605406,1693864700943,NORMAL
3.9,20,36.5037185,127.2851759,5.5497355,1693864702942,NORMAL
3.9,21,36.5037265,127.2851073,2.7537584,1693864704944,NORMAL
3.9,22,36.5037293,127.2850844,1.090146,1693864706943,NORMAL
3.9,23,36.503728,127.2850776,0.992254,1693864708943,NORMAL
3.928,24,36.5037269,127.2850755,0.26566872,1693864710943,NORMAL
4.014,25,36.5037274,127.2850744,0.090919495,1693864712943,NORMAL
4.014,26,36.5037285,127.2850733,0.07846412,1693864714943,NORMAL
5.128,27,36.5037272,127.285071,0.11069681,1693864716943,NORMAL
5.064,28,36.5037281,127.2850706,0.043866593,1693864718944,NORMAL
3.863,29,36.5037289,127.2850706,0.04115629,1693864720943,NORMAL
3.863,30,36.5037303,127.2850703,0.070785545,1693864722943,NORMAL
3.863,31,36.503736,127.2850712,0.27296013,1693864724943,NORMAL
5.371,32,36.5037374,127.2850697,0.12185761,1693864726943,NORMAL
5.371,33,36.5037419,127.2850679,0.23051079,1693864728943,NORMAL
3.9,34,36.5037429,127.285066,0.121235296,1693864730943,NORMAL
3.9,35,36.5037442,127.2850641,0.1132098,1693864732943,NORMAL
3.9,36,36.5037462,127.2850571,0.7719022,1693864734943,NORMAL
5.587,37,36.5037528,127.285009,3.270986,1693864736943,NORMAL
5.56,38,36.5037664,127.2849053,5.289194,1693864738943,NORMAL
3.863,39,36.5037867,127.2847519,7.400095,1693864740943,NORMAL
3.863,40,36.5038097,127.2845783,7.577296,1693864742943,NORMAL
3.863,41,36.5038376,127.2843822,9.627999,1693864744944,NORMAL
5.843,42,36.5038789,127.2841263,12.469014,1693864746942,NORMAL
5.843,43,36.5039282,127.2838232,14.258977,1693864748943,NORMAL
3.873,44,36.5039792,127.2835057,14.269995,1693864750943,NORMAL
3.873,45,36.5040321,127.283178,15.479257,1693864752943,NORMAL
3.873,46,36.504088,127.2828294,16.06969,1693864754943,NORMAL
3.9,47,36.5041461,127.2824648,16.88954,1693864756943,NORMAL
3.9,48,36.5042058,127.2820893,17.289774,1693864758943,NORMAL
3.9,49,36.504267,127.2817122,16.840267,1693864760943,NORMAL
3.9,50,36.5043244,127.2813527,16.300325,1693864762943,NORMAL
3.9,51,36.5043809,127.2810009,15.640384,1693864764943,NORMAL
3.9,52,36.5044335,127.2806789,14.160603,1693864766943,NORMAL
3.9,53,36.504476,127.2803924,12.01109,1693864768943,NORMAL
3.9,54,36.5045214,127.2799546,7.9508557,1693864772943,NORMAL
3.9,55,36.5045437,127.2798142,5.4209366,1693864774943,NORMAL
3.9,56,36.5045611,127.2797237,3.5408556,1693864776944,NORMAL
3.9,57,36.5045716,127.2796629,2.4904776,1693864778943,NORMAL
3.9,58,36.5045779,127.279626,1.2105588,1693864780943,NORMAL
16.391,59,36.5045816,127.2796025,1.2104421,1693864782817,NORMAL
13.536,60,36.5045798,127.2796147,0.22988427,1693864784942,NORMAL
13.732,61,36.5045796,127.2796161,0.0038812214,1693864786943,NORMAL
5.385,62,36.5045795,127.2796164,0.011115738,1693864788944,NORMAL
5.127,63,36.5045795,127.2796164,0.0025554749,1693864790944,NORMAL
16.622,64,36.5045795,127.2796164,0.0019729675,1693864792860,NORMAL
13.441,65,36.5045795,127.2796164,6.0218787E-5,1693864794944,NORMAL
13.463,66,36.5045795,127.2796164,1.8017203E-5,1693864796943,NORMAL
8.65,67,36.5045795,127.2796164,1.7043025E-5,1693864797894,NORMAL
8.65,68,36.5045795,127.2796164,7.5452595E-6,1693864798943,NORMAL
8.65,69,36.5045795,127.2796164,3.6097947E-6,1693864800943,NORMAL
3.9,70,36.5045795,127.2796164,1.5778834E-6,1693864802943,NORMAL
3.9,71,36.5045795,127.2796164,5.6485464E-7,1693864804943,NORMAL
3.9,72,36.5045795,127.2796164,2.7330685E-7,1693864806943,NORMAL
5.324,73,36.5045795,127.2796164,7.2791664E-8,1693864808943,NORMAL
