accuracy,id,lat,lng,speed,time,type
4.021,1,36.3691321,127.3396324,0.054692592,1693960163913,START
4.251,2,36.3691322,127.3396325,0.007236959,1693960165916,NORMAL
4.54,3,36.3691321,127.3396326,0.0046449197,1693960166913,NORMAL
4.823,4,36.3691335,127.3396307,0.07962975,1693960168918,NORMAL
5.042,5,36.3691337,127.3396306,0.0435434,1693960169924,NORMAL
5.418,6,36.3691335,127.3396308,6.7329657E-4,1693960171914,NORMAL
5.609,7,36.3691335,127.3396304,0.019885454,1693960172926,NORMAL
5.762,8,36.3691335,127.3396298,0.022105288,1693960174918,NORMAL
5.854,9,36.3691335,127.3396298,0.010596358,1693960175916,NORMAL
5.981,10,36.3691335,127.3396299,0.003450877,1693960177927,NORMAL
5.774,11,36.3691338,127.3396289,0.05513615,1693960178926,NORMAL
5.054,12,36.3690776,127.3396202,3.093558,1693960180918,NORMAL
4.51,13,36.3690512,127.3396129,3.54008,1693960181921,NORMAL
4.209,14,36.368974,127.3395901,4.791414,1693960183915,NORMAL
4.043,15,36.3689262,127.3395833,5.1059012,1693960184921,NORMAL
6.084,16,36.3688255,127.3395581,6.365461,1693960186916,NORMAL
7.726,17,36.3687713,127.3395404,6.3526545,1693960187918,NORMAL
9.482,18,36.3686473,127.3394962,8.6567955,1693960189920,NORMAL
10.742,19,36.3685803,127.3394675,7.9079165,1693960190929,NORMAL
11.15,20,36.3684608,127.3394154,6.7744894,1693960192920,NORMAL
11.25,21,36.3683738,127.3393952,7.357501,1693960193922,NORMAL
11.279,22,36.3682328,127.3393645,6.633798,1693960195923,NORMAL
11.358,23,36.3681708,127.3393599,6.582343,1693960196917,NORMAL
11.459,24,36.3680357,127.3393524,7.488507,1693960198920,NORMAL
11.513,25,36.3679208,127.3393183,8.751226,1693960199935,NORMAL
11.529,26,36.367709,127.3392494,10.163285,1693960201920,NORMAL
11.503,27,36.3676027,127.3392181,10.228078,1693960202916,NORMAL
11.308,28,36.3673681,127.3391152,11.697131,1693960204918,NORMAL
11.108,29,36.3672582,127.3390751,11.823129,1693960205927,NORMAL
11.125,30,36.3670395,127.3390019,12.260768,1693960207918,NORMAL
11.316,31,36.3669308,127.3389651,12.361983,1693960208922,NORMAL
11.515,32,36.3667185,127.3388865,12.491298,1693960210924,NORMAL
11.739,33,36.3666081,127.3388454,12.720574,1693960211921,NORMAL
12.914,34,36.366262,127.3387115,13.262968,1693960214915,NORMAL
