accuracy,id,lat,lng,speed,time,type
7.426,1,36.3412619,127.3031218,6.980835,1693950613929,START
6.014,2,36.3413472,127.3030454,5.7402377,1693950615956,NORMAL
4.542,3,36.3414224,127.3029698,4.2117357,1693950617933,NORMAL
3.895,4,36.3414793,127.3029149,3.7501416,1693950619937,NORMAL
3.9,5,36.3415056,127.3028867,0.28068277,1693950621930,NORMAL
3.9,6,36.3415101,127.302882,1.0882316,1693950623928,NORMAL
3.9,7,36.341542,127.3028493,3.339025,1693950625935,NORMAL
3.9,8,36.3416168,127.3027751,5.5730243,1693950627936,NORMAL
3.9,9,36.3417073,127.3026844,6.488641,1693950629943,NORMAL
3.863,10,36.341797,127.3025889,6.470737,1693950631928,NORMAL
3.863,11,36.3418873,127.3024976,6.460219,1693950633932,NORMAL
3.863,12,36.3419787,127.302402,6.5874577,1693950635942,NORMAL
3.9,13,36.342072,127.3023103,6.6979265,1693950637932,NORMAL
3.863,14,36.3421643,127.3022071,6.7287726,1693950639947,NORMAL
3.863,15,36.3422463,127.3020923,6.738906,1693950641930,NORMAL
3.863,16,36.3423184,127.3019852,6.4230733,1693950643931,NORMAL
3.9,17,36.3423765,127.3018709,5.8387923,1693950645941,NORMAL
3.9,18,36.3424248,127.3017639,5.5537844,1693950647935,NORMAL
3.863,19,36.3424713,127.3016466,6.134979,1693950649937,NORMAL
3.863,20,36.3425184,127.3015002,7.324131,1693950651928,NORMAL
3.863,21,36.3425589,127.3013336,7.648898,1693950653932,NORMAL
3.9,22,36.3425894,127.3011714,6.6698093,1693950655936,NORMAL
3.9,23,36.3426084,127.3010274,6.6887517,1693950657930,NORMAL
3.9,24,36.3426302,127.3008811,6.796461,1693950659931,NORMAL
3.9,25,36.3426533,127.3007337,6.634076,1693950661930,NORMAL
3.9,26,36.3426691,127.3005848,6.338417,1693950663932,NORMAL
3.863,27,36.3426944,127.300446,6.4364634,1693950665953,NORMAL
3.826,28,36.3427147,127.3002932,7.2117257,1693950667937,NORMAL
3.826,29,36.342744,127.3001396,7.0450654,1693950669936,NORMAL
