accuracy,id,lat,lng,speed,time,type
22.0,0,36.421104,127.299155,8.05,1694049889000,START
46.0,0,36.421079,127.299321,8.08,1694049890000,NORMAL
22.0,0,36.421063,127.299403,8.18,1694049891000,NORMAL
22.0,0,36.421071,127.299401,8.39,1694049892000,NORMAL
22.0,0,36.421079,127.299488,9.76,1694049893000,NORMAL
18.0,0,36.421038,127.299678,7.93,1694049895000,NORMAL
11.0,0,36.420967,127.299736,8.05,1694049896000,NORMAL
11.0,0,36.420805,127.299913,11.05,1694049898000,NORMAL
9.0,0,36.420706,127.299968,11.29,1694049899000,NORMAL
9.0,0,36.420600,127.300031,11.12,1694049900000,NORMAL
9.0,0,36.420395,127.300027,12.35,1694049902000,NORMAL
14.0,0,36.420276,127.300024,12.58,1694049903000,NORMAL
16.0,0,36.420142,127.300112,13.20,1694049904000,NORMAL
16.0,0,36.420037,127.299910,11.66,1694049906000,NORMAL
16.0,0,36.419950,127.299837,11.09,1694049907000,NORMAL
16.0,0,36.419946,127.299627,11.02,1694049908000,NORMAL
14.0,0,36.419947,127.299362,10.48,1694049910000,NORMAL
9.0,0,36.419944,127.299238,10.30,1694049911000,NORMAL
9.0,0,36.419986,127.299133,9.50,1694049912000,NORMAL
9.0,0,36.420073,127.298938,9.06,1694049914000,NORMAL
9.0,0,36.420159,127.298854,9.52,1694049915000,NORMAL
9.0,0,36.420259,127.298800,9.94,1694049916000,NORMAL
9.0,0,36.420353,127.298746,10.93,1694049917000,NORMAL
9.0,0,36.420564,127.298618,11.65,1694049919000,NORMAL
9.0,0,36.420651,127.298557,10.48,1694049920000,NORMAL
8.0,0,36.420834,127.298426,12.10,1694049922000,NORMAL
8.0,0,36.420934,127.298358,11.99,1694049923000,NORMAL
9.0,0,36.421150,127.298208,13.26,1694049925000,NORMAL
9.0,0,36.421365,127.298053,13.64,1694049927000,NORMAL
9.0,0,36.421478,127.297969,13.88,1694049928000,NORMAL
9.0,0,36.421595,127.297883,14.36,1694049929000,NORMAL
8.0,0,36.421832,127.297680,15.44,1694049931000,NORMAL
8.0,0,36.422047,127.297462,16.52,1694049933000,NORMAL
8.0,0,36.422295,127.297238,17.09,1694049935000,NORMAL
8.0,0,36.422539,127.296999,17.12,1694049937000,NORMAL
9.0,0,36.422662,127.296874,17.16,1694049938000,NORMAL
8.0,0,36.422781,127.296718,18.47,1694049939000,NORMAL
8.0,0,36.423011,127.296451,18.22,1694049941000,NORMAL
8.0,0,36.423126,127.296309,17.79,1694049942000,NORMAL
8.0,0,36.423379,127.295994,19.00,1694049944000,NORMAL
8.0,0,36.423491,127.295832,18.84,1694049945000,NORMAL
8.0,0,36.423712,127.295522,18.72,1694049947000,NORMAL
8.0,0,36.423936,127.295213,18.68,1694049949000,NORMAL
8.0,0,36.424169,127.294907,18.87,1694049951000,NORMAL
8.0,0,36.424284,127.294741,19.38,1694049952000,NORMAL
8.0,0,36.424386,127.294590,18.56,1694049953000,NORMAL
8.0,0,36.424608,127.294285,18.69,1694049955000,NORMAL
8.0,0,36.424839,127.293980,18.82,1694049957000,NORMAL
8.0,0,36.425084,127.293685,18.89,1694049959000,NORMAL
8.0,0,36.425310,127.293363,18.89,1694049961000,NORMAL
8.0,0,36.425427,127.293207,19.59,1694049962000,NORMAL
8.0,0,36.425636,127.292891,18.87,1694049964000,NORMAL
9.0,0,36.425865,127.292583,19.08,1694049966000,NORMAL
9.0,0,36.425973,127.292429,18.93,1694049967000,NORMAL
9.0,0,36.426201,127.292130,18.90,1694049969000,NORMAL
9.0,0,36.426435,127.291821,19.05,1694049971000,NORMAL
9.0,0,36.426553,127.291661,19.14,1694049972000,NORMAL
9.0,0,36.426794,127.291345,18.93,1694049974000,NORMAL
9.0,0,36.427028,127.291028,19.24,1694049976000,NORMAL
9.0,0,36.427261,127.290708,19.05,1694049978000,NORMAL
9.0,0,36.427383,127.290554,19.01,1694049979000,NORMAL
14.0,0,36.427637,127.290219,20.02,1694049981000,NORMAL
9.0,0,36.427748,127.290075,19.30,1694049982000,NORMAL
9.0,0,36.427855,127.289937,18.75,1694049983000,NORMAL
