accuracy,id,lat,lng,speed,time,type
3.397,1,36.4887818,127.259232,0.0076397858,1694093775317,START
3.248,2,36.4887828,127.2592327,0.00787571,1694093777318,NORMAL
3.187,3,36.488783,127.2592327,0.005611978,1694093778318,NORMAL
3.195,4,36.4887836,127.2592327,0.0044375686,1694093780318,NORMAL
3.202,5,36.4887837,127.2592327,0.0031837719,1694093781317,NORMAL
3.219,6,36.488784,127.2592326,3.0910978E-4,1694093783317,NORMAL
3.232,7,36.4887842,127.2592324,1.883991E-4,1694093784316,NORMAL
3.272,8,36.4887836,127.2592323,2.4648957E-4,1694093786316,NORMAL
3.316,9,36.4887835,127.2592321,1.4322215E-4,1694093787317,NORMAL
7.942,10,36.4887921,127.2592294,0.15191087,1694093789317,NORMAL
8.027,11,36.4887935,127.2592289,0.15574116,1694093790317,NORMAL
7.516,12,36.4887943,127.2592285,0.10218173,1694093792317,NORMAL
7.595,13,36.4887942,127.2592285,0.08263802,1694093793317,NORMAL
4.027,14,36.4887938,127.2592285,0.006931596,1694093795316,NORMAL
4.027,15,36.4887938,127.2592285,0.0026603434,1694093796317,NORMAL
4.007,16,36.4887843,127.2592304,0.039017197,1694093798253,NORMAL
3.835,17,36.488782,127.2592352,0.36634088,1694093799318,NORMAL
3.873,18,36.4887763,127.2592655,1.3302898,1694093801317,NORMAL
4.424,19,36.4888029,127.2592861,1.6217604,1694093802317,NORMAL
5.493,20,36.4888807,127.2592899,2.8434808,1694093804317,NORMAL
6.51,21,36.4889255,127.25928,3.504291,1694093805318,NORMAL
6.844,22,36.4890153,127.2592445,4.062222,1694093807317,NORMAL
6.744,23,36.4890773,127.2592178,4.3613267,1694093808735,NORMAL
6.735,24,36.4891373,127.259189,4.3528337,1694093810266,NORMAL
6.693,25,36.4891731,127.2591772,4.1717105,1694093811317,NORMAL
6.288,26,36.4892204,127.2591833,2.150071,1694093813317,NORMAL
5.623,27,36.4892337,127.259203,2.4499707,1694093814317,NORMAL
4.841,28,36.4892585,127.2592669,3.359852,1694093816318,NORMAL
3.9,29,36.4892643,127.2593059,3.2800794,1694093817317,NORMAL
3.9,30,36.4892716,127.2593557,1.5001731,1694093819318,NORMAL
3.9,31,36.4892758,127.2593752,2.0894964,1694093820317,NORMAL
3.9,32,36.4892821,127.2594118,1.2400129,1694093822317,NORMAL
3.9,33,36.4892839,127.2594213,0.36444497,1694093823317,NORMAL
3.9,34,36.4892887,127.2594542,1.424054,1694093825318,NORMAL
3.9,35,36.489287,127.2594715,1.2509459,1694093826316,NORMAL
3.9,36,36.4892767,127.259489,2.220316,1694093827318,NORMAL
