accuracy,id,lat,lng,speed,time,type
3.834,1,36.5300466,127.4286234,0.7364349,1694160045893,START
3.834,2,36.5300545,127.4286223,0.87645125,1694160046894,NORMAL
5.528,3,36.530068,127.4286161,0.7623537,1694160048894,NORMAL
5.296,4,36.5300734,127.4286117,0.6719572,1694160049894,NORMAL
5.296,5,36.5300831,127.4286009,0.454641,1694160051894,NORMAL
5.528,6,36.5300863,127.4285954,0.3421247,1694160052894,NORMAL
5.316,7,36.5300891,127.4285864,0.90528625,1694160054894,NORMAL
5.334,8,36.5300992,127.4285875,1.3193237,1694160055894,NORMAL
5.334,9,36.5301163,127.4285886,0.86216533,1694160057894,NORMAL
5.847,10,36.5301234,127.4285892,0.83019453,1694160058892,NORMAL
5.569,11,36.530137,127.4285932,0.71170974,1694160060894,NORMAL
5.569,12,36.5301421,127.4285956,0.641424,1694160061893,NORMAL
5.718,13,36.5301522,127.428602,0.7887993,1694160063894,NORMAL
5.443,14,36.5301585,127.4286056,0.9070444,1694160064894,NORMAL
5.7,15,36.530167,127.4286167,0.77218235,1694160066894,NORMAL
5.7,16,36.5301684,127.4286223,0.6623879,1694160067894,NORMAL
5.459,17,36.5301691,127.4286307,0.40382415,1694160069893,NORMAL
5.719,18,36.5301691,127.428632,0.30228266,1694160070894,NORMAL
5.459,19,36.5301684,127.4286282,0.07143266,1694160072893,NORMAL
3.845,20,36.5301677,127.4286278,0.055700865,1694160073894,NORMAL
3.845,21,36.5301667,127.4286277,0.05296684,1694160075894,NORMAL
3.834,22,36.5301665,127.4286277,0.040834956,1694160076893,NORMAL
5.497,23,36.5301665,127.4286277,0.020094797,1694160078893,NORMAL
5.497,24,36.5301665,127.4286277,0.015417657,1694160079894,NORMAL
5.782,25,36.5301665,127.4286277,0.007551093,1694160081894,NORMAL
5.497,26,36.530166,127.4286268,0.03012097,1694160082894,NORMAL
3.834,27,36.5301655,127.4286237,0.08233953,1694160084894,NORMAL
3.845,28,36.5301655,127.4286226,0.08663493,1694160085894,NORMAL
3.856,29,36.5301659,127.4286186,0.12827493,1694160087894,NORMAL
5.589,30,36.5301665,127.4286161,0.15749772,1694160088893,NORMAL
6.474,31,36.5301674,127.4286149,0.09843646,1694160090894,NORMAL
