accuracy,id,lat,lng,speed,time,type
4.925,1,36.4615154,127.2789458,0.019170646,1694156871053,START
8.153,2,36.4615154,127.2789457,0.007293485,1694156873053,NORMAL
7.68,3,36.4615154,127.2789457,0.0045238524,1694156874052,NORMAL
7.342,4,36.4615154,127.2789457,5.9644977E-4,1694156876052,NORMAL
5.827,5,36.4615154,127.2789457,4.9993647E-5,1694156877053,NORMAL
6.594,6,36.4615154,127.2789457,2.664568E-5,1694156879052,NORMAL
6.612,7,36.4615154,127.2789457,1.4310587E-5,1694156880052,NORMAL
6.209,8,36.4615155,127.2789457,0.005552135,1694156882052,NORMAL
6.043,9,36.4615155,127.2789457,0.003351064,1694156883052,NORMAL
6.043,10,36.4615155,127.2789457,4.9338175E-4,1694156885051,NORMAL
6.043,11,36.4615155,127.2789457,1.1161767E-4,1694156886053,NORMAL
6.669,12,36.4615155,127.2789457,1.2488027E-5,1694156888052,NORMAL
6.65,13,36.4615155,127.2789457,8.399576E-6,1694156889052,NORMAL
6.65,14,36.4615155,127.2789457,1.2065204E-6,1694156891053,NORMAL
6.669,15,36.4615155,127.2789457,2.7645353E-7,1694156892052,NORMAL
3.845,16,36.4615156,127.2789457,0.00426916,1694156894052,NORMAL
3.845,17,36.4615156,127.2789457,0.0037736134,1694156895052,NORMAL
3.834,18,36.4615156,127.2789457,0.0020318625,1694156897052,NORMAL
6.516,19,36.4615156,127.2789457,0.0013072913,1694156898052,NORMAL
6.516,20,36.4615157,127.2789457,0.0054068114,1694156900053,NORMAL
6.498,21,36.4615157,127.2789457,0.0034374616,1694156901052,NORMAL
6.203,22,36.4615157,127.2789458,0.0025666822,1694156903051,NORMAL
6.203,23,36.4615158,127.2789458,0.004543046,1694156904052,NORMAL
6.203,24,36.4615158,127.2789458,0.002898631,1694156906052,NORMAL
6.203,25,36.4615158,127.2789458,0.0020644118,1694156907053,NORMAL
6.916,26,36.4615158,127.2789457,0.0035914197,1694156909053,NORMAL
6.934,27,36.4615158,127.2789457,0.0026451102,1694156910053,NORMAL
6.934,28,36.4615157,127.2789457,0.0035661943,1694156912052,NORMAL
3.845,29,36.4615157,127.2789457,0.0015067079,1694156913053,NORMAL
3.962,30,36.461518,127.2789451,0.113667175,1694156915053,NORMAL
3.98,31,36.4615185,127.278945,0.079801194,1694156916052,NORMAL
3.98,32,36.4615186,127.278945,0.01534309,1694156918053,NORMAL
3.845,33,36.4615185,127.278945,0.0043083047,1694156919052,NORMAL
3.845,34,36.4615186,127.278945,0.0033902428,1694156921052,NORMAL
3.845,35,36.4615186,127.278945,0.0013189528,1694156922053,NORMAL
7.139,36,36.4615189,127.2789449,0.017426427,1694156924052,NORMAL
6.66,37,36.4615191,127.2789448,0.019803172,1694156925053,NORMAL
7.121,38,36.4615192,127.2789446,0.013193761,1694156927053,NORMAL
9.251,39,36.4615192,127.2789445,0.012798864,1694156927965,NORMAL
6.886,40,36.4615192,127.2789446,0.0017407524,1694156930053,NORMAL
6.443,41,36.4615192,127.2789446,3.3747015E-4,1694156931053,NORMAL
3.834,42,36.4615192,127.2789445,0.0027716067,1694156933053,NORMAL
4.235,43,36.4615192,127.2789446,0.0036041546,1694156934053,NORMAL
4.172,44,36.4615193,127.2789446,0.0037075258,1694156936052,NORMAL
4.217,45,36.4615193,127.2789446,0.0015455994,1694156937053,NORMAL
3.93,46,36.4615193,127.2789446,1.1862596E-4,1694156939053,NORMAL
3.949,47,36.4615193,127.2789446,1.8628132E-5,1694156940052,NORMAL
3.926,48,36.4615194,127.2789446,0.0034979745,1694156942052,NORMAL
3.926,49,36.4615194,127.2789446,0.001482889,1694156943053,NORMAL
4.109,50,36.4615194,127.2789446,1.20793266E-4,1694156945053,NORMAL
4.079,51,36.4615195,127.2789446,0.0055299266,1694156946052,NORMAL
4.128,52,36.4615195,127.2789446,0.0014774447,1694156948053,NORMAL
4.419,53,36.4615195,127.2789446,4.4086724E-4,1694156949053,NORMAL
4.344,54,36.4615196,127.2789446,0.0034868007,1694156951052,NORMAL
4.344,55,36.4615196,127.2789447,0.0046941885,1694156952053,NORMAL
4.283,56,36.4615197,127.2789448,0.0068172296,1694156954052,NORMAL
4.283,57,36.4615197,127.2789448,0.0037600351,1694156955051,NORMAL
4.283,58,36.4615198,127.2789449,0.006067446,1694156957052,NORMAL
4.283,59,36.4615199,127.2789449,0.0076099234,1694156958052,NORMAL
4.468,60,36.46152,127.278945,0.00835089,1694156960053,NORMAL
4.371,61,36.46152,127.278945,0.004856217,1694156961053,NORMAL
4.45,62,36.4615201,127.2789451,0.0050991788,1694156963053,NORMAL
3.845,63,36.4615201,127.2789451,0.0020274925,1694156964052,NORMAL
3.845,64,36.4615202,127.2789451,0.0036023397,1694156966051,NORMAL
3.845,65,36.4615203,127.2789452,0.00833112,1694156967052,NORMAL
4.535,66,36.4615204,127.2789452,0.007484425,1694156969051,NORMAL
4.659,67,36.4615204,127.2789452,0.0044022845,1694156970052,NORMAL
4.659,68,36.4615204,127.2789453,0.004496875,1694156972052,NORMAL
4.641,69,36.4615205,127.2789453,0.00632404,1694156973052,NORMAL
4.26,70,36.4615205,127.2789454,0.0049249674,1694156975052,NORMAL
4.26,71,36.4615205,127.2789454,0.002911614,1694156976053,NORMAL
4.339,72,36.4615205,127.2789454,3.7455183E-4,1694156978052,NORMAL
5.589,73,36.4615205,127.2789454,5.4067503E-5,1694156979053,NORMAL
5.347,74,36.4615206,127.2789454,0.0034219872,1694156981052,NORMAL
5.347,75,36.4615206,127.2789454,0.0014675196,1694156982052,NORMAL
4.828,76,36.4615206,127.2789455,0.004811635,1694156984052,NORMAL
4.809,77,36.4615206,127.2789455,0.003179605,1694156985052,NORMAL
4.809,78,36.4615207,127.2789455,0.0040669376,1694156987052,NORMAL
4.828,79,36.461521,127.2789466,0.074264646,1694156988053,NORMAL
5.796,80,36.4615113,127.2789551,0.79472995,1694156990052,NORMAL
6.112,81,36.4615038,127.278959,0.92922974,1694156991053,NORMAL
5.796,82,36.4614896,127.2789716,1.0564692,1694156993053,NORMAL
5.043,83,36.461487,127.2789801,0.8146347,1694156994052,NORMAL
4.864,84,36.4614869,127.2789938,0.2606112,1694156996053,NORMAL
4.864,85,36.4614892,127.278994,0.25536504,1694156997052,NORMAL
5.193,86,36.4614789,127.2789813,1.1406269,1694156999053,NORMAL
5.427,87,36.4614707,127.2789743,0.98370016,1694157000053,NORMAL
5.193,88,36.4614609,127.2789703,0.7518026,1694157002052,NORMAL
5.408,89,36.4614575,127.2789706,0.7356224,1694157003053,NORMAL
4.912,90,36.461459,127.2789702,0.080017984,1694157005053,NORMAL
5.099,91,36.4614597,127.2789701,0.030082181,1694157006052,NORMAL
4.912,92,36.46146,127.2789702,0.015953986,1694157008051,NORMAL
4.903,93,36.46146,127.2789701,0.008440459,1694157009051,NORMAL
4.903,94,36.46146,127.2789701,0.001462793,1694157011051,NORMAL
4.903,95,36.46146,127.2789701,4.1224118E-4,1694157012050,NORMAL
5.172,96,36.46146,127.27897,0.004872054,1694157014050,NORMAL
5.384,97,36.46146,127.27897,0.003228367,1694157015052,NORMAL
5.384,98,36.46146,127.27897,4.56573E-4,1694157017051,NORMAL
5.402,99,36.46146,127.27897,1.0182941E-4,1694157018052,NORMAL
3.845,100,36.4614491,127.2789649,1.1994206,1694157020051,NORMAL
5.041,101,36.4614339,127.2789598,1.6802464,1694157021051,NORMAL
5.041,102,36.4613935,127.278944,2.5552638,1694157023051,NORMAL
6.342,103,36.461372,127.2789331,2.3173685,1694157024052,NORMAL
5.787,104,36.4613417,127.2788909,2.6219938,1694157026052,NORMAL
5.769,105,36.4613414,127.278854,3.2778234,1694157027051,NORMAL
5.46,106,36.461401,127.2787524,4.8879747,1694157029051,NORMAL
5.479,107,36.461431,127.2787002,5.260442,1694157030051,NORMAL
5.479,108,36.4614886,127.2786085,4.9141946,1694157032052,NORMAL
5.454,109,36.4615181,127.2785681,4.8905954,1694157033052,NORMAL
5.577,110,36.4616082,127.2784774,6.910695,1694157035051,NORMAL
5.875,111,36.4616658,127.2784232,7.7052965,1694157036051,NORMAL
5.577,112,36.4617819,127.2783224,7.710397,1694157038050,NORMAL
3.845,113,36.4618413,127.2782815,7.607387,1694157039051,NORMAL
5.613,114,36.4619705,127.2782052,8.379632,1694157041051,NORMAL
5.632,115,36.4620402,127.2781482,8.990432,1694157042051,NORMAL
5.632,116,36.4621755,127.2780185,8.936847,1694157044052,NORMAL
3.834,117,36.4622339,127.2779535,8.251129,1694157045052,NORMAL
3.845,118,36.4623296,127.2778486,6.4754386,1694157047051,NORMAL
3.845,119,36.4623679,127.2778077,5.603723,1694157048052,NORMAL
3.845,120,36.4624443,127.2777173,6.3407493,1694157050051,NORMAL
3.834,121,36.4624873,127.2776583,6.813331,1694157051052,NORMAL
3.834,122,36.4625868,127.2775256,8.228892,1694157053052,NORMAL
3.856,123,36.4626431,127.2774561,8.85006,1694157054051,NORMAL
