accuracy,id,lat,lng,speed,time,type
8.0,1,37.1316711,128.0923088,0.21779455,1694133869014,START
8.0,2,37.131672,128.0923102,0.18324742,1694133870022,NORMAL
8.0,3,37.1316748,128.0923096,0.1631197,1694133872018,NORMAL
8.0,4,37.1316747,128.0923088,0.084181,1694133873035,NORMAL
9.578,5,37.1316757,128.0923008,0.28529954,1694133875050,NORMAL
9.578,6,37.1316772,128.092296,0.37507218,1694133876031,NORMAL
9.578,7,37.1316905,128.0922842,0.6464386,1694133878057,NORMAL
9.568,8,37.131692,128.0922839,0.37815008,1694133879052,NORMAL
9.568,9,37.1317021,128.0922778,0.49134055,1694133881047,NORMAL
9.344,10,37.1317036,128.0922759,0.36083013,1694133882030,NORMAL
9.453,11,37.1317049,128.0922668,0.45857555,1694133884066,NORMAL
9.12,12,37.131705,128.0922623,0.42709178,1694133885055,NORMAL
8.453,13,37.1317079,128.0922627,0.19730277,1694133887071,NORMAL
8.12,14,37.1317087,128.0922639,0.1528119,1694133888061,NORMAL
7.8,15,37.1317086,128.0922642,0.029395984,1694133890057,NORMAL
7.8,16,37.1317086,128.0922642,0.00891541,1694133891058,NORMAL
7.467,17,37.1317144,128.092276,0.68302053,1694133893086,NORMAL
6.647,18,37.1317161,128.0922789,0.48122212,1694133894005,NORMAL
6.076,19,37.1317186,128.0922824,0.24142772,1694133896018,NORMAL
5.79,20,37.1317178,128.092284,0.17043835,1694133897012,NORMAL
6.174,21,37.131717,128.0922855,0.08184763,1694133899025,NORMAL
6.174,22,37.1317166,128.0922853,0.05287735,1694133900015,NORMAL
6.174,23,37.1317156,128.0922866,0.0719951,1694133902023,NORMAL
6.174,24,37.1317153,128.0922876,0.07571635,1694133902995,NORMAL
5.949,25,37.1317152,128.0922888,0.059360173,1694133905003,NORMAL
5.949,26,37.1317153,128.0922891,0.042933792,1694133906006,NORMAL
6.274,27,37.131715,128.0922897,0.026732286,1694133908066,NORMAL
4.0,28,37.1317147,128.0922895,0.023535285,1694133908989,NORMAL
4.0,29,37.1317144,128.0922892,0.0329224,1694133910008,NORMAL
4.0,30,37.1317126,128.092287,0.08573044,1694133914018,NORMAL
4.0,31,37.1317126,128.092286,0.082008876,1694133915057,NORMAL
4.0,32,37.1317131,128.0922837,0.08703246,1694133917017,NORMAL
4.0,33,37.1317133,128.0922835,0.05234246,1694133918013,NORMAL
4.0,34,37.131714,128.0922831,0.036701694,1694133920018,NORMAL
4.0,35,37.1317141,128.0922832,0.022226678,1694133920995,NORMAL
4.0,36,37.1317145,128.0922834,0.022410147,1694133922992,NORMAL
4.0,37,37.1317148,128.0922839,0.04078825,1694133924013,NORMAL
4.0,38,37.1317155,128.0922847,0.04352972,1694133926018,NORMAL
4.0,39,37.1317156,128.092285,0.035972547,1694133927019,NORMAL
4.0,40,37.1317159,128.0922845,0.020849163,1694133929007,NORMAL
4.0,41,37.1317159,128.092284,0.032095402,1694133930000,NORMAL
4.0,42,37.1317155,128.0922816,0.10121644,1694133932003,NORMAL
4.0,43,37.1317149,128.0922814,0.07411052,1694133933002,NORMAL
4.0,44,37.1317141,128.092282,0.04980435,1694133935039,NORMAL
4.0,45,37.1317143,128.0922826,0.037693586,1694133936058,NORMAL
4.0,46,37.1317154,128.0922832,0.06236444,1694133938021,NORMAL
4.0,47,37.1317157,128.0922831,0.04264551,1694133938997,NORMAL
4.0,48,37.1317159,128.0922824,0.027513865,1694133941005,NORMAL
4.0,49,37.1317159,128.0922825,0.005253008,1694133941999,NORMAL
4.0,50,37.131715,128.092283,0.038387086,1694133944000,NORMAL
4.0,51,37.1317142,128.0922831,0.052719936,1694133945008,NORMAL
4.0,52,37.1317127,128.0922835,0.06991886,1694133947000,NORMAL
4.0,53,37.1317123,128.0922836,0.06317815,1694133947999,NORMAL
4.0,54,37.1317118,128.092284,0.04564471,1694133950031,NORMAL
4.0,55,37.1317117,128.0922836,0.036735043,1694133951011,NORMAL
4.0,56,37.1317113,128.0922817,0.047690365,1694133952998,NORMAL
4.0,57,37.1317113,128.092281,0.048865493,1694133954000,NORMAL
4.0,58,37.131714,128.0922776,0.12365839,1694133956000,NORMAL
4.0,59,37.1317151,128.092276,0.13995221,1694133957001,NORMAL
4.0,60,37.1317177,128.0922735,0.1652512,1694133959005,NORMAL
4.0,61,37.1317186,128.0922727,0.15301456,1694133959993,NORMAL
4.0,62,37.1317191,128.0922724,0.09495808,1694133962005,NORMAL
4.0,63,37.131719,128.0922725,0.06513901,1694133963016,NORMAL
4.0,64,37.1317185,128.0922728,0.018046139,1694133965024,NORMAL
4.0,65,37.1317182,128.0922729,0.009508726,1694133966012,NORMAL
4.0,66,37.1317184,128.0922731,0.004968482,1694133968009,NORMAL
4.0,67,37.1317185,128.0922733,0.009593234,1694133968997,NORMAL
4.0,68,37.1317187,128.0922737,0.013058486,1694133970995,NORMAL
