accuracy,id,lat,lng,speed,time,type
29.0,0,37.567620,126.826860,0.00,1694248745000,START
29.0,0,37.566232,126.827786,10.91,1694248746000,RAPID0
29.0,0,37.566112,126.827769,11.16,1694248747000,NORMAL
29.0,0,37.566012,126.827754,11.47,1694248748000,NORMAL
29.0,0,37.565892,126.827736,10.91,1694248749000,NORMAL
29.0,0,37.565782,126.827720,10.39,1694248750000,NORMAL
29.0,0,37.565692,126.827707,10.03,1694248752000,NORMAL
29.0,0,37.565583,126.827690,9.62,1694248753000,NORMAL
29.0,0,37.565502,126.827678,9.21,1694248754000,NORMAL
29.0,0,37.565402,126.827663,9.00,1694248755000,NORMAL
29.0,0,37.565323,126.827651,9.11,1694248756000,NORMAL
29.0,0,37.565233,126.827638,8.39,1694248757000,NORMAL
29.0,0,37.565142,126.827625,8.03,1694248758000,NORMAL
29.0,0,37.565072,126.827614,7.51,1694248759000,NORMAL
29.0,0,37.565002,126.827604,6.22,1694248760000,NORMAL
29.0,0,37.564953,126.827597,4.68,1694248762000,NORMAL
29.0,0,37.564913,126.827591,3.09,1694248763000,NORMAL
29.0,0,37.564893,126.827588,1.65,1694248764000,NORMAL
29.0,0,37.564882,126.827586,0.82,1694248765000,STOP
29.0,0,37.564862,126.827583,1.08,1694248774000,NORMAL
29.0,0,37.564843,126.827580,2.37,1694248775000,NORMAL
29.0,0,37.564823,126.827577,3.09,1694248776000,NORMAL
29.0,0,37.564783,126.827572,3.65,1694248777000,NORMAL
29.0,0,37.564722,126.827563,5.66,1694248778000,NORMAL
29.0,0,37.564672,126.827555,6.84,1694248780000,NORMAL
29.0,0,37.564592,126.827543,7.41,1694248781000,NORMAL
29.0,0,37.564522,126.827533,7.97,1694248782000,NORMAL
29.0,0,37.564433,126.827520,8.85,1694248783000,NORMAL
29.0,0,37.564393,126.827515,8.95,1694248784000,NORMAL
29.0,0,37.564252,126.827496,9.21,1694248785000,NORMAL
29.0,0,37.564152,126.827483,9.21,1694248786000,NORMAL
29.0,0,37.564072,126.827472,8.95,1694248787000,NORMAL
29.0,0,37.563971,126.827459,9.77,1694248789000,NORMAL
29.0,0,37.563861,126.827444,10.65,1694248790000,NORMAL
29.0,0,37.563761,126.827431,10.80,1694248791000,NORMAL
29.0,0,37.563651,126.827416,10.96,1694248792000,NORMAL
29.0,0,37.563551,126.827403,11.11,1694248793000,NORMAL
29.0,0,37.563431,126.827387,10.65,1694248794000,NORMAL
29.0,0,37.563320,126.827372,10.29,1694248795000,NORMAL
29.0,0,37.563231,126.827360,9.93,1694248796000,NORMAL
29.0,0,37.563139,126.827368,9.52,1694248798000,NORMAL
29.0,0,37.563029,126.827351,9.26,1694248799000,NORMAL
29.0,0,37.562949,126.827340,8.80,1694248800000,NORMAL
29.0,0,37.562858,126.827326,8.59,1694248801000,NORMAL
29.0,0,37.562769,126.827313,8.49,1694248802000,NORMAL
29.0,0,37.562689,126.827301,8.13,1694248803000,NORMAL
29.0,0,37.562609,126.827289,7.67,1694248804000,NORMAL
29.0,0,37.562528,126.827277,7.31,1694248805000,NORMAL
29.0,0,37.562468,126.827268,7.00,1694248807000,NORMAL
29.0,0,37.562388,126.827256,6.64,1694248808000,NORMAL
29.0,0,37.562339,126.827249,6.38,1694248809000,NORMAL
29.0,0,37.562269,126.827238,6.33,1694248810000,NORMAL
29.0,0,37.562199,126.827228,6.53,1694248811000,NORMAL
29.0,0,37.562139,126.827219,7.10,1694248812000,NORMAL
29.0,0,37.562059,126.827207,7.61,1694248813000,NORMAL
29.0,0,37.561989,126.827197,7.92,1694248814000,NORMAL
29.0,0,37.561909,126.827185,8.49,1694248816000,NORMAL
29.0,0,37.561809,126.827171,9.11,1694248817000,NORMAL
29.0,0,37.561719,126.827158,9.47,1694248818000,NORMAL
29.0,0,37.561619,126.827144,9.98,1694248819000,NORMAL
29.0,0,37.561509,126.827128,9.77,1694248820000,NORMAL
29.0,0,37.561429,126.827117,9.62,1694248821000,NORMAL
