accuracy,id,lat,lng,speed,time,type
7.8,0,36.502543,127.206410,11.43,1694416389000,START
7.7,0,36.502440,127.206745,10.71,1694416391000,NORMAL
7.8,0,36.502388,127.206850,10.81,1694416392000,NORMAL
7.8,0,36.502371,127.206966,10.52,1694416393000,NORMAL
7.9,0,36.502283,127.207174,10.70,1694416395000,NORMAL
7.8,0,36.502187,127.207396,11.38,1694416397000,NORMAL
7.9,0,36.502125,127.207516,12.05,1694416398000,NORMAL
7.9,0,36.502055,127.207634,12.59,1694416399000,NORMAL
7.9,0,36.501896,127.207859,13.40,1694416401000,NORMAL
7.9,0,36.501799,127.207972,14.06,1694416402000,NORMAL
8.0,0,36.501704,127.208078,14.31,1694416403000,NORMAL
8.0,0,36.501498,127.208276,14.62,1694416405000,NORMAL
8.0,0,36.501392,127.208374,14.58,1694416406000,NORMAL
8.0,0,36.501288,127.208466,14.34,1694416407000,NORMAL
7.9,0,36.501077,127.208637,13.84,1694416409000,NORMAL
7.9,0,36.500869,127.208795,13.77,1694416411000,NORMAL
7.9,0,36.500759,127.208871,13.86,1694416412000,NORMAL
8.0,0,36.500532,127.209016,13.58,1694416414000,NORMAL
8.0,0,36.500349,127.209147,11.95,1694416416000,NORMAL
8.0,0,36.500208,127.209246,9.23,1694416418000,NORMAL
8.0,0,36.500163,127.209280,7.30,1694416419000,NORMAL
8.0,0,36.500136,127.209310,5.54,1694416420000,NORMAL
8.0,0,36.500106,127.209328,2.91,1694416422000,NORMAL
8.0,0,36.500114,127.209321,0.67,1694416424000,STOP
11.8,0,36.500086,127.209341,2.33,1694416440000,NORMAL
8.1,0,36.500124,127.209546,4.33,1694416442000,NORMAL
8.1,0,36.500181,127.209600,5.59,1694416443000,NORMAL
8.1,0,36.500233,127.209670,6.64,1694416444000,NORMAL
8.1,0,36.500339,127.209832,8.50,1694416446000,NORMAL
8.1,0,36.500468,127.210007,10.03,1694416448000,NORMAL
8.1,0,36.500609,127.210206,11.20,1694416450000,NORMAL
8.1,0,36.500734,127.210419,11.35,1694416452000,NORMAL
8.1,0,36.500844,127.210666,12.26,1694416454000,NORMAL
7.9,0,36.500944,127.210931,12.87,1694416456000,NORMAL
7.9,0,36.500998,127.211220,12.98,1694416458000,NORMAL
7.9,0,36.501055,127.211486,12.35,1694416460000,NORMAL
7.9,0,36.501052,127.211623,12.08,1694416461000,NORMAL
7.8,0,36.501061,127.211889,11.16,1694416463000,NORMAL
8.0,0,36.501052,127.212009,10.72,1694416464000,NORMAL
7.9,0,36.501043,127.212257,11.46,1694416466000,NORMAL
7.9,0,36.501032,127.212381,11.74,1694416467000,NORMAL
7.9,0,36.501015,127.212518,12.23,1694416468000,NORMAL
