accuracy,id,lat,lng,speed,time,type
8.1,0,36.557409,127.280483,17.81,1694481970000,START
8.1,0,36.557109,127.280313,18.23,1694481972000,NORMAL
17.5,0,36.556847,127.280012,18.51,1694481974000,NORMAL
15.4,0,36.556541,127.279870,18.24,1694481976000,NORMAL
16.3,0,36.556280,127.279723,16.43,1694481978000,NORMAL
15.3,0,36.556019,127.279577,15.47,1694481980000,NORMAL
14.6,0,36.555770,127.279443,14.89,1694481982000,NORMAL
14.0,0,36.555634,127.279376,15.16,1694481983000,NORMAL
11.5,0,36.555379,127.279262,14.94,1694481985000,NORMAL
8.1,0,36.555125,127.279142,15.16,1694481987000,NORMAL
8.1,0,36.555003,127.279085,14.85,1694481988000,NORMAL
8.1,0,36.554763,127.278972,14.27,1694481990000,NORMAL
8.1,0,36.554527,127.278856,14.03,1694481992000,NORMAL
8.1,0,36.554423,127.278799,13.37,1694481993000,NORMAL
8.1,0,36.554217,127.278684,12.63,1694481995000,NORMAL
8.1,0,36.554116,127.278627,12.42,1694481996000,NORMAL
8.1,0,36.554012,127.278571,12.61,1694481997000,NORMAL
8.1,0,36.553816,127.278435,12.47,1694481999000,NORMAL
8.1,0,36.553728,127.278351,12.44,1694482000000,NORMAL
8.1,0,36.553633,127.278279,12.26,1694482001000,NORMAL
8.1,0,36.553455,127.278162,10.90,1694482003000,NORMAL
8.1,0,36.553383,127.278125,9.32,1694482004000,NORMAL
8.1,0,36.553336,127.278103,6.82,1694482005000,NORMAL
8.1,0,36.553256,127.278065,5.20,1694482007000,NORMAL
8.1,0,36.553198,127.278050,6.29,1694482008000,NORMAL
8.1,0,36.553094,127.278010,5.79,1694482010000,NORMAL
8.1,0,36.553026,127.277967,3.88,1694482012000,NORMAL
8.1,0,36.553013,127.277960,2.38,1694482013000,NORMAL
8.1,0,36.553008,127.277956,0.45,1694482015000,STOP
8.1,0,36.553000,127.277893,3.43,1694482082000,NORMAL
8.1,0,36.552961,127.277877,4.06,1694482083000,NORMAL
8.1,0,36.552830,127.277810,7.44,1694482085000,NORMAL
8.1,0,36.552672,127.277719,9.21,1694482087000,NORMAL
8.1,0,36.552584,127.277668,10.35,1694482088000,NORMAL
8.1,0,36.552486,127.277606,11.65,1694482089000,NORMAL
8.1,0,36.552266,127.277475,13.84,1694482091000,NORMAL
8.1,0,36.552157,127.277412,13.58,1694482092000,NORMAL
8.1,0,36.551922,127.277261,14.67,1694482094000,NORMAL
8.1,0,36.551803,127.277189,15.04,1694482095000,NORMAL
8.1,0,36.551538,127.277017,16.51,1694482097000,NORMAL
8.1,0,36.551401,127.276923,17.01,1694482098000,NORMAL
8.1,0,36.551112,127.276725,18.31,1694482100000,NORMAL
8.1,0,36.550809,127.276516,19.42,1694482102000,NORMAL
8.1,0,36.550483,127.276339,20.18,1694482104000,NORMAL
8.1,0,36.550187,127.276116,18.85,1694482106000,NORMAL
8.1,0,36.549860,127.275944,19.38,1694482108000,NORMAL
8.1,0,36.549704,127.275828,19.69,1694482109000,NORMAL
8.1,0,36.549391,127.275599,20.08,1694482111000,NORMAL
8.1,0,36.549249,127.275441,20.34,1694482112000,NORMAL
8.1,0,36.548934,127.275214,20.41,1694482114000,NORMAL
8.1,0,36.548773,127.275098,20.62,1694482115000,NORMAL
8.1,0,36.548440,127.274858,21.25,1694482117000,NORMAL
8.1,0,36.548266,127.274733,21.65,1694482118000,NORMAL
8.1,0,36.547912,127.274478,22.44,1694482120000,NORMAL
8.1,0,36.547558,127.274223,22.58,1694482122000,NORMAL
8.1,0,36.547382,127.274097,22.82,1694482123000,NORMAL
