accuracy,id,lat,lng,speed,time,type
4.507,1,36.6972207,127.2180526,0.058922924,1694591001949,START
4.44,2,36.6972206,127.2180527,0.030156262,1694591002934,NORMAL
4.406,3,36.6972207,127.2180528,0.0062655206,1694591004939,NORMAL
3.989,4,36.6972207,127.2180528,0.0031999298,1694591005939,NORMAL
4.693,5,36.6972209,127.2180529,0.010543866,1694591007928,NORMAL
4.672,6,36.6972209,127.218053,0.008231749,1694591008932,NORMAL
4.646,7,36.6972209,127.2180531,0.003566999,1694591010928,NORMAL
4.846,8,36.6972209,127.2180531,0.0024623282,1694591011882,NORMAL
4.824,9,36.6972196,127.2180532,0.041294698,1694591013938,NORMAL
4.69,10,36.6972193,127.2180533,0.03814967,1694591014936,NORMAL
4.868,11,36.6972192,127.2180534,0.02126105,1694591016900,NORMAL
4.92,12,36.6972195,127.2180536,0.011597982,1694591017939,NORMAL
4.981,13,36.6972196,127.2180538,0.011225823,1694591019939,NORMAL
5.006,14,36.6972196,127.2180539,0.010675664,1694591020935,NORMAL
4.902,15,36.6972197,127.2180541,0.010468026,1694591022930,NORMAL
5.067,16,36.6972198,127.2180542,0.011945089,1694591023930,NORMAL
4.964,17,36.6972197,127.2180544,0.00915878,1694591025932,NORMAL
5.793,18,36.6972197,127.2180544,0.0060461527,1694591026874,NORMAL
5.195,19,36.6972197,127.2180545,0.0019423531,1694591028945,NORMAL
5.213,20,36.6972197,127.2180545,5.9499464E-4,1694591029939,NORMAL
5.258,21,36.6972198,127.2180546,0.006998324,1694591031882,NORMAL
5.181,22,36.6972215,127.2180555,0.08479401,1694591032927,NORMAL
5.254,23,36.6972314,127.2180614,0.36264908,1694591034929,NORMAL
5.422,24,36.6972355,127.2180646,0.40974435,1694591035937,NORMAL
4.417,25,36.697242,127.2180682,0.40156212,1694591037936,NORMAL
4.394,26,36.6972449,127.2180688,0.37749064,1694591038929,NORMAL
4.338,27,36.6972471,127.2180691,0.33967632,1694591039929,NORMAL
4.121,28,36.6972478,127.2180706,0.20427085,1694591041930,NORMAL
4.017,29,36.6972447,127.218072,0.07758619,1694591043929,NORMAL
3.865,30,36.6972432,127.2180724,0.076977685,1694591044929,NORMAL
3.847,31,36.6972415,127.2180731,0.07858714,1694591046923,NORMAL
3.926,32,36.6972413,127.2180733,0.0650748,1694591047925,NORMAL
3.946,33,36.6972413,127.2180734,0.034961674,1694591049944,NORMAL
3.928,34,36.6972426,127.2180743,0.15777956,1694591050935,NORMAL
3.872,35,36.6972479,127.218076,0.20704629,1694591052928,NORMAL
3.876,36,36.6972504,127.218077,0.2530704,1694591053929,NORMAL
3.892,37,36.6972446,127.2180804,0.30492887,1694591055938,NORMAL
3.878,38,36.6972407,127.218083,0.41326025,1694591056930,NORMAL
3.882,39,36.6972319,127.2180847,0.47093263,1694591058935,NORMAL
3.885,40,36.6972289,127.2180853,0.39245808,1694591059935,NORMAL
3.899,41,36.6972209,127.2180849,0.3968049,1694591061944,NORMAL
3.891,42,36.6972199,127.2180855,0.23055857,1694591062939,NORMAL
3.984,43,36.6972204,127.218088,0.28486943,1694591064931,NORMAL
4.013,44,36.6972213,127.2180893,0.27892283,1694591065930,NORMAL
4.064,45,36.6972252,127.2180903,0.23749968,1694591067927,NORMAL
4.091,46,36.6972282,127.2180923,0.31901896,1694591068935,NORMAL
3.957,47,36.6972269,127.2180969,0.17964923,1694591070945,NORMAL
3.949,48,36.6972266,127.2180986,0.1704128,1694591071928,NORMAL
3.93,49,36.6972274,127.2180987,0.035672497,1694591073933,NORMAL
3.992,50,36.6972282,127.2180983,0.06874409,1694591074935,NORMAL
4.791,51,36.6972292,127.218098,0.060929064,1694591076933,NORMAL
4.947,52,36.6972296,127.2180978,0.05504091,1694591077935,NORMAL
4.89,53,36.6972302,127.2180978,0.03462736,1694591079930,NORMAL
4.245,54,36.6972303,127.2180978,0.021055698,1694591080933,NORMAL
4.392,55,36.6972304,127.2180979,0.009002307,1694591082930,NORMAL
4.389,56,36.6972304,127.2180979,0.0048092566,1694591083926,NORMAL
4.332,57,36.6972305,127.2180978,0.004873081,1694591085928,NORMAL
4.28,58,36.6972305,127.2180978,0.0019779478,1694591086928,NORMAL
3.993,59,36.6972304,127.2180978,0.0034148404,1694591088934,NORMAL
3.963,60,36.6972304,127.2180978,0.0014860696,1694591089934,NORMAL
4.675,61,36.6972304,127.2180978,1.0438634E-4,1694591091938,NORMAL
4.718,62,36.6972304,127.2180978,1.1584754E-5,1694591092934,NORMAL
4.618,63,36.6972304,127.2180978,6.0114576E-6,1694591094934,NORMAL
4.781,64,36.6972305,127.2180978,0.01135097,1694591095933,NORMAL
4.625,65,36.6972309,127.218098,0.018060936,1694591097928,NORMAL
4.603,66,36.697231,127.2180982,0.01862996,1694591098927,NORMAL
4.716,67,36.6972312,127.2180984,0.014771799,1694591100935,NORMAL
4.633,68,36.6972312,127.2180985,0.011654559,1694591101930,NORMAL
4.799,69,36.6972312,127.2180987,0.009106346,1694591103927,NORMAL
4.791,70,36.6972312,127.2180989,0.0133926645,1694591104931,NORMAL
4.874,71,36.6972313,127.2180991,0.011370272,1694591106935,NORMAL
4.785,72,36.6972313,127.2180992,0.009854249,1694591107929,NORMAL
4.991,73,36.6972312,127.2180994,0.010427294,1694591109937,NORMAL
4.984,74,36.6972312,127.2180995,0.009395942,1694591110936,NORMAL
5.001,75,36.6972312,127.2180996,0.0064648576,1694591112932,NORMAL
4.902,76,36.6972312,127.2180998,0.012336962,1694591113925,NORMAL
4.969,77,36.6972312,127.2181,0.00969002,1694591115928,NORMAL
4.976,78,36.6972313,127.2181001,0.011119186,1694591116931,NORMAL
5.069,79,36.6972312,127.2181003,0.00926444,1694591118934,NORMAL
4.926,80,36.6972312,127.2181004,0.009028306,1694591119927,NORMAL
4.793,81,36.6972302,127.2181003,0.047576156,1694591121928,NORMAL
4.797,82,36.69723,127.2181004,0.036773577,1694591122940,NORMAL
4.724,83,36.69723,127.2181005,0.0069305687,1694591124931,NORMAL
4.69,84,36.6972297,127.2181006,0.024445588,1694591125938,NORMAL
