accuracy,id,lat,lng,speed,time,type
18.4,1,37.4705403,126.4353715,12.757012,1694682804137,START
13.6,2,37.4707861,126.4353167,13.616733,1694682806123,NORMAL
13.333,3,37.4709118,126.4352649,14.068858,1694682807139,NORMAL
10.666,4,37.471161,126.4351226,15.471567,1694682809127,NORMAL
9.6,5,37.4712857,126.4350379,15.707775,1694682810139,NORMAL
8.0,6,37.4715438,126.4348253,16.737389,1694682812168,NORMAL
8.0,7,37.471664,126.4346913,17.146683,1694682813120,NORMAL
8.0,8,37.4718959,126.4343872,17.546736,1694682815127,NORMAL
8.0,9,37.4719974,126.4342257,17.746403,1694682816133,NORMAL
8.0,10,37.4721715,126.4338865,17.965406,1694682818131,NORMAL
8.0,11,37.4722439,126.4337146,17.802784,1694682819135,NORMAL
8.0,12,37.4723656,126.4333205,18.167171,1694682821134,NORMAL
8.0,13,37.4724093,126.4331294,17.797447,1694682822144,NORMAL
8.0,14,37.4724626,126.4327317,18.328821,1694682824131,NORMAL
8.0,15,37.4724846,126.4325225,18.690722,1694682825118,NORMAL
7.333,16,37.4725306,126.4320838,19.261734,1694682827130,NORMAL
6.8,17,37.4725597,126.4318691,19.494291,1694682828136,NORMAL
6.0,18,37.4726224,126.4314251,19.693884,1694682830126,NORMAL
6.0,19,37.4726618,126.4312048,19.708618,1694682831124,NORMAL
6.0,20,37.4727797,126.4307753,19.756012,1694682833129,NORMAL
6.0,21,37.4728639,126.4305656,19.889816,1694682834134,NORMAL
6.0,22,37.4730716,126.4301629,20.392317,1694682836111,NORMAL
6.0,23,37.4731957,126.429972,20.639763,1694682837115,NORMAL
6.0,24,37.4734966,126.4296325,21.71714,1694682839121,NORMAL
6.4,25,37.4736598,126.4294728,22.11614,1694682840130,NORMAL
11.666,26,37.4739839,126.4291619,22.659777,1694682842106,NORMAL
14.0,27,37.4741649,126.429017,23.047646,1694682843116,NORMAL
15.2,28,37.4745316,126.4287232,23.383247,1694682845133,NORMAL
14.4,29,37.4747087,126.4285728,23.663542,1694682846116,NORMAL
