accuracy,id,lat,lng,speed,time,type
16.888,1,36.4856618,127.3040454,0.1528726,1694739260000,START
13.333,2,36.4856358,127.3040401,0.48659435,1694739261999,NORMAL
9.297,3,36.4856286,127.3040407,0.5734069,1694739262999,NORMAL
7.33,4,36.4856084,127.3040336,0.8886059,1694739265000,NORMAL
6.775,5,36.4856063,127.3040307,0.4332192,1694739266000,NORMAL
6.242,6,36.4855835,127.3040599,1.5083554,1694739267999,NORMAL
6.091,7,36.4855518,127.3041093,2.9055867,1694739269000,NORMAL
5.782,8,36.4854687,127.3042314,4.4911847,1694739270999,NORMAL
5.497,9,36.485426,127.3042866,4.6835217,1694739272000,NORMAL
5.497,10,36.4853674,127.3043726,4.118656,1694739274000,NORMAL
5.843,11,36.4853579,127.3043957,3.0499864,1694739274999,NORMAL
5.843,12,36.4853461,127.3044438,2.5787604,1694739277000,NORMAL
5.55,13,36.4853317,127.3044656,2.5170135,1694739277999,NORMAL
3.834,14,36.4852834,127.3044809,2.1856463,1694739279999,NORMAL
3.856,15,36.485259,127.3044779,2.357327,1694739281000,NORMAL
3.845,16,36.4852112,127.3044602,2.7309527,1694739283000,NORMAL
6.246,17,36.4851785,127.3044434,3.2996662,1694739283999,NORMAL
6.637,18,36.4851016,127.3043838,4.40916,1694739286000,NORMAL
6.246,19,36.4850552,127.3043434,5.1265864,1694739286999,NORMAL
6.67,20,36.4849632,127.3042677,5.3665953,1694739289000,NORMAL
6.652,21,36.4849246,127.3042322,5.1675777,1694739289999,NORMAL
6.258,22,36.4848787,127.3041478,3.8932986,1694739292000,NORMAL
6.258,23,36.4848702,127.3041193,3.3271086,1694739293000,NORMAL
3.856,24,36.4848776,127.3040465,3.6951303,1694739295000,NORMAL
3.834,25,36.484899,127.3039915,4.6651053,1694739296000,NORMAL
3.834,26,36.4849746,127.3038578,7.093668,1694739298000,NORMAL
3.856,27,36.4850279,127.3037795,8.185337,1694739298999,NORMAL
3.856,28,36.4851421,127.3035961,9.781283,1694739301000,NORMAL
3.845,29,36.4851968,127.3034925,10.337337,1694739302000,NORMAL
3.845,30,36.4853003,127.303289,10.553021,1694739304000,NORMAL
3.834,31,36.4853494,127.3031793,10.911855,1694739304999,NORMAL
3.845,32,36.485448,127.302973,10.774443,1694739307000,NORMAL
3.856,33,36.4854986,127.3028779,10.453728,1694739308000,NORMAL
3.856,34,36.485582,127.3027199,8.554973,1694739310000,NORMAL
3.845,35,36.4856107,127.3026662,6.895731,1694739310999,NORMAL
3.845,36,36.4856323,127.3026287,2.7407696,1694739313000,NORMAL
3.845,37,36.4856308,127.3026317,1.5034337,1694739314000,NORMAL
3.845,38,36.4856246,127.3026368,0.789122,1694739315999,NORMAL
4.869,39,36.4856259,127.302633,0.6266325,1694739317000,NORMAL
9.347,40,36.4856471,127.3025935,2.7647872,1694739319000,NORMAL
9.431,41,36.4856703,127.3025531,3.8338337,1694739320000,NORMAL
11.377,42,36.4857415,127.3024295,6.5178432,1694739322000,NORMAL
11.171,43,36.4857852,127.3023501,8.488911,1694739323000,NORMAL
9.935,44,36.4858815,127.3021423,9.705372,1694739325000,NORMAL
9.945,45,36.4859271,127.3020397,9.67996,1694739326000,NORMAL
9.947,46,36.4860094,127.3018583,8.347154,1694739328000,NORMAL
9.945,47,36.4860445,127.3017922,6.967319,1694739329000,NORMAL
9.935,48,36.4860851,127.3017169,3.093471,1694739331000,NORMAL
9.935,49,36.4860932,127.3017076,1.2072669,1694739332000,NORMAL
10.053,50,36.4860923,127.3017176,0.5101209,1694739334000,NORMAL
10.186,51,36.4860906,127.3017238,0.0886812,1694739335000,NORMAL
10.314,52,36.4860895,127.3017293,0.17851375,1694739336999,NORMAL
10.393,53,36.4860895,127.3017303,0.13443406,1694739338000,NORMAL
10.669,54,36.4860894,127.30173,0.029104676,1694739339999,NORMAL
10.894,55,36.4860893,127.301729,0.028520288,1694739340999,NORMAL
11.337,56,36.4860896,127.3017261,0.10170403,1694739343000,NORMAL
11.479,57,36.4860896,127.3017243,0.12796494,1694739344000,NORMAL
12.205,58,36.4860895,127.3017226,0.08490699,1694739346000,NORMAL
12.345,59,36.4860896,127.3017218,0.08155212,1694739347000,NORMAL
15.476,60,36.486091,127.3017207,0.08675736,1694739349000,NORMAL
15.848,61,36.4860924,127.3017201,0.11608091,1694739350000,NORMAL
15.752,62,36.4860938,127.30172,0.09003905,1694739351999,NORMAL
16.504,63,36.4860942,127.3017201,0.06828815,1694739353000,NORMAL
13.749,64,36.4860946,127.3017202,0.03420025,1694739354999,NORMAL
13.751,65,36.4860948,127.3017202,0.02728356,1694739355999,NORMAL
15.901,66,36.4860951,127.3017199,0.024313314,1694739358000,NORMAL
15.894,67,36.4860954,127.3017196,0.03376776,1694739359000,NORMAL
16.2,68,36.4860961,127.3017194,0.03552472,1694739361000,NORMAL
13.574,69,36.4860963,127.3017195,0.029230021,1694739361999,NORMAL
13.248,70,36.4860965,127.3017194,0.013782229,1694739364000,NORMAL
15.396,71,36.4860967,127.3017193,0.02113826,1694739365000,NORMAL
14.79,72,36.4860972,127.3017194,0.02166599,1694739367000,NORMAL
14.931,73,36.4860974,127.3017195,0.022568211,1694739368000,NORMAL
14.36,74,36.4860981,127.3017194,0.03915849,1694739369999,NORMAL
14.3,75,36.4860981,127.301719,0.026723979,1694739371000,NORMAL
14.739,76,36.486098,127.3017184,0.023878613,1694739372999,NORMAL
14.855,77,36.486098,127.3017182,0.023244306,1694739373999,NORMAL
15.21,78,36.4860982,127.3017176,0.024487441,1694739376000,NORMAL
14.84,79,36.4860984,127.3017176,0.021328073,1694739377000,NORMAL
14.914,80,36.4860987,127.3017175,0.017404126,1694739379000,NORMAL
14.95,81,36.4861133,127.3016855,2.4124494,1694739379999,NORMAL
15.145,82,36.4861717,127.3015903,6.1106668,1694739381999,NORMAL
14.665,83,36.4862066,127.3015209,7.0617833,1694739383000,NORMAL
14.437,84,36.4862807,127.301379,7.697695,1694739384999,NORMAL
14.059,85,36.4863029,127.3013074,6.537164,1694739386000,NORMAL
13.849,86,36.4863105,127.3012253,4.0009327,1694739388000,NORMAL
13.846,87,36.4863045,127.3011704,4.2516932,1694739389000,NORMAL
14.262,88,36.4861707,127.3010192,8.882533,1694739391000,NORMAL
13.785,89,36.486062,127.3009411,8.752347,1694739392000,NORMAL
