accuracy,id,lat,lng,speed,time,type
17.271,1,36.4918432,127.2677569,0.7098259,1694843992835,START
12.884,2,36.4918446,127.2677672,0.67968893,1694843994823,NORMAL
12.217,3,36.4918444,127.2677771,0.82010525,1694843995858,NORMAL
11.043,4,36.4918429,127.2677925,0.02011207,1694843997831,NORMAL
9.908,5,36.4918441,127.2677938,0.30729428,1694843998856,NORMAL
9.559,6,36.4918436,127.2678033,7.6609955E-4,1694844000885,NORMAL
9.559,7,36.4918454,127.2678046,4.1839085E-6,1694844001880,NORMAL
8.941,8,36.491849,127.2678096,2.07554E-5,1694844003886,NORMAL
8.608,9,36.4918501,127.2678106,3.6121048E-7,1694844004879,NORMAL
7.941,10,36.4918534,127.2678106,8.541713E-8,1694844006882,NORMAL
7.664,11,36.491855,127.2678097,1.9983344E-7,1694844007838,NORMAL
7.813,12,36.4918574,127.2678067,3.791106E-7,1694844009841,NORMAL
7.813,13,36.4918583,127.2678053,5.292758E-9,1694844010836,NORMAL
8.115,14,36.4918588,127.2678045,5.920249E-10,1694844012841,NORMAL
8.497,15,36.4918589,127.2678044,3.5887723E-7,1694844013870,NORMAL
8.141,16,36.4918589,127.2678043,3.426613E-11,1694844015833,NORMAL
8.497,17,36.4918589,127.2678043,1.1706232E-11,1694844016833,NORMAL
7.871,18,36.4918589,127.2678043,1.9330408E-9,1694844018845,NORMAL
7.871,19,36.4918502,127.2678024,0.6367953,1694844019846,NORMAL
8.183,20,36.4918433,127.2677837,0.8660501,1694844021839,NORMAL
7.871,21,36.4918456,127.2677716,1.0789125,1694844022851,NORMAL
8.25,22,36.4918574,127.2677479,1.3534014,1694844024839,NORMAL
8.25,23,36.4918703,127.2677367,1.7244155,1694844025848,NORMAL
8.25,24,36.4918978,127.2677135,1.7077825,1694844027849,NORMAL
8.793,25,36.4919119,127.267702,1.7092507,1694844028859,NORMAL
8.394,26,36.4919352,127.267681,1.0763403,1694844030837,NORMAL
8.793,27,36.4919521,127.267678,1.6925287,1694844031875,NORMAL
8.783,28,36.4919878,127.2676906,1.7319255,1694844033872,NORMAL
8.783,29,36.4920032,127.26771,2.24578,1694844034854,NORMAL
8.386,30,36.492027,127.2677701,3.3945937,1694844036860,NORMAL
8.783,31,36.4920398,127.267813,3.9540052,1694844037857,NORMAL
9.222,32,36.4920776,127.2679037,4.4503427,1694844039878,NORMAL
9.047,33,36.492096,127.2679502,4.1105256,1694844040846,NORMAL
9.047,34,36.4921284,127.2680523,5.1906753,1694844042852,NORMAL
6.666,35,36.4921513,127.2681076,5.081134,1694844043853,NORMAL
5.6,36,36.4921939,127.2682137,5.0420275,1694844045857,NORMAL
5.333,37,36.4922161,127.2682689,5.351889,1694844046852,NORMAL
4.4,38,36.4922646,127.2683835,5.5123553,1694844048914,NORMAL
4.333,39,36.4922901,127.2684387,5.6291924,1694844049871,NORMAL
4.0,40,36.4923424,127.2685574,5.9223905,1694844051848,NORMAL
4.0,41,36.4923682,127.2686178,5.908025,1694844052855,NORMAL
4.0,42,36.4924223,127.268743,6.4733024,1694844054857,NORMAL
4.0,43,36.4924506,127.2688075,6.424463,1694844055836,NORMAL
4.0,44,36.4924996,127.268924,4.9531474,1694844057845,NORMAL
4.0,45,36.4925151,127.2689606,3.3117661,1694844058844,NORMAL
4.0,46,36.4925301,127.2690041,2.0055223,1694844060839,NORMAL
4.0,47,36.4925327,127.2690197,1.4225485,1694844061870,NORMAL
4.0,48,36.4925302,127.2690236,3.800905E-5,1694844063859,NORMAL
4.0,49,36.4925296,127.2690218,1.334899E-9,1694844064852,NORMAL
5.063,50,36.4925293,127.269021,6.769138E-11,1694844066851,NORMAL
5.24,51,36.4925293,127.2690209,1.2314992E-11,1694844067854,NORMAL
5.24,52,36.4925293,127.2690209,1.1553837E-12,1694844069852,NORMAL
5.177,53,36.4925293,127.2690209,1.4268733E-9,1694844070858,NORMAL
5.177,54,36.4925293,127.2690209,3.717327E-14,1694844072851,NORMAL
5.177,55,36.4925293,127.2690209,1.1086637E-14,1694844073846,NORMAL
5.396,56,36.4925293,127.2690209,4.3302896E-12,1694844075865,NORMAL
5.396,57,36.4925293,127.2690209,5.6985073E-16,1694844076848,NORMAL
5.197,58,36.4925293,127.2690209,3.7839205E-17,1694844078845,NORMAL
5.197,59,36.4925293,127.2690209,1.13076334E-17,1694844079841,NORMAL
5.587,60,36.4925293,127.2690209,1.8010985E-18,1694844081859,NORMAL
5.36,61,36.4925293,127.2690209,3.2495705E-19,1694844082851,NORMAL
5.587,62,36.4925293,127.2690209,3.6742972E-20,1694844084845,NORMAL
5.608,63,36.4925293,127.2690209,4.6440686E-17,1694844085871,NORMAL
5.378,64,36.4925375,127.2690407,1.2452843,1694844087840,NORMAL
5.608,65,36.4925368,127.2690653,2.3210773,1694844088846,NORMAL
5.502,66,36.4925064,127.2691338,3.8805466,1694844090848,NORMAL
5.753,67,36.4924704,127.2691613,4.9282613,1694844091853,NORMAL
5.502,68,36.4923697,127.2692174,6.467009,1694844093836,NORMAL
5.753,69,36.4923127,127.2692515,6.6982865,1694844094853,NORMAL
5.411,70,36.4922084,127.2693167,5.9486403,1694844096849,NORMAL
5.98,71,36.4921626,127.2693463,5.555918,1694844097864,NORMAL
5.697,72,36.4920741,127.2694031,5.682144,1694844099847,NORMAL
4.333,73,36.4920273,127.2694329,5.6146154,1694844100834,NORMAL
4.666,74,36.4919437,127.2694856,4.8504066,1694844102856,NORMAL
4.4,75,36.4919042,127.2695099,4.90621,1694844103860,NORMAL
4.4,76,36.4918128,127.2695642,5.9446917,1694844105844,NORMAL
4.4,77,36.4917615,127.2695925,6.065928,1694844106847,NORMAL
4.0,78,36.4916575,127.2696247,5.6297965,1694844108851,NORMAL
4.0,79,36.4916071,127.2696177,5.692669,1694844109837,NORMAL
5.153,80,36.4915128,127.2695429,6.121886,1694844111840,NORMAL
5.153,81,36.4914822,127.269483,5.9092493,1694844112855,NORMAL
5.345,82,36.4914357,127.2693586,6.2527637,1694844114854,NORMAL
4.0,83,36.491409,127.2692894,6.8796887,1694844115841,NORMAL
4.0,84,36.4913439,127.2691337,8.131746,1694844117846,NORMAL
4.0,85,36.4913068,127.2690447,8.861367,1694844118861,NORMAL
4.4,86,36.4912285,127.268846,10.043075,1694844120869,NORMAL
4.333,87,36.4911893,127.2687438,9.95519,1694844121842,NORMAL
4.4,88,36.4911153,127.2685511,9.019433,1694844123886,NORMAL
4.0,89,36.4910827,127.2684662,8.500825,1694844124862,NORMAL
4.0,90,36.4910192,127.2683029,8.086104,1694844126861,NORMAL
4.0,91,36.4909871,127.2682225,8.0951805,1694844127852,NORMAL
4.0,92,36.4909176,127.2680589,8.365756,1694844129844,NORMAL
4.0,93,36.4908796,127.2679784,8.198931,1694844130848,NORMAL
4.0,94,36.4907944,127.2678307,8.235162,1694844132855,NORMAL
4.0,95,36.490746,127.26776,8.270998,1694844133848,NORMAL
4.0,96,36.4906444,127.2676257,8.127706,1694844135852,NORMAL
4.0,97,36.4905926,127.2675648,7.7964005,1694844136856,NORMAL
4.0,98,36.4904913,127.2674473,7.8863783,1694844138862,NORMAL
4.0,99,36.4904378,127.2673862,8.22803,1694844139834,NORMAL
4.0,100,36.4903289,127.2672606,8.079839,1694844141850,NORMAL
4.0,101,36.4902774,127.2672012,7.8393345,1694844142858,NORMAL
4.0,102,36.4901777,127.2670893,7.554128,1694844144843,NORMAL
4.0,103,36.4901267,127.2670341,7.420127,1694844145837,NORMAL
4.0,104,36.4900238,127.2669315,7.3384695,1694844147837,NORMAL
4.0,105,36.4899724,127.266881,7.284951,1694844148851,NORMAL
4.0,106,36.4898867,127.2667932,5.4522967,1694844150831,NORMAL
4.0,107,36.4898573,127.2667618,4.1026993,1694844151858,NORMAL
4.0,108,36.4898138,127.2667128,3.5100417,1694844153847,NORMAL
4.0,109,36.4897873,127.266683,4.248511,1694844154838,NORMAL
4.0,110,36.4897178,127.2666047,5.294912,1694844156849,NORMAL
4.32,111,36.4896811,127.2665624,5.3873434,1694844157878,NORMAL
4.32,112,36.4896082,127.2664756,5.563233,1694844159851,NORMAL
4.32,113,36.4895725,127.2664291,5.6869173,1694844160856,NORMAL
4.0,114,36.489502,127.2663228,6.249964,1694844162845,NORMAL
4.0,115,36.4894676,127.2662617,6.674337,1694844163840,NORMAL
4.0,116,36.4894035,127.2661262,6.8677444,1694844165855,NORMAL
4.333,117,36.4893737,127.2660579,6.8797483,1694844166840,NORMAL
5.2,118,36.4893142,127.2659185,6.9004703,1694844168858,NORMAL
5.333,119,36.4892851,127.2658491,7.0387774,1694844169847,NORMAL
6.0,120,36.4892232,127.2657047,7.2852044,1694844171849,NORMAL
6.0,121,36.4891914,127.2656318,7.2804127,1694844172879,NORMAL
6.0,122,36.4891286,127.2654889,7.360107,1694844174847,NORMAL
6.0,123,36.4890973,127.2654172,7.1246643,1694844175856,NORMAL
6.0,124,36.4890398,127.2652878,6.090484,1694844177844,NORMAL
6.0,125,36.4890151,127.2652313,5.7809916,1694844178851,NORMAL
6.0,126,36.4889729,127.2651305,4.5524487,1694844180842,NORMAL
6.0,127,36.4889633,127.2650863,4.2139673,1694844181849,NORMAL
6.0,128,36.4889487,127.2649959,4.2137866,1694844183923,NORMAL
6.0,129,36.4889254,127.2649608,4.2729073,1694844184835,NORMAL
6.8,130,36.4888723,127.2648999,3.6437721,1694844186862,NORMAL
9.358,131,36.4888534,127.2648716,3.1406856,1694844187856,NORMAL
9.692,132,36.4888109,127.2647833,4.681949,1694844189869,NORMAL
9.164,133,36.4887902,127.2647367,4.5844364,1694844190854,NORMAL
7.876,134,36.4887543,127.2646533,4.159684,1694844192860,NORMAL
7.876,135,36.4887372,127.2646131,3.9823663,1694844193859,NORMAL
8.179,136,36.4887105,127.2645471,2.568763,1694844195842,NORMAL
8.465,137,36.4887025,127.2645279,2.000269,1694844196837,NORMAL
9.679,138,36.4886916,127.264504,0.7850257,1694844198860,NORMAL
9.679,139,36.4886906,127.2645016,2.531628E-4,1694844199865,NORMAL
9.679,140,36.4886925,127.2645053,7.6601685E-9,1694844201845,NORMAL
9.55,141,36.4886928,127.2645059,1.7006318E-5,1694844202833,NORMAL
9.55,142,36.488693,127.2645063,5.293905E-10,1694844204845,NORMAL
9.809,143,36.4886931,127.2645063,2.4513594E-10,1694844205853,NORMAL
9.912,144,36.4886931,127.2645064,5.2682694E-8,1694844207865,NORMAL
