accuracy,id,lat,lng,speed,time,type
7.765,1,36.6331896,127.511334,0.24726753,1695020769671,START
6.119,2,36.6331878,127.5113304,0.17636076,1695020771672,NORMAL
6.235,3,36.6331872,127.5113298,0.1186439,1695020772671,NORMAL
7.249,4,36.6331858,127.5113302,0.070677504,1695020774671,NORMAL
7.142,5,36.633186,127.5113237,0.50820106,1695020775672,NORMAL
6.653,6,36.6331835,127.5112648,3.814281,1695020777671,NORMAL
6.816,7,36.6331811,127.511212,4.594732,1695020778671,NORMAL
6.102,8,36.6331748,127.5110939,5.6057405,1695020780671,NORMAL
6.082,9,36.633169,127.5110155,6.97111,1695020781671,NORMAL
6.023,10,36.6331559,127.510814,9.265018,1695020783672,NORMAL
3.834,11,36.6331509,127.5107123,8.919757,1695020784673,NORMAL
3.834,12,36.633142,127.5105606,6.3559165,1695020786671,NORMAL
3.856,13,36.6331378,127.5105116,4.4996443,1695020787671,NORMAL
3.846,14,36.6331354,127.5104908,0.2002654,1695020789671,NORMAL
3.837,15,36.633136,127.5104947,0.20013724,1695020790671,NORMAL
3.839,16,36.6331374,127.5104978,0.05855775,1695020792672,NORMAL
3.849,17,36.6331375,127.510498,0.0348406,1695020793671,NORMAL
4.021,18,36.6331374,127.510498,0.0046407785,1695020795671,NORMAL
3.989,19,36.6331374,127.510498,0.0011910989,1695020796671,NORMAL
4.021,20,36.6331376,127.510501,0.1273721,1695020798090,NORMAL
6.595,21,36.6331433,127.5105065,0.19331974,1695020801673,NORMAL
3.823,22,36.6331419,127.5105026,0.08487009,1695020804091,NORMAL
3.823,23,36.6331463,127.5105096,0.3792326,1695020805672,NORMAL
14.596,24,36.6331491,127.5105138,0.3198051,1695020807282,NORMAL
11.949,25,36.6331471,127.510506,0.10768958,1695020809671,NORMAL
11.977,26,36.6331482,127.5105048,0.08560962,1695020811671,NORMAL
7.069,27,36.6331481,127.5105034,0.062205,1695020813671,NORMAL
7.091,28,36.6331481,127.5105011,0.09241565,1695020815672,NORMAL
7.473,29,36.6331481,127.510501,0.01646702,1695020817672,NORMAL
7.497,30,36.6331472,127.5104986,0.094230585,1695020819672,NORMAL
4.011,31,36.6331471,127.5104987,0.0191053,1695020821672,NORMAL
7.386,32,36.6331468,127.5104974,0.05828246,1695020823671,NORMAL
7.333,33,36.6331469,127.5104973,0.013601396,1695020825672,NORMAL
7.512,34,36.633146,127.5104971,0.043725047,1695020827672,NORMAL
7.512,35,36.6331476,127.5104964,0.061614934,1695020829672,NORMAL
3.874,36,36.6331487,127.5104976,0.075547114,1695020831671,NORMAL
7.404,37,36.6331491,127.5104978,0.04487427,1695020833671,NORMAL
7.404,38,36.6331497,127.5104986,0.046541218,1695020835671,NORMAL
15.669,39,36.6331503,127.5104992,0.045623865,1695020837437,NORMAL
12.682,40,36.6331496,127.5104993,0.022566589,1695020839671,NORMAL
12.682,41,36.6331495,127.5104995,0.014937527,1695020841671,NORMAL
7.892,42,36.6331494,127.5104995,0.007613716,1695020843672,NORMAL
7.917,43,36.6331494,127.5104995,0.0035819446,1695020845671,NORMAL
16.92,44,36.6331494,127.5104995,0.0034578177,1695020847472,NORMAL
12.882,45,36.6331494,127.5104994,4.2959582E-4,1695020849671,NORMAL
12.882,46,36.6331494,127.5104994,1.2708164E-4,1695020851672,NORMAL
8.117,47,36.6331494,127.5104994,9.21481E-5,1695020853672,NORMAL
8.117,48,36.6331494,127.5104994,6.9288864E-5,1695020855672,NORMAL
17.213,49,36.6331494,127.5104994,6.770611E-5,1695020857492,NORMAL
12.996,50,36.6331494,127.5104994,2.0195877E-5,1695020859671,NORMAL
12.996,51,36.6331494,127.5104994,8.531409E-6,1695020861671,NORMAL
8.165,52,36.6331494,127.5104994,2.5555491E-6,1695020863671,NORMAL
9.681,53,36.6331494,127.5104994,1.3890437E-6,1695020865671,NORMAL
19.338,54,36.6331434,127.5104307,3.580629,1695020869671,NORMAL
19.333,55,36.6331301,127.5103338,8.278044,1695020871672,NORMAL
14.483,56,36.6330854,127.5101175,11.377308,1695020873672,NORMAL
