accuracy,id,lat,lng,speed,time,type
16.095,1,36.4312723,127.075372,4.639247,1695257341987,START
11.503,2,36.4313886,127.0751418,15.965078,1695257343982,NORMAL
10.132,3,36.431478,127.0750119,11.601862,1695257344984,NORMAL
9.334,4,36.4316178,127.0747522,10.42744,1695257346993,NORMAL
7.337,5,36.4316893,127.0746365,11.200173,1695257347992,NORMAL
6.059,6,36.4318229,127.0744255,11.079603,1695257349989,OVER_STOP
5.91,7,36.4318843,127.0743216,10.640232,1695257350986,NORMAL
5.213,8,36.4320042,127.0741327,8.5428295,1695257353000,NORMAL
5.111,9,36.4320488,127.0740582,7.631967,1695257353996,NORMAL
4.798,10,36.4321333,127.0739388,6.2799897,1695257355997,NORMAL
4.665,11,36.4321759,127.0738719,7.46972,1695257357000,NORMAL
4.566,12,36.4322224,127.0738011,8.099549,1695257357990,NORMAL
4.261,13,36.432398,127.0735426,6.478665,1695257361996,NORMAL
4.242,14,36.4324931,127.0734087,7.7226286,1695257364000,NORMAL
4.097,15,36.4326013,127.0732427,9.386975,1695257365989,NORMAL
3.957,16,36.4327123,127.0730634,9.300238,1695257367990,NORMAL
3.87,17,36.4328226,127.0728931,9.309992,1695257369997,NORMAL
3.863,18,36.4329385,127.0727189,10.809373,1695257371992,NORMAL
3.826,19,36.4330634,127.072523,11.251422,1695257373988,NORMAL
3.863,20,36.4332013,127.0723297,11.289447,1695257376000,NORMAL
3.863,21,36.4333361,127.0721494,11.250024,1695257377984,NORMAL
3.9,22,36.4334439,127.0719832,7.900636,1695257379992,NORMAL
3.863,23,36.4335162,127.0718709,4.7919006,1695257381996,NORMAL
3.863,24,36.433572,127.0717951,4.6899886,1695257383993,NORMAL
3.863,25,36.433644,127.0717637,4.2153006,1695257385994,NORMAL
3.9,26,36.4337278,127.0718086,4.1223564,1695257387994,NORMAL
3.9,27,36.4337902,127.0719464,5.7931695,1695257389984,NORMAL
4.688,28,36.4338513,127.0721346,7.995385,1695257392000,NORMAL
4.688,29,36.433941,127.0723431,10.28158,1695257393989,NORMAL
3.9,30,36.434063,127.0725362,10.81284,1695257395994,NORMAL
3.9,31,36.4342155,127.0727126,11.628847,1695257397996,NORMAL
3.9,32,36.4343774,127.0728933,12.230147,1695257399980,NORMAL
3.9,33,36.4345446,127.073071,11.904255,1695257401983,NORMAL
3.9,34,36.434712,127.0732478,12.1511965,1695257403996,NORMAL
3.9,35,36.4349068,127.0734123,13.676526,1695257405993,NORMAL
3.9,36,36.4351219,127.0735425,13.131918,1695257407992,NORMAL
3.9,37,36.4353332,127.073672,13.421749,1695257409981,NORMAL
3.9,38,36.435542,127.0738206,12.897281,1695257411993,NORMAL
3.863,39,36.4357485,127.0739811,13.984817,1695257413999,NORMAL
3.863,40,36.4359567,127.074159,13.930456,1695257415999,NORMAL
3.863,41,36.43616,127.0743324,13.503514,1695257417994,NORMAL
3.9,42,36.4363548,127.0744994,12.96956,1695257419994,NORMAL
3.9,43,36.4365167,127.0746965,12.637044,1695257422000,NORMAL
3.9,44,36.4366336,127.0749334,12.462384,1695257423999,NORMAL
3.9,45,36.4366951,127.075184,11.706345,1695257425990,NORMAL
3.9,46,36.4366941,127.0754469,12.070731,1695257427991,NORMAL
3.9,47,36.4366574,127.0757161,11.954101,1695257429995,NORMAL
3.9,48,36.4366314,127.0759744,11.412593,1695257431994,NORMAL
3.9,49,36.4366293,127.0762165,10.482549,1695257434000,NORMAL
3.9,50,36.4366493,127.07644,10.197127,1695257436000,NORMAL
3.9,51,36.4366838,127.0766487,9.372189,1695257437993,NORMAL
3.9,52,36.4367273,127.0768297,8.257656,1695257439996,NORMAL
3.9,53,36.436781,127.0770117,9.161465,1695257441994,NORMAL
3.9,54,36.4368425,127.0772167,9.9039545,1695257444000,NORMAL
3.9,55,36.4369015,127.0774379,10.593459,1695257446000,NORMAL
3.863,56,36.4369656,127.0776746,11.402571,1695257447996,NORMAL
3.863,57,36.4370482,127.0779168,12.217704,1695257449998,NORMAL
3.863,58,36.4371736,127.0781535,12.8561325,1695257451997,NORMAL
3.9,59,36.437352,127.0783437,13.034965,1695257454000,NORMAL
3.9,60,36.4375634,127.0784833,12.972908,1695257455996,NORMAL
3.863,61,36.4377728,127.07861,13.027608,1695257457994,NORMAL
3.863,62,36.4379882,127.0787342,13.372611,1695257460000,NORMAL
3.863,63,36.4382066,127.0788608,13.43741,1695257462000,NORMAL
3.9,64,36.4384331,127.0789926,13.746401,1695257464000,NORMAL
3.9,65,36.4386512,127.0791379,13.811371,1695257465999,NORMAL
3.9,66,36.4388546,127.0793125,13.762536,1695257467997,NORMAL
3.9,67,36.4390394,127.0795267,14.192698,1695257469997,NORMAL
3.9,68,36.4392221,127.0797478,14.170015,1695257471999,NORMAL
3.9,69,36.4394141,127.0799464,13.780747,1695257473996,NORMAL
3.9,70,36.4396176,127.0801114,13.546334,1695257475991,NORMAL
3.9,71,36.4398361,127.0802668,14.167156,1695257477988,NORMAL
3.9,72,36.4400611,127.0804232,14.04358,1695257479989,NORMAL
3.863,73,36.440272,127.0805802,13.539616,1695257481997,NORMAL
3.863,74,36.4404538,127.0807427,12.182842,1695257483997,NORMAL
3.863,75,36.4405835,127.0809361,11.25994,1695257485998,NORMAL
3.9,76,36.4406405,127.0811795,11.344511,1695257487996,NORMAL
3.9,77,36.4406167,127.081434,11.417368,1695257489993,NORMAL
3.9,78,36.4405415,127.0816674,10.553239,1695257491999,NORMAL
3.9,79,36.4405408,127.0818801,9.377958,1695257493998,NORMAL
3.9,80,36.4406193,127.0820798,10.215195,1695257495996,NORMAL
3.9,81,36.4407456,127.0822738,10.939701,1695257497992,NORMAL
3.9,82,36.4408412,127.0824764,10.429314,1695257499999,NORMAL
3.9,83,36.4408992,127.0827233,12.526185,1695257501995,NORMAL
3.9,84,36.4409629,127.0830155,13.887358,1695257503993,NORMAL
3.9,85,36.4410276,127.0833168,14.163006,1695257505998,NORMAL
3.9,86,36.4410978,127.0836269,14.80536,1695257508000,NORMAL
3.9,87,36.4411746,127.0839584,15.3101635,1695257509996,NORMAL
3.9,88,36.441273,127.0842888,15.766771,1695257511998,NORMAL
3.863,89,36.4414122,127.0846015,15.833125,1695257513995,NORMAL
3.826,90,36.4415837,127.0848848,16.007374,1695257515996,NORMAL
3.826,91,36.4417846,127.0851428,16.24055,1695257517998,NORMAL
3.863,92,36.4420152,127.0853696,16.345606,1695257519981,NORMAL
3.9,93,36.4422821,127.0855545,16.526083,1695257521994,NORMAL
3.9,94,36.4425542,127.0857169,16.530212,1695257524000,NORMAL
3.9,95,36.4428226,127.0858835,16.549744,1695257526000,NORMAL
3.9,96,36.4430911,127.0860558,16.883152,1695257527997,NORMAL
3.9,97,36.4433682,127.0862254,17.066555,1695257529998,NORMAL
3.9,98,36.4436465,127.0863999,17.373846,1695257531995,NORMAL
3.863,99,36.4439277,127.0865801,17.547762,1695257533999,NORMAL
3.863,100,36.4442151,127.08676,17.913006,1695257535996,NORMAL
3.863,101,36.4445039,127.0869407,17.792707,1695257537991,NORMAL
3.9,102,36.4447907,127.0871198,17.888111,1695257539997,NORMAL
3.9,103,36.4450768,127.0873036,17.545502,1695257541993,NORMAL
3.9,104,36.4453623,127.0874677,17.300238,1695257543995,NORMAL
3.9,105,36.4456529,127.0875965,17.006361,1695257546000,NORMAL
3.9,106,36.4459516,127.0876859,17.0299,1695257548000,NORMAL
3.9,107,36.4462581,127.0877358,17.230244,1695257549993,NORMAL
3.9,108,36.4465699,127.0877463,17.472462,1695257551991,NORMAL
3.9,109,36.4468917,127.087713,18.057005,1695257553995,NORMAL
3.9,110,36.447212,127.087666,17.643553,1695257555999,NORMAL
3.9,111,36.4475462,127.0876175,18.59935,1695257557998,NORMAL
3.9,112,36.4478834,127.0875703,18.396196,1695257559992,NORMAL
3.9,113,36.4482166,127.0875392,18.252348,1695257562000,NORMAL
3.9,114,36.448542,127.0875446,17.985733,1695257563992,NORMAL
3.9,115,36.448863,127.0876069,17.77001,1695257565998,NORMAL
3.9,116,36.4491706,127.0877199,17.91356,1695257567993,NORMAL
3.9,117,36.4494738,127.087874,18.102924,1695257569998,NORMAL
3.9,118,36.4497617,127.0880722,18.242695,1695257571998,NORMAL
3.9,119,36.4500246,127.0883219,18.438107,1695257573998,NORMAL
3.9,120,36.4502671,127.0886102,18.626,1695257576000,NORMAL
3.9,121,36.4504996,127.088903,18.727827,1695257578000,NORMAL
3.9,122,36.4507347,127.0891988,18.847471,1695257580000,NORMAL
3.9,123,36.4509713,127.0894954,18.859634,1695257581991,NORMAL
3.863,124,36.4512096,127.0897911,18.810589,1695257583993,NORMAL
3.863,125,36.4514486,127.090099,18.172066,1695257585993,NORMAL
3.826,126,36.4516746,127.0904164,19.189323,1695257587997,NORMAL
3.863,127,36.4518903,127.090761,19.390415,1695257589986,NORMAL
3.826,128,36.4520791,127.0911248,19.35449,1695257591994,NORMAL
3.863,129,36.452249,127.091505,19.4024,1695257593993,NORMAL
3.863,130,36.4524116,127.0918905,19.381638,1695257595999,NORMAL
3.9,131,36.4525763,127.0922759,19.42762,1695257598000,NORMAL
3.9,132,36.4527319,127.0926612,19.439577,1695257599997,NORMAL
3.9,133,36.45289,127.0930439,19.400368,1695257602000,NORMAL
3.9,134,36.4530477,127.0934298,19.419645,1695257603992,NORMAL
3.863,135,36.4532049,127.093818,19.439669,1695257605991,NORMAL
3.863,136,36.4533616,127.0941983,19.184708,1695257607989,NORMAL
3.863,137,36.4535158,127.0945717,18.864117,1695257609995,NORMAL
3.863,138,36.4536676,127.0949402,18.821665,1695257611987,NORMAL
3.863,139,36.4538207,127.0953085,18.603884,1695257613992,NORMAL
3.863,140,36.4539699,127.0956758,18.384075,1695257615994,NORMAL
3.9,141,36.4541182,127.0960387,18.281797,1695257617992,NORMAL
3.9,142,36.4542662,127.0964031,18.309439,1695257619991,NORMAL
3.9,143,36.4544149,127.0967726,18.222082,1695257621992,NORMAL
3.863,144,36.4545721,127.0971278,18.096512,1695257623991,NORMAL
3.863,145,36.4547569,127.097462,18.239277,1695257625986,NORMAL
3.863,146,36.4549759,127.0977666,18.236698,1695257627996,NORMAL
3.9,147,36.455225,127.0980248,18.15317,1695257629994,NORMAL
3.9,148,36.4555005,127.0982505,18.442827,1695257631997,NORMAL
3.863,149,36.4558018,127.0984371,18.733232,1695257633992,NORMAL
3.863,150,36.456124,127.0986043,19.170238,1695257635993,NORMAL
3.863,151,36.4564447,127.09878,19.248337,1695257638000,NORMAL
3.9,152,36.4567628,127.098954,19.269575,1695257639994,NORMAL
3.9,153,36.4570835,127.0991328,19.407242,1695257641995,NORMAL
3.9,154,36.4574059,127.0993102,19.312454,1695257644000,NORMAL
3.9,155,36.4577255,127.099483,19.466648,1695257645995,NORMAL
3.9,156,36.4580485,127.099659,19.440573,1695257647999,NORMAL
3.9,157,36.4583687,127.0998327,19.137047,1695257650001,NORMAL
3.9,158,36.4586876,127.1000031,19.277271,1695257651998,NORMAL
3.9,159,36.4590038,127.1001767,19.054668,1695257653989,NORMAL
3.9,160,36.4593172,127.1003461,19.049658,1695257656000,NORMAL
3.9,161,36.4596284,127.1005136,18.972715,1695257658000,NORMAL
3.9,162,36.459934,127.1006822,18.342716,1695257659995,NORMAL
