accuracy,id,lat,lng,speed,time,type
8.0,1,36.4979035,127.3093243,5.1792874,1695383300898,START
8.0,2,36.4977977,127.3093291,6.776485,1695383302882,NORMAL
8.0,3,36.4977282,127.3093296,7.4138823,1695383303884,NORMAL
8.0,4,36.4975766,127.3093373,7.4590597,1695383305904,NORMAL
8.0,5,36.497506,127.3093408,7.0021677,1695383306854,NORMAL
8.0,6,36.4973753,127.3093162,6.69148,1695383308908,NORMAL
8.0,7,36.4973317,127.3092644,7.8143888,1695383309882,NORMAL
8.0,8,36.4972792,127.3090715,9.743236,1695383311882,NORMAL
8.0,9,36.4972559,127.3089538,10.370195,1695383312890,NORMAL
8.0,10,36.4971882,127.3086942,12.0125,1695383314885,NORMAL
8.0,11,36.4971365,127.3085547,12.667439,1695383315896,NORMAL
8.0,12,36.4970019,127.3082727,14.218549,1695383317896,NORMAL
8.0,13,36.4969267,127.3081261,14.901226,1695383318895,NORMAL
8.0,14,36.4967549,127.3078243,16.045013,1695383320908,NORMAL
8.0,15,36.49666,127.3076803,16.249878,1695383321896,NORMAL
8.0,16,36.4964573,127.307418,15.222365,1695383323897,NORMAL
8.0,17,36.496361,127.3073136,13.482565,1695383324905,NORMAL
8.0,18,36.4962022,127.3071601,10.058741,1695383326910,NORMAL
7.6,19,36.4961408,127.3070996,9.502024,1695383327923,NORMAL
6.8,20,36.4960179,127.3069587,9.772652,1695383329912,NORMAL
6.666,21,36.4959479,127.3068941,9.943602,1695383330893,NORMAL
6.0,22,36.495796,127.3067862,9.281566,1695383332908,NORMAL
6.0,23,36.4957308,127.3067352,8.534852,1695383333908,NORMAL
6.0,24,36.4956525,127.3066078,7.4443903,1695383335889,NORMAL
6.0,25,36.495667,127.3065156,8.3705635,1695383336907,NORMAL
6.0,26,36.4957478,127.3062981,11.344406,1695383338933,NORMAL
5.6,27,36.4958071,127.3061778,12.754547,1695383339887,NORMAL
5.333,28,36.4959373,127.3058988,14.576519,1695383341889,NORMAL
5.2,29,36.4960046,127.3057546,14.416216,1695383342909,NORMAL
5.6,30,36.4961308,127.305483,13.8717575,1695383344888,NORMAL
6.0,31,36.496194,127.3053481,13.955056,1695383345902,NORMAL
6.0,32,36.496315,127.3050836,13.259348,1695383347882,NORMAL
6.0,33,36.4963709,127.3049635,12.068527,1695383348893,NORMAL
6.333,34,36.4964662,127.304769,7.7572184,1695383350872,NORMAL
6.333,35,36.4964997,127.3047088,5.1748533,1695383351884,NORMAL
6.333,36,36.4965312,127.3046505,2.2743833,1695383353876,NORMAL
6.0,37,36.4965384,127.3046359,1.7577531,1695383354888,NORMAL
6.0,38,36.4965379,127.3046374,3.4454146E-9,1695383356893,NORMAL
6.0,39,36.496537,127.3046394,6.5375613E-12,1695383357918,NORMAL
7.703,40,36.4965366,127.3046404,6.9617804E-6,1695383359911,NORMAL
7.703,41,36.4965365,127.3046405,1.3120825E-10,1695383360952,NORMAL
7.46,42,36.4965365,127.3046406,4.918122E-14,1695383362894,NORMAL
7.46,43,36.4965365,127.3046406,1.9018737E-14,1695383363900,NORMAL
6.0,44,36.4965365,127.3046406,3.499706E-15,1695383365918,NORMAL
6.717,45,36.4965365,127.3046406,2.370254E-11,1695383366925,NORMAL
6.717,46,36.4965365,127.3046406,1.6283087E-16,1695383368917,NORMAL
6.717,47,36.4965365,127.3046406,6.101097E-17,1695383369911,NORMAL
6.938,48,36.4965365,127.3046406,1.9265405E-13,1695383371944,NORMAL
6.938,49,36.4965365,127.3046406,4.51999E-18,1695383372915,NORMAL
6.938,50,36.4965365,127.3046406,5.183425E-19,1695383374914,NORMAL
6.938,51,36.4965365,127.3046406,1.9556959E-19,1695383375905,NORMAL
6.91,52,36.4965365,127.3046406,2.3151215E-20,1695383377889,NORMAL
7.395,53,36.4965365,127.3046406,2.833705E-21,1695383378912,NORMAL
7.767,54,36.4965365,127.3046406,1.0790689E-21,1695383380897,NORMAL
8.304,55,36.4965365,127.3046406,2.5903052E-17,1695383381898,NORMAL
7.404,56,36.4965365,127.3046406,8.8796096E-23,1695383383910,NORMAL
7.118,57,36.4965365,127.3046406,2.6320257E-23,1695383384895,NORMAL
6.324,58,36.4965365,127.3046406,1.2472745E-19,1695383386892,NORMAL
6.61,59,36.4965365,127.3046406,3.0728365E-24,1695383387890,NORMAL
7.182,60,36.4965365,127.3046406,2.2599627E-34,1695383389893,NORMAL
7.182,61,36.4965365,127.3046406,1.488786E-39,1695383390873,NORMAL
7.585,62,36.4965365,127.3046406,0.0,1695383392875,NORMAL
7.85,63,36.4965365,127.3046406,0.0,1695383393910,NORMAL
7.85,64,36.4965365,127.3046406,0.0,1695383395875,NORMAL
7.467,65,36.4965365,127.3046406,0.0,1695383396885,NORMAL
6.896,66,36.4965365,127.3046406,0.0,1695383398898,NORMAL
6.896,67,36.4965365,127.3046406,0.0,1695383399870,NORMAL
7.589,68,36.4965365,127.3046406,0.0,1695383401919,NORMAL
7.922,69,36.4965365,127.3046406,0.0,1695383402896,NORMAL
8.255,70,36.4965365,127.3046406,0.0,1695383404896,NORMAL
7.933,71,36.4965365,127.3046406,0.0,1695383405903,NORMAL
8.482,72,36.4965365,127.3046406,0.0,1695383407923,NORMAL
8.128,73,36.4965365,127.3046406,0.0,1695383408893,NORMAL
8.128,74,36.4965364,127.304632,1.9169191,1695383410899,NORMAL
7.997,75,36.4965508,127.3045955,3.9187217,1695383411881,NORMAL
7.426,76,36.4966031,127.3044791,6.653806,1695383413850,NORMAL
7.14,77,36.4966404,127.3044004,8.069664,1695383414854,NORMAL
4.8,78,36.4967291,127.3042134,10.126618,1695383416884,NORMAL
5.2,79,36.4967803,127.3041036,11.215623,1695383417918,NORMAL
5.6,80,36.4968939,127.3038604,12.954368,1695383419891,NORMAL
5.2,81,36.4969565,127.303726,13.82484,1695383420888,NORMAL
4.666,82,36.4970914,127.3034313,15.412544,1695383422882,NORMAL
4.333,83,36.4971613,127.3032728,16.21072,1695383423869,NORMAL
4.0,84,36.4973108,127.3029317,17.572765,1695383425878,NORMAL
4.0,85,36.4973895,127.3027555,17.761482,1695383426902,NORMAL
4.0,86,36.4975487,127.3024097,18.096685,1695383428872,NORMAL
4.0,87,36.4976318,127.3022285,18.307442,1695383429923,NORMAL
4.0,88,36.4977941,127.3018743,18.158674,1695383431892,NORMAL
4.0,89,36.4978752,127.301699,18.033958,1695383432907,NORMAL
4.0,90,36.4980403,127.3013497,18.449291,1695383434889,NORMAL
4.0,91,36.4981266,127.3011685,18.893618,1695383435895,NORMAL
4.0,92,36.4983036,127.3007912,19.783264,1695383437900,NORMAL
4.0,93,36.4983916,127.3005989,19.83411,1695383438877,NORMAL
4.0,94,36.4985681,127.3002154,19.759277,1695383440896,NORMAL
4.0,95,36.4986572,127.3000234,19.941206,1695383441896,NORMAL
4.0,96,36.4988372,127.2996421,19.70604,1695383443880,NORMAL
4.0,97,36.4989261,127.2994521,19.579506,1695383444890,NORMAL
4.0,98,36.4991012,127.299077,19.364231,1695383446907,NORMAL
4.0,99,36.4991872,127.2988925,19.269537,1695383447891,NORMAL
4.0,100,36.4993592,127.2985221,19.044058,1695383449896,NORMAL
4.0,101,36.4994423,127.2983395,18.853691,1695383450884,NORMAL
4.0,102,36.4996079,127.297981,18.244427,1695383452893,NORMAL
4.0,103,36.4996888,127.2978095,17.621878,1695383453909,NORMAL
4.0,104,36.4998349,127.2974988,15.553503,1695383455891,NORMAL
4.0,105,36.4998995,127.2973606,14.110621,1695383456889,NORMAL
4.0,106,36.5000111,127.2971236,11.938423,1695383458901,NORMAL
4.0,107,36.5000604,127.2970202,10.713007,1695383459898,NORMAL
4.0,108,36.500132,127.296853,7.595292,1695383461915,NORMAL
4.0,109,36.5001533,127.2967869,6.599511,1695383462930,NORMAL
3.96,110,36.5001888,127.2966866,4.257793,1695383464915,NORMAL
3.94,111,36.500203,127.2966559,3.2263885,1695383465907,NORMAL
3.933,112,36.5002175,127.2966271,0.9498305,1695383467898,NORMAL
3.933,113,36.5002184,127.2966258,0.3148657,1695383468908,NORMAL
