accuracy,id,lat,lng,speed,time,type
12.049,1,37.5339621,127.0941318,0.9743634,1695348371212,START
11.0,2,37.5339683,127.0941242,0.96269095,1695348372214,NORMAL
11.333,3,37.5339507,127.0941398,0.022653462,1695348374207,NORMAL
14.4,4,37.5339444,127.0941415,0.16476044,1695348375235,NORMAL
14.4,5,37.5339248,127.094155,0.6705285,1695348377268,NORMAL
16.0,6,37.533912,127.0941633,1.0451192,1695348378264,NORMAL
16.0,7,37.533892,127.0941805,1.225047,1695348380257,NORMAL
16.0,8,37.5338855,127.0941876,1.1037228,1695348381276,NORMAL
15.2,9,37.5338528,127.094263,2.5648084,1695348383284,NORMAL
14.4,10,37.5338351,127.0942646,1.732687,1695348384725,NORMAL
13.6,11,37.5338293,127.0942638,1.1805221,1695348385736,NORMAL
11.489,12,37.5338249,127.0942567,0.50183165,1695348387768,NORMAL
10.823,13,37.5338207,127.0942525,0.5332855,1695348388760,NORMAL
9.489,14,37.5338185,127.0942514,0.23281586,1695348390754,NORMAL
9.489,15,37.5338181,127.0942523,0.13305126,1695348391764,NORMAL
9.499,16,37.5338197,127.0942547,0.11447829,1695348393754,NORMAL
9.214,17,37.5338201,127.0942581,0.20466962,1695348394767,NORMAL
8.749,18,37.5338234,127.0942613,0.1732773,1695348396765,NORMAL
7.853,19,37.5338234,127.0942612,0.06459837,1695348397785,NORMAL
7.302,20,37.5338232,127.0942609,0.004845049,1695348399747,NORMAL
7.519,21,37.5338232,127.0942609,6.731414E-4,1695348400768,NORMAL
7.517,22,37.5338232,127.0942609,6.528735E-4,1695348402780,NORMAL
7.517,23,37.5338232,127.0942609,3.034973E-4,1695348403765,NORMAL
7.517,24,37.5338232,127.0942609,2.3187544E-5,1695348405753,NORMAL
7.517,25,37.5338232,127.0942609,2.4089975E-6,1695348406761,NORMAL
7.948,26,37.5338232,127.0942609,3.2039743E-6,1695348408766,NORMAL
7.948,27,37.5338232,127.0942609,1.4131153E-6,1695348409783,NORMAL
7.948,28,37.5338232,127.0942609,9.4353105E-8,1695348411765,NORMAL
8.042,29,37.5338232,127.0942609,2.24436E-8,1695348412793,NORMAL
7.75,30,37.5338232,127.0942609,1.5252953E-8,1695348414767,NORMAL
7.75,31,37.5338232,127.0942609,6.3450147E-9,1695348415766,NORMAL
7.763,32,37.5338232,127.0942609,1.7945616E-10,1695348417771,NORMAL
7.763,33,37.5338232,127.0942609,1.3812107E-10,1695348418756,NORMAL
7.763,34,37.5338232,127.0942609,6.6449E-11,1695348420764,NORMAL
7.763,35,37.5338232,127.0942609,2.5798357E-11,1695348421768,NORMAL
8.252,36,37.5338232,127.0942609,5.2900436E-13,1695348423763,NORMAL
8.252,37,37.5338232,127.0942609,6.838732E-13,1695348424772,NORMAL
8.252,38,37.5338232,127.0942609,2.711692E-13,1695348426769,NORMAL
8.329,39,37.5338232,127.0942609,8.4346125E-14,1695348427776,NORMAL
8.329,40,37.5338232,127.0942609,2.0641045E-15,1695348429808,NORMAL
8.329,41,37.5338232,127.0942609,2.6406184E-15,1695348430783,NORMAL
8.185,42,37.5338232,127.0942609,7.944165E-16,1695348432766,NORMAL
8.185,43,37.5338232,127.0942609,4.819655E-16,1695348433770,NORMAL
8.185,44,37.5338232,127.0942609,3.7199247E-16,1695348435758,NORMAL
8.185,45,37.5338232,127.0942609,3.7199247E-16,1695348436754,NORMAL
8.497,46,37.5338232,127.0942609,3.7199247E-16,1695348438769,NORMAL
9.246,47,37.5338232,127.0942609,3.7199247E-16,1695348439768,NORMAL
9.913,48,37.5338232,127.0942609,3.7199247E-16,1695348441767,NORMAL
10.452,49,37.5338232,127.0942609,3.7199247E-16,1695348442769,NORMAL
9.785,50,37.5338232,127.0942609,3.7199247E-16,1695348444771,NORMAL
9.244,51,37.5338232,127.0942609,3.7199247E-16,1695348445759,NORMAL
8.875,52,37.5338232,127.0942609,3.7199247E-16,1695348447772,NORMAL
8.875,53,37.5338232,127.0942609,3.7199247E-16,1695348448774,NORMAL
8.875,54,37.5338232,127.0942609,3.7199247E-16,1695348450772,NORMAL
8.464,55,37.5338232,127.0942609,3.7199247E-16,1695348451759,NORMAL
8.959,56,37.5338232,127.0942609,3.7199247E-16,1695348453780,NORMAL
8.537,57,37.5338232,127.0942609,3.7199247E-16,1695348454757,NORMAL
8.959,58,37.5338232,127.0942609,3.7199247E-16,1695348456768,NORMAL
8.385,59,37.5338232,127.0942609,3.7199247E-16,1695348457756,NORMAL
8.385,60,37.5338232,127.0942609,3.7199247E-16,1695348459751,NORMAL
8.782,61,37.5338232,127.0942609,3.7199247E-16,1695348460759,NORMAL
6.0,62,37.5338232,127.0942609,3.7199247E-16,1695348462761,NORMAL
6.0,63,37.5338232,127.0942609,3.7199247E-16,1695348463772,NORMAL
6.0,64,37.5338232,127.0942609,3.7199247E-16,1695348465774,NORMAL
6.0,65,37.5338232,127.0942609,3.7199247E-16,1695348466761,NORMAL
6.0,66,37.5338232,127.0942609,3.7199247E-16,1695348468762,NORMAL
6.0,67,37.5338232,127.0942609,3.7199247E-16,1695348469772,NORMAL
6.0,68,37.5338232,127.0942609,3.7199247E-16,1695348471764,NORMAL
6.0,69,37.5338232,127.0942609,3.7199247E-16,1695348472778,NORMAL
6.0,70,37.5338232,127.0942609,3.7199247E-16,1695348474776,NORMAL
6.0,71,37.5338232,127.0942609,3.7199247E-16,1695348475775,NORMAL
6.0,72,37.5338232,127.0942609,3.7199247E-16,1695348477768,NORMAL
6.034,73,37.5338232,127.0942609,3.7199247E-16,1695348478769,NORMAL
6.034,74,37.5338232,127.0942609,3.7199247E-16,1695348480766,NORMAL
6.04,75,37.5338232,127.0942609,3.7199247E-16,1695348481769,NORMAL
6.105,76,37.5338232,127.0942609,3.7199247E-16,1695348483789,NORMAL
6.09,77,37.5338232,127.0942609,3.7199247E-16,1695348484751,NORMAL
6.09,78,37.5338232,127.0942609,3.7199247E-16,1695348486751,NORMAL
6.105,79,37.5338232,127.0942609,3.7199247E-16,1695348487757,NORMAL
6.035,80,37.5338232,127.0942609,3.7199247E-16,1695348489761,NORMAL
6.03,81,37.5338232,127.0942609,3.7199247E-16,1695348490758,NORMAL
6.0,82,37.5338232,127.0942609,3.7199247E-16,1695348492772,NORMAL
6.182,83,37.5338232,127.0942609,3.7199247E-16,1695348493762,NORMAL
6.182,84,37.5338232,127.0942609,3.7199247E-16,1695348495760,NORMAL
6.156,85,37.5338232,127.0942609,3.7199247E-16,1695348496756,NORMAL
6.89,86,37.5338232,127.0942609,3.7199247E-16,1695348498765,NORMAL
7.224,87,37.5338232,127.0942609,3.7199247E-16,1695348499756,NORMAL
7.89,88,37.5338232,127.0942609,3.7199247E-16,1695348501760,NORMAL
8.224,89,37.5338232,127.0942609,3.7199247E-16,1695348502757,NORMAL
8.329,90,37.5338232,127.0942609,3.7199247E-16,1695348504760,NORMAL
8.282,91,37.5338232,127.0942609,3.7199247E-16,1695348505752,NORMAL
8.329,92,37.5338232,127.0942609,3.7199247E-16,1695348507792,NORMAL
8.395,93,37.5338232,127.0942609,3.7199247E-16,1695348508778,NORMAL
8.395,94,37.5338232,127.0942609,3.7199247E-16,1695348510762,NORMAL
8.339,95,37.5338232,127.0942609,3.7199247E-16,1695348511751,NORMAL
8.578,96,37.5338232,127.0942609,3.7199247E-16,1695348513753,NORMAL
8.578,97,37.5338232,127.0942609,3.7199247E-16,1695348514745,NORMAL
8.578,98,37.5338232,127.0942609,3.7199247E-16,1695348516743,NORMAL
8.674,99,37.5338232,127.0942609,3.7199247E-16,1695348517793,NORMAL
8.538,100,37.5338232,127.0942609,3.7199247E-16,1695348519748,NORMAL
8.538,101,37.5338232,127.0942609,3.7199247E-16,1695348520805,NORMAL
8.175,102,37.5338232,127.0942609,3.7199247E-16,1695348522764,NORMAL
7.2,103,37.5338628,127.0942573,1.0661073,1695348523776,NORMAL
7.086,104,37.5338742,127.0942575,3.5891914E-9,1695348525741,NORMAL
6.6,105,37.5338747,127.0942583,5.933249E-10,1695348526749,NORMAL
7.648,106,37.533875,127.0942588,1.484282E-7,1695348528772,NORMAL
7.654,107,37.533875,127.0942589,2.8368443E-11,1695348529756,NORMAL
8.596,108,37.533875,127.0942589,4.0240476E-12,1695348531763,NORMAL
8.511,109,37.533875,127.0942589,2.0148269E-12,1695348532749,NORMAL
8.812,110,37.533875,127.0942589,5.67521E-13,1695348534806,NORMAL
8.41,111,37.533875,127.0942589,1.3065607E-13,1695348535744,NORMAL
7.838,112,37.533875,127.0942589,3.0240042E-14,1695348537745,NORMAL
7.413,113,37.533875,127.0942589,3.1276638E-11,1695348538768,NORMAL
7.649,114,37.533875,127.0942589,2.0978389E-15,1695348540749,NORMAL
7.699,115,37.533875,127.0942589,7.6655984E-16,1695348541757,NORMAL
6.333,116,37.533875,127.0942589,1.7349982E-16,1695348543739,NORMAL
7.883,117,37.533875,127.0942589,1.1728755E-13,1695348544757,NORMAL
7.9,118,37.533875,127.0942589,7.504073E-18,1695348546745,NORMAL
7.614,119,37.533875,127.0942589,6.968714E-17,1695348547760,NORMAL
7.918,120,37.533875,127.0942589,9.446192E-19,1695348549778,NORMAL
8.252,121,37.533875,127.0942589,1.0721422E-19,1695348550751,NORMAL
8.216,122,37.533875,127.0942589,4.6958827E-20,1695348552744,NORMAL
9.374,123,37.533875,127.0942589,2.9721887E-17,1695348553765,NORMAL
9.04,124,37.533875,127.0942589,1.5842386E-21,1695348555761,NORMAL
8.606,125,37.533875,127.0942589,4.372415E-22,1695348556743,NORMAL
7.805,126,37.533875,127.0942589,2.8041725E-19,1695348558742,NORMAL
7.519,127,37.533875,127.0942589,5.0758318E-23,1695348559743,NORMAL
7.773,128,37.533875,127.0942589,3.969948E-27,1695348561754,NORMAL
7.773,129,37.533875,127.0942589,9.1966534E-32,1695348562752,NORMAL
7.793,130,37.533875,127.0942589,7.88616E-40,1695348564772,NORMAL
7.537,131,37.533875,127.0942589,4.9E-44,1695348565742,NORMAL
7.793,132,37.533875,127.0942589,0.0,1695348567762,NORMAL
7.848,133,37.533875,127.0942589,0.0,1695348568759,NORMAL
7.848,134,37.533875,127.0942589,0.0,1695348570745,NORMAL
7.848,135,37.533875,127.0942589,0.0,1695348571749,NORMAL
