accuracy,id,lat,lng,speed,time,type
3.954,1,36.4693063,127.2732959,2.2152984,1695345019939,START
3.863,2,36.4692578,127.2733069,2.339313,1695345021938,NORMAL
5.411,3,36.4691942,127.273277,4.3075013,1695345023939,NORMAL
5.411,4,36.4691382,127.2731962,4.559704,1695345025938,NORMAL
3.863,5,36.4691137,127.2731013,3.593105,1695345027939,NORMAL
3.9,6,36.4690946,127.2730241,3.3303647,1695345029939,NORMAL
3.9,7,36.4690616,127.2729592,3.2899776,1695345031938,NORMAL
5.422,8,36.4690147,127.2729116,3.2393827,1695345033939,NORMAL
5.395,9,36.468958,127.2728901,2.730398,1695345035938,NORMAL
3.826,10,36.4689037,127.2728959,3.1480927,1695345037938,NORMAL
3.863,11,36.4688434,127.2728754,4.3555,1695345039939,NORMAL
3.9,12,36.4687937,127.2727841,5.499327,1695345041939,NORMAL
5.867,13,36.4687898,127.2726486,5.4007225,1695345043938,NORMAL
5.867,14,36.4687969,127.2725236,5.316655,1695345045938,NORMAL
3.826,15,36.4687916,127.2723982,5.732618,1695345047939,NORMAL
3.863,16,36.4687848,127.2722596,6.3879256,1695345049939,NORMAL
3.863,17,36.4687726,127.2721044,6.90889,1695345051938,NORMAL
3.863,18,36.4687595,127.2719387,7.2056956,1695345053939,NORMAL
3.863,19,36.4687525,127.2717716,7.0898657,1695345055938,NORMAL
3.863,20,36.4687451,127.2716134,6.5112724,1695345057939,NORMAL
3.863,21,36.468747,127.271472,5.549066,1695345059939,NORMAL
3.863,22,36.4687907,127.2713619,4.9456587,1695345061939,NORMAL
3.863,23,36.4688799,127.2713044,4.775496,1695345063939,NORMAL
3.863,24,36.468994,127.2713066,4.847082,1695345065939,NORMAL
3.863,25,36.4691218,127.2713214,5.696163,1695345067939,NORMAL
3.863,26,36.4692691,127.2713669,6.1332865,1695345069939,NORMAL
3.9,27,36.4694404,127.2714457,7.694291,1695345071939,NORMAL
3.9,28,36.4696167,127.2715126,8.749783,1695345073939,NORMAL
3.9,29,36.469787,127.271568,9.026373,1695345075938,NORMAL
3.9,30,36.4699484,127.2716168,8.922489,1695345077939,NORMAL
3.9,31,36.470102,127.2716598,8.578672,1695345079938,NORMAL
3.863,32,36.4702439,127.2716959,8.008543,1695345081938,NORMAL
3.863,33,36.4703681,127.2717299,6.8674536,1695345083939,NORMAL
3.863,34,36.4704648,127.271758,5.062647,1695345085938,NORMAL
3.9,35,36.4705285,127.2717746,3.3209808,1695345087939,NORMAL
3.9,36,36.4705704,127.2717851,2.235724,1695345089939,NORMAL
3.9,37,36.4705957,127.2717929,0.76924944,1695345091939,NORMAL
3.9,38,36.4705991,127.2717929,0.6413146,1695345093939,NORMAL
3.9,39,36.4705972,127.2717894,0.3278703,1695345095939,NORMAL
3.9,40,36.4705945,127.2717849,0.13942975,1695345097938,NORMAL
4.543,41,36.4705926,127.2717823,0.09482601,1695345099937,NORMAL
4.543,42,36.4705937,127.2717836,0.04374954,1695345101937,NORMAL
3.9,43,36.4705946,127.2717848,0.042355742,1695345103939,NORMAL
3.9,44,36.4705949,127.2717857,0.039865874,1695345105939,NORMAL
3.9,45,36.470595,127.271786,0.031403605,1695345107938,NORMAL
4.364,46,36.4705948,127.271786,0.0069834627,1695345109938,NORMAL
4.364,47,36.4705948,127.271786,0.0018212966,1695345111939,NORMAL
3.9,48,36.4705948,127.271786,3.318718E-4,1695345113938,NORMAL
3.9,49,36.4705948,127.271786,5.1434847E-5,1695345115938,NORMAL
3.863,50,36.4705948,127.271786,1.2645586E-5,1695345117939,NORMAL
5.875,51,36.4705947,127.271786,0.0038607495,1695345119939,NORMAL
7.886,52,36.4705947,127.271786,0.001888898,1695345121939,NORMAL
9.935,53,36.4705947,127.2717861,0.002913774,1695345123938,NORMAL
9.935,54,36.4706123,127.2717887,1.6121259,1695345125938,NORMAL
9.935,55,36.4706441,127.2717955,2.025712,1695345127938,NORMAL
11.064,56,36.4706961,127.2718016,3.5572555,1695345129938,NORMAL
11.064,57,36.4707789,127.2717845,5.2008333,1695345131939,NORMAL
9.935,58,36.4708721,127.2717013,6.182141,1695345133939,NORMAL
9.935,59,36.4709414,127.2715649,6.670083,1695345135939,NORMAL
9.935,60,36.4709759,127.2713898,8.310625,1695345137939,NORMAL
10.403,61,36.4710031,127.2711702,10.457879,1695345139938,NORMAL
10.408,62,36.4710536,127.2709228,12.04894,1695345141939,NORMAL
9.955,63,36.4711093,127.2706503,12.2998495,1695345143939,NORMAL
9.951,64,36.4711673,127.2703761,12.899731,1695345145938,NORMAL
9.95,65,36.4712289,127.270082,14.239356,1695345147939,NORMAL
9.951,66,36.4713115,127.2697667,15.0794325,1695345149939,NORMAL
9.951,67,36.4714224,127.2694514,15.499714,1695345151938,NORMAL
9.953,68,36.4715629,127.2691452,15.599861,1695345153939,NORMAL
9.955,69,36.4717339,127.268864,15.659886,1695345155938,NORMAL
9.959,70,36.4719308,127.2686075,15.809842,1695345157937,NORMAL
9.958,71,36.4721433,127.2683736,15.929822,1695345159938,NORMAL
9.957,72,36.4723783,127.268161,16.149776,1695345161939,NORMAL
9.955,73,36.4726341,127.2679735,16.669767,1695345163938,NORMAL
9.957,74,36.4729028,127.2677919,17.319328,1695345165939,NORMAL
9.958,75,36.4731778,127.2675994,17.94946,1695345167939,NORMAL
9.959,76,36.4734612,127.267394,18.389727,1695345169938,NORMAL
9.958,77,36.4737535,127.2671829,18.779701,1695345171938,NORMAL
9.96,78,36.4740499,127.2669695,19.06968,1695345173938,NORMAL
9.96,79,36.4743434,127.2667577,18.420444,1695345175939,NORMAL
9.961,80,36.4746281,127.2665523,18.170212,1695345177938,NORMAL
9.959,81,36.4749127,127.2663473,18.709585,1695345179938,NORMAL
9.96,82,36.4752063,127.2661308,19.14966,1695345181939,NORMAL
