accuracy,id,lat,lng,speed,time,type
7.216,1,36.5351111,127.2453359,0.6104371,1695430421000,START
5.979,2,36.5351117,127.2453332,0.1735427,1695430422000,NORMAL
6.527,3,36.5351122,127.2453322,0.095358245,1695430424000,NORMAL
5.082,4,36.5351134,127.2453317,0.12031892,1695430424999,NORMAL
5.297,5,36.5351136,127.2453313,0.036287565,1695430426999,NORMAL
5.082,6,36.535117,127.2453244,0.4497511,1695430427999,NORMAL
5.103,7,36.5351221,127.2452887,2.2888317,1695430429999,NORMAL
5.103,8,36.535119,127.2452526,2.863368,1695430430999,NORMAL
5.322,9,36.5351045,127.2451671,3.7879333,1695430432999,NORMAL
5.087,10,36.535098,127.2451255,3.5509772,1695430433999,NORMAL
5.285,11,36.535084,127.2450433,3.6300852,1695430435999,NORMAL
5.087,12,36.5350754,127.2450048,3.312038,1695430436999,NORMAL
3.845,13,36.5350553,127.244951,2.312808,1695430439000,NORMAL
3.834,14,36.5350385,127.2449323,2.50237,1695430439999,NORMAL
3.845,15,36.5349704,127.2449116,4.1638827,1695430441999,NORMAL
3.845,16,36.5349227,127.2449198,4.908859,1695430442999,NORMAL
3.845,17,36.5348102,127.2449633,6.23545,1695430445000,NORMAL
3.845,18,36.5347488,127.2449884,6.935538,1695430445999,NORMAL
3.834,19,36.5346131,127.2450423,8.020619,1695430447999,NORMAL
3.856,20,36.5345413,127.2450689,8.3147135,1695430448999,NORMAL
3.845,21,36.5343874,127.2450946,8.630254,1695430450999,NORMAL
3.845,22,36.5343056,127.2450936,9.091159,1695430451999,NORMAL
3.845,23,36.5341297,127.2450933,10.25559,1695430453999,NORMAL
3.845,24,36.5340339,127.2450929,10.652934,1695430454999,NORMAL
3.856,25,36.5338306,127.2450823,11.418136,1695430456999,NORMAL
3.845,26,36.5337262,127.2450712,11.537292,1695430458000,NORMAL
3.834,27,36.5335115,127.2450338,12.219156,1695430459999,NORMAL
3.845,28,36.5333988,127.2450071,12.560301,1695430460999,NORMAL
3.845,29,36.5331758,127.2449464,11.966146,1695430462999,NORMAL
3.845,30,36.5330766,127.2449153,10.949418,1695430463999,NORMAL
3.834,31,36.5329082,127.2448543,9.139695,1695430466000,NORMAL
3.845,32,36.5328371,127.2448248,8.540218,1695430466999,NORMAL
3.856,33,36.5327163,127.2447679,6.763243,1695430468999,NORMAL
3.834,34,36.5326714,127.2447401,5.548164,1695430470000,NORMAL
3.834,35,36.5326084,127.2446944,3.7670026,1695430471999,NORMAL
3.845,36,36.5325894,127.2446769,3.1250308,1695430473000,NORMAL
3.856,37,36.5325646,127.2446542,1.3794504,1695430474999,NORMAL
3.834,38,36.5325599,127.2446509,0.7626971,1695430475999,NORMAL
5.715,39,36.5325557,127.2446479,0.23733182,1695430477999,NORMAL
5.734,40,36.532555,127.2446491,0.23106416,1695430478999,NORMAL
5.456,41,36.5325537,127.2446519,0.10042931,1695430480999,NORMAL
5.456,42,36.5325528,127.2446531,0.12722307,1695430481999,NORMAL
5.774,43,36.5325512,127.2446558,0.15155332,1695430483999,NORMAL
5.506,44,36.5325504,127.2446566,0.12817717,1695430485000,NORMAL
5.792,45,36.5325514,127.2446583,0.09604435,1695430486999,NORMAL
5.442,46,36.5325515,127.2446594,0.09561606,1695430487999,NORMAL
5.699,47,36.5325515,127.2446597,0.02683587,1695430489999,NORMAL
5.717,48,36.5325515,127.2446597,0.009646982,1695430490999,NORMAL
5.812,49,36.5325514,127.2446597,0.0062303436,1695430492999,NORMAL
5.794,50,36.5325514,127.2446597,0.0034798225,1695430493999,NORMAL
5.523,51,36.5325513,127.2446597,0.0036253494,1695430495999,NORMAL
5.523,52,36.5325513,127.2446597,0.0014879612,1695430497000,NORMAL
5.917,53,36.5325513,127.2446597,7.7458295E-5,1695430498999,NORMAL
