accuracy,id,lat,lng,speed,time,type
8.193,1,36.3347401,127.4465932,2.9673727,1695539880825,START
7.743,2,36.3347577,127.4465735,3.1851869,1695539881818,NORMAL
7.105,3,36.3347811,127.4465166,2.3315983,1695539883818,NORMAL
6.91,4,36.3347898,127.446479,2.7507758,1695539884823,NORMAL
5.726,5,36.3348002,127.4464185,1.6310565,1695539886823,NORMAL
5.581,6,36.3348022,127.4464009,0.88183683,1695539887823,NORMAL
5.047,7,36.3348118,127.4463796,1.1303118,1695539889823,NORMAL
4.716,8,36.3348214,127.4463782,1.1200563,1695539890823,NORMAL
4.264,9,36.3348492,127.4463747,2.156897,1695539892823,NORMAL
4.087,10,36.3348726,127.4463856,3.3243153,1695539893823,NORMAL
3.852,11,36.334951,127.4464349,5.726013,1695539895823,NORMAL
3.845,12,36.3349965,127.4464602,5.9249177,1695539896823,NORMAL
3.897,13,36.3350928,127.4465171,6.393188,1695539898823,NORMAL
3.942,14,36.3351474,127.446552,6.8834343,1695539899823,NORMAL
4.003,15,36.3352625,127.4466397,7.8759003,1695539901823,NORMAL
4.045,16,36.3353306,127.4466722,7.9994397,1695539902823,NORMAL
4.158,17,36.3355397,127.446793,8.067816,1695539905823,NORMAL
4.216,18,36.3356675,127.4468823,8.116072,1695539907823,NORMAL
4.217,19,36.3357291,127.4469247,7.5830903,1695539908823,NORMAL
4.128,20,36.3358491,127.4469908,7.4108596,1695539910823,NORMAL
4.174,21,36.3359515,127.4470437,5.7900443,1695539912822,NORMAL
4.126,22,36.3359911,127.4470637,4.8626943,1695539913822,NORMAL
4.137,23,36.3360568,127.4471079,3.7221706,1695539915823,NORMAL
4.08,24,36.336086,127.4471261,3.4108062,1695539916823,NORMAL
4.045,25,36.3361026,127.4471612,1.4445479,1695539918823,NORMAL
4.074,26,36.3361101,127.4471675,0.81794375,1695539919822,NORMAL
4.746,27,36.3361051,127.4471769,0.2525704,1695539921817,NORMAL
4.787,28,36.3361024,127.4471804,0.22371118,1695539922811,NORMAL
4.931,29,36.3361098,127.4471803,0.5042356,1695539924811,NORMAL
4.389,30,36.336113,127.4471799,0.27504992,1695539925811,NORMAL
4.378,31,36.3361147,127.4471849,0.28224716,1695539927811,NORMAL
4.281,32,36.3361179,127.4471808,0.30693316,1695539928906,NORMAL
3.926,33,36.3361261,127.447177,0.45831493,1695539930823,NORMAL
3.845,34,36.3361276,127.4471781,0.15460074,1695539931822,NORMAL
3.834,35,36.3361299,127.4471776,0.09262177,1695539933823,NORMAL
4.24,36,36.3361313,127.447176,0.28976256,1695539935823,NORMAL
4.438,37,36.336135,127.4471754,0.24932767,1695539937823,NORMAL
3.9,38,36.3361385,127.4471797,0.19581313,1695539939822,NORMAL
5.408,39,36.3361379,127.4471776,0.086977705,1695539940822,NORMAL
7.521,40,36.3361356,127.4471741,0.15030886,1695539942822,NORMAL
9.97,41,36.3361355,127.4471734,0.0700592,1695539944823,NORMAL
10.025,42,36.3361351,127.4471735,0.029267758,1695539946823,NORMAL
10.138,43,36.336135,127.4471734,0.014453797,1695539948823,NORMAL
10.143,44,36.3361351,127.4471733,0.005073632,1695539950822,NORMAL
10.07,45,36.3361355,127.4471733,0.019645784,1695539952822,NORMAL
9.986,46,36.3361359,127.4471734,0.019928107,1695539954822,NORMAL
9.935,47,36.3361357,127.4471733,0.0040337546,1695539956822,NORMAL
9.935,48,36.3361355,127.4471733,0.0075346082,1695539958822,NORMAL
7.923,49,36.3361353,127.4471731,0.012334507,1695539960823,NORMAL
5.911,50,36.3361351,127.447173,0.012193588,1695539962822,NORMAL
3.9,51,36.3361352,127.447173,0.0021274944,1695539964822,NORMAL
3.9,52,36.336136,127.4471737,0.0429653,1695539966823,NORMAL
3.9,53,36.3361417,127.4471741,0.6079781,1695539968822,NORMAL
3.9,54,36.3361766,127.4471976,3.0691009,1695539970822,NORMAL
3.9,55,36.336243,127.4472411,4.4297605,1695539972823,NORMAL
3.9,56,36.33632,127.4472876,4.8699646,1695539974822,NORMAL
3.9,57,36.3364187,127.4473446,7.3292522,1695539976822,NORMAL
3.9,58,36.3365516,127.4474118,8.086886,1695539978822,NORMAL
3.9,59,36.3366908,127.4474867,8.539856,1695539980822,NORMAL
3.9,60,36.336834,127.4475734,8.928976,1695539982823,NORMAL
3.9,61,36.3369723,127.4476638,9.432854,1695539984823,NORMAL
3.872,62,36.3370507,127.4477073,9.885123,1695539985823,NORMAL
3.878,63,36.337233,127.4478151,11.624338,1695539987823,NORMAL
3.872,64,36.3374372,127.4479318,11.718581,1695539989822,NORMAL
3.9,65,36.3376311,127.4480429,12.339523,1695539991822,NORMAL
3.9,66,36.3378367,127.4481643,12.637712,1695539993822,NORMAL
3.9,67,36.3380435,127.4482882,13.004697,1695539995822,NORMAL
3.9,68,36.3382472,127.4484012,12.503439,1695539997823,NORMAL
3.9,69,36.3384552,127.4485248,12.545301,1695539999822,NORMAL
3.883,70,36.3387627,127.4486835,12.391062,1695540002822,NORMAL
3.878,71,36.3389783,127.4487764,12.701224,1695540004823,NORMAL
3.878,72,36.3391964,127.4488483,12.589175,1695540006823,NORMAL
3.9,73,36.339431,127.4489064,13.6505575,1695540008823,NORMAL
3.9,74,36.3396775,127.4489453,13.756743,1695540010823,NORMAL
3.9,75,36.3399257,127.4489744,14.092766,1695540012823,NORMAL
4.129,76,36.3401853,127.4489841,14.421336,1695540014823,NORMAL
4.403,77,36.3403177,127.4489796,14.676412,1695540015815,NORMAL
4.442,78,36.3405677,127.4489462,13.449925,1695540017823,NORMAL
4.333,79,36.3406858,127.4489333,13.050278,1695540018822,NORMAL
3.931,80,36.3409066,127.4489147,11.860186,1695540020822,NORMAL
3.926,81,36.341007,127.4489088,10.67706,1695540021822,NORMAL
3.9,82,36.3411779,127.448887,9.292946,1695540023823,NORMAL
3.9,83,36.3412522,127.4488727,8.207546,1695540024822,NORMAL
3.9,84,36.3413774,127.4488342,6.5186133,1695540026822,NORMAL
3.9,85,36.3414293,127.4488094,6.0837035,1695540027822,NORMAL
3.9,86,36.3415167,127.4487578,4.690174,1695540029822,NORMAL
3.9,87,36.3415569,127.4487312,5.291476,1695540030823,NORMAL
3.9,88,36.3416364,127.4486708,4.926147,1695540032823,NORMAL
3.9,89,36.34167,127.4486459,3.964525,1695540033822,NORMAL
3.9,90,36.3417333,127.4485997,4.139227,1695540035823,NORMAL
3.9,91,36.3417632,127.4485779,3.447834,1695540036822,NORMAL
4.905,92,36.3418189,127.4485353,4.066895,1695540038822,NORMAL
5.911,93,36.3418555,127.4485058,5.874622,1695540039823,NORMAL
7.576,94,36.3419543,127.4484365,5.941306,1695540041823,NORMAL
7.576,95,36.3420081,127.448399,6.94944,1695540042823,NORMAL
5.162,96,36.3421216,127.4483201,7.6579633,1695540044823,NORMAL
3.9,97,36.3421827,127.4482764,7.8949714,1695540045823,NORMAL
3.9,98,36.3423109,127.4481914,8.0702915,1695540047822,NORMAL
3.9,99,36.3423746,127.448148,8.208606,1695540048822,NORMAL
3.9,100,36.3425071,127.4480592,8.6842165,1695540050823,NORMAL
3.9,101,36.3425766,127.4480115,9.090283,1695540051823,NORMAL
3.9,102,36.342722,127.44791,9.236319,1695540053822,NORMAL
3.9,103,36.3427969,127.4478595,10.152526,1695540054823,NORMAL
3.9,104,36.3429558,127.4477433,9.422354,1695540056823,NORMAL
3.9,105,36.3430208,127.4476952,6.75451,1695540057823,NORMAL
3.9,106,36.3431252,127.4476204,6.3007007,1695540059823,NORMAL
3.9,107,36.3431712,127.4475858,5.6576486,1695540060822,NORMAL
3.9,108,36.343265,127.4475146,6.466588,1695540062823,NORMAL
