accuracy,id,lat,lng,speed,time,type
24.3,0,36.335943,127.390154,15.17,1695544551000,START
24.3,0,36.335762,127.389913,14.52,1695544553000,NORMAL
24.3,0,36.335596,127.389697,12.83,1695544555000,NORMAL
24.3,0,36.335522,127.389602,11.69,1695544556000,NORMAL
24.3,0,36.335454,127.389514,10.94,1695544557000,NORMAL
24.3,0,36.335332,127.389357,9.12,1695544559000,NORMAL
24.3,0,36.335256,127.389260,4.87,1695544561000,NORMAL
24.3,0,36.335242,127.389242,2.21,1695544562000,NORMAL
24.3,0,36.335240,127.389238,0.11,1695544564000,STOP
24.3,0,36.335231,127.389227,1.07,1695544576000,NORMAL
24.3,0,36.335218,127.389210,1.98,1695544577000,NORMAL
24.3,0,36.335211,127.389219,1.73,1695544579000,NORMAL
24.3,0,36.335234,127.389258,3.08,1695544581000,NORMAL
24.3,0,36.335130,127.389394,2.27,1695544582000,NORMAL
24.3,0,36.335109,127.389437,2.53,1695544584000,NORMAL
24.3,0,36.335101,127.389465,2.63,1695544585000,NORMAL
24.3,0,36.335081,127.389515,2.27,1695544587000,NORMAL
24.3,0,36.335072,127.389528,1.66,1695544588000,NORMAL
24.3,0,36.335059,127.389538,1.74,1695544589000,NORMAL
24.3,0,36.335040,127.389571,1.56,1695544591000,NORMAL
24.3,0,36.335036,127.389599,0.81,1695544593000,STOP
24.3,0,36.335020,127.389664,1.02,1695544608000,NORMAL
24.3,0,36.335039,127.389686,1.02,1695544610000,NORMAL
24.3,0,36.335083,127.389702,0.69,1695544612000,STOP
24.3,0,36.335364,127.389559,1.29,1695544694000,NORMAL
24.3,0,36.335408,127.389589,3.92,1695544695000,NORMAL
24.3,0,36.335440,127.389633,4.97,1695544696000,NORMAL
24.3,0,36.335516,127.389748,7.17,1695544698000,NORMAL
24.3,0,36.335610,127.389863,7.45,1695544700000,NORMAL
24.3,0,36.335660,127.389924,7.72,1695544701000,NORMAL
24.3,0,36.335762,127.390062,8.68,1695544703000,NORMAL
24.3,0,36.335882,127.390214,9.54,1695544705000,NORMAL
24.3,0,36.335999,127.390360,9.26,1695544707000,NORMAL
24.3,0,36.336111,127.390505,8.90,1695544709000,NORMAL
24.3,0,36.336165,127.390575,8.65,1695544710000,NORMAL
24.3,0,36.336251,127.390690,6.40,1695544712000,NORMAL
24.3,0,36.336284,127.390735,5.50,1695544713000,NORMAL
24.3,0,36.336332,127.390801,3.23,1695544715000,NORMAL
24.3,0,36.336343,127.390815,1.90,1695544716000,NORMAL
24.3,0,36.336353,127.390827,0.45,1695544718000,STOP
24.3,0,36.336348,127.390842,1.28,1695544791000,NORMAL
24.3,0,36.336370,127.390870,3.26,1695544792000,NORMAL
24.3,0,36.336444,127.390960,6.47,1695544794000,NORMAL
24.3,0,36.336494,127.391019,7.80,1695544795000,NORMAL
24.3,0,36.336611,127.391166,9.69,1695544797000,NORMAL
24.3,0,36.336748,127.391352,11.50,1695544799000,NORMAL
24.3,0,36.336822,127.391448,11.93,1695544800000,NORMAL
24.3,0,36.336899,127.391550,12.34,1695544801000,NORMAL
24.3,0,36.337051,127.391746,12.12,1695544803000,NORMAL
24.3,0,36.337195,127.391932,11.43,1695544805000,NORMAL
24.3,0,36.337259,127.392014,10.35,1695544806000,NORMAL
24.3,0,36.337367,127.392150,7.77,1695544808000,NORMAL
24.3,0,36.337453,127.392261,6.90,1695544810000,NORMAL
24.3,0,36.337496,127.392318,6.90,1695544811000,NORMAL
24.3,0,36.337563,127.392407,4.56,1695544813000,NORMAL
24.3,0,36.337586,127.392437,3.59,1695544814000,NORMAL
24.3,0,36.337616,127.392475,2.01,1695544816000,NORMAL
24.3,0,36.337632,127.392492,0.80,1695544818000,STOP
24.3,0,36.337659,127.392491,1.60,1695544925000,NORMAL
24.3,0,36.337680,127.392522,3.37,1695544926000,NORMAL
24.3,0,36.337736,127.392600,4.95,1695544928000,NORMAL
24.3,0,36.337769,127.392644,5.03,1695544929000,NORMAL
24.3,0,36.337831,127.392725,4.93,1695544931000,NORMAL
24.3,0,36.337869,127.392773,5.79,1695544932000,NORMAL
24.3,0,36.337953,127.392876,6.97,1695544934000,NORMAL
24.3,0,36.338051,127.392999,7.93,1695544936000,NORMAL
24.3,0,36.338159,127.393139,8.82,1695544938000,NORMAL
24.3,0,36.338275,127.393287,9.18,1695544940000,NORMAL
24.3,0,36.338388,127.393434,9.12,1695544942000,NORMAL
24.3,0,36.338446,127.393509,9.28,1695544943000,NORMAL
24.3,0,36.338505,127.393585,9.45,1695544944000,NORMAL
24.3,0,36.338619,127.393738,9.26,1695544946000,NORMAL
24.3,0,36.338676,127.393813,9.20,1695544947000,NORMAL
24.3,0,36.338731,127.393883,8.88,1695544948000,NORMAL
24.3,0,36.338784,127.393951,8.53,1695544949000,NORMAL
24.3,0,36.338889,127.394083,8.29,1695544951000,NORMAL
24.3,0,36.338938,127.394150,8.15,1695544952000,NORMAL
24.3,0,36.339032,127.394275,7.38,1695544954000,NORMAL
24.3,0,36.339070,127.394324,6.43,1695544955000,NORMAL
24.3,0,36.339109,127.394374,6.25,1695544956000,NORMAL
24.3,0,36.339186,127.394472,6.06,1695544958000,NORMAL
24.3,0,36.339264,127.394573,6.48,1695544960000,NORMAL
24.3,0,36.339301,127.394621,5.80,1695544961000,NORMAL
24.3,0,36.339327,127.394655,4.33,1695544962000,NORMAL
24.3,0,36.339342,127.394677,3.02,1695544963000,NORMAL
24.3,0,36.339355,127.394692,1.84,1695544964000,NORMAL
24.3,0,36.339355,127.394696,0.11,1695544966000,STOP
24.3,0,36.339416,127.394768,3.66,1695544993000,NORMAL
24.3,0,36.339479,127.394849,5.21,1695544995000,NORMAL
24.3,0,36.339516,127.394896,5.76,1695544996000,NORMAL
24.3,0,36.339601,127.395005,6.97,1695544998000,NORMAL
24.3,0,36.339700,127.395134,8.28,1695545000000,NORMAL
24.3,0,36.339754,127.395205,8.84,1695545001000,NORMAL
24.3,0,36.339873,127.395355,9.76,1695545003000,NORMAL
24.3,0,36.339937,127.395436,10.21,1695545004000,NORMAL
24.3,0,36.340068,127.395613,10.77,1695545006000,NORMAL
24.3,0,36.340209,127.395797,11.51,1695545008000,NORMAL
24.3,0,36.340284,127.395892,11.88,1695545009000,NORMAL
24.3,0,36.340355,127.395987,11.72,1695545010000,NORMAL
24.3,0,36.340497,127.396171,11.36,1695545012000,NORMAL
24.3,0,36.340572,127.396258,11.48,1695545013000,NORMAL
24.3,0,36.340732,127.396441,12.37,1695545015000,NORMAL
24.3,0,36.340813,127.396541,12.70,1695545016000,NORMAL
24.3,0,36.340954,127.396716,9.89,1695545018000,NORMAL
24.3,0,36.341029,127.396819,5.59,1695545020000,NORMAL
24.3,0,36.341080,127.396907,4.37,1695545022000,NORMAL
24.3,0,36.341136,127.397000,5.58,1695545024000,NORMAL
24.3,0,36.341171,127.397047,5.89,1695545025000,NORMAL
24.3,0,36.341208,127.397093,6.10,1695545026000,NORMAL
24.3,0,36.341293,127.397199,7.01,1695545028000,NORMAL
24.3,0,36.341336,127.397255,7.19,1695545029000,NORMAL
24.3,0,36.341437,127.397389,8.56,1695545031000,NORMAL
24.3,0,36.341495,127.397465,9.43,1695545032000,NORMAL
24.3,0,36.341625,127.397628,10.74,1695545034000,NORMAL
24.3,0,36.341775,127.397816,12.22,1695545036000,NORMAL
24.3,0,36.341942,127.398014,13.12,1695545038000,NORMAL
24.3,0,36.342115,127.398231,13.87,1695545040000,NORMAL
24.3,0,36.342201,127.398342,13.85,1695545041000,NORMAL
24.3,0,36.342377,127.398566,14.06,1695545043000,NORMAL
24.3,0,36.342552,127.398795,14.21,1695545045000,NORMAL
24.3,0,36.342642,127.398911,14.30,1695545046000,NORMAL
24.3,0,36.342821,127.399146,14.55,1695545048000,NORMAL
24.3,0,36.343004,127.399384,14.65,1695545050000,NORMAL
24.3,0,36.343093,127.399500,14.44,1695545051000,NORMAL
24.3,0,36.343181,127.399616,14.35,1695545052000,NORMAL
24.3,0,36.343270,127.399732,14.25,1695545053000,NORMAL
24.3,0,36.343443,127.399957,13.82,1695545055000,NORMAL
24.3,0,36.343528,127.400068,13.64,1695545056000,NORMAL
24.3,0,36.343691,127.400279,12.92,1695545058000,NORMAL
24.3,0,36.343837,127.400469,11.17,1695545060000,NORMAL
24.3,0,36.343958,127.400623,9.09,1695545062000,NORMAL
24.3,0,36.344039,127.400730,5.81,1695545064000,NORMAL
24.3,0,36.344066,127.400764,4.38,1695545065000,NORMAL
24.3,0,36.344092,127.400798,1.60,1695545067000,NORMAL
24.3,0,36.344095,127.400801,0.08,1695545069000,STOP
24.3,0,36.344132,127.400869,2.68,1695545148000,NORMAL
24.3,0,36.344189,127.400941,5.02,1695545150000,NORMAL
24.3,0,36.344228,127.400991,6.34,1695545151000,NORMAL
24.3,0,36.344275,127.401053,7.54,1695545152000,NORMAL
24.3,0,36.344388,127.401198,9.45,1695545154000,NORMAL
24.3,0,36.344519,127.401365,10.75,1695545156000,NORMAL
24.3,0,36.344656,127.401539,11.06,1695545158000,NORMAL
24.3,0,36.344733,127.401618,11.17,1695545159000,NORMAL
24.3,0,36.344784,127.401717,11.23,1695545160000,NORMAL
24.3,0,36.345011,127.401765,11.25,1695545162000,NORMAL
24.3,0,36.345195,127.401789,10.14,1695545164000,NORMAL
24.3,0,36.345283,127.401795,9.67,1695545165000,NORMAL
24.3,0,36.345373,127.401804,9.89,1695545166000,NORMAL
24.3,0,36.345468,127.401817,10.63,1695545167000,NORMAL
24.3,0,36.345676,127.401844,11.91,1695545169000,NORMAL
24.3,0,36.345790,127.401851,12.61,1695545170000,NORMAL
24.3,0,36.345907,127.401855,13.00,1695545171000,NORMAL
24.3,0,36.346139,127.401860,12.84,1695545173000,NORMAL
24.3,0,36.346250,127.401863,12.47,1695545174000,NORMAL
24.3,0,36.346463,127.401873,11.78,1695545176000,NORMAL
24.3,0,36.346566,127.401877,11.50,1695545177000,NORMAL
24.3,0,36.346756,127.401882,10.08,1695545179000,NORMAL
24.3,0,36.346841,127.401885,9.46,1695545180000,NORMAL
24.3,0,36.346987,127.401888,7.28,1695545182000,NORMAL
24.3,0,36.347101,127.401893,6.44,1695545184000,NORMAL
24.3,0,36.347160,127.401893,6.71,1695545185000,NORMAL
24.3,0,36.347307,127.401896,8.30,1695545187000,NORMAL
24.3,0,36.347388,127.401897,8.80,1695545188000,NORMAL
24.3,0,36.347541,127.401900,8.46,1695545190000,NORMAL
24.3,0,36.347690,127.401903,8.36,1695545192000,NORMAL
24.3,0,36.347770,127.401905,8.92,1695545193000,NORMAL
24.3,0,36.347855,127.401906,9.49,1695545194000,NORMAL
24.3,0,36.348030,127.401908,9.78,1695545196000,NORMAL
24.3,0,36.348119,127.401909,10.00,1695545197000,NORMAL
24.3,0,36.348208,127.401911,9.94,1695545198000,NORMAL
24.3,0,36.348385,127.401914,9.84,1695545200000,NORMAL
24.3,0,36.348561,127.401916,9.69,1695545202000,NORMAL
24.3,0,36.348732,127.401919,9.55,1695545204000,NORMAL
24.3,0,36.348908,127.401924,9.88,1695545206000,NORMAL
24.3,0,36.348996,127.401928,9.73,1695545207000,NORMAL
24.3,0,36.349179,127.401932,10.30,1695545209000,NORMAL
24.3,0,36.349278,127.401926,10.76,1695545210000,NORMAL
24.3,0,36.349483,127.401901,11.51,1695545212000,NORMAL
24.3,0,36.349589,127.401889,11.81,1695545213000,NORMAL
24.3,0,36.349796,127.401846,11.43,1695545215000,NORMAL
24.3,0,36.349894,127.401854,10.65,1695545216000,NORMAL
24.3,0,36.350065,127.401830,9.36,1695545218000,NORMAL
24.3,0,36.350228,127.401813,9.06,1695545220000,NORMAL
24.3,0,36.350315,127.401804,9.59,1695545221000,NORMAL
24.3,0,36.350407,127.401794,10.21,1695545222000,NORMAL
24.3,0,36.350613,127.401774,11.62,1695545224000,NORMAL
24.3,0,36.350713,127.401765,11.31,1695545225000,NORMAL
24.3,0,36.350820,127.401767,11.82,1695545226000,NORMAL
24.3,0,36.351043,127.401749,12.46,1695545228000,NORMAL
24.3,0,36.351256,127.401747,11.78,1695545230000,NORMAL
24.3,0,36.351362,127.401765,11.73,1695545231000,NORMAL
24.3,0,36.351571,127.401763,11.74,1695545233000,NORMAL
24.3,0,36.351680,127.401765,12.13,1695545234000,NORMAL
24.3,0,36.351794,127.401766,12.69,1695545235000,NORMAL
24.3,0,36.352035,127.401766,13.56,1695545237000,NORMAL
24.3,0,36.352289,127.401773,14.32,1695545239000,NORMAL
24.3,0,36.352418,127.401778,14.25,1695545240000,NORMAL
24.3,0,36.352542,127.401789,13.89,1695545241000,NORMAL
24.3,0,36.352664,127.401810,13.64,1695545242000,NORMAL
24.3,0,36.352903,127.401858,13.33,1695545244000,NORMAL
24.3,0,36.353141,127.401893,13.19,1695545246000,NORMAL
24.3,0,36.353375,127.401935,13.15,1695545248000,NORMAL
24.3,0,36.353494,127.401960,13.26,1695545249000,NORMAL
24.3,0,36.353736,127.402012,13.86,1695545251000,NORMAL
24.3,0,36.353862,127.402039,14.15,1695545252000,NORMAL
24.3,0,36.354114,127.402093,14.31,1695545254000,NORMAL
24.3,0,36.354246,127.402109,14.66,1695545255000,NORMAL
24.3,0,36.354500,127.402210,14.53,1695545257000,NORMAL
24.3,0,36.354759,127.402218,14.11,1695545259000,NORMAL
24.3,0,36.355018,127.402210,14.37,1695545261000,NORMAL
24.3,0,36.355150,127.402198,14.56,1695545262000,NORMAL
24.3,0,36.355283,127.402181,14.74,1695545263000,NORMAL
24.3,0,36.355550,127.402140,14.92,1695545265000,NORMAL
24.3,0,36.355683,127.402113,14.97,1695545266000,NORMAL
24.3,0,36.355944,127.402039,14.78,1695545268000,NORMAL
24.3,0,36.356195,127.401949,14.30,1695545270000,NORMAL
24.3,0,36.356314,127.401899,13.83,1695545271000,NORMAL
24.3,0,36.356524,127.401791,12.34,1695545273000,NORMAL
