accuracy,id,lat,lng,speed,time,type
12.0,1,36.6648478,127.3793232,9.915799,1695612794436,START
12.0,2,36.664688,127.3792195,9.3976,1695612796452,NORMAL
12.0,3,36.6646155,127.3791661,8.823781,1695612797477,NORMAL
12.0,4,36.6644917,127.3790627,7.7071276,1695612799482,NORMAL
11.2,5,36.664442,127.3790124,6.8995466,1695612800455,NORMAL
10.0,6,36.6643583,127.3789341,5.2659426,1695612802447,NORMAL
11.306,7,36.6643234,127.3789003,5.297895,1695612803449,NORMAL
10.524,8,36.6642453,127.3788223,5.544292,1695612805458,NORMAL
10.524,9,36.6642081,127.3787784,5.6628127,1695612806444,NORMAL
8.0,10,36.6641404,127.3786722,6.196323,1695612808435,NORMAL
8.0,11,36.6641059,127.378606,6.671478,1695612809457,NORMAL
8.0,12,36.6640401,127.3784643,7.0284033,1695612811461,NORMAL
8.0,13,36.6640092,127.3783936,7.1838117,1695612812445,NORMAL
8.0,14,36.6639415,127.3782465,7.7324905,1695612814436,NORMAL
8.0,15,36.6639046,127.3781658,8.096295,1695612815459,NORMAL
7.333,16,36.6638225,127.3779944,9.025628,1695612817436,NORMAL
7.0,17,36.6637792,127.3779049,9.264792,1695612818434,NORMAL
6.0,18,36.6636974,127.3777321,8.202095,1695612820466,NORMAL
6.0,19,36.6636617,127.3776571,7.9064913,1695612821452,NORMAL
8.831,20,36.6635916,127.3775076,7.895866,1695612823468,NORMAL
8.831,21,36.6635551,127.3774312,7.7232084,1695612824514,NORMAL
8.831,22,36.6634974,127.3772907,6.823687,1695612826491,NORMAL
8.831,23,36.6634714,127.3772234,6.714827,1695612827497,NORMAL
6.4,24,36.6634181,127.3770843,6.735391,1695612829514,NORMAL
6.666,25,36.6633934,127.3770204,6.3317447,1695612830490,NORMAL
7.333,26,36.6633584,127.3769218,3.6083941,1695612832493,NORMAL
7.666,27,36.6633461,127.3768897,3.1077933,1695612833496,NORMAL
8.333,28,36.6633229,127.3768282,3.2580485,1695612835454,NORMAL
9.2,29,36.663309,127.3767895,3.5399797,1695612836511,NORMAL
9.666,30,36.663282,127.3767052,4.184602,1695612838490,NORMAL
9.71,31,36.6632732,127.3766535,4.4462614,1695612839499,NORMAL
9.424,32,36.6632635,127.3765489,4.5076294,1695612841480,NORMAL
8.853,33,36.6632553,127.3765001,4.286318,1695612842474,NORMAL
8.408,34,36.6632221,127.376428,3.5508487,1695612844543,NORMAL
8.35,35,36.663197,127.3764127,3.2222872,1695612845448,NORMAL
