accuracy,id,lat,lng,speed,time,type
11.9,0,36.688792,127.159293,9.52,1695606883000,START
7.8,0,36.688687,127.159415,9.33,1695606885000,NORMAL
7.8,0,36.688561,127.159561,10.13,1695606887000,NORMAL
7.8,0,36.688416,127.159741,10.84,1695606889000,NORMAL
7.9,0,36.688337,127.159847,10.92,1695606890000,NORMAL
8.0,0,36.688181,127.160054,11.44,1695606892000,NORMAL
7.7,0,36.688094,127.160171,11.90,1695606893000,NORMAL
7.7,0,36.687932,127.160386,12.57,1695606895000,NORMAL
7.8,0,36.687845,127.160503,13.04,1695606896000,NORMAL
8.1,0,36.687683,127.160719,13.61,1695606898000,NORMAL
8.2,0,36.687537,127.160993,14.32,1695606900000,NORMAL
8.2,0,36.687463,127.161119,14.58,1695606901000,NORMAL
8.3,0,36.687378,127.161258,15.06,1695606902000,NORMAL
8.4,0,36.687292,127.161402,15.50,1695606903000,NORMAL
8.6,0,36.687211,127.161544,15.67,1695606904000,NORMAL
8.5,0,36.687069,127.161834,16.03,1695606906000,NORMAL
8.6,0,36.687007,127.161986,16.10,1695606907000,NORMAL
8.7,0,36.686872,127.162282,16.15,1695606909000,NORMAL
8.6,0,36.686751,127.162640,16.55,1695606911000,NORMAL
8.8,0,36.686640,127.162976,16.72,1695606913000,NORMAL
9.8,0,36.686529,127.163325,16.89,1695606915000,NORMAL
10.0,0,36.686426,127.163647,16.73,1695606917000,NORMAL
8.7,0,36.686329,127.163954,16.27,1695606919000,NORMAL
9.1,0,36.686279,127.164111,16.03,1695606920000,NORMAL
8.8,0,36.686165,127.164468,15.78,1695606922000,NORMAL
8.0,0,36.686052,127.164770,15.26,1695606924000,NORMAL
8.2,0,36.686010,127.164928,15.26,1695606925000,NORMAL
8.2,0,36.685934,127.165227,15.20,1695606927000,NORMAL
8.5,0,36.685882,127.165392,15.33,1695606928000,NORMAL
8.5,0,36.685796,127.165717,15.09,1695606930000,NORMAL
7.8,0,36.685689,127.166034,14.91,1695606932000,NORMAL
7.5,0,36.685564,127.166362,15.49,1695606934000,NORMAL
7.5,0,36.685509,127.166533,15.87,1695606935000,NORMAL
7.5,0,36.685400,127.166875,16.60,1695606937000,NORMAL
7.5,0,36.685294,127.167239,17.09,1695606939000,NORMAL
7.3,0,36.685187,127.167601,17.48,1695606941000,NORMAL
7.4,0,36.685075,127.167963,17.50,1695606943000,NORMAL
7.7,0,36.684945,127.168358,17.85,1695606945000,NORMAL
7.7,0,36.684886,127.168540,17.74,1695606946000,NORMAL
8.0,0,36.684750,127.168913,17.90,1695606948000,NORMAL
7.7,0,36.684575,127.169288,18.36,1695606950000,NORMAL
7.8,0,36.684454,127.169481,18.88,1695606951000,NORMAL
7.6,0,36.684322,127.169635,18.95,1695606952000,NORMAL
7.6,0,36.684111,127.169879,18.14,1695606954000,NORMAL
8.2,0,36.683972,127.169987,18.20,1695606955000,NORMAL
8.5,0,36.683663,127.170138,18.07,1695606957000,NORMAL
8.7,0,36.683327,127.170237,18.12,1695606959000,NORMAL
8.2,0,36.683010,127.170289,17.81,1695606961000,NORMAL
8.4,0,36.682854,127.170244,17.77,1695606962000,NORMAL
8.3,0,36.682716,127.170194,17.64,1695606963000,NORMAL
7.7,0,36.682550,127.170124,17.95,1695606964000,NORMAL
7.9,0,36.682274,127.169948,17.94,1695606966000,NORMAL
8.3,0,36.682005,127.169753,17.95,1695606968000,NORMAL
8.3,0,36.681870,127.169658,17.91,1695606969000,NORMAL
8.6,0,36.681747,127.169571,17.64,1695606970000,NORMAL
9.1,0,36.681512,127.169328,17.31,1695606972000,NORMAL
9.3,0,36.681438,127.169159,17.22,1695606973000,NORMAL
10.8,0,36.681212,127.168923,17.10,1695606975000,NORMAL
11.5,0,36.681105,127.168817,16.85,1695606976000,NORMAL
12.4,0,36.680995,127.168697,16.80,1695606977000,NORMAL
12.2,0,36.680892,127.168568,16.74,1695606978000,NORMAL
11.7,0,36.680696,127.168310,16.65,1695606980000,NORMAL
10.1,0,36.680465,127.168090,16.51,1695606982000,NORMAL
10.2,0,36.680362,127.167966,16.40,1695606983000,NORMAL
8.7,0,36.680134,127.167774,16.15,1695606985000,NORMAL
7.5,0,36.679904,127.167527,16.19,1695606987000,NORMAL
8.0,0,36.679708,127.167264,15.78,1695606989000,NORMAL
8.4,0,36.679610,127.167142,15.80,1695606990000,NORMAL
8.8,0,36.679416,127.166896,16.16,1695606992000,NORMAL
8.7,0,36.679225,127.166640,16.08,1695606994000,NORMAL
9.2,0,36.679030,127.166355,16.57,1695606996000,NORMAL
15.5,0,36.678926,127.166190,17.07,1695606997000,NORMAL
17.2,0,36.678847,127.166044,17.29,1695606998000,NORMAL
10.0,0,36.678669,127.165701,17.99,1695607000000,NORMAL
9.9,0,36.678512,127.165343,18.00,1695607002000,NORMAL
8.2,0,36.678365,127.164949,18.72,1695607004000,NORMAL
8.1,0,36.678296,127.164750,19.11,1695607005000,NORMAL
7.4,0,36.678198,127.164374,18.97,1695607007000,NORMAL
7.4,0,36.678148,127.164150,19.24,1695607008000,NORMAL
7.6,0,36.678102,127.163921,19.62,1695607009000,NORMAL
8.6,0,36.678015,127.163468,20.48,1695607011000,NORMAL
9.1,0,36.677983,127.163239,20.74,1695607012000,NORMAL
9.9,0,36.677950,127.163007,21.06,1695607013000,NORMAL
11.2,0,36.677902,127.162606,20.75,1695607015000,NORMAL
11.8,0,36.677883,127.162409,20.53,1695607016000,NORMAL
12.2,0,36.677872,127.161948,20.86,1695607018000,NORMAL
12.5,0,36.677863,127.161714,21.08,1695607019000,NORMAL
10.9,0,36.677817,127.161475,21.34,1695607020000,NORMAL
11.1,0,36.677807,127.161236,21.40,1695607021000,NORMAL
9.2,0,36.677768,127.160772,21.19,1695607023000,NORMAL
7.7,0,36.677784,127.160515,20.97,1695607024000,NORMAL
7.7,0,36.677704,127.160006,21.71,1695607026000,NORMAL
7.8,0,36.677670,127.159754,22.05,1695607027000,NORMAL
7.8,0,36.677659,127.159508,22.25,1695607028000,NORMAL
7.8,0,36.677630,127.159256,22.49,1695607029000,NORMAL
