accuracy,id,lat,lng,speed,time,type
17.792,1,36.3566241,127.4357577,4.9022675,1695689765252,START
16.748,2,36.356688,127.4353655,2.9984684,1695689771339,NORMAL
16.748,3,36.3567634,127.4352989,3.4761772,1695689773383,NORMAL
12.0,4,36.3568056,127.4352706,3.5808198,1695689774319,NORMAL
10.0,5,36.3568651,127.4352277,3.0724277,1695689776330,NORMAL
9.333,6,36.3568871,127.4352115,2.7472265,1695689777349,NORMAL
8.0,7,36.356915,127.435186,2.0222187,1695689779335,NORMAL
8.0,8,36.356922,127.4351758,1.7720463,1695689780327,NORMAL
7.666,9,36.3569399,127.4351718,1.340278,1695689782337,NORMAL
7.2,10,36.3569454,127.4351705,1.1574222,1695689783328,NORMAL
6.4,11,36.3569511,127.4351734,0.47950312,1695689785349,NORMAL
6.666,12,36.3569517,127.435176,0.23310165,1695689786322,NORMAL
6.333,13,36.3569527,127.4351875,0.020008337,1695689788323,NORMAL
6.8,14,36.3569529,127.4351893,3.7195307E-4,1695689789431,NORMAL
7.2,15,36.356953,127.4351917,0.008475713,1695689791324,NORMAL
7.333,16,36.3569531,127.4351924,0.0076475944,1695689792316,NORMAL
7.666,17,36.3569532,127.4351932,7.014616E-4,1695689794329,NORMAL
6.8,18,36.3569532,127.4351934,1.500095E-4,1695689795352,NORMAL
5.2,19,36.3569532,127.4351935,1.1320099E-5,1695689797331,NORMAL
4.8,20,36.3569532,127.4351935,3.3257047E-6,1695689798329,NORMAL
4.666,21,36.3569532,127.4351935,2.9984227E-7,1695689800346,NORMAL
5.0,22,36.3569532,127.4351935,1.0651035E-7,1695689801329,NORMAL
5.666,23,36.3569478,127.4352012,0.6565879,1695689803329,NORMAL
5.6,24,36.3569518,127.4351959,1.0782361,1695689804336,NORMAL
5.666,25,36.3569668,127.435164,1.9457943,1695689806313,NORMAL
6.0,26,36.3569775,127.435142,1.8590868,1695689807318,NORMAL
6.0,27,36.3569872,127.4351178,0.08383687,1695689809322,NORMAL
6.0,28,36.3569858,127.4351194,0.0044272663,1695689810315,NORMAL
5.333,29,36.3569851,127.4351204,8.453056E-5,1695689812314,NORMAL
4.4,30,36.356985,127.4351076,0.41386077,1695689813317,NORMAL
5.2,31,36.3569692,127.4350762,0.9061531,1695689815318,NORMAL
5.333,32,36.3569425,127.4350739,2.68457,1695689816327,NORMAL
5.2,33,36.3568274,127.4351146,5.324561,1695689818329,NORMAL
5.0,34,36.3567626,127.4351578,6.278485,1695689819313,NORMAL
4.15,35,36.3566353,127.4352853,8.48454,1695689821320,NORMAL
3.65,36,36.3565642,127.4353619,9.522267,1695689822314,NORMAL
3.36,37,36.3564081,127.4355436,11.3015585,1695689824332,NORMAL
3.54,38,36.3563247,127.4356468,12.013699,1695689825337,NORMAL
3.54,39,36.3561665,127.4358481,12.247262,1695689827341,NORMAL
3.45,40,36.3560843,127.4359502,12.56811,1695689828336,NORMAL
3.45,41,36.3559146,127.4361585,13.09968,1695689830313,NORMAL
3.45,42,36.3558305,127.4362604,13.050313,1695689831312,NORMAL
3.45,43,36.3556619,127.4364606,13.023741,1695689833317,NORMAL
3.45,44,36.3555772,127.4365611,12.894922,1695689834334,NORMAL
3.36,45,36.3554164,127.4367411,11.96073,1695689836350,NORMAL
3.45,46,36.3553429,127.4368217,11.513864,1695689837316,NORMAL
3.54,47,36.3551994,127.4369809,10.856894,1695689839335,NORMAL
3.36,48,36.3551271,127.4370686,11.205642,1695689840335,NORMAL
3.45,49,36.3549605,127.4372567,12.389369,1695689842312,NORMAL
3.45,50,36.354881,127.4373588,12.371157,1695689843320,NORMAL
3.54,51,36.3547281,127.4375397,11.559228,1695689845338,NORMAL
3.45,52,36.3546639,127.4376256,11.010084,1695689846324,NORMAL
3.36,53,36.3545621,127.4377543,8.389319,1695689848332,NORMAL
3.54,54,36.3545237,127.4377998,7.1671467,1695689849336,NORMAL
3.45,55,36.3544718,127.4378698,5.039455,1695689851321,NORMAL
3.36,56,36.3544536,127.4378918,4.138209,1695689852348,NORMAL
3.36,57,36.3544317,127.4379139,2.5960355,1695689854351,NORMAL
3.45,58,36.3544262,127.43792,1.8996556,1695689855320,NORMAL
3.283,59,36.3544236,127.4379228,0.054785762,1695689857321,NORMAL
2.96,60,36.3544259,127.4379199,0.0017243268,1695689858353,NORMAL
2.76,61,36.3544269,127.4379186,9.37134E-5,1695689860359,NORMAL
3.14,62,36.354427,127.4379185,3.137723E-5,1695689861318,NORMAL
2.95,63,36.354427,127.4379185,2.9903076E-6,1695689863351,NORMAL
6.305,64,36.354427,127.4379185,5.1483717E-6,1695689864264,NORMAL
5.69,65,36.354427,127.4379185,9.1125045E-8,1695689866315,NORMAL
5.69,66,36.354427,127.4379185,2.9956232E-7,1695689867317,NORMAL
3.116,67,36.354427,127.4379185,1.6843468E-7,1695689869342,NORMAL
3.16,68,36.354427,127.4379185,1.02415626E-7,1695689870332,NORMAL
3.36,69,36.354427,127.4379185,3.219678E-8,1695689872339,NORMAL
3.45,70,36.354427,127.4379185,1.7115557E-8,1695689873355,NORMAL
3.54,71,36.354427,127.4379185,4.528744E-9,1695689875350,NORMAL
3.45,72,36.354427,127.4379185,2.4890995E-10,1695689876322,NORMAL
3.283,73,36.354427,127.4379185,2.9611372E-12,1695689878325,NORMAL
3.283,74,36.354427,127.4379185,7.7317086E-13,1695689879330,NORMAL
3.364,75,36.354427,127.4379185,4.97165E-14,1695689881339,NORMAL
3.455,76,36.354427,127.4379185,1.4102868E-14,1695689882345,NORMAL
3.58,77,36.354427,127.4379185,1.3322096E-15,1695689884369,NORMAL
3.9,78,36.354427,127.4379185,2.289363E-15,1695689889318,NORMAL
5.841,79,36.3544123,127.4379353,0.07221337,1695689891285,NORMAL
5.044,80,36.3544087,127.4379393,0.050910037,1695689893342,NORMAL
5.044,81,36.3544076,127.4379403,0.032887,1695689894343,NORMAL
5.675,82,36.3544066,127.4379412,0.020932866,1695689896325,NORMAL
5.525,83,36.3544064,127.4379414,0.026496101,1695689897293,NORMAL
5.525,84,36.3544053,127.4379419,0.057113174,1695689899358,NORMAL
5.293,85,36.3544051,127.4379422,0.042858824,1695689900288,NORMAL
5.815,86,36.3544043,127.4379431,0.09575679,1695689902292,NORMAL
5.815,87,36.3544036,127.4379442,0.2181485,1695689903313,NORMAL
6.135,88,36.3543776,127.4379707,2.5505917,1695689905301,NORMAL
5.521,89,36.3543433,127.4380105,4.5872755,1695689906342,NORMAL
5.521,90,36.3542336,127.4381538,7.3551507,1695689908323,NORMAL
5.537,91,36.3541718,127.4382378,8.442076,1695689909333,NORMAL
3.8,92,36.3540207,127.4384186,10.962019,1695689911329,NORMAL
3.98,93,36.3539362,127.43852,11.785675,1695689912318,NORMAL
4.0,94,36.353768,127.4387298,12.762889,1695689914327,NORMAL
4.0,95,36.3536773,127.4388425,13.459751,1695689915323,NORMAL
