accuracy,id,lat,lng,speed,time,type
4.0,1,36.3638385,127.326497,7.2420635,1695798585598,START
4.0,2,36.3638196,127.3265774,2.9925966,1695798587602,NORMAL
4.0,3,36.3638116,127.326597,2.3918622,1695798588594,NORMAL
4.0,4,36.3637948,127.326634,2.2683074,1695798590607,NORMAL
4.0,5,36.3637834,127.3266562,2.638951,1695798591587,NORMAL
4.0,6,36.3637538,127.3267088,2.957143,1695798593586,NORMAL
4.0,7,36.3637395,127.3267301,2.7126942,1695798594589,NORMAL
4.0,8,36.3637099,127.3267635,1.7254859,1695798596595,NORMAL
4.0,9,36.3636987,127.3267714,1.4278326,1695798597595,NORMAL
4.0,10,36.3636909,127.3267806,6.59456E-5,1695798599587,NORMAL
4.0,11,36.3636925,127.3267791,5.4330256E-9,1695798600583,NORMAL
4.8,12,36.3636931,127.3267785,1.6834904E-10,1695798602601,NORMAL
5.0,13,36.3636932,127.3267784,6.597347E-11,1695798603580,NORMAL
6.0,14,36.3636761,127.3268022,1.809556,1695798605610,NORMAL
6.0,15,36.3636639,127.3268206,1.9875259,1695798606608,NORMAL
6.0,16,36.3636453,127.3268502,1.2074051,1695798608585,NORMAL
5.666,17,36.3636411,127.3268573,1.0898895,1695798609583,NORMAL
4.872,18,36.3636272,127.3268823,1.657157,1695798611599,NORMAL
4.587,19,36.3636187,127.3268971,1.6700411,1695798612586,NORMAL
4.018,20,36.3635902,127.3269372,3.7115836,1695798614591,NORMAL
4.0,21,36.3635466,127.3269554,5.5224514,1695798615598,NORMAL
4.371,22,36.3634067,127.3269655,8.683875,1695798617593,NORMAL
4.604,23,36.3633178,127.3269714,10.283801,1695798618585,NORMAL
5.175,24,36.3631106,127.3269838,11.516728,1695798620592,NORMAL
5.666,25,36.3630002,127.3269895,12.068664,1695798621584,NORMAL
6.0,26,36.3627623,127.3269926,13.123873,1695798623605,NORMAL
6.0,27,36.362641,127.3269939,13.217931,1695798624624,NORMAL
5.2,28,36.3623995,127.326989,13.796263,1695798626584,NORMAL
4.8,29,36.3622699,127.3269818,14.337783,1695798627591,NORMAL
4.333,30,36.362009,127.326948,14.215406,1695798629592,NORMAL
4.0,31,36.3618815,127.3269171,14.119969,1695798630617,NORMAL
4.333,32,36.3616374,127.326836,14.011049,1695798632591,NORMAL
4.666,33,36.3615159,127.3267932,13.979875,1695798633585,NORMAL
5.333,34,36.3612746,127.3267078,13.831145,1695798635595,NORMAL
5.333,35,36.3611562,127.3266661,13.752052,1695798636588,NORMAL
5.6,36,36.3609173,127.3265834,13.734576,1695798638591,NORMAL
5.666,37,36.3607973,127.3265413,13.765275,1695798639582,NORMAL
6.0,38,36.3605519,127.3264565,13.891695,1695798641610,NORMAL
6.0,39,36.3604307,127.326415,13.821986,1695798642588,NORMAL
6.0,40,36.3601914,127.3263314,13.406449,1695798644619,NORMAL
6.0,41,36.3600802,127.326292,13.043396,1695798645588,NORMAL
6.0,42,36.3598657,127.3262102,11.61218,1695798647597,NORMAL
6.0,43,36.3597769,127.3261594,10.572228,1695798648584,NORMAL
5.6,44,36.3596419,127.326018,10.020325,1695798650607,NORMAL
5.333,45,36.3595965,127.3259154,10.862179,1695798651587,NORMAL
4.4,46,36.3595559,127.3256517,12.371382,1695798653587,NORMAL
4.333,47,36.3595473,127.3255042,13.148344,1695798654591,NORMAL
4.0,48,36.3595414,127.3252028,13.259168,1695798656597,NORMAL
4.0,49,36.3595407,127.325059,12.879983,1695798657585,NORMAL
