accuracy,id,lat,lng,speed,time,type
10.666,1,36.3997516,127.3580171,17.488455,1695789980988,START
10.125,2,36.3996566,127.3578438,17.906116,1695789981998,NORMAL
8.7,3,36.3994471,127.3574905,19.233416,1695789983994,NORMAL
7.6,4,36.3993505,127.3573117,19.307747,1695789984997,NORMAL
6.1,5,36.3991535,127.3569598,19.39772,1695789987002,NORMAL
5.7,6,36.3990381,127.3567898,19.63207,1695789988007,NORMAL
5.3,7,36.3988385,127.3564163,19.908127,1695789990028,NORMAL
5.1,8,36.3987455,127.3562225,20.224213,1695789991020,NORMAL
4.6,9,36.3985625,127.355818,20.771292,1695789993011,NORMAL
4.5,10,36.3984673,127.3556195,20.77877,1695789994012,NORMAL
4.0,11,36.3982882,127.35521,20.844576,1695789996026,NORMAL
3.88,12,36.3982037,127.3549928,21.278702,1695789997032,NORMAL
3.76,13,36.3980357,127.3545383,22.087843,1695789999026,NORMAL
3.56,14,36.3979559,127.3543098,22.236536,1695790000018,NORMAL
3.533,15,36.397806,127.353851,21.964184,1695790002029,NORMAL
3.54,16,36.3977334,127.3536269,21.727526,1695790003035,NORMAL
3.44,17,36.3975937,127.3531577,22.252686,1695790005020,NORMAL
3.283,18,36.3975277,127.3529213,22.2391,1695790006026,NORMAL
3.2,19,36.3974043,127.3524589,21.694668,1695790008033,NORMAL
3.34,20,36.3973414,127.3522279,21.826914,1695790009031,NORMAL
3.34,21,36.3972151,127.3517668,21.706701,1695790011036,NORMAL
3.06,22,36.3971557,127.351541,21.398615,1695790012040,NORMAL
3.06,23,36.3970306,127.3510887,21.483139,1695790014035,NORMAL
3.2,24,36.3969709,127.350863,21.42023,1695790015028,NORMAL
3.2,25,36.396855,127.3504181,20.965828,1695790017031,NORMAL
3.116,26,36.3967924,127.3501987,20.883081,1695790018028,NORMAL
2.86,27,36.3966645,127.3497531,20.966928,1695790020040,NORMAL
3.033,28,36.3966009,127.3495321,21.132019,1695790021021,NORMAL
3.14,29,36.3964755,127.3490967,20.843931,1695790023036,NORMAL
2.86,30,36.39641,127.3488753,20.784325,1695790024055,NORMAL
2.96,31,36.3962735,127.3484517,20.370167,1695790026052,NORMAL
3.34,32,36.3962029,127.3482468,20.15482,1695790027054,NORMAL
3.116,33,36.3960524,127.3478337,20.493904,1695790029040,NORMAL
3.116,34,36.3959752,127.3476238,20.579308,1695790030044,NORMAL
3.116,35,36.3958075,127.3472154,20.595465,1695790032035,NORMAL
3.116,36,36.3957191,127.3470108,20.563559,1695790033050,NORMAL
3.34,37,36.3955364,127.346613,20.540604,1695790035049,NORMAL
3.06,38,36.395434,127.3464209,20.57258,1695790036046,NORMAL
3.2,39,36.3952265,127.3460286,20.7247,1695790038050,NORMAL
3.2,40,36.3951243,127.3458399,20.454138,1695790039053,NORMAL
3.116,41,36.394917,127.3454662,20.265629,1695790041044,NORMAL
2.96,42,36.3948113,127.3452827,20.159815,1695790042048,NORMAL
3.033,43,36.3945952,127.3449322,19.698757,1695790044048,NORMAL
3.24,44,36.3944863,127.3447655,19.453188,1695790045049,NORMAL
3.24,45,36.3942653,127.3444352,19.17146,1695790047055,NORMAL
2.96,46,36.3941519,127.344275,19.129189,1695790048058,NORMAL
2.96,47,36.3939228,127.3439486,19.302942,1695790050056,NORMAL
3.24,48,36.3938076,127.3437875,19.22564,1695790051060,NORMAL
3.14,49,36.3935748,127.3434698,19.177025,1695790053057,NORMAL
2.95,50,36.3934601,127.3433189,18.841166,1695790054049,NORMAL
2.76,51,36.3932345,127.3430325,17.883562,1695790056067,NORMAL
3.14,52,36.393121,127.3428961,17.779278,1695790057059,NORMAL
3.14,53,36.3928906,127.3426233,17.573763,1695790059066,NORMAL
2.76,54,36.3927731,127.3424919,17.622602,1695790060056,NORMAL
2.76,55,36.3925449,127.3422313,17.142025,1695790062058,NORMAL
