accuracy,id,lat,lng,speed,time,type
7.864,1,36.4794902,127.2462056,7.6371922,1695890404999,START
7.009,2,36.4793604,127.2462053,7.905243,1695890406943,NORMAL
6.254,3,36.4792562,127.2462016,7.9546356,1695890407999,NORMAL
5.041,4,36.4790484,127.2461897,8.672543,1695890410946,NORMAL
4.544,5,36.4789244,127.2461691,9.451107,1695890411999,NORMAL
4.343,6,36.4787309,127.246109,9.549335,1695890413999,NORMAL
4.232,7,36.4785788,127.2460552,9.904295,1695890415945,NORMAL
4.079,8,36.4784508,127.2460179,10.6680565,1695890417000,NORMAL
3.897,9,36.4781879,127.2459882,11.13924,1695890419970,NORMAL
3.826,10,36.4780594,127.246,11.332853,1695890420999,NORMAL
3.863,11,36.4778326,127.2460407,11.962392,1695890422999,NORMAL
3.863,12,36.4775911,127.2460961,12.234606,1695890424999,NORMAL
3.9,13,36.4773574,127.2461535,12.067535,1695890426999,NORMAL
3.9,14,36.4771352,127.2462117,12.4056835,1695890428999,NORMAL
3.863,15,36.4769146,127.2462784,12.60852,1695890430999,NORMAL
3.826,16,36.4766953,127.2463556,12.645222,1695890432999,NORMAL
3.826,17,36.4764824,127.2464431,12.321232,1695890434999,NORMAL
3.863,18,36.476279,127.2465448,12.442981,1695890437000,NORMAL
3.9,19,36.4760744,127.2466699,12.582966,1695890438999,NORMAL
3.863,20,36.4758678,127.2468166,13.206176,1695890440999,NORMAL
3.863,21,36.4756878,127.2469581,12.577862,1695890442999,NORMAL
3.863,22,36.475482,127.2471156,13.174245,1695890444999,NORMAL
3.863,23,36.4752798,127.2472788,13.163066,1695890446999,NORMAL
3.961,24,36.4750718,127.2474475,13.686515,1695890448999,NORMAL
4.001,25,36.47486,127.2476075,13.544135,1695890450999,NORMAL
4.037,26,36.4746432,127.247793,14.285002,1695890452999,NORMAL
3.939,27,36.4744319,127.248006,14.4208975,1695890454999,NORMAL
3.863,28,36.4742235,127.2482043,14.308436,1695890456999,NORMAL
3.863,29,36.4740185,127.2484085,14.740262,1695890458999,NORMAL
3.863,30,36.4738211,127.2486225,14.591594,1695890460999,NORMAL
3.9,31,36.473635,127.2488383,14.20239,1695890462999,NORMAL
3.9,32,36.4734522,127.2490654,14.735457,1695890464999,NORMAL
3.863,33,36.4732673,127.2493028,14.19455,1695890466999,NORMAL
3.863,34,36.4730949,127.2495406,14.359817,1695890468999,NORMAL
3.863,35,36.4729215,127.2497867,14.676622,1695890470999,NORMAL
3.9,36,36.4727543,127.2500369,14.788935,1695890472999,NORMAL
3.863,37,36.4725997,127.2502928,14.440855,1695890474999,NORMAL
3.863,38,36.4724528,127.2505575,14.228764,1695890477000,NORMAL
3.863,39,36.472307,127.2508233,14.21589,1695890478999,NORMAL
3.9,40,36.4721639,127.2510995,14.713752,1695890480999,NORMAL
3.9,41,36.4720252,127.2513788,14.51041,1695890482999,NORMAL
3.9,42,36.4719003,127.2516801,14.783199,1695890484999,NORMAL
3.9,43,36.471782,127.2519872,14.889903,1695890486999,NORMAL
5.911,44,36.4716649,127.2522979,15.520394,1695890488999,NORMAL
7.923,45,36.4715458,127.2526163,15.346473,1695890490999,NORMAL
9.935,46,36.4714274,127.2529363,15.748618,1695890492999,NORMAL
9.935,47,36.471306,127.2532598,15.614879,1695890494999,NORMAL
9.935,48,36.471187,127.2535769,15.42922,1695890496999,NORMAL
9.935,49,36.471071,127.2538876,14.874503,1695890498999,NORMAL
9.935,50,36.4709595,127.2541884,14.907357,1695890500999,NORMAL
9.935,51,36.4708481,127.2544874,14.696608,1695890502999,NORMAL
9.935,52,36.4707401,127.254785,14.510524,1695890504999,NORMAL
9.935,53,36.4706334,127.2550794,14.42903,1695890506999,NORMAL
9.935,54,36.4705289,127.2553752,14.667935,1695890508999,NORMAL
9.935,55,36.4704144,127.2556748,14.641046,1695890510999,NORMAL
9.935,56,36.470309,127.2559753,14.688043,1695890512999,NORMAL
9.935,57,36.4701979,127.2562753,14.687043,1695890514999,NORMAL
9.935,58,36.4700775,127.2565815,15.543024,1695890516999,NORMAL
9.935,59,36.4699555,127.2568964,15.850627,1695890518999,NORMAL
9.935,60,36.4698286,127.257215,16.04368,1695890520999,NORMAL
17.765,61,36.4695686,127.2578843,16.67848,1695890524999,NORMAL
17.765,62,36.4694471,127.2582239,16.357634,1695890526999,NORMAL
9.935,63,36.4693305,127.2585572,16.10684,1695890528999,NORMAL
9.935,64,36.469212,127.2588861,16.135489,1695890530999,NORMAL
9.935,65,36.4690925,127.2592191,16.603914,1695890532999,NORMAL
9.935,66,36.4689704,127.259561,16.970556,1695890534999,NORMAL
9.935,67,36.4688419,127.2599088,17.023355,1695890536999,NORMAL
9.935,68,36.4687147,127.2602575,17.012415,1695890539000,NORMAL
9.935,69,36.4685839,127.2606034,16.946922,1695890540999,NORMAL
9.935,70,36.4684562,127.2609453,16.679647,1695890542999,NORMAL
9.935,71,36.4683341,127.2612861,16.844257,1695890544999,NORMAL
9.935,72,36.4682106,127.2616303,16.857964,1695890546999,NORMAL
9.935,73,36.4680847,127.2619743,17.01915,1695890548999,NORMAL
9.935,74,36.4679547,127.2623185,16.960747,1695890550999,NORMAL
9.935,75,36.4678325,127.2626653,16.922867,1695890552999,NORMAL
9.935,76,36.4677089,127.2630083,16.378754,1695890554999,NORMAL
9.935,77,36.4675913,127.2633411,15.871891,1695890556999,NORMAL
9.935,78,36.4674752,127.2636546,14.787861,1695890558999,NORMAL
9.935,79,36.4673598,127.2639554,15.923565,1695890560999,NORMAL
9.935,80,36.467233,127.2642822,16.948723,1695890562999,NORMAL
9.935,81,36.4671219,127.2646223,16.750338,1695890564999,NORMAL
9.935,82,36.4670098,127.2649629,16.847767,1695890566999,NORMAL
9.935,83,36.4668927,127.2653041,16.869244,1695890569000,NORMAL
9.935,84,36.4667802,127.2656521,17.14902,1695890570999,NORMAL
7.923,85,36.4666853,127.266005,16.911486,1695890572999,NORMAL
5.911,86,36.4665884,127.2663613,17.239809,1695890574999,NORMAL
3.9,87,36.4664859,127.2667214,17.19769,1695890576999,NORMAL
3.863,88,36.4663878,127.2670781,16.753405,1695890579000,NORMAL
3.863,89,36.4662932,127.2674278,16.520857,1695890580999,NORMAL
3.863,90,36.4662008,127.2677742,16.301659,1695890582999,NORMAL
3.863,91,36.4661045,127.2681179,16.062757,1695890584999,NORMAL
3.863,92,36.4660088,127.268456,15.903601,1695890586999,NORMAL
3.826,93,36.4659175,127.2687927,15.476899,1695890589000,NORMAL
3.863,94,36.4658421,127.2691167,14.851517,1695890590999,NORMAL
3.826,95,36.4657873,127.2694457,15.259261,1695890592999,NORMAL
3.863,96,36.4657668,127.2697918,15.35992,1695890594999,NORMAL
3.863,97,36.4657672,127.2701364,15.5297365,1695890596999,NORMAL
3.9,98,36.4657966,127.2704933,16.440119,1695890598999,NORMAL
3.863,99,36.4658212,127.2708688,17.147821,1695890600999,NORMAL
3.826,100,36.4659319,127.2712484,18.051022,1695890602999,NORMAL
3.826,101,36.4660507,127.2715417,14.928544,1695890604999,NORMAL
3.863,102,36.4661659,127.2718432,15.2833395,1695890606999,NORMAL
3.863,103,36.4662761,127.2721598,15.300044,1695890608999,NORMAL
3.863,104,36.4663766,127.2724721,14.690342,1695890610999,NORMAL
3.863,105,36.466477,127.272766,14.013303,1695890612999,NORMAL
3.9,106,36.46657,127.2730556,13.798502,1695890614999,NORMAL
3.9,107,36.4666659,127.2733333,13.028167,1695890616999,NORMAL
3.9,108,36.4667597,127.2735807,12.13413,1695890618999,NORMAL
3.863,109,36.4668427,127.273819,11.535251,1695890620999,NORMAL
3.863,110,36.4669123,127.2740218,9.734074,1695890623000,NORMAL
3.863,111,36.4669709,127.2741703,6.715428,1695890624999,NORMAL
3.863,112,36.4670281,127.2742766,5.334111,1695890626999,NORMAL
3.863,113,36.4671107,127.2743129,4.7552786,1695890628999,NORMAL
3.863,114,36.4671901,127.2742831,4.174453,1695890630999,NORMAL
3.9,115,36.4672308,127.2741867,6.1854835,1695890632999,NORMAL
3.9,116,36.4672109,127.2740318,7.722448,1695890635000,NORMAL
3.9,117,36.4671292,127.2738358,10.548194,1695890636999,NORMAL
3.9,118,36.4670423,127.2735979,12.277728,1695890638999,NORMAL
3.9,119,36.4669415,127.2733274,13.918364,1695890641000,NORMAL
3.9,120,36.466841,127.2730382,13.380365,1695890642999,NORMAL
3.9,121,36.4667588,127.2727667,13.000153,1695890644999,NORMAL
3.9,122,36.466679,127.2724963,12.830073,1695890646999,NORMAL
3.9,123,36.4665923,127.272221,13.62968,1695890648999,NORMAL
3.9,124,36.466521,127.2719261,14.078366,1695890650999,NORMAL
3.863,125,36.4664728,127.2716137,14.279231,1695890653000,NORMAL
3.863,126,36.466439,127.2712916,14.190046,1695890655000,NORMAL
3.826,127,36.4664165,127.2709756,13.86056,1695890656999,NORMAL
3.863,128,36.466402,127.2706716,13.084668,1695890658999,NORMAL
3.863,129,36.4664043,127.2703897,12.35157,1695890660999,NORMAL
3.863,130,36.4664242,127.2701145,12.150538,1695890663000,NORMAL
3.826,131,36.4664397,127.2698477,12.020543,1695890664999,NORMAL
3.826,132,36.4664525,127.269578,12.259836,1695890666999,NORMAL
