accuracy,id,lat,lng,speed,time,type
15.728,1,36.5998738,127.2951431,1.8854017,1695983845832,START
4.298,2,36.5998488,127.2951367,0.20364626,1695983847819,NORMAL
3.931,3,36.5998331,127.2951254,0.2702448,1695983849846,NORMAL
3.9,4,36.5998204,127.2951235,0.4045993,1695983851817,NORMAL
3.9,5,36.5998145,127.2951305,0.29022357,1695983853819,NORMAL
5.143,6,36.5998173,127.2951275,0.29806304,1695983854876,NORMAL
5.55,7,36.5998179,127.2951225,0.0,1695983856006,NORMAL
6.092,8,36.5998149,127.295121,0.22450048,1695983858266,NORMAL
6.468,9,36.5998139,127.2951195,0.27077797,1695983859397,NORMAL
6.479,10,36.5998112,127.2951203,1.38,1695983861093,NORMAL
7.176,11,36.5997887,127.2950874,2.2092416,1695983863239,NORMAL
7.055,12,36.599559,127.2951804,5.9961605,1695983865823,NORMAL
6.353,13,36.5994005,127.295209,7.700776,1695983867820,NORMAL
3.863,14,36.5992392,127.2952294,7.9437723,1695983869822,NORMAL
3.915,15,36.5990933,127.2952455,6.8623943,1695983871823,NORMAL
3.915,16,36.5989694,127.2952565,6.683952,1695983873819,NORMAL
3.951,17,36.5988371,127.2952736,7.4723296,1695983875824,NORMAL
3.9,18,36.5986783,127.2952993,8.816404,1695983877817,NORMAL
3.9,19,36.5985036,127.2953149,9.6152725,1695983879822,NORMAL
3.9,20,36.5983252,127.2953379,9.734202,1695983881828,NORMAL
3.863,21,36.5981506,127.2953837,9.88974,1695983883817,NORMAL
3.863,22,36.59798,127.2954187,8.61105,1695983885829,NORMAL
3.863,23,36.5978299,127.2954477,8.15229,1695983887829,NORMAL
3.863,24,36.5976773,127.2954723,8.238994,1695983889840,NORMAL
3.863,25,36.5975241,127.2954923,8.445146,1695983891814,NORMAL
3.863,26,36.5973889,127.2955115,6.8136497,1695983893825,NORMAL
3.863,27,36.5972877,127.2955229,5.2881827,1695983895829,NORMAL
3.863,28,36.5971928,127.2955268,4.5267158,1695983897822,NORMAL
3.863,29,36.5971356,127.2955367,2.6695712,1695983899820,NORMAL
3.9,30,36.597085,127.2955449,3.4780242,1695983901818,NORMAL
3.9,31,36.5969776,127.295559,5.7268667,1695983903817,NORMAL
3.9,32,36.5968377,127.2955787,8.274696,1695983905819,NORMAL
3.9,33,36.5966441,127.2956094,11.090167,1695983907824,NORMAL
4.975,34,36.596453,127.2956584,10.31322,1695983909823,NORMAL
4.975,35,36.5962974,127.2957032,8.831147,1695983911821,NORMAL
3.9,36,36.596158,127.2957472,8.3141985,1695983913822,NORMAL
3.9,37,36.596032,127.2957949,7.3161955,1695983915829,NORMAL
3.9,38,36.5959248,127.2958376,6.5126777,1695983917821,NORMAL
