accuracy,id,lat,lng,speed,time,type
8.1,0,36.528256,127.263552,15.86,1696112888000,START
8.1,0,36.527997,127.263317,17.32,1696112890000,NORMAL
13.2,0,36.527912,127.263112,17.92,1696112891000,NORMAL
13.1,0,36.527627,127.262888,18.63,1696112893000,NORMAL
12.7,0,36.527329,127.262666,19.31,1696112895000,NORMAL
11.9,0,36.527167,127.262555,19.67,1696112896000,NORMAL
11.2,0,36.527012,127.262449,19.63,1696112897000,NORMAL
12.1,0,36.526852,127.262341,19.94,1696112898000,NORMAL
13.0,0,36.526690,127.262235,20.03,1696112899000,NORMAL
13.2,0,36.526372,127.262037,19.51,1696112901000,NORMAL
11.9,0,36.526059,127.261842,18.99,1696112903000,NORMAL
11.4,0,36.525905,127.261747,18.90,1696112904000,NORMAL
10.9,0,36.525750,127.261650,18.86,1696112905000,NORMAL
8.1,0,36.525442,127.261458,18.98,1696112907000,NORMAL
8.1,0,36.525132,127.261269,18.84,1696112909000,NORMAL
8.1,0,36.524827,127.261089,18.41,1696112911000,NORMAL
8.1,0,36.524680,127.261006,18.08,1696112912000,NORMAL
8.1,0,36.524382,127.260843,17.97,1696112914000,NORMAL
6.5,0,36.524083,127.260695,18.11,1696112917000,NORMAL
8.1,0,36.523618,127.260478,18.25,1696112919000,NORMAL
8.1,0,36.523313,127.260340,18.09,1696112921000,NORMAL
8.1,0,36.523165,127.260274,17.69,1696112922000,NORMAL
8.1,0,36.523016,127.260206,17.59,1696112923000,NORMAL
8.1,0,36.522726,127.260076,16.92,1696112925000,NORMAL
8.1,0,36.522463,127.259967,14.87,1696112927000,NORMAL
8.1,0,36.522236,127.259889,12.43,1696112929000,NORMAL
8.1,0,36.522023,127.259816,11.28,1696112931000,NORMAL
8.1,0,36.521855,127.259751,8.97,1696112933000,NORMAL
8.2,0,36.521732,127.259709,6.78,1696112935000,NORMAL
8.1,0,36.521670,127.259688,6.62,1696112936000,NORMAL
8.1,0,36.521609,127.259661,6.87,1696112937000,NORMAL
8.1,0,36.521454,127.259604,8.19,1696112939000,NORMAL
8.1,0,36.521379,127.259571,8.70,1696112940000,NORMAL
8.1,0,36.521293,127.259557,9.26,1696112941000,NORMAL
8.1,0,36.521104,127.259482,10.57,1696112943000,NORMAL
8.1,0,36.520998,127.259447,11.27,1696112944000,NORMAL
8.1,0,36.520779,127.259399,12.47,1696112946000,NORMAL
