accuracy,id,lat,lng,speed,time,type
12.511,1,36.3747717,127.3257194,0.07559946,1696214571929,START
10.358,2,36.3747745,127.3257244,0.22902997,1696214573929,NORMAL
4.953,3,36.3747794,127.3257134,0.43590066,1696214575929,NORMAL
3.9,4,36.3747801,127.3257092,0.2338078,1696214577929,NORMAL
3.9,5,36.3747837,127.3257153,0.2529006,1696214579929,NORMAL
3.956,6,36.3747854,127.3257159,0.115070134,1696214581928,NORMAL
3.956,7,36.3747861,127.3257154,0.05288972,1696214583928,NORMAL
4.494,8,36.3747861,127.3257153,0.018213967,1696214585117,NORMAL
4.345,9,36.3747812,127.3257175,0.17737387,1696214587928,NORMAL
4.345,10,36.3747779,127.3257197,0.19958922,1696214589929,NORMAL
5.599,11,36.3747834,127.3257163,0.006957462,1696214590966,NORMAL
7.167,12,36.3747865,127.3257112,8.5721264E-4,1696214592975,NORMAL
7.209,13,36.3747859,127.3257101,4.3309387E-4,1696214593979,NORMAL
7.433,14,36.3747853,127.3257099,4.585575E-4,1696214596021,NORMAL
7.374,15,36.3747849,127.32571,1.1840032E-4,1696214597527,NORMAL
7.432,16,36.3747841,127.3257101,1.1106749E-4,1696214601043,NORMAL
7.607,17,36.3747858,127.3257089,0.004019477,1696214603554,NORMAL
7.534,18,36.3747855,127.3257079,0.0059582796,1696214605563,NORMAL
7.482,19,36.3747843,127.3257081,0.46577916,1696214607572,NORMAL
7.331,20,36.3747843,127.3257095,0.030522155,1696214609582,NORMAL
7.235,21,36.3747817,127.3257117,0.012136984,1696214610585,NORMAL
7.04,22,36.3747805,127.3257177,0.021106549,1696214613928,NORMAL
7.02,23,36.3747794,127.3257201,0.012964371,1696214615440,NORMAL
5.937,24,36.3747609,127.3257386,0.22274923,1696214617928,NORMAL
4.946,25,36.3747511,127.3257456,0.39272308,1696214619928,NORMAL
7.883,26,36.3747623,127.3257461,0.7871299,1696214623927,NORMAL
3.9,27,36.3747954,127.3257424,1.3962,1696214627927,NORMAL
3.9,28,36.3748088,127.3257629,0.7353965,1696214629927,NORMAL
8.119,29,36.374811,127.3257748,0.6430047,1696214631927,NORMAL
8.119,30,36.3748161,127.3257885,1.1191549,1696214633928,NORMAL
3.9,31,36.3748196,127.3258016,0.4243214,1696214637928,NORMAL
3.9,32,36.3748186,127.3258015,0.26743904,1696214639927,NORMAL
8.348,33,36.3748173,127.3257999,0.0996696,1696214641927,NORMAL
8.348,34,36.3748173,127.325798,0.025552582,1696214643928,NORMAL
3.9,35,36.3748185,127.3257988,0.04969184,1696214645928,NORMAL
3.9,36,36.37482,127.325798,0.061909575,1696214647929,NORMAL
3.9,37,36.3748201,127.3257974,0.038799822,1696214649928,NORMAL
8.642,38,36.3748201,127.3258003,0.30429435,1696214651927,NORMAL
8.642,39,36.3748199,127.3258162,1.6862732,1696214653927,NORMAL
3.9,40,36.374803,127.3258625,3.3126023,1696214655928,NORMAL
3.9,41,36.3747192,127.3259229,5.9736333,1696214657928,NORMAL
3.9,42,36.3745809,127.3259993,7.7470613,1696214659927,NORMAL
3.9,43,36.3744068,127.3261003,10.376591,1696214661928,NORMAL
3.9,44,36.374217,127.3262189,11.976253,1696214663927,NORMAL
3.9,45,36.3740051,127.3263501,12.989088,1696214665927,NORMAL
3.9,46,36.3737773,127.3264841,14.16745,1696214667927,NORMAL
3.9,47,36.3735271,127.326608,14.8252125,1696214669928,NORMAL
3.9,48,36.3732872,127.3267069,13.1561,1696214671928,NORMAL
3.9,49,36.3730768,127.3267659,11.360545,1696214673920,NORMAL
3.9,50,36.3728756,127.3268099,11.859804,1696214675923,NORMAL
3.9,51,36.3726509,127.3268521,13.359225,1696214677921,NORMAL
3.9,52,36.3724001,127.3268809,14.188964,1696214679921,NORMAL
3.9,53,36.3721422,127.3268891,14.080043,1696214681919,NORMAL
3.9,54,36.3718925,127.3268869,13.110143,1696214683921,NORMAL
3.9,55,36.3716573,127.3268906,13.050051,1696214685931,NORMAL
3.9,56,36.3714243,127.3268952,13.069986,1696214687921,NORMAL
3.9,57,36.3711843,127.3268986,13.459967,1696214689924,NORMAL
4.077,58,36.370955,127.3269023,11.290522,1696214691920,NORMAL
4.157,59,36.3707729,127.3269035,9.1812935,1696214693921,NORMAL
4.157,60,36.3706409,127.3269061,5.8705745,1696214695926,NORMAL
3.98,61,36.3705717,127.326907,2.3209465,1696214697921,NORMAL
3.9,62,36.3705501,127.3269067,0.77066016,1696214699936,NORMAL
3.9,63,36.3705168,127.3269084,2.0795805,1696214702921,NORMAL
4.733,64,36.370476,127.3269091,2.2998867,1696214704921,NORMAL
4.876,65,36.3704575,127.3269089,1.7003692,1696214705922,NORMAL
4.973,66,36.3704364,127.326909,0.7102628,1696214707919,NORMAL
5.761,67,36.3704324,127.3269099,0.32139975,1696214708923,NORMAL
6.678,68,36.370431,127.3269101,0.31947768,1696214710924,NORMAL
7.821,69,36.3704327,127.3269102,0.005992613,1696214713010,NORMAL
9.05,70,36.3704337,127.3269102,0.036211252,1696214714927,NORMAL
9.177,71,36.3704338,127.3269102,0.020314103,1696214716932,NORMAL
17.046,72,36.370434,127.3269102,0.01938847,1696214718208,NORMAL
14.664,73,36.3704338,127.3269102,0.0067065223,1696214720936,NORMAL
14.703,74,36.3704338,127.3269102,0.0033852488,1696214722932,NORMAL
8.851,75,36.3704337,127.3269102,8.0481614E-4,1696214724935,NORMAL
7.709,76,36.3704337,127.3269102,1.225508E-4,1696214727001,NORMAL
12.754,77,36.3704337,127.3269102,1.0645051E-4,1696214728233,NORMAL
10.056,78,36.3704337,127.3269102,9.610201E-5,1696214731014,NORMAL
10.056,79,36.3704337,127.3269102,6.591422E-5,1696214732922,NORMAL
5.474,80,36.3704337,127.3269102,3.326298E-5,1696214735010,NORMAL
5.474,81,36.3704337,127.3269102,1.5240615E-5,1696214736921,NORMAL
12.898,82,36.3704337,127.3269102,1.45967315E-5,1696214738271,NORMAL
10.649,83,36.3704337,127.3269102,1.069697E-6,1696214741007,NORMAL
10.649,84,36.3704337,127.3269102,1.5408301E-7,1696214742935,NORMAL
6.061,85,36.3704337,127.3269102,4.3539228E-7,1696214744985,NORMAL
6.061,86,36.3704337,127.3269102,1.5594195E-7,1696214746923,NORMAL
3.9,87,36.3704337,127.3269102,9.390903E-10,1696214750990,NORMAL
3.9,88,36.3704337,127.3269102,1.0709839E-9,1696214752934,NORMAL
5.932,89,36.3704337,127.3269102,2.0774882E-10,1696214754930,NORMAL
5.932,90,36.3704337,127.3269102,2.1502841E-11,1696214756930,NORMAL
3.9,91,36.3704337,127.3269102,3.802375E-12,1696214758926,NORMAL
3.9,92,36.3704337,127.3269102,1.8759454E-12,1696214760921,NORMAL
3.9,93,36.3704337,127.3269102,3.5753076E-13,1696214762929,NORMAL
6.128,94,36.3704337,127.3269102,7.102508E-15,1696214764925,NORMAL
6.128,95,36.3704337,127.3269102,7.102508E-15,1696214766938,NORMAL
3.9,96,36.3704337,127.3269102,7.102508E-15,1696214768923,NORMAL
3.9,97,36.3704337,127.3269102,7.102508E-15,1696214770937,NORMAL
3.9,98,36.3704337,127.3269102,7.102508E-15,1696214772932,NORMAL
6.575,99,36.3704337,127.3269102,7.102508E-15,1696214774932,NORMAL
6.575,100,36.3704337,127.3269102,7.102508E-15,1696214777001,NORMAL
3.9,101,36.3704337,127.3269102,7.102508E-15,1696214778926,NORMAL
3.9,102,36.3704075,127.3269212,2.2897205,1696214781015,NORMAL
3.9,103,36.370355,127.3269231,3.6695795,1696214782930,NORMAL
6.477,104,36.3701592,127.3269304,7.2993855,1696214787012,NORMAL
3.9,105,36.3700148,127.3269329,8.609247,1696214788919,NORMAL
3.9,106,36.3698393,127.3269363,10.219163,1696214790989,NORMAL
3.9,107,36.3696476,127.3269402,10.319993,1696214793015,NORMAL
3.9,108,36.3694631,127.3269434,10.200026,1696214795000,NORMAL
3.9,109,36.3690615,127.3269488,10.310211,1696214799008,NORMAL
3.908,110,36.3687679,127.3269535,6.540415,1696214803003,NORMAL
4.061,111,36.3686588,127.3269554,5.900209,1696214804998,NORMAL
4.414,112,36.3685651,127.3269571,4.6605,1696214806922,NORMAL
5.266,113,36.3684403,127.3269648,0.5505991,1696214812998,NORMAL
12.328,114,36.3684357,127.3269656,0.55053604,1696214814080,NORMAL
9.91,115,36.3684418,127.3269656,0.018663883,1696214816930,NORMAL
9.664,116,36.3684421,127.3269655,0.015648926,1696214818957,NORMAL
5.07,117,36.3684421,127.3269655,0.0031178456,1696214820964,NORMAL
5.07,118,36.3684421,127.3269655,2.955469E-4,1696214822922,NORMAL
5.915,119,36.3684421,127.3269655,3.0781193E-5,1696214824915,NORMAL
7.947,120,36.3684403,127.3269657,0.07124825,1696214826919,NORMAL
9.963,121,36.3684401,127.3269657,0.02968653,1696214828929,NORMAL
12.385,122,36.3684401,127.3269657,0.0047295094,1696214830928,NORMAL
12.373,123,36.3684402,127.3269657,4.0433512E-4,1696214832922,NORMAL
19.564,124,36.3684402,127.3269657,5.50866E-4,1696214834361,NORMAL
17.142,125,36.3684396,127.3269635,0.036321342,1696214836918,NORMAL
17.157,126,36.3684399,127.3269647,0.04011886,1696214837924,NORMAL
15.716,127,36.3684399,127.3269652,0.042400748,1696214838922,NORMAL
9.962,128,36.3684397,127.3269652,0.014865662,1696214840920,NORMAL
9.946,129,36.3684397,127.3269652,0.003462204,1696214842924,NORMAL
9.942,130,36.3684397,127.3269651,0.0012864759,1696214844923,NORMAL
9.944,131,36.3684397,127.3269651,5.8832497E-4,1696214846929,NORMAL
9.946,132,36.3684392,127.3269645,0.0256903,1696214848928,NORMAL
9.946,133,36.3684392,127.3269644,0.015217226,1696214849932,NORMAL
9.945,134,36.3684392,127.3269645,0.0071937977,1696214850929,NORMAL
9.943,135,36.3684392,127.3269645,0.0011567982,1696214852922,NORMAL
9.942,136,36.3684392,127.3269645,4.005252E-4,1696214854923,NORMAL
9.943,137,36.3684392,127.3269645,3.214695E-4,1696214856921,NORMAL
11.523,138,36.3684392,127.3269645,9.4718875E-5,1696214858931,NORMAL
11.523,139,36.3684392,127.3269645,1.253497E-5,1696214860925,NORMAL
9.942,140,36.3684388,127.3269641,0.01828727,1696214862937,NORMAL
9.944,141,36.3684388,127.3269641,0.008557486,1696214864919,NORMAL
9.945,142,36.3684388,127.3269641,0.0019734004,1696214866920,NORMAL
12.382,143,36.3684388,127.3269641,1.0390737E-4,1696214868920,NORMAL
12.381,144,36.3684388,127.3269641,2.0939102E-4,1696214870921,NORMAL
9.94,145,36.3684388,127.3269641,8.766566E-5,1696214872923,NORMAL
9.94,146,36.3684388,127.3269641,1.750018E-5,1696214874920,NORMAL
9.94,147,36.3684388,127.3269641,1.4456213E-6,1696214876926,NORMAL
12.55,148,36.3684388,127.3269641,2.5407653E-6,1696214878922,NORMAL
12.55,149,36.3684388,127.3269641,9.974726E-7,1696214880920,NORMAL
