accuracy,id,lat,lng,speed,time,type
11.143,730,36.3041575,127.5865416,8.009452,1696224275583,START
11.269,731,36.3040003,127.5865427,7.4118633,1696224276883,NORMAL
11.177,732,36.3038525,127.5865704,7.785416,1696224278884,NORMAL
4.102,733,36.3037141,127.5866094,8.18858,1696224280883,NORMAL
3.935,734,36.3035719,127.5866391,8.288036,1696224282883,NORMAL
3.935,735,36.3034321,127.5866743,8.034652,1696224284884,NORMAL
3.9,736,36.3033039,127.5867132,6.9701786,1696224286884,NORMAL
3.9,737,36.3032084,127.586782,5.9463573,1696224288883,NORMAL
3.9,738,36.3031662,127.5869007,5.588025,1696224290883,NORMAL
3.9,739,36.3031594,127.5870168,5.697264,1696224292884,NORMAL
3.9,740,36.3031526,127.5871467,6.3991094,1696224294883,NORMAL
3.9,741,36.3031353,127.5872799,6.6712003,1696224296883,NORMAL
3.9,742,36.303103,127.5874088,5.8759317,1696224298883,NORMAL
3.9,743,36.303002,127.5874927,6.930489,1696224300883,NORMAL
3.9,744,36.3028768,127.5874467,6.953475,1696224302883,NORMAL
3.9,745,36.3027974,127.587282,7.511269,1696224304884,NORMAL
3.9,746,36.3027366,127.5870969,8.443821,1696224306883,NORMAL
3.91,747,36.3026688,127.5868888,10.059284,1696224308884,NORMAL
4.694,748,36.3026096,127.5866707,10.320071,1696224310884,NORMAL
4.972,749,36.302535,127.5864543,10.751881,1696224312884,NORMAL
4.962,750,36.3024609,127.5862449,10.74086,1696224314883,NORMAL
4.177,751,36.3023759,127.5860206,11.22311,1696224316884,NORMAL
3.9,752,36.3022828,127.5857719,12.0496435,1696224318883,NORMAL
3.9,753,36.3021819,127.585522,12.523293,1696224320883,NORMAL
5.911,754,36.3020746,127.5852683,13.073671,1696224322884,NORMAL
7.923,755,36.3019491,127.5850064,14.21658,1696224324883,NORMAL
9.935,756,36.3018018,127.5847329,14.556272,1696224326883,NORMAL
9.935,757,36.3016661,127.5844574,13.949559,1696224328883,NORMAL
9.935,758,36.30157,127.5841841,12.037005,1696224330884,NORMAL
9.935,759,36.3015058,127.5839602,9.739131,1696224332884,NORMAL
9.935,760,36.3014523,127.5837848,8.154393,1696224334883,NORMAL
9.935,761,36.3014158,127.5836629,4.5472374,1696224336883,NORMAL
9.935,762,36.3014052,127.5836213,1.1754296,1696224338883,NORMAL
9.935,763,36.3014058,127.5836248,1.0215365,1696224340883,NORMAL
9.935,764,36.3013999,127.5836011,2.3181138,1696224342883,NORMAL
15.302,765,36.3013908,127.5835531,2.113604,1696224344883,NORMAL
15.302,766,36.3013877,127.5835064,2.2859392,1696224346883,NORMAL
15.302,767,36.3013994,127.5834398,4.2653556,1696224348883,NORMAL
10.341,768,36.3014658,127.5833342,6.5682206,1696224350883,NORMAL
10.341,769,36.3015849,127.5832275,7.6917386,1696224352883,NORMAL
9.935,770,36.3017052,127.5831163,7.4417224,1696224354883,NORMAL
9.935,771,36.3018186,127.5829936,8.576167,1696224356884,NORMAL
9.935,772,36.3019532,127.5828431,10.539029,1696224358884,NORMAL
9.935,773,36.3021088,127.5826751,10.74781,1696224360883,NORMAL
9.935,774,36.3022494,127.5824948,10.805627,1696224362884,NORMAL
9.935,775,36.302377,127.582292,11.608933,1696224364883,NORMAL
9.935,776,36.3025115,127.5820715,12.507845,1696224366883,NORMAL
9.935,777,36.3026549,127.581833,13.359835,1696224368883,NORMAL
9.935,778,36.3028077,127.581581,14.495805,1696224370883,NORMAL
9.935,779,36.302968,127.5813088,15.171907,1696224372884,NORMAL
9.935,780,36.303137,127.5810243,15.585197,1696224374883,NORMAL
9.935,781,36.3033022,127.5807555,14.570189,1696224376883,NORMAL
9.935,782,36.3034604,127.5805125,13.578163,1696224378883,NORMAL
9.935,783,36.3035967,127.5802854,12.118894,1696224380884,NORMAL
9.935,784,36.30371,127.5800931,9.796868,1696224382883,NORMAL
9.935,785,36.3037935,127.5799491,7.445416,1696224384883,NORMAL
9.935,786,36.3038505,127.5798542,4.9464054,1696224386883,NORMAL
9.935,787,36.3038788,127.5798099,2.1275775,1696224388883,NORMAL
9.935,788,36.3038817,127.5798103,0.64461195,1696224390883,NORMAL
9.935,789,36.3038748,127.5798221,0.5631936,1696224392883,NORMAL
9.935,790,36.3038677,127.5798333,0.25645506,1696224394883,NORMAL
7.923,791,36.3038545,127.5798515,0.23510602,1696224396883,NORMAL
5.911,792,36.3038514,127.5798332,0.34418303,1696224398884,NORMAL
14.43,793,36.303849,127.5798279,0.34342518,1696224400463,NORMAL
11.798,794,36.3038476,127.5798049,0.528179,1696224402885,NORMAL
11.798,795,36.3038489,127.5798003,0.3754293,1696224404883,NORMAL
6.857,796,36.3038504,127.5797997,0.20727344,1696224406883,NORMAL
6.857,797,36.3038512,127.579799,0.13218161,1696224408883,NORMAL
14.241,798,36.3038516,127.579797,0.12837318,1696224410360,NORMAL
11.284,799,36.3038524,127.5797985,0.052320737,1696224412883,NORMAL
11.284,800,36.3038526,127.5797986,0.03852623,1696224414884,NORMAL
7.018,801,36.3038526,127.5797986,0.008345618,1696224416883,NORMAL
7.018,802,36.3038527,127.5797985,0.0064787418,1696224418883,NORMAL
15.12,803,36.3038528,127.5797984,0.005255071,1696224420567,NORMAL
12.315,804,36.3038527,127.5797985,3.7650894E-5,1696224422883,NORMAL
12.315,805,36.3038528,127.5797986,0.0055315406,1696224424883,NORMAL
7.515,806,36.303853,127.5797987,0.011356478,1696224426883,NORMAL
7.515,807,36.3038532,127.5797986,0.011350593,1696224428884,NORMAL
14.955,808,36.3038533,127.5797986,0.009281057,1696224430372,NORMAL
11.34,809,36.3038534,127.5797984,0.0074434015,1696224432883,NORMAL
11.34,810,36.3038534,127.5797984,0.004511755,1696224434883,NORMAL
7.217,811,36.3038534,127.5797984,0.0021987855,1696224436883,NORMAL
7.217,812,36.3038534,127.5797983,0.0023158558,1696224438883,NORMAL
15.29,813,36.3038534,127.5797983,0.0022788448,1696224440592,NORMAL
12.443,814,36.3038533,127.5797982,0.0044471305,1696224442884,NORMAL
12.443,815,36.3038533,127.5797982,8.876657E-4,1696224444883,NORMAL
7.731,816,36.3038533,127.5797982,3.3734072E-4,1696224446883,NORMAL
7.731,817,36.3038533,127.5797982,1.5284015E-4,1696224448883,NORMAL
15.789,818,36.3038533,127.5797982,1.4756304E-4,1696224450667,NORMAL
12.817,819,36.3038532,127.579798,0.0034921279,1696224452883,NORMAL
12.817,820,36.3038533,127.579798,0.0024158587,1696224454883,NORMAL
7.968,821,36.3038532,127.5797979,0.0030442576,1696224456883,NORMAL
7.968,822,36.3038532,127.5797978,0.0037406937,1696224458883,NORMAL
16.874,823,36.3038532,127.5797977,0.0036785447,1696224460665,NORMAL
12.806,824,36.3038532,127.5797977,0.0029699972,1696224462883,NORMAL
12.806,825,36.3038532,127.5797976,0.0034387358,1696224464883,NORMAL
8.148,826,36.3038532,127.5797975,0.004636882,1696224466884,NORMAL
8.148,827,36.3038532,127.5797974,0.0045894543,1696224468883,NORMAL
15.565,828,36.3038532,127.5797973,0.0037640668,1696224470367,NORMAL
11.317,829,36.3038531,127.5797973,0.0019936739,1696224472884,NORMAL
11.317,830,36.3038531,127.5797972,0.0035952136,1696224474883,NORMAL
8.14,831,36.303853,127.5797971,0.0066028573,1696224476884,NORMAL
8.14,832,36.3038529,127.579797,0.007157323,1696224478884,NORMAL
17.364,833,36.3038528,127.5797969,0.00582388,1696224480729,NORMAL
13.124,834,36.3038817,127.5797453,3.6899407,1696224482884,NORMAL
13.124,835,36.3039188,127.5796905,2.9000232,1696224484884,NORMAL
8.428,836,36.303964,127.5796405,5.089937,1696224486883,NORMAL
8.428,837,36.304035,127.5795391,6.8168464,1696224488883,NORMAL
6.085,838,36.3041089,127.5794184,6.6664195,1696224490883,NORMAL
6.085,839,36.3041827,127.579291,7.4518576,1696224492884,NORMAL
3.9,840,36.3042698,127.5791394,8.683045,1696224494883,NORMAL
3.9,841,36.3043601,127.5789528,10.0893545,1696224496884,NORMAL
3.9,842,36.3044549,127.5787385,11.217697,1696224498883,NORMAL
3.9,843,36.304553,127.578517,11.180071,1696224500884,NORMAL
3.9,844,36.3046465,127.5782977,11.060102,1696224502885,NORMAL
