accuracy,id,lat,lng,speed,time,type
5.343,1,36.367212,127.4319095,0.6557726,1696204734738,START
4.753,2,36.3672523,127.431911,3.3742144,1696204735738,NORMAL
4.206,3,36.3673394,127.431932,4.0773344,1696204737737,NORMAL
4.156,4,36.3673757,127.4319219,4.4147816,1696204738745,NORMAL
4.1,5,36.3674545,127.4319288,3.2595909,1696204740745,NORMAL
4.228,6,36.3674818,127.4319387,2.1631954,1696204741744,NORMAL
5.117,7,36.3675025,127.4319391,1.3651541,1696204743750,NORMAL
5.462,8,36.3675026,127.4319418,0.6414883,1696204744746,NORMAL
7.107,9,36.3675127,127.4319373,0.62427235,1696204746744,NORMAL
7.643,10,36.3675228,127.4319458,0.92645967,1696204747753,NORMAL
9.348,11,36.3675287,127.4319417,0.40643063,1696204749747,NORMAL
9.499,12,36.3675272,127.4319367,0.26196572,1696204750748,NORMAL
10.164,13,36.3675428,127.4318489,5.4480023,1696204752738,NORMAL
10.293,14,36.3675625,127.4317669,4.8313823,1696204753740,NORMAL
9.689,15,36.3675648,127.4315829,6.603541,1696204755746,NORMAL
9.332,16,36.3675573,127.4314941,6.783882,1696204756742,NORMAL
8.94,17,36.3675321,127.43128,8.192639,1696204758740,NORMAL
8.534,18,36.3675216,127.4311778,8.4901285,1696204759743,NORMAL
8.219,19,36.3674994,127.4309636,9.153593,1696204761747,NORMAL
8.454,20,36.3674825,127.4308568,9.216304,1696204762741,NORMAL
8.998,21,36.3674446,127.4306506,9.21704,1696204764750,NORMAL
9.085,22,36.3674388,127.4305381,9.114553,1696204765750,NORMAL
8.567,23,36.3674113,127.430368,7.6617007,1696204767743,NORMAL
8.225,24,36.3674,127.4302971,6.9661465,1696204768745,NORMAL
6.824,25,36.367382,127.430181,4.9033823,1696204770746,NORMAL
5.733,26,36.3673797,127.4301331,4.390687,1696204771746,NORMAL
4.717,27,36.3674044,127.4300294,4.666512,1696204773749,NORMAL
4.599,28,36.3674423,127.4299931,4.761403,1696204774739,NORMAL
4.181,29,36.3675666,127.4299014,7.330766,1696204776742,NORMAL
4.123,30,36.3676355,127.4298596,7.614126,1696204777743,NORMAL
4.604,31,36.3677972,127.4297661,8.7251835,1696204779740,NORMAL
4.845,32,36.3679439,127.4297475,11.436539,1696204780744,NORMAL
5.407,33,36.368198,127.4296983,12.721981,1696204782747,NORMAL
5.304,34,36.3683366,127.4296835,13.754718,1696204783742,NORMAL
5.059,35,36.3686143,127.429615,14.880444,1696204785740,NORMAL
5.035,36,36.3687549,127.4295604,15.28915,1696204786743,NORMAL
5.991,37,36.3690163,127.4294913,15.15627,1696204788741,NORMAL
7.708,38,36.3691408,127.4294485,14.93176,1696204789747,NORMAL
10.287,39,36.3694203,127.4293531,15.81737,1696204791749,NORMAL
11.408,40,36.3695902,127.4293001,17.279945,1696204792748,NORMAL
11.184,41,36.3699477,127.4291827,19.702148,1696204794741,NORMAL
10.974,42,36.37013,127.4291267,19.937181,1696204795746,NORMAL
10.726,43,36.370531,127.4290172,21.21249,1696204797741,NORMAL
10.686,44,36.3707348,127.4289705,21.442179,1696204798742,NORMAL
10.631,45,36.3711099,127.4288854,20.481722,1696204800742,NORMAL
10.564,46,36.371288,127.4288382,20.3075,1696204801744,NORMAL
10.419,47,36.3716344,127.4287475,19.5514,1696204803745,NORMAL
10.405,48,36.3717983,127.4287026,19.08876,1696204804746,NORMAL
10.271,49,36.3720587,127.4286288,15.211758,1696204806754,NORMAL
10.241,50,36.3721839,127.4285938,15.007002,1696204807741,NORMAL
10.191,51,36.3724338,127.4285198,14.405508,1696204809752,NORMAL
10.214,52,36.3725537,127.4284862,14.335101,1696204810745,NORMAL
10.427,53,36.37281,127.4284213,14.729905,1696204812742,NORMAL
10.579,54,36.3729409,127.4283845,14.78963,1696204813742,NORMAL
11.066,55,36.3731998,127.4283044,15.147864,1696204815749,NORMAL
11.185,56,36.3733251,127.4282635,14.957104,1696204816746,NORMAL
11.748,57,36.3735726,127.4281898,14.490424,1696204818744,NORMAL
11.818,58,36.3736869,127.4281672,13.837998,1696204819741,NORMAL
12.005,59,36.3738505,127.428127,11.326986,1696204821738,NORMAL
11.969,60,36.3738732,127.4281296,7.422841,1696204822745,NORMAL
11.303,61,36.3738857,127.4281236,2.731546,1696204824741,NORMAL
11.0,62,36.3738907,127.4281188,1.9348727,1696204825746,NORMAL
10.521,63,36.3738949,127.4281135,0.8453301,1696204827746,OVER_STOP
10.425,64,36.3738942,127.4281099,0.77749515,1696204828740,NORMAL
10.385,65,36.3738961,127.4281052,0.6074582,1696204830739,NORMAL
10.344,66,36.373898,127.4281036,0.53589225,1696204831745,NORMAL
10.333,67,36.3738985,127.4280992,0.3693361,1696204833746,NORMAL
10.335,68,36.3738981,127.4280982,0.2905839,1696204834746,NORMAL
10.32,69,36.373898,127.428094,0.22607525,1696204836744,NORMAL
10.316,70,36.3738996,127.4280931,0.21566075,1696204837745,NORMAL
10.328,71,36.3739008,127.4280904,0.17965436,1696204839750,NORMAL
10.369,72,36.3739002,127.4280899,0.14133365,1696204840745,NORMAL
10.416,73,36.3739014,127.4280894,0.107971676,1696204842749,NORMAL
10.416,74,36.3739818,127.4280676,4.716842,1696204843751,NORMAL
10.349,75,36.374107,127.4280284,6.9848747,1696204845748,NORMAL
10.337,76,36.3741766,127.4280028,7.692819,1696204846745,NORMAL
10.237,77,36.3743186,127.4279535,7.695096,1696204848753,OVER_ACCEL
10.148,78,36.3743847,127.4279177,7.664868,1696204849749,NORMAL
10.118,79,36.37447,127.4278025,7.1118593,1696204851751,NORMAL
10.15,80,36.3744719,127.4277437,5.5152197,1696204852748,NORMAL
10.255,81,36.3744262,127.4275977,7.178349,1696204854746,NORMAL
10.473,82,36.3743953,127.4275096,7.6697683,1696204855743,NORMAL
10.823,83,36.3743158,127.4272785,9.835747,1696204857736,NORMAL
10.996,84,36.3742801,127.4271452,10.721329,1696204858742,NORMAL
11.179,85,36.3741711,127.4268652,12.881798,1696204860740,NORMAL
11.119,86,36.3741118,127.4267247,13.056663,1696204861743,NORMAL
11.093,87,36.3739846,127.4264365,13.591332,1696204863742,NORMAL
11.228,88,36.3739211,127.426295,13.671374,1696204864754,NORMAL
12.049,89,36.3738179,127.4260145,13.604554,1696204866754,NORMAL
12.156,90,36.3737685,127.4258636,13.843851,1696204867747,NORMAL
12.494,91,36.3736614,127.4255426,14.728364,1696204869744,NORMAL
12.465,92,36.373607,127.4253854,14.770675,1696204870749,NORMAL
12.138,93,36.3734756,127.4250852,14.954228,1696204872754,NORMAL
12.137,94,36.3734068,127.4249402,14.870579,1696204873747,NORMAL
11.781,95,36.3732699,127.4246259,15.040639,1696204875756,NORMAL
11.593,96,36.3732059,127.4244762,13.722435,1696204876749,NORMAL
10.863,97,36.3731363,127.4242074,14.102687,1696204878749,NORMAL
10.822,98,36.37313,127.4240476,14.958141,1696204879746,NORMAL
10.817,99,36.3731202,127.4237387,13.878375,1696204881743,NORMAL
11.268,100,36.3731152,127.4235848,13.929417,1696204882754,NORMAL
11.612,101,36.3731038,127.4232602,15.078439,1696204884749,NORMAL
11.556,102,36.3730876,127.4230872,14.9119425,1696204885744,NORMAL
11.42,103,36.3730758,127.4227872,13.2405815,1696204887748,NORMAL
11.03,104,36.3730654,127.4226561,12.38398,1696204888746,NORMAL
10.514,105,36.3730476,127.4223876,11.963104,1696204890750,NORMAL
10.352,106,36.3730428,127.4222647,10.66909,1696204891813,NORMAL
10.199,107,36.3730196,127.4220509,10.3770275,1696204893742,NORMAL
10.186,108,36.3730099,127.4219495,9.388685,1696204894755,NORMAL
10.251,109,36.3730171,127.421749,9.242833,1696204896747,NORMAL
10.343,110,36.373022,127.4216428,8.737428,1696204897813,NORMAL
10.305,111,36.3730425,127.4214551,8.896063,1696204899749,NORMAL
10.231,112,36.3730588,127.4213639,8.843113,1696204900745,NORMAL
10.067,113,36.373103,127.4211828,8.684971,1696204902741,NORMAL
9.998,114,36.3731281,127.4210999,8.073537,1696204903743,NORMAL
9.95,115,36.3731723,127.4209677,6.29144,1696204905740,NORMAL
10.019,116,36.3731921,127.4209081,5.815261,1696204906739,NORMAL
10.089,117,36.3732095,127.4208624,0.7842858,1696204908738,NORMAL
10.158,118,36.3732114,127.4208623,0.56666666,1696204909738,NORMAL
10.116,119,36.3732111,127.4208655,0.21074298,1696204911749,NORMAL
10.098,120,36.3732192,127.420863,0.7423054,1696204912745,NORMAL
10.053,121,36.3732307,127.420851,0.19874895,1696204914738,NORMAL
10.063,122,36.3732304,127.4208477,0.20206402,1696204915742,NORMAL
10.08,123,36.3732289,127.4208411,0.25482035,1696204917739,NORMAL
10.174,124,36.3732273,127.4208404,0.19603644,1696204918742,NORMAL
10.204,125,36.3732211,127.4208346,0.3883545,1696204920739,NORMAL
10.228,126,36.3732173,127.4208316,0.43978402,1696204921738,NORMAL
10.137,127,36.3732123,127.4208318,0.28956434,1696204923744,NORMAL
10.087,128,36.3732117,127.4208304,0.19763783,1696204924746,NORMAL
10.16,129,36.3732064,127.4208248,0.31099907,1696204926736,NORMAL
10.234,130,36.3732051,127.420822,0.30065066,1696204927740,NORMAL
10.348,131,36.373204,127.4208208,0.20374322,1696204929741,NORMAL
10.441,132,36.3732035,127.4208212,0.1620957,1696204930743,NORMAL
10.357,133,36.3732038,127.4208203,0.10520456,1696204932737,NORMAL
10.245,134,36.3732041,127.4208194,0.08975615,1696204933741,NORMAL
10.085,135,36.3732051,127.420817,0.09096225,1696204935740,NORMAL
9.935,136,36.3732055,127.4208159,0.09340682,1696204936740,NORMAL
9.938,137,36.373206,127.4208144,0.08299345,1696204938746,NORMAL
9.958,138,36.3732061,127.420814,0.075907774,1696204939743,NORMAL
9.954,139,36.3732059,127.4208138,0.029004842,1696204941739,NORMAL
9.954,140,36.3732059,127.4208138,0.015413222,1696204942736,NORMAL
9.951,141,36.3732062,127.4208138,0.017131075,1696204944742,NORMAL
9.95,142,36.3732066,127.4208136,0.032271117,1696204945745,NORMAL
9.953,143,36.373207,127.4208136,0.024683582,1696204947740,NORMAL
9.953,144,36.373207,127.4208137,0.012573391,1696204948746,NORMAL
9.935,145,36.3732069,127.4208132,0.016502753,1696204950750,NORMAL
9.935,146,36.3731991,127.4207753,3.4082942,1696204951743,NORMAL
9.935,147,36.3732491,127.4206616,6.2449837,1696204953744,NORMAL
9.935,148,36.3732626,127.4205924,6.2393074,1696204954742,NORMAL
9.935,149,36.3732947,127.420427,7.77871,1696204956747,OVER_ACCEL
9.935,150,36.3733122,127.4203345,8.380745,1696204957745,NORMAL
9.935,151,36.3733745,127.4201274,10.430682,1696204959747,NORMAL
9.935,152,36.3734178,127.4200173,10.942229,1696204960742,NORMAL
9.935,153,36.3735468,127.4197931,12.008226,1696204962744,NORMAL
9.935,154,36.3736312,127.4196897,12.307155,1696204963747,NORMAL
9.935,155,36.37382,127.4194931,13.1772585,1696204965741,NORMAL
