accuracy,id,lat,lng,speed,time,type
13.655,1,36.5058551,127.2387035,1.3474952,1696294516969,START
6.51,2,36.5058555,127.2387095,0.42264506,1696294518976,NORMAL
6.154,3,36.5058595,127.2387132,0.46417618,1696294519970,NORMAL
6.168,4,36.5058707,127.2387177,0.67579675,1696294521978,NORMAL
6.011,5,36.5058729,127.2387234,0.20061554,1696294522977,NORMAL
5.584,6,36.5058558,127.2386986,3.1420617,1696294524978,NORMAL
5.424,7,36.505833,127.238663,5.179556,1696294525983,NORMAL
5.126,8,36.5057782,127.2385802,6.0764327,1696294527979,NORMAL
5.005,9,36.5057384,127.2385753,5.738739,1696294528982,NORMAL
4.904,10,36.5056581,127.2386465,5.7820544,1696294530988,NORMAL
4.245,11,36.5056483,127.2387118,6.9937387,1696294531985,NORMAL
4.023,12,36.5056308,127.2388801,8.602805,1696294533984,NORMAL
3.953,13,36.5056037,127.2389822,9.785051,1696294534988,NORMAL
3.896,14,36.5055496,127.2391846,8.9763975,1696294536985,NORMAL
3.907,15,36.5055208,127.2392746,8.913078,1696294537985,NORMAL
3.989,16,36.5054508,127.2395016,11.535601,1696294539980,NORMAL
4.028,17,36.5054102,127.2396295,12.001198,1696294540985,NORMAL
4.032,18,36.5053397,127.2399021,11.901207,1696294542981,NORMAL
4.018,19,36.5053091,127.2400328,11.728485,1696294543980,NORMAL
3.916,20,36.5052634,127.2402889,11.179814,1696294545971,NORMAL
3.856,21,36.5052452,127.2404158,11.083915,1696294546981,NORMAL
3.84,22,36.5052052,127.2406632,10.805104,1696294549071,NORMAL
3.818,23,36.5051861,127.2407687,9.66288,1696294549983,NORMAL
3.84,24,36.5051697,127.2409362,5.1641207,1696294552112,NORMAL
3.855,25,36.5051623,127.2410203,3.9604635,1696294553978,NORMAL
3.855,26,36.5051486,127.2411331,4.481903,1696294556074,NORMAL
3.856,27,36.50505,127.2412228,6.291789,1696294558994,NORMAL
3.845,28,36.5049804,127.2412265,8.576569,1696294559987,NORMAL
3.834,29,36.5048027,127.2412091,11.283733,1696294561980,NORMAL
3.845,30,36.5046966,127.2411999,12.1268215,1696294562989,NORMAL
3.856,31,36.5044723,127.2411744,13.118333,1696294565063,NORMAL
3.845,32,36.5043592,127.2411616,12.900803,1696294565985,NORMAL
3.826,33,36.504144,127.2411317,10.995242,1696294567976,NORMAL
3.834,34,36.5040524,127.241118,9.027133,1696294568984,NORMAL
3.808,35,36.5039168,127.2411008,5.6734276,1696294570978,NORMAL
3.808,36,36.5038742,127.2410923,4.0935736,1696294571987,NORMAL
3.826,37,36.5038318,127.2410711,0.728219,1696294573980,NORMAL
5.041,38,36.5038257,127.2410674,0.7868834,1696294574987,NORMAL
7.499,39,36.5038174,127.241059,0.46664435,1696294576991,NORMAL
8.706,40,36.5038164,127.2410575,0.30718368,1696294577999,NORMAL
11.595,41,36.5038156,127.2410553,0.1715688,1696294579991,NORMAL
11.358,42,36.5038143,127.2410538,0.16904233,1696294580983,NORMAL
11.358,43,36.5038054,127.24105,0.65814024,1696294582968,NORMAL
11.608,44,36.5037782,127.2410481,2.8915405,1696294583976,NORMAL
11.608,45,36.5037071,127.24104,6.025515,1696294585980,NORMAL
11.887,46,36.5036464,127.2410317,7.8362827,1696294586983,NORMAL
9.935,47,36.5034955,127.2410104,8.15207,1696294588977,NORMAL
9.935,48,36.5034214,127.2410017,7.9087725,1696294589976,NORMAL
9.935,49,36.5032764,127.2409838,8.188735,1696294591983,NORMAL
9.935,50,36.5032024,127.240971,8.036413,1696294592985,NORMAL
9.935,51,36.5030612,127.2409498,7.354691,1696294594986,NORMAL
9.935,52,36.5029966,127.2409397,7.119967,1696294595992,NORMAL
9.935,53,36.5028669,127.2409201,7.5117946,1696294597986,NORMAL
9.935,54,36.5028001,127.2409111,7.309837,1696294598980,NORMAL
9.935,55,36.502689,127.2408924,4.0288825,1696294600977,NORMAL
9.935,56,36.5026564,127.2408847,3.8510027,1696294601988,NORMAL
9.935,57,36.502599,127.2408706,2.3438973,1696294603981,NORMAL
9.935,58,36.5025799,127.2408674,2.0611603,1696294604988,NORMAL
9.935,59,36.5025507,127.2408644,0.8741778,1696294606981,NORMAL
10.94,60,36.5025467,127.2408649,0.6404621,1696294607978,NORMAL
11.107,61,36.5025451,127.2408678,0.3120763,1696294609988,NORMAL
10.94,62,36.5025461,127.2408678,0.15030034,1696294610983,NORMAL
11.198,63,36.5025453,127.2408676,0.09090409,1696294612994,NORMAL
11.018,64,36.5025444,127.2408672,0.0983178,1696294613977,NORMAL
11.018,65,36.502543,127.2408648,0.1281291,1696294615977,NORMAL
11.198,66,36.5025421,127.2408633,0.14504898,1696294616983,NORMAL
11.25,67,36.5025391,127.2408626,0.16038756,1696294618985,NORMAL
11.25,68,36.5025384,127.2408629,0.11334752,1696294619992,NORMAL
11.25,69,36.5025387,127.2408642,0.041764233,1696294621986,NORMAL
11.177,70,36.5025388,127.2408645,0.034605235,1696294622983,NORMAL
11.0,71,36.5025385,127.2408653,0.036665995,1696294624984,NORMAL
11.0,72,36.5025383,127.2408656,0.03303524,1696294625979,NORMAL
11.522,73,36.5025379,127.2408656,0.022798346,1696294627991,NORMAL
