accuracy,id,lat,lng,speed,time,type
10.969,1,36.4695597,127.2732851,0.83143383,1696559055978,START
7.818,2,36.46956,127.2732892,0.3601817,1696559057718,NORMAL
6.168,3,36.4695604,127.2733027,0.3310502,1696559059976,NORMAL
5.658,4,36.4695596,127.2732932,0.27649376,1696559061990,NORMAL
4.87,5,36.469559,127.2732921,0.08198488,1696559063986,NORMAL
4.696,6,36.4695518,127.2732852,0.40378112,1696559065987,NORMAL
4.562,7,36.4695513,127.2732847,0.121082984,1696559067751,NORMAL
4.4,8,36.4695419,127.2732594,0.82253456,1696559069990,NORMAL
4.233,9,36.4695416,127.2732601,0.1443835,1696559071978,NORMAL
3.9,10,36.4695401,127.2732622,0.12605308,1696559073997,NORMAL
3.854,11,36.4695413,127.2732653,0.12682097,1696559075980,NORMAL
3.814,12,36.4695415,127.2732655,0.036869872,1696559077777,NORMAL
3.865,13,36.4695402,127.2732616,0.11042184,1696559079990,NORMAL
3.864,14,36.4695395,127.2732578,0.16432878,1696559081988,NORMAL
3.857,15,36.4695394,127.2732565,0.078727886,1696559083988,NORMAL
3.861,16,36.4695392,127.2732552,0.063052475,1696559085998,NORMAL
3.9,17,36.4695392,127.2732551,0.014755709,1696559087813,NORMAL
3.872,18,36.4695387,127.2732529,0.06737009,1696559089976,NORMAL
3.872,19,36.469538,127.2732498,0.12890176,1696559091987,NORMAL
3.9,20,36.4695378,127.2732508,0.037774157,1696559093984,NORMAL
3.9,21,36.4695355,127.2732511,0.10348523,1696559095974,NORMAL
3.9,22,36.4695328,127.2732502,0.14256437,1696559097974,NORMAL
3.9,23,36.4695323,127.2732507,0.051166527,1696559099977,NORMAL
3.9,24,36.4695212,127.2732486,0.5087585,1696559101983,NORMAL
4.203,25,36.4694824,127.2732675,1.6055394,1696559103972,NORMAL
4.203,26,36.4694411,127.2732644,1.6847954,1696559105977,NORMAL
3.863,27,36.4694125,127.2732427,1.7564083,1696559107986,NORMAL
5.911,28,36.4694005,127.273207,1.799618,1696559109986,NORMAL
7.923,29,36.4693981,127.2731771,1.2719716,1696559111978,NORMAL
13.034,30,36.4694017,127.2731665,1.2699468,1696559112900,NORMAL
14.543,31,36.4693958,127.2731647,0.8517951,1696559113988,NORMAL
14.543,32,36.4693635,127.2731763,2.8148563,1696559115984,NORMAL
9.935,33,36.4692841,127.273183,3.288774,1696559117987,NORMAL
9.935,34,36.4692223,127.2731313,4.402383,1696559119978,NORMAL
9.935,35,36.4691874,127.2730396,4.4654436,1696559121992,NORMAL
14.61,36,36.4691593,127.2729632,3.547913,1696559123981,NORMAL
14.61,37,36.4691137,127.2729139,2.6041634,1696559125981,NORMAL
9.935,38,36.4690602,127.2728947,3.4624207,1696559127982,NORMAL
9.935,39,36.4689697,127.2728966,4.9201274,1696559129981,NORMAL
9.935,40,36.4688771,127.2728639,5.0582457,1696559131979,NORMAL
14.811,41,36.4688207,127.2727367,6.6538897,1696559133997,NORMAL
14.811,42,36.4687873,127.2725605,7.770995,1696559135987,NORMAL
9.935,43,36.4687795,127.2723166,11.31694,1696559137993,NORMAL
10.045,44,36.468787,127.2720066,12.87307,1696559139983,NORMAL
10.045,45,36.4687902,127.2717053,12.183194,1696559141981,NORMAL
